abbreviation,name,city,country,province,established
СООННР,Силы Организации Объединенных Наций по наблюдению за разъединением,Дамаск,СИР,Сирия,1974-05-31
ИБР,Исламский банк развития,Джидда,С.А.,Саудовская Аравия,1973-12-15
Инмарсат,Международная организация подвижной спутниковой связи,Лондон,ГБ,Большой Лондон,1976-09-03
ВОИС,Всемирная организация интеллектуальной собственности,Женева,CH,ГЭ,1967-07-14
ЭН,Агентство по ядерной энергии,,,,1958-01-01
АГ,Андская группа,Лима,ПЭ,Лима,1969-05-26
ИСО,Международная организация по стандартизации,Женева,CH,ГЭ,1947-02-01
FZ,Зона франка,Париж,F,Иль де Франция,1945-12-20
ССЗ,Совет сотрудничества стран Залива,Эр-Рияд,С.А.,Саудовская Аравия,1981-05-25
МНООНЛ,Миссия наблюдателей Организации Объединенных Наций в Либерии,Нью-Йорк,США,Нью-Йорк,1993-09-22
БКИ,Центральноамериканский банк экономической интеграции,Тегусигальпа,HCA,Франциско Моразан,1960-12-13
Группа 11,Группа 11,,,,1984-06-22
ЛАИА,Латиноамериканская ассоциация интеграции,Монтевидео,Ру,Уругвай,1980-08-12
БДЭАК,Банк развития центральноафриканских государств,Браззавиль,КБК,Конго,1975-12-03
CP,План Коломбо,Коломбо,Кл,Шри-Ланка,1951-07-01
КХЦ,Совет таможенного сотрудничества,Брюссель,B,Брабант,1950-12-15
О-9,Группа 9,,,,
СБС,Совет государств Балтийского моря,,,,1992-03-05
МУС,Международная торговая палата,Париж,F,Иль де Франция,1919-01-01
