abbreviation,name,city,country,province,established
САКУ,Южноафриканское таможенное объединение,Претория,РСА,Гутенг,1969-12-11
ИОМ,Международная организация по миграции,Женева,Ч,ГЕ,1951-12-05
ЕДИНА́Р,Институт подготовки и обучения при Организации Объединенных Наций,,,,1963-12-11
СпФ,Форум Южно-Тихоокеанского региона,Сува,Фиджи,Фиджи,1971-08-05
Кто?,Всемирная организация здравоохранения,Женева,Ч,ГЕ,1946-07-22
СЧТ,Агентство по культурному и техническому сотрудничеству,Париж,"I'm sorry, but I don't see any text to translate in your message. Please provide the text you would like me to translate from English to Russian, and I will be happy to assist you.",Иль-де-Франс,1970-03-21
КНД,Содружество Независимых Государств,Минск,В,Белоруссия,1991-12-08
"Вы хотите, чтобы я перевел этот текст на русский язык?",Агентство по ядерной энергии,,,,1958-01-01
Инмарсат,Международная организация спутниковой связи,Лондон,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Более Лондона,1976-09-03
ИФК,Международная финансовая корпорация,Вашингтон,США,Дистрикт Колумбия,1955-05-25
СЧЭ,Экономическая комиссия для Африки,Аддис-Абеба,ЭТХ,Эфиопия,1958-04-29
C,Содружество,Лондон,"Извините, но я не понимаю, что вы имеете в виду под «GB». Можете ли вы пояснить или предоставить дополнительный контекст?",Более Лондона,1931-12-31
ООНТСО,Организация по контролю за прекращением огня ООН,Иерусалим,АЛ,Центральный,1948-05-01
ВЭП,Европейское экономическое сообщество,Женева,Ч,ГЕ,1960-01-04
АСЕАН,Азия-Тихоокеанское экономическое сотрудничество,Сингапур,СГП,Сингапур,1989-11-07
Г-24,Группа из 24 человек,Брюссель,"Добро пожаловать в Coral! Я всегда готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Прованс,1972-01-01
Интесат,Международная организация спутникового связи,Вашингтон,США,Дистрикт Колумбия,1971-08-20
АМУ,Объединение арабских и магрибских стран,Рабат,Мए,Марокко,1989-02-17
АФЕСД,Арабский фонд экономического и социального развития,,,,1968-05-16
"Извините, но я не понимаю, что вы имеете в виду под ""EADB"". Можете ли вы пояснить или предоставить дополнительный контекст?",Банк развития Восточной Африки,Кампала,ВТО,Уганда,1967-06-06
СПЦ,Южнотихоокеанская комиссия,Нумеа,НКА,Новая Каледония,1947-02-06
ООН,Объединенные Нации,Нью-Йорк,США,Нью-Йорк,1945-06-26
УВКБ ООН,Бюро Верховного комиссара ООН по делам беженцев,Женева,Ч,ГЕ,1949-12-03
Международный олимпийский комитет,Международный олимпийский комитет,Лозанна,Ч,"Извините, я не понимаю ваш запрос. Можете ли вы уточнить, что именно вы хотите перевести?",1894-06-23
WCL,Всемирная конфедерация труда,Брюссель,"Добро пожаловать в Coral! Я всегда готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Прованс,1920-06-19
ида,Международная ассоциация развития,Вашингтон,США,Дистрикт Колумбия,1960-01-26
ФМ,Арабский валютный фонд,Абудаби,ОАЭ,Абудаби,1976-04-27
УНОМИЛ,Миссия наблюдателей Организации Объединенных Наций в Либерии,Нью-Йорк,США,Нью-Йорк,1993-09-22
ООН,Университет Организации Объединённых Наций,,,,1973-12-06
АСЕАН,Ассоциация государств Юго-Восточной Азии,Джакарта,Р,Индонезия,1967-08-09
유니픽,Междунациональные силы Организации Объединенных Наций в Ливане,Нью-Йорк,США,Нью-Йорк,1978-03-19
ОПЕК,Организация стран-экспортеров нефти,Вена,А,Вена,1960-09-14
NSG,Группа ядерных поставщиков,Вена,А,Вена,
Н/Д,Северный совет,Стокгольм,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Стокгольм,1952-03-16
ЦЕ,Совет Европы,Страсбург,"I'm sorry, but I don't see any text to translate in your message. Please provide the text you would like me to translate from English to Russian, and I will be happy to assist you.",Альзас,1949-05-05
CBS,Совет государств Балтийского моря,,,,1992-03-05
ВТО,Всемирная организация интеллектуальной собственности,Женева,Ч,ГЕ,1967-07-14
НОМАНИЯ,Миссия наблюдателей Организации Объединенных Наций в Грузии,Нью-Йорк,США,Нью-Йорк,
Г-9,Группа из 9 человек,,,,
УНИКОМ,Миссия ООН по наблюдению между Ираком и Кувейтом,Нью-Йорк,США,Нью-Йорк,1991-04-09
КГЦ,Совет сотрудничества арабских государств Персидского залива,Рияд,СА,Саудовская Аравия,1981-05-25
ООНИ,Организация Объединенных Наций по промышленному развитию,Вена,А,Вена,1966-11-17
Экономическое сообщество стран Западной Африки,Экономическое сообщество стран Западной Африки,Лагос,ВАН,Нигерия,1975-05-28
ИЭА,Международное энергетическое агентство,Париж,"I'm sorry, but I don't see any text to translate in your message. Please provide the text you would like me to translate from English to Russian, and I will be happy to assist you.",Иль-де-Франс,1974-11-15
АНК,Североатлантический совет сотрудничества,Брюссель,"Добро пожаловать в Coral! Я всегда готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Прованс,1991-11-08
Г-10,Группа из 10,Париж,"I'm sorry, but I don't see any text to translate in your message. Please provide the text you would like me to translate from English to Russian, and I will be happy to assist you.",Иль-де-Франс,1962-10-01
СИРПЗОН,Силы защиты ООН,Нью-Йорк,США,Нью-Йорк,1992-02-28
ВФТУ,Всемирная федерация профсоюзов,Празье,ЧЗ,Пража,1945-10-03
Лейя,Ассоциация интеграции Латинской Америки,Монtevидео,ROSS,Уругвай,1980-08-12
Текущий час: 12:45,Силы превентивной развертывания ООН,,,,1995-03-31
УНАВЕМ III,Миссия по проверке ООН в Анголе,Нью-Йорк,США,Нью-Йорк,1988-12-20
МНРОС,Операция Организации Объединенных Наций по восстановлению доверия в Хорватии,Нью-Йорк,США,Нью-Йорк,1995-03-31
ФЗ,Фран-зона,Париж,"I'm sorry, but I don't see any text to translate in your message. Please provide the text you would like me to translate from English to Russian, and I will be happy to assist you.",Иль-де-Франс,1945-12-20
Misия ООН по поддержке в Гаити,Миссия Организации Объединенных Наций в Гаити,Нью-Йорк,США,Нью-Йорк,1993-09-23
ВДБ,Банк развития Западной Африки,Лома,RT,Того,1973-11-14
