managerid,awardid,yearid,lgid,tie,notes
pinielo01m,BBWAA Manager of the year,2008,NL,,
baylodo01m,TSN Manager of the Year,1995,NL,,
coxbo01m,TSN Manager of the Year,2002,NL,,
bochybr01m,TSN Manager of the Year,1996,NL,,
tebbebi01m,TSN Manager of the Year,1956,ML,,
sewellu01m,TSN Manager of the Year,1944,ML,,
leylaji99m,TSN Manager of the Year,1988,NL,,
showabu99m,TSN Manager of the Year,1994,AL,,
weaveea99m,TSN Manager of the Year,1977,ML,,
mcnamjo99m,BBWAA Manager of the year,1986,AL,,
oatesjo01m,BBWAA Manager of the year,1996,AL,Y,
leylaji99m,TSN Manager of the Year,1992,NL,,
showabu99m,BBWAA Manager of the year,1994,AL,,
bauerha01m,TSN Manager of the Year,1966,ML,,
bakerdu01m,BBWAA Manager of the year,1993,NL,,
torboje01m,TSN Manager of the Year,1990,AL,,
willidi02m,TSN Manager of the Year,1967,ML,,
aloufe01m,TSN Manager of the Year,1994,NL,,
gardero01m,TSN Manager of the Year,2004,AL,,
