playerid,schoolid,yearmin,yearmax
mccluha01,bucknell,1874,1877
connege01,upenn,1926,1927
hoopeke01,wichitast,1996,1999
sterrdu01,princeton,1908,1912
coopebr01,usc,1995,1995
wertdo01,frankmarsh,1957,1957
jimerch01,miamifl,1998,2001
karlan01,manhattan,1932,1936
coopedo01,nytech,1975,1977
tonkido01,maryland,1900,1907
kemmeru01,pittsburgh,1949,1950
eavega01,grambling,1982,1985
leovijo01,oregonst,1940,1940
mcgrato01,washst,1987,1990
nolteer01,ucla,1984,1985
herrnjo01,michigan,1957,1958
simpsjo01,oklahoma,1971,1973
mullijo02,holycross,1932,1934
rivermi02,troyst,1996,1996
willsda01,virginia,1898,1899
garrecl01,wlibertyst,1910,1915
colbevi01,ecarolina,1967,1968
thiesja01,illinois,1945,1949
brownto05,tnwesleyan,1982,1982
eckener01,illinoisst,1997,2000
johnsjo06,pennst,1986,1987
fastda01,warnerpac,1966,1967
ziemst01,calpolypom,1981,1983
tunnele01,baylor,1979,1981
kennead01,calstnorth,1995,1997
edwarfo01,dartmouth,1924,1925
mcgilbi02,stanford,1902,1902
pawlost01,temple,1950,1955
sewelri01,vandy,1930,1931
wolteha01,santaclara,1903,1906
ariasge01,arizona,1991,1993
pyeed01,mtennst,1986,1988
willidi01,hendrixar,1927,1927
burchla01,okstate,1966,1967
jeterjo01,grambling,1963,1964
grahamo01,unc,1900,1902
walewji01,iowast,1981,1983
espossa01,indiana,1952,1952
hallied01,stmarysca,1904,1907
taylowa01,miamifl,1987,1987
mcgrabo01,georgetown,1917,1917
levsedu01,iowast,1917,1919
jacksgr01,bowlgreen,1961,1961
gilfija01,charleston,1995,1996
kahlege01,ohio,1908,1908
stewaji01,austinpeay,1959,1961
fowlkal01,calpolypom,1977,1980
clydeto01,presbytrn,1941,1943
johnsbo03,bradley,1962,1963
daniech02,ozarks,1952,1953
howarch01,ulala,1988,1988
gurala01,arizonast,1967,1969
romanmi01,tulane,1991,1993
weaveji03,floridast,1980,1980
diggibe01,arizona,1997,2000
howeljp01,usc,2002,2002
spindha01,ucla,1931,1938
bordiri01,fresnost,1978,1980
partest02,woosteroh,1943,1943
gantnji01,wioshkosh,1973,1974
