coachid,year,tmid,lgid,stint,won,lost,post_wins,post_losses
benneca01,1948,FTW,NBA,1,0.0,6.0,0.0,0.0
vangust01,2003,MIA,NBA,1,42.0,40.0,6.0,7.0
gottled01,1948,PHW,NBA,1,28.0,32.0,0.0,2.0
dantomi01,2005,PHO,NBA,1,54.0,28.0,10.0,10.0
cunnibi01,1981,PHI,NBA,1,58.0,24.0,12.0,9.0
sloanje01,2006,UTA,NBA,1,51.0,31.0,9.0,8.0
loughke01,1977,NJN,NBA,1,24.0,58.0,0.0,0.0
krugelo01,2002,ATL,NBA,1,11.0,16.0,0.0,0.0
irvinge01,1988,IND,NBA,3,6.0,14.0,0.0,0.0
johnsph01,1977,KCK,NBA,1,13.0,24.0,0.0,0.0
hillbr01,1994,ORL,NBA,1,57.0,25.0,11.0,10.0
brownla01,1991,LAC,NBA,3,23.0,12.0,2.0,3.0
hillbr01,1998,VAN,NBA,1,8.0,42.0,0.0,0.0
wittmra01,1999,CLE,NBA,1,32.0,50.0,0.0,0.0
tomjaru01,1994,HOU,NBA,1,47.0,35.0,15.0,7.0
weissbo01,1987,SAS,NBA,1,31.0,51.0,0.0,3.0
schulmi01,1990,LAC,NBA,1,31.0,51.0,0.0,0.0
mccarba01,1971,MMP,ABA,1,26.0,58.0,0.0,0.0
schaufr01,1966,LAL,NBA,1,36.0,45.0,0.0,3.0
shuege01,1967,BAL,NBA,1,36.0,46.0,0.0,0.0
blairbi01,1995,MIN,NBA,1,6.0,14.0,0.0,0.0
shuege01,1968,BAL,NBA,1,57.0,25.0,0.0,4.0
tomjaru01,1995,HOU,NBA,1,48.0,34.0,3.0,5.0
fratemi01,1986,ATL,NBA,1,57.0,25.0,4.0,5.0
rochare01,1958,DET,NBA,1,28.0,44.0,1.0,2.0
silaspa01,1981,SDC,NBA,1,17.0,65.0,0.0,0.0
heinsto01,1975,BOS,NBA,1,54.0,28.0,12.0,6.0
fitchbi01,1994,LAC,NBA,1,17.0,65.0,0.0,0.0
wilkele01,1993,ATL,NBA,1,57.0,25.0,5.0,6.0
sloanje01,1990,UTA,NBA,1,54.0,28.0,4.0,5.0
mckinbo01,1969,CAR,ABA,1,42.0,42.0,0.0,4.0
nissato01,1972,SEA,NBA,1,13.0,32.0,0.0,0.0
auerbre01,1946,WSC,NBA,1,49.0,11.0,2.0,4.0
saundfl01,1997,MIN,NBA,1,45.0,37.0,2.0,3.0
rileypa01,2005,MIA,NBA,2,41.0,20.0,16.0,7.0
moedo01,1986,DEN,NBA,1,37.0,45.0,0.0,3.0
collido01,2001,WAS,NBA,1,37.0,45.0,0.0,0.0
stottte01,2006,MIL,NBA,1,23.0,41.0,0.0,0.0
kundljo01,1957,MNL,NBA,2,10.0,23.0,0.0,0.0
schaufr01,1963,LAL,NBA,1,42.0,38.0,2.0,3.0
fitzsco01,1972,ATL,NBA,1,46.0,36.0,2.0,4.0
harride01,1996,LAL,NBA,1,56.0,26.0,4.0,5.0
bickebe01,1987,SEA,NBA,1,44.0,38.0,2.0,3.0
holzmre01,1976,NYK,NBA,1,40.0,42.0,0.0,0.0
brownmi02,2005,CLE,NBA,1,50.0,32.0,7.0,6.0
karlge01,2004,DEN,NBA,3,32.0,8.0,1.0,4.0
fitchbi01,1970,CLE,NBA,1,15.0,67.0,0.0,0.0
loughke01,1979,NJN,NBA,1,34.0,48.0,0.0,0.0
attleal01,1981,GSW,NBA,1,45.0,37.0,0.0,0.0
fitzsco01,1973,ATL,NBA,1,35.0,47.0,0.0,0.0
