coachid,year,tmid,lgid,stint,won,lost,post_wins,post_losses
clarkjo01,1969,PTP,ABA,1,14.0,25.0,0.0,0.0
davisjo01,2004,ORL,NBA,1,31.0,33.0,0.0,0.0
ramsaja01,1981,POR,NBA,1,42.0,40.0,0.0,0.0
sloanje01,2001,UTA,NBA,1,44.0,38.0,1.0,3.0
jacksph01,1992,CHI,NBA,1,57.0,25.0,15.0,4.0
nattke01,2008,SAC,NBA,2,11.0,47.0,0.0,0.0
stjeaga01,1995,SAC,NBA,1,39.0,43.0,1.0,3.0
holzmre01,1979,NYK,NBA,1,39.0,43.0,0.0,0.0
maclejo01,1973,PHO,NBA,1,30.0,52.0,0.0,0.0
mcmahja01,1969,SDR,NBA,1,9.0,17.0,0.0,0.0
rileypa01,2005,MIA,NBA,2,41.0,20.0,16.0,7.0
mullajo01,1972,KEN,ABA,1,56.0,28.0,11.0,8.0
rileypa01,2006,MIA,NBA,1,44.0,38.0,0.0,4.0
rochare01,1961,HAW,ABL1,1,29.0,53.0,0.0,1.0
lloydea01,1971,DET,NBA,3,20.0,50.0,0.0,0.0
broveji01,1998,WAS,NBA,2,5.0,13.0,0.0,0.0
nissato01,1972,SEA,NBA,1,13.0,32.0,0.0,0.0
hollili01,2009,MEM,NBA,1,40.0,42.0,0.0,0.0
lucasjo01,1993,SAS,NBA,1,55.0,27.0,1.0,3.0
bayloel01,1978,NOJ,NBA,1,26.0,56.0,0.0,0.0
wohlda01,1987,NJN,NBA,1,2.0,13.0,0.0,0.0
loughke01,1980,NJN,NBA,1,12.0,23.0,0.0,0.0
locketa01,1976,BUF,NBA,1,16.0,30.0,0.0,0.0
thiboto01,2011,CHI,NBA,1,50.0,16.0,2.0,4.0
vangust01,2003,MIA,NBA,1,42.0,40.0,6.0,7.0
westppa01,1999,SEA,NBA,1,45.0,37.0,2.0,3.0
fordch01,1997,MIL,NBA,1,36.0,46.0,0.0,0.0
fitzsco01,1989,PHO,NBA,1,54.0,28.0,9.0,7.0
karlge01,1998,MIL,NBA,1,28.0,22.0,0.0,3.0
hickena01,1947,PRO,NBA,1,4.0,25.0,0.0,0.0
harrile01,1953,ROC,NBA,1,44.0,28.0,3.0,3.0
woodsmi01,2011,NYK,NBA,2,18.0,6.0,1.0,4.0
aingeda01,1996,PHO,NBA,2,40.0,34.0,2.0,3.0
pollaji01,1967,MNM,ABA,1,50.0,28.0,4.0,6.0
dalych01,1997,ORL,NBA,1,41.0,41.0,0.0,0.0
brownla01,1992,LAC,NBA,1,41.0,41.0,2.0,3.0
lapchjo01,1953,NYK,NBA,1,44.0,28.0,0.0,4.0
gueriri01,1964,STL,NBA,2,28.0,19.0,1.0,3.0
mottadi01,1983,DAL,NBA,1,43.0,39.0,4.0,6.0
mottadi01,1968,CHI,NBA,1,33.0,49.0,0.0,0.0
sloanje01,2005,UTA,NBA,1,41.0,41.0,0.0,0.0
versadi01,1990,IND,NBA,1,9.0,16.0,0.0,0.0
gueriri01,1970,ATL,NBA,1,36.0,46.0,1.0,4.0
birdla01,1999,IND,NBA,1,56.0,26.0,13.0,10.0
isselda01,1992,DEN,NBA,1,36.0,46.0,0.0,0.0
laydefr01,1981,UTA,NBA,2,17.0,45.0,0.0,0.0
sloanje01,1993,UTA,NBA,1,53.0,29.0,8.0,8.0
bristal01,1995,CHH,NBA,1,41.0,41.0,0.0,0.0
mckinja01,1979,LAL,NBA,1,10.0,4.0,0.0,0.0
fitzsco01,1978,KCK,NBA,1,48.0,34.0,1.0,4.0
nelsodo01,1986,MIL,NBA,1,50.0,32.0,6.0,6.0
rileypa01,1995,MIA,NBA,1,42.0,40.0,0.0,3.0
skilesc01,2003,CHI,NBA,3,19.0,47.0,0.0,0.0
rodgeji01,1992,MIN,NBA,1,6.0,23.0,0.0,0.0
martisl01,1967,HSM,ABA,1,29.0,49.0,0.0,3.0
joneskc01,1986,BOS,NBA,1,59.0,23.0,13.0,10.0
sharmbi01,1972,LAL,NBA,1,60.0,22.0,9.0,8.0
wilkele01,1997,ATL,NBA,1,50.0,32.0,1.0,3.0
trianja01,2009,TOR,NBA,1,40.0,42.0,0.0,0.0
westppa01,1994,PHO,NBA,1,59.0,23.0,6.0,4.0
carliri01,2011,DAL,NBA,1,36.0,30.0,0.0,4.0
seymopa01,1958,SYR,NBA,1,35.0,37.0,5.0,4.0
sharmbi01,1961,LAJ,ABL1,1,24.0,15.0,,
woodsmi01,2007,ATL,NBA,1,37.0,45.0,3.0,4.0
maclejo01,1990,NYK,NBA,2,32.0,35.0,0.0,3.0
mooredo01,1951,MLH,NBA,1,17.0,49.0,0.0,0.0
frankla01,2011,DET,NBA,1,25.0,41.0,0.0,0.0
fitchbi01,1978,CLE,NBA,1,30.0,52.0,0.0,0.0
kauffbo01,1977,DET,NBA,2,29.0,29.0,0.0,0.0
bickebe01,1994,DEN,NBA,3,20.0,12.0,0.0,3.0
hillbo01,2005,SEA,NBA,2,22.0,30.0,0.0,0.0
brownla01,2001,PHI,NBA,1,43.0,39.0,2.0,3.0
buckwbu01,1974,UTS,ABA,1,24.0,32.0,0.0,0.0
stottte01,2003,ATL,NBA,1,28.0,54.0,0.0,0.0
frankla01,2008,NJN,NBA,1,34.0,48.0,0.0,0.0
fitchbi01,1975,CLE,NBA,1,49.0,33.0,6.0,7.0
collido01,1986,CHI,NBA,1,40.0,42.0,0.0,3.0
iavarma01,2007,MEM,NBA,1,22.0,60.0,0.0,0.0
jacksph01,2005,LAL,NBA,1,45.0,37.0,3.0,4.0
seymopa01,1961,STL,NBA,1,5.0,9.0,0.0,0.0
pitinri01,1998,BOS,NBA,1,19.0,31.0,0.0,0.0
aingeda01,1998,PHO,NBA,1,27.0,23.0,0.0,3.0
laydefr01,1985,UTA,NBA,1,42.0,40.0,1.0,3.0
holzmre01,1954,MLH,NBA,1,26.0,46.0,0.0,0.0
mccarjo01,1971,BUF,NBA,2,22.0,59.0,0.0,0.0
leege01,1969,SFW,NBA,1,22.0,30.0,0.0,0.0
sloanje01,2000,UTA,NBA,1,53.0,29.0,2.0,3.0
russejo01,1947,BOS,NBA,1,20.0,28.0,1.0,2.0
guokama02,1986,PHI,NBA,1,45.0,37.0,2.0,3.0
steelje01,1970,CAR,ABA,2,17.0,25.0,0.0,0.0
lowesi01,2001,MEM,NBA,1,23.0,59.0,0.0,0.0
brownla01,1989,SAS,NBA,1,56.0,26.0,6.0,4.0
cloydpa01,1950,KCH,NPBL,1,,,,
scottby01,2010,CLE,NBA,1,19.0,63.0,0.0,0.0
rhodege01,1968,KEN,ABA,1,42.0,36.0,3.0,4.0
adubari01,1990,DAL,NBA,1,28.0,54.0,0.0,0.0
westppa01,2009,SAC,NBA,1,25.0,57.0,0.0,0.0
russebi01,1974,SEA,NBA,1,43.0,39.0,4.0,5.0
nelsodo01,1984,MIL,NBA,1,59.0,23.0,3.0,5.0
colanje01,1969,PHO,NBA,2,24.0,20.0,3.0,4.0
jacksph01,2006,LAL,NBA,1,42.0,40.0,1.0,4.0
sharmbi01,1975,LAL,NBA,1,40.0,42.0,0.0,0.0
popovgr01,2007,SAS,NBA,1,56.0,26.0,9.0,8.0
shuege01,1974,PHI,NBA,1,34.0,48.0,0.0,0.0
joneswa03,1950,INO,NBA,2,7.0,5.0,1.0,2.0
mikkeve01,1968,MNP,ABA,2,6.0,6.0,0.0,0.0
dalych01,1992,NJN,NBA,1,43.0,39.0,2.0,3.0
mottadi01,1973,CHI,NBA,1,54.0,28.0,4.0,7.0
nelsodo01,1977,MIL,NBA,1,44.0,38.0,5.0,4.0
nissato01,1974,UTS,ABA,2,14.0,14.0,2.0,4.0
brighal01,1967,ANA,ABA,1,12.0,24.0,0.0,0.0
harride01,1990,MIL,NBA,1,48.0,34.0,0.0,3.0
krystla01,2006,MIL,NBA,2,5.0,13.0,0.0,0.0
rileypa01,2007,MIA,NBA,1,15.0,67.0,0.0,0.0
smartke01,2010,GSW,NBA,1,36.0,46.0,0.0,0.0
fitchbi01,1983,HOU,NBA,1,29.0,53.0,0.0,0.0
kundljo01,1951,MNL,NBA,1,40.0,26.0,9.0,4.0
saundfl01,1995,MIN,NBA,2,20.0,42.0,0.0,0.0
obrieji03,2002,BOS,NBA,1,44.0,38.0,4.0,6.0
sloanje01,1980,CHI,NBA,1,45.0,37.0,2.0,4.0
fitzsco01,1977,BUF,NBA,1,27.0,55.0,0.0,0.0
krugelo01,2001,ATL,NBA,1,33.0,49.0,0.0,0.0
rambiku01,2010,MIN,NBA,1,17.0,65.0,0.0,0.0
jeannbu01,1949,BLB,NBA,1,25.0,43.0,0.0,0.0
ramsaja01,1986,IND,NBA,1,41.0,41.0,1.0,3.0
macaued01,1958,STL,NBA,2,43.0,19.0,2.0,4.0
skilesc01,2000,PHO,NBA,1,51.0,31.0,1.0,3.0
cheekma01,2004,POR,NBA,1,22.0,33.0,0.0,0.0
moedo01,1981,DEN,NBA,1,46.0,36.0,1.0,2.0
wilkele01,1990,CLE,NBA,1,33.0,49.0,0.0,0.0
myerspe01,2007,CHI,NBA,2,0.0,1.0,0.0,0.0
nelsodo01,1992,GSW,NBA,1,34.0,48.0,0.0,0.0
fitchbi01,1982,BOS,NBA,1,56.0,26.0,2.0,5.0
tomjaru01,1992,HOU,NBA,1,55.0,27.0,6.0,6.0
collido01,2011,PHI,NBA,1,35.0,31.0,7.0,6.0
reedwi01,1978,NYK,NBA,1,6.0,8.0,0.0,0.0
floydti01,2000,CHI,NBA,1,15.0,67.0,0.0,0.0
cervial01,1954,SYR,NBA,1,43.0,29.0,7.0,4.0
mottadi01,1991,SAC,NBA,1,7.0,18.0,0.0,0.0
mussebi01,1989,MIN,NBA,1,22.0,60.0,0.0,0.0
laydefr01,1987,UTA,NBA,1,47.0,35.0,6.0,5.0
fordch01,1998,LAC,NBA,1,9.0,41.0,0.0,0.0
hagancl01,1968,DLC,ABA,1,41.0,37.0,3.0,4.0
wilkele01,1993,ATL,NBA,1,57.0,25.0,5.0,6.0
dalych01,1985,DET,NBA,1,46.0,36.0,1.0,3.0
halebr01,1967,OAK,ABA,1,22.0,56.0,0.0,0.0
maclejo01,1989,DAL,NBA,1,5.0,6.0,0.0,0.0
gentral01,2001,LAC,NBA,1,39.0,43.0,0.0,0.0
fitchbi01,1985,HOU,NBA,1,51.0,31.0,13.0,7.0
saundfl01,2004,MIN,NBA,1,25.0,26.0,0.0,0.0
brownhu01,1974,KEN,ABA,1,58.0,26.0,12.0,3.0
attleal01,1978,GSW,NBA,1,38.0,44.0,0.0,0.0
skilesc01,2011,MIL,NBA,1,31.0,35.0,0.0,0.0
klierle01,1950,AND,NPBL,2,,,,
joneskc01,1990,SEA,NBA,1,41.0,41.0,2.0,3.0
fitzsco01,1984,SAS,NBA,1,41.0,41.0,2.0,3.0
karlge01,1999,MIL,NBA,1,42.0,40.0,2.0,3.0
nelsodo01,2004,DAL,NBA,1,42.0,22.0,0.0,0.0
tomjaru01,2002,HOU,NBA,1,43.0,39.0,0.0,0.0
costela01,1974,MIL,NBA,1,38.0,44.0,0.0,0.0
mullajo01,1969,LAL,NBA,1,46.0,36.0,11.0,7.0
carnelo01,1972,NYA,ABA,1,30.0,54.0,1.0,4.0
vanguje01,1997,NYK,NBA,1,43.0,39.0,4.0,6.0
harride01,1996,LAL,NBA,1,56.0,26.0,4.0,5.0
auerbre01,1949,TRI,NBA,2,28.0,29.0,1.0,2.0
fratemi01,1996,CLE,NBA,1,42.0,40.0,0.0,0.0
sachsph01,1946,DTF,NBA,2,8.0,18.0,0.0,0.0
rubinro01,1972,PHI,NBA,1,4.0,47.0,0.0,0.0
holzmre01,1968,NYK,NBA,1,54.0,28.0,6.0,4.0
irvinge01,1985,IND,NBA,1,26.0,56.0,0.0,0.0
vanbrbu01,1973,MMT,ABA,1,21.0,63.0,0.0,0.0
birdla01,1997,IND,NBA,1,58.0,24.0,10.0,6.0
mussebi01,1975,VIR,ABA,3,4.0,22.0,0.0,0.0
loughke01,1978,NJN,NBA,1,37.0,45.0,0.0,2.0
mussebi01,1975,SDS,ABA,1,3.0,8.0,0.0,0.0
shuege01,1971,BAL,NBA,1,38.0,44.0,2.0,4.0
collido01,1995,DET,NBA,1,46.0,36.0,0.0,3.0
oneilke01,2003,TOR,NBA,1,33.0,49.0,0.0,0.0
cartebu01,1998,TOR,NBA,1,23.0,27.0,0.0,0.0
lapchjo01,1950,NYK,NBA,1,36.0,30.0,8.0,6.0
shuege01,1982,WSB,NBA,1,42.0,40.0,0.0,0.0
schaydo01,1965,PHI,NBA,1,55.0,25.0,1.0,4.0
stjeaga01,1992,SAC,NBA,1,25.0,57.0,0.0,0.0
kundljo01,1952,MNL,NBA,1,48.0,22.0,9.0,3.0
dinneha01,1967,ANA,ABA,2,13.0,29.0,0.0,0.0
willihe01,2004,NYK,NBA,2,16.0,27.0,0.0,0.0
malonbr01,1995,TOR,NBA,1,21.0,61.0,0.0,0.0
silaspa01,2001,CHH,NBA,1,44.0,38.0,4.0,5.0
stjeaga01,1993,SAC,NBA,1,28.0,54.0,0.0,0.0
dantomi01,1998,DEN,NBA,1,14.0,36.0,0.0,0.0
loughke01,1974,NYA,ABA,1,58.0,26.0,1.0,4.0
mussebi01,1980,CLE,NBA,1,25.0,46.0,0.0,0.0
mckinja01,1981,IND,NBA,1,35.0,47.0,0.0,0.0
fitchbi01,1970,CLE,NBA,1,15.0,67.0,0.0,0.0
adelmri01,1996,GSW,NBA,1,30.0,52.0,0.0,0.0
westje01,1976,LAL,NBA,1,53.0,29.0,4.0,7.0
portete01,2003,MIL,NBA,1,41.0,41.0,1.0,4.0
attleal01,1975,GSW,NBA,1,59.0,23.0,7.0,6.0
gottled01,1948,PHW,NBA,1,28.0,32.0,0.0,2.0
mckinbo01,1970,CAR,ABA,1,17.0,25.0,0.0,0.0
toddji01,1999,LAC,NBA,2,4.0,33.0,0.0,0.0
mottadi01,1978,WSB,NBA,1,54.0,28.0,9.0,10.0
blitmha01,1969,MMF,ABA,2,18.0,46.0,0.0,0.0
karlge01,1984,CLE,NBA,1,36.0,46.0,1.0,3.0
holzmre01,1970,NYK,NBA,1,52.0,30.0,7.0,5.0
auerbre01,1946,WSC,NBA,1,49.0,11.0,2.0,4.0
cunnibi01,1981,PHI,NBA,1,58.0,24.0,12.0,9.0
corbity01,2010,UTA,NBA,2,8.0,20.0,0.0,0.0
dunlemi01,1993,MIL,NBA,1,20.0,62.0,0.0,0.0
sloanje01,1989,UTA,NBA,1,55.0,27.0,2.0,3.0
tomjaru01,2004,LAL,NBA,1,24.0,19.0,0.0,0.0
delando01,1980,CLE,NBA,2,3.0,8.0,0.0,0.0
vanguje01,1999,NYK,NBA,1,50.0,32.0,9.0,7.0
nissato01,1975,UTS,ABA,1,4.0,12.0,0.0,0.0
schaufr01,1966,LAL,NBA,1,36.0,45.0,0.0,3.0
hamille01,2000,WAS,NBA,1,19.0,63.0,0.0,0.0
moedo01,1983,DEN,NBA,1,38.0,44.0,2.0,3.0
joneskc01,1985,BOS,NBA,1,67.0,15.0,15.0,3.0
aingeda01,1997,PHO,NBA,1,56.0,26.0,1.0,3.0
tomjaru01,1997,HOU,NBA,1,41.0,41.0,2.0,3.0
sharmbi01,1966,SFW,NBA,1,44.0,37.0,9.0,6.0
joneskc01,1975,WSB,NBA,1,48.0,34.0,3.0,4.0
willihe01,2003,NYK,NBA,2,1.0,0.0,0.0,0.0
wilkele01,1969,SEA,NBA,1,36.0,46.0,0.0,0.0
karlge01,2007,DEN,NBA,1,50.0,32.0,0.0,4.0
brownla01,1990,SAS,NBA,1,55.0,27.0,1.0,3.0
robiner01,1962,OAO,ABL1,1,11.0,14.0,,
johnsav01,2007,DAL,NBA,1,51.0,31.0,1.0,4.0
mcmilna01,2003,SEA,NBA,1,37.0,45.0,0.0,0.0
delnevi01,2010,LAC,NBA,1,32.0,50.0,0.0,0.0
versadi01,1989,IND,NBA,1,42.0,40.0,0.0,3.0
brownla01,1993,IND,NBA,1,47.0,35.0,10.0,6.0
saundfl01,2001,MIN,NBA,1,50.0,32.0,0.0,3.0
dalych01,1983,DET,NBA,1,49.0,33.0,2.0,3.0
hillbo01,1996,SAS,NBA,1,3.0,15.0,0.0,0.0
robersc01,1982,DET,NBA,1,37.0,45.0,0.0,0.0
bickebe01,1989,SEA,NBA,1,41.0,41.0,0.0,0.0
szukast01,1947,GRR,PBLA,1,3.0,3.0,,
wilkele01,1984,SEA,NBA,1,31.0,51.0,0.0,0.0
obrieji03,2003,BOS,NBA,1,22.0,24.0,0.0,0.0
mcmahja01,1967,SDR,NBA,1,15.0,67.0,0.0,0.0
mullajo01,1973,UTS,ABA,1,51.0,33.0,9.0,9.0
cervial01,1956,SYR,NBA,1,4.0,8.0,0.0,0.0
mitchsa01,2005,TOR,NBA,1,27.0,55.0,0.0,0.0
guokama02,1990,ORL,NBA,1,31.0,51.0,0.0,0.0
adelmri01,1998,SAC,NBA,1,27.0,23.0,2.0,3.0
irvinge01,2000,DET,NBA,1,32.0,50.0,0.0,0.0
shuege01,1968,BAL,NBA,1,57.0,25.0,0.0,4.0
brownmi02,2009,CLE,NBA,1,61.0,21.0,6.0,5.0
guokama02,1985,PHI,NBA,1,54.0,28.0,6.0,6.0
musseer01,2003,GSW,NBA,1,37.0,45.0,0.0,0.0
cousybo01,1970,CIN,NBA,1,33.0,49.0,0.0,0.0
dunlemi01,2008,LAC,NBA,1,19.0,63.0,0.0,0.0
jordaed01,2005,WAS,NBA,1,42.0,40.0,2.0,4.0
wanzebo01,1958,CIN,NBA,1,3.0,15.0,0.0,0.0
attleal01,1979,GSW,NBA,1,18.0,43.0,0.0,0.0
givenjo01,1967,KEN,ABA,1,5.0,12.0,0.0,0.0
bickebe01,2004,CHA,NBA,1,18.0,64.0,0.0,0.0
biancal01,1974,VIR,ABA,1,15.0,69.0,0.0,0.0
brownhu01,1979,ATL,NBA,1,50.0,32.0,1.0,4.0
trianja01,2010,TOR,NBA,1,22.0,60.0,0.0,0.0
fitchbi01,1986,HOU,NBA,1,42.0,40.0,5.0,5.0
schulmi01,1986,POR,NBA,1,49.0,33.0,1.0,3.0
russebi01,1987,SAC,NBA,1,17.0,41.0,0.0,0.0
collido01,1988,CHI,NBA,1,47.0,35.0,9.0,8.0
vanguje01,2000,NYK,NBA,1,48.0,34.0,2.0,3.0
hollili01,2008,MEM,NBA,3,13.0,26.0,0.0,0.0
auerbre01,1965,BOS,NBA,1,54.0,26.0,11.0,6.0
mussebi01,1981,CLE,NBA,4,2.0,21.0,0.0,0.0
carliri01,2009,DAL,NBA,1,55.0,27.0,2.0,4.0
martisl01,1956,STL,NBA,2,5.0,3.0,0.0,0.0
shuege01,1983,WSB,NBA,1,35.0,47.0,1.0,3.0
holzmre01,1976,NYK,NBA,1,40.0,42.0,0.0,0.0
cazzevi01,1967,PTP,ABA,1,54.0,24.0,11.0,4.0
nelsodo01,2003,DAL,NBA,1,52.0,30.0,1.0,4.0
hamblfr01,1991,MIL,NBA,2,23.0,42.0,0.0,0.0
schaufr01,1965,LAL,NBA,1,45.0,35.0,7.0,7.0
biancal01,1971,VIR,ABA,1,45.0,39.0,7.0,4.0
reisech01,1952,BLB,NBA,1,0.0,3.0,0.0,0.0
rileypa01,1984,LAL,NBA,1,62.0,20.0,15.0,4.0
brownla01,1998,PHI,NBA,1,28.0,22.0,3.0,5.0
saundfl01,2011,WAS,NBA,1,2.0,15.0,0.0,0.0
popovgr01,2008,SAS,NBA,1,54.0,28.0,1.0,4.0
farmemi01,1966,BAL,NBA,1,1.0,8.0,0.0,0.0
russebi01,1967,BOS,NBA,1,54.0,28.0,12.0,7.0
wilkele01,2001,TOR,NBA,1,42.0,40.0,2.0,3.0
mcmilna01,2001,SEA,NBA,1,45.0,37.0,2.0,3.0
mckinja01,1983,IND,NBA,1,26.0,56.0,0.0,0.0
lowesi01,2002,MEM,NBA,1,0.0,8.0,0.0,0.0
shuege01,1973,PHI,NBA,1,25.0,57.0,0.0,0.0
moedo01,1982,DEN,NBA,1,45.0,37.0,3.0,5.0
nelsodo01,1993,GSW,NBA,1,50.0,32.0,0.0,3.0
butchdo01,1968,DET,NBA,1,10.0,12.0,0.0,0.0
harride01,1991,MIL,NBA,1,8.0,9.0,0.0,0.0
pitinri01,1997,BOS,NBA,1,36.0,46.0,0.0,0.0
mendemu01,1950,FTW,NBA,1,32.0,36.0,1.0,2.0
malonbr01,2004,CLE,NBA,2,8.0,10.0,0.0,0.0
mccarba01,1967,NOB,ABA,1,48.0,30.0,10.0,7.0
fitzsco01,1983,KCK,NBA,1,38.0,44.0,0.0,3.0
fitzsco01,1979,KCK,NBA,1,47.0,35.0,1.0,2.0
nelsodo01,1995,NYK,NBA,1,34.0,25.0,0.0,0.0
karlge01,1996,SEA,NBA,1,57.0,25.0,6.0,6.0
laydefr01,1982,UTA,NBA,1,30.0,52.0,0.0,0.0
ramsaja01,1976,POR,NBA,1,49.0,33.0,14.0,5.0
weissbo01,1990,ATL,NBA,1,43.0,39.0,2.0,3.0
mottadi01,1981,DAL,NBA,1,28.0,54.0,0.0,0.0
unselwe01,1993,WSB,NBA,1,24.0,58.0,0.0,0.0
karlge01,1992,SEA,NBA,1,55.0,27.0,10.0,9.0
collido01,1987,CHI,NBA,1,50.0,32.0,4.0,6.0
theusre01,2007,SAC,NBA,1,38.0,44.0,0.0,0.0
mottadi01,1971,CHI,NBA,1,57.0,25.0,0.0,4.0
mackibo01,1987,NJN,NBA,2,10.0,29.0,0.0,0.0
johnsph01,1973,KCO,NBA,3,27.0,30.0,0.0,0.0
albecst01,1982,SAS,NBA,1,53.0,29.0,6.0,5.0
jacksph01,2000,LAL,NBA,1,56.0,26.0,15.0,1.0
moedo01,1984,DEN,NBA,1,52.0,30.0,8.0,7.0
thomais01,2000,IND,NBA,1,41.0,41.0,1.0,3.0
davisjo01,2008,MEM,NBA,2,0.0,2.0,0.0,0.0
cheekma01,2005,PHI,NBA,1,38.0,44.0,0.0,0.0
reynoje02,1988,SAC,NBA,1,27.0,55.0,0.0,0.0
jacksph01,1991,CHI,NBA,1,67.0,15.0,15.0,7.0
mottadi01,1977,WSB,NBA,1,44.0,38.0,14.0,7.0
laniebo01,1994,GSW,NBA,2,12.0,25.0,0.0,0.0
adelmri01,2001,SAC,NBA,1,61.0,21.0,10.0,6.0
nelsodo01,2001,DAL,NBA,1,57.0,25.0,4.0,4.0
collido01,2001,WAS,NBA,1,37.0,45.0,0.0,0.0
bassbo01,1967,DNR,ABA,1,45.0,33.0,2.0,3.0
vanbrbu01,1968,LAL,NBA,1,55.0,27.0,11.0,7.0
adelmri01,1995,GSW,NBA,1,36.0,46.0,0.0,0.0
popovgr01,1996,SAS,NBA,2,17.0,47.0,0.0,0.0
schaydo01,1970,BUF,NBA,1,22.0,60.0,0.0,0.0
adelmri01,1990,POR,NBA,1,63.0,19.0,9.0,7.0
calvima01,1991,LAC,NBA,2,1.0,1.0,0.0,0.0
nelsodo01,2000,DAL,NBA,1,53.0,29.0,4.0,6.0
lucasjo01,1994,PHI,NBA,1,24.0,58.0,0.0,0.0
kundljo01,1958,MNL,NBA,1,33.0,39.0,6.0,7.0
loughke01,1972,PHI,NBA,2,5.0,26.0,0.0,0.0
costela01,1973,MIL,NBA,1,59.0,23.0,11.0,5.0
rambiku01,1998,LAL,NBA,3,24.0,13.0,3.0,5.0
bickebe01,1988,SEA,NBA,1,46.0,30.0,3.0,5.0
heinsto01,1971,BOS,NBA,1,56.0,26.0,5.0,6.0
cervial01,1953,SYR,NBA,1,42.0,30.0,9.0,4.0
mussebi01,1990,MIN,NBA,1,29.0,53.0,0.0,0.0
kundljo01,1957,MNL,NBA,2,10.0,23.0,0.0,0.0
tarkaje01,1992,SAS,NBA,1,9.0,11.0,0.0,0.0
ramsaja01,1973,BUF,NBA,1,42.0,40.0,2.0,4.0
chanedo01,1984,LAC,NBA,2,9.0,12.0,0.0,0.0
lewisgr01,1949,STB,NBA,1,26.0,42.0,0.0,0.0
mclenjo01,1961,CLP,ABL1,1,26.0,25.0,,
eganjo01,1973,HOU,NBA,1,32.0,50.0,0.0,0.0
mottadi01,1985,DAL,NBA,1,44.0,38.0,5.0,5.0
cunnibi01,1982,PHI,NBA,1,65.0,17.0,12.0,1.0
riverdo01,2011,BOS,NBA,1,39.0,27.0,11.0,9.0
toddro01,1971,POR,NBA,1,12.0,44.0,0.0,0.0
vangust01,2008,ORL,NBA,1,59.0,23.0,13.0,11.0
brownhu01,1985,NYK,NBA,1,23.0,59.0,0.0,0.0
adelmri01,1988,POR,NBA,2,14.0,21.0,0.0,3.0
adelmri01,1989,POR,NBA,1,59.0,23.0,12.0,9.0
adelmri01,1991,POR,NBA,1,57.0,25.0,13.0,8.0
adelmri01,1992,POR,NBA,1,51.0,31.0,1.0,3.0
