abbreviation,name,city,country,province,established
по моему мнению,Международная морская организация,Лондон,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Более Лондона,1958-03-17
ISO,Международный орган по стандартизации,Женева,ХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,GE,1947-02-01
СЦК,Совет по сотрудничеству в области таможен,Брюссель,Б,Прованс,1950-12-15
Ввод данных,Банк развития Восточной Африки,Кампала,ВВП,Уганда,1967-06-06
ЕЭС,Экономическое сообщество центральноафриканских государств,Либревиль,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Габон,1983-10-18
УВКБ ООН,Бюро Верховного комиссара ООН по делам беженцев,Женева,ХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,GE,1949-12-03
УНАВЕМ III,Миссия по проверке фактов ООН в Анголе,Нью-Йорк,США,Нью-Йорк,1988-12-20
Кто?,Всемирная организация здравоохранения,Женева,ХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,GE,1946-07-22
Кариком,Карибское сообщество и общий рынок,Джорджтаун,ХОЧ,Гайана,1973-07-04
ЦП,Коломбо-план,Колombo,КЛ,Шри-Ланка,1951-07-01
РГ,Рио Груп,,,,1988-01-01
Унитарный,Институт подготовки и обучения при Организации Объединенных Наций,,,,1963-12-11
Всемирная организация торговли,Группа 77,,,,1967-10-01
ВТО,Всемирная организация интеллектуальной собственности,Женева,ХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,GE,1967-07-14
АСДБ,Азиатский банк развития,Маніла,РП,Филиппины,1966-12-19
ЛЕС,Латиноамериканская экономическая система,Каракас,YV,Федеральный округ,1975-10-17
"IFRCS - это аббревиатура, которая означает ""Интегрированная система управления боевыми ресурсами"". Это система, используемая военными для управления и координации различных аспектов боевых действий, таких как разведка, наблюдение, целевое назначение и управление боевыми ресурсами.",Международный союз обществ Красного Креста и Красного Полумесяца,Женева,ХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,GE,1919-05-05
ОНВУ,Временные силы Организации Объединенных Наций в Ливане,Нью-Йорк,США,Нью-Йорк,1978-03-19
ЕВ,Западноевропейский союз,Брюссель,Б,Прованс,1954-10-23
МКР,Международное движение Красного Креста и Красного Полумесяца,Женева,ХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,GE,1928-01-01
Анзус,Договор о безопасности Австралия-Новая Зеландия-США,Канберра,Австралия,Австралийский столичный регион,1951-09-01
Г-2,Группа из двух,,,,
