season,slot,strongseed,weakseed
2010,Рекс-2,Р2x2,Р2Х3
2008,РЭКС-1,R2X1,Р2Х4
2005,Р1З3,З03,Зи-четырнадцать
2006,R2X1,Р1X1,R1X8
1993,R1Y7,Я7,Я10
1990,Р2В4,R1V4,R1W5
2010,R1X-7,X07,Х10
2014,16 лет,16-я,I16б
2001,Р2В2,Р2В2,Р2В3
2007,R2Z2,R1З2,R1З7
2006,R1Y8,Т08,Я — 9.
2013,Р2В1,R1V1,R1V8
2007,Зи-шестнадцать,Z16a,Z16б
2010,R6CH,Р5ВХХ,R5YZ
1989,R1Y4,"Четверг, 25 апреля 2024 г.",13
1986,R1X3,X03,X14
1987,R1Y1,"Я не могу перевести этот ввод, поскольку он содержит только символы цифр без контекста или текста для перевода. Пожалуйста, предоставьте текст для перевода, и я с радостью помогу вам.",16 лет
2003,Р2Я3,R1Y3,R1Y6
2003,Рэйни,R2Y1,R2Y4
1996,R2Y4,R1Y4,R1Y5
2012,Р2В3,R1В3,R1В6
1996,Р2В1,R1V1,R1V8
1990,"I'm sorry, I don't understand your request. Could you please clarify your question or provide additional context?",R1З1,R1З8
1995,R1V4,W04,В13
1991,R1Y1,"Я не могу перевести этот ввод, поскольку он содержит только символы цифр без контекста или текста для перевода. Пожалуйста, предоставьте текст для перевода, и я с радостью помогу вам.",16 лет
2003,Рэйли,Рэйни,Р3Й2
2006,R1Y1,"Я не могу перевести этот ввод, поскольку он содержит только символы цифр без контекста или текста для перевода. Пожалуйста, предоставьте текст для перевода, и я с радостью помогу вам.",16 лет
1998,Р2В2,Р1В2,R1W7
1985,R1Y7,Я7,Я10
2011,Р1З4,Z04,Z-13
1998,Р2Э2,R2Z2,R2Z3
1993,R1В3,W03,В14
2004,Р1З4,Z04,Z-13
1994,Р2В3,R1В3,R1В6
2006,R1V1,В01,В16
2009,Ризз,З05,З12
1987,Р3Й2,Р2-Д2,Р2Я3
2009,R1X8,X08,0x09
1994,R1Y5,5,Y12
