abbreviation,name,city,country,province,established
ВОТ,Всемирная туристская организация,Мадрид,E,Мадрид,1975-01-02
Группа &lt; &lt; Меконг &gt; &gt;,Группа АСЕАН по вопросам развития бассейна реки Меконг,,,,1995-12-01
МООННГ,Миссия Организации Объединенных Наций по наблюдению в Грузии,Нью-Йорк,США,Нью-Йорк,
ОАГ,Организация американских государств,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1948-04-30
МОТ,Международная организация труда,Женева,CH,ГЭ,1919-04-11
Группа 11,Группа 11,,,,1984-06-22
ЭСКЗА,Экономическая и социальная комиссия для Западной Азии,Амман,JOR,Иордания,1973-08-09
Группа восьми,Группа 8,,,,1975-10-01
МКПТ,Международное движение Красного Креста и Красного Полумесяца,Женева,CH,ГЭ,1928-01-01
АзБР,Азиатский банк развития,Манила,РП,Филиппины,1966-12-19
МАР,Международная ассоциация развития,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1960-01-26
FZ,Зона франка,Париж,F,Иль де Франция,1945-12-20
МСЭ,Международный союз электросвязи,Женева,CH,ГЭ,1932-12-09
О-9,Группа 9,,,,
RG,Группа Рио,,,,1988-01-01
ВАБР,Западноафриканский банк развития,Лом,РТ,Того,1973-11-14
СПРООН,Силы превентивного развертывания Организации Объединенных Наций,,,,1995-03-31
СААРК,Ассоциация регионального сотрудничества стран Южной Азии,Катманду,NEP,Непал,1985-12-08
ООН,В настоящий отчет могут вноситься поправки.,Нью-Йорк,США,Нью-Йорк,1945-06-26
МОВЗР,Межправительственный орган по вопросам засухи и развития,Джибути,ДСО,Джибути,1986-01-15
Бенилюкс,Экономический союз &lt; &lt; Бенилюкс &gt; &gt;,Брюссель,B,Брабант,1958-02-03
МФК,Международная финансовая корпорация,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1955-05-25
AMU,Союз арабского Магриба,Рабат,МЭТ,Марокко,1989-02-17
ФАО,Продовольственная и сельскохозяйственная организация,Рим,I,Лацио,1945-10-16
