playerid,yearid,stint,teamid,lgid,g,g_batting,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp,g_old
winseto01,1938,1,BRO,NL,12,12.0,30.0,6.0,9.0,1.0,0.0,1.0,7.0,0.0,,6.0,4.0,,0.0,1.0,,1.0,12.0
buhneja01,1988,1,NYA,AL,25,25.0,69.0,8.0,13.0,0.0,0.0,3.0,13.0,0.0,0.0,3.0,25.0,0.0,3.0,0.0,1.0,1.0,25.0
kopfla01,1921,1,CIN,NL,107,107.0,367.0,36.0,80.0,8.0,3.0,1.0,25.0,3.0,14.0,43.0,20.0,,6.0,11.0,,,107.0
tomandi01,1958,1,CLE,AL,20,20.0,17.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,20.0
harrihe01,1936,1,PHI,NL,4,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,4.0
rhodear01,2004,1,OAK,AL,37,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
barkele01,1983,1,CLE,AL,24,0.0,,,,,,,,,,,,,,,,,24.0
martijo05,1983,2,DET,AL,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
barrefr01,1950,1,PIT,NL,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
finchjo01,1979,1,BOS,AL,15,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
mcdonjo03,2011,1,TOR,AL,65,65.0,168.0,19.0,42.0,8.0,1.0,2.0,20.0,2.0,4.0,8.0,18.0,0.0,1.0,3.0,2.0,1.0,65.0
suhrgu01,1939,2,PHI,NL,60,60.0,198.0,21.0,63.0,12.0,2.0,3.0,24.0,1.0,,34.0,14.0,,1.0,1.0,,1.0,60.0
brownbo02,1930,1,BSN,NL,3,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,,0.0,0.0,,,3.0
geigega01,1962,1,BOS,AL,131,131.0,466.0,67.0,116.0,18.0,4.0,16.0,54.0,18.0,11.0,67.0,66.0,3.0,2.0,5.0,3.0,5.0,131.0
cuyleki01,1931,1,CHN,NL,154,154.0,613.0,110.0,202.0,37.0,12.0,9.0,88.0,13.0,,72.0,54.0,,5.0,20.0,,,154.0
butleri01,1998,1,TBA,AL,72,72.0,217.0,25.0,49.0,3.0,3.0,7.0,20.0,4.0,2.0,15.0,37.0,0.0,2.0,0.0,3.0,4.0,72.0
oatesjo01,1973,1,ATL,NL,93,93.0,322.0,27.0,80.0,6.0,0.0,4.0,27.0,1.0,4.0,22.0,31.0,4.0,1.0,6.0,0.0,8.0,93.0
gibsosa01,1926,1,DET,AL,36,36.0,72.0,6.0,18.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,,0.0,1.0,,,36.0
smithge01,1884,2,CL2,NL,72,72.0,291.0,31.0,74.0,14.0,4.0,4.0,26.0,,,2.0,45.0,,,,,,72.0
gastomi01,1934,1,CHA,AL,29,29.0,68.0,2.0,10.0,1.0,0.0,0.0,7.0,0.0,0.0,3.0,14.0,,0.0,1.0,,,29.0
mazzile01,1983,1,PIT,NL,109,109.0,246.0,37.0,59.0,9.0,0.0,5.0,24.0,15.0,5.0,49.0,43.0,1.0,2.0,4.0,4.0,8.0,109.0
casalje01,1962,1,DET,AL,18,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0
skinnal01,1884,1,BLU,UA,1,1.0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,1.0
postwa01,1962,1,CIN,NL,109,109.0,285.0,43.0,75.0,10.0,3.0,17.0,62.0,1.0,0.0,32.0,67.0,2.0,2.0,1.0,1.0,8.0,109.0
willbo01,1958,1,CHN,NL,6,6.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
maxwech01,1957,1,DET,AL,138,138.0,492.0,75.0,136.0,23.0,3.0,24.0,82.0,3.0,2.0,76.0,84.0,7.0,5.0,4.0,3.0,6.0,138.0
macfada01,1933,1,NYA,AL,25,25.0,34.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,,0.0,1.0,,,25.0
shoreer01,1915,1,BOS,AL,38,38.0,79.0,3.0,8.0,4.0,1.0,0.0,10.0,0.0,,5.0,29.0,,0.0,5.0,,,38.0
higgide01,1968,1,WS2,AL,59,59.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,59.0
tracych01,2009,1,ARI,NL,98,98.0,257.0,29.0,61.0,15.0,0.0,8.0,39.0,1.0,0.0,26.0,38.0,7.0,1.0,0.0,4.0,3.0,
maddugr01,1995,1,ATL,NL,28,28.0,72.0,8.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,0.0,6.0,0.0,0.0,28.0
terryad01,1892,2,PIT,NL,31,31.0,100.0,10.0,16.0,0.0,4.0,2.0,11.0,2.0,,10.0,11.0,,0.0,,,,31.0
walldo01,2001,1,NYN,NL,33,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
konerpa01,1999,1,CHA,AL,142,142.0,513.0,71.0,151.0,31.0,4.0,24.0,81.0,1.0,0.0,45.0,68.0,0.0,2.0,1.0,3.0,19.0,142.0
johnspe01,1918,1,SLA,AL,46,46.0,89.0,5.0,16.0,1.0,1.0,0.0,11.0,0.0,,4.0,6.0,,0.0,4.0,,,46.0
johnsje01,1972,1,SFN,NL,48,48.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,48.0
dennyje01,1889,1,IN3,NL,133,133.0,578.0,96.0,163.0,24.0,0.0,18.0,112.0,22.0,,27.0,63.0,,0.0,,,,133.0
marisro01,1959,1,KC1,AL,122,122.0,433.0,69.0,118.0,21.0,7.0,16.0,72.0,2.0,1.0,58.0,53.0,5.0,3.0,0.0,4.0,4.0,122.0
whiteab01,1937,1,SLN,NL,5,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,5.0
larueja01,2009,1,SLN,NL,51,51.0,104.0,10.0,25.0,3.0,0.0,2.0,6.0,1.0,0.0,3.0,22.0,0.0,4.0,1.0,0.0,3.0,
martivi01,2007,1,CLE,AL,147,147.0,562.0,78.0,169.0,40.0,0.0,25.0,114.0,0.0,0.0,62.0,76.0,12.0,10.0,0.0,11.0,19.0,147.0
wisema01,2007,1,MIL,NL,56,53.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
brumlmi02,1991,1,BOS,AL,63,63.0,118.0,16.0,25.0,5.0,0.0,0.0,5.0,2.0,0.0,10.0,22.0,0.0,0.0,4.0,0.0,0.0,63.0
wineaed01,1929,1,WS1,AL,1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,1.0
cavarph01,1952,1,CHN,NL,41,41.0,63.0,7.0,15.0,1.0,1.0,1.0,8.0,0.0,0.0,9.0,3.0,,0.0,0.0,,0.0,41.0
ehretre01,1889,1,LS2,AA,67,67.0,258.0,27.0,65.0,6.0,6.0,1.0,31.0,4.0,,4.0,23.0,,0.0,,,,67.0
foxte01,1962,1,DET,AL,47,47.0,8.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,47.0
rennabi01,1954,1,PHA,AL,123,123.0,422.0,52.0,98.0,15.0,4.0,13.0,53.0,1.0,3.0,41.0,60.0,,3.0,4.0,4.0,7.0,123.0
brownby01,1970,1,PHI,NL,104,104.0,270.0,29.0,67.0,17.0,2.0,10.0,36.0,1.0,2.0,33.0,72.0,5.0,0.0,1.0,3.0,12.0,104.0
mondera01,1996,1,LAN,NL,157,157.0,634.0,98.0,188.0,40.0,7.0,24.0,88.0,14.0,7.0,32.0,122.0,9.0,5.0,0.0,2.0,6.0,157.0
odeake01,1946,1,SLN,NL,22,22.0,57.0,2.0,7.0,2.0,0.0,1.0,3.0,0.0,,8.0,8.0,,0.0,3.0,,4.0,22.0
bayja01,2004,1,PIT,NL,120,120.0,411.0,61.0,116.0,24.0,4.0,26.0,82.0,4.0,6.0,41.0,129.0,2.0,10.0,5.0,5.0,9.0,120.0
mcgeami01,1882,1,DTN,NL,34,34.0,133.0,14.0,19.0,4.0,1.0,0.0,2.0,,,2.0,20.0,,,,,,34.0
diazma02,2008,1,ATL,NL,43,43.0,135.0,9.0,33.0,2.0,0.0,2.0,14.0,4.0,2.0,3.0,32.0,0.0,1.0,0.0,1.0,4.0,43.0
lopezal01,1944,1,PIT,NL,115,115.0,331.0,27.0,76.0,12.0,1.0,1.0,34.0,4.0,,34.0,24.0,,1.0,5.0,,7.0,115.0
vaughgr01,1997,1,SDN,NL,120,120.0,361.0,60.0,78.0,10.0,0.0,18.0,57.0,7.0,4.0,56.0,110.0,1.0,2.0,0.0,3.0,7.0,120.0
willibi01,1973,1,CHN,NL,156,156.0,576.0,72.0,166.0,22.0,2.0,20.0,86.0,4.0,3.0,76.0,72.0,14.0,1.0,0.0,6.0,13.0,156.0
hernaan01,2007,1,NYN,NL,4,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
bentola01,1934,1,CIN,NL,16,16.0,7.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,,0.0,3.0,,0.0,0.0,,0.0,16.0
westsa01,1934,1,SLA,AL,122,122.0,482.0,90.0,157.0,22.0,10.0,9.0,55.0,3.0,5.0,62.0,55.0,,0.0,10.0,,,122.0
buffich01,1891,1,BS2,AA,58,58.0,181.0,16.0,34.0,2.0,1.0,1.0,16.0,0.0,,19.0,15.0,,1.0,,,,58.0
pytlafr01,1934,1,CLE,AL,91,91.0,289.0,46.0,75.0,12.0,4.0,0.0,35.0,11.0,2.0,36.0,11.0,,5.0,5.0,,,91.0
thondi01,1980,1,CAL,AL,80,80.0,267.0,32.0,68.0,12.0,2.0,0.0,15.0,7.0,5.0,10.0,28.0,0.0,1.0,5.0,2.0,5.0,80.0
treadje01,1993,1,CLE,AL,97,97.0,221.0,25.0,67.0,14.0,1.0,2.0,27.0,1.0,1.0,14.0,21.0,2.0,2.0,1.0,2.0,6.0,97.0
hartmfr01,1898,1,NY1,NL,123,123.0,475.0,57.0,129.0,16.0,11.0,2.0,88.0,11.0,,25.0,,,4.0,3.0,,,123.0
mcauldi01,1962,1,DET,AL,139,139.0,471.0,50.0,124.0,20.0,5.0,12.0,63.0,4.0,2.0,64.0,76.0,3.0,0.0,0.0,4.0,11.0,139.0
nettlgr01,1967,1,MIN,AL,3,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
jorgear01,1930,1,NYA,AL,16,16.0,30.0,7.0,11.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,,0.0,3.0,,,16.0
easleda01,2008,1,NYN,NL,113,113.0,316.0,33.0,85.0,10.0,2.0,6.0,44.0,0.0,0.0,19.0,38.0,0.0,7.0,2.0,3.0,15.0,113.0
gassach01,1944,1,CHN,NL,2,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,,0.0,0.0,,0.0,2.0
smithma03,1996,1,BAL,AL,27,27.0,78.0,9.0,19.0,2.0,0.0,4.0,10.0,0.0,2.0,3.0,20.0,0.0,3.0,0.0,0.0,0.0,27.0
baeched01,1926,1,PHI,NL,28,28.0,14.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,,0.0,0.0,,,28.0
terryra01,1957,1,NYA,AL,7,7.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
wittmi01,1987,1,CAL,AL,36,0.0,,,,,,,,,,,,,,,,,36.0
eversto01,1884,1,WSU,UA,109,109.0,427.0,54.0,99.0,6.0,1.0,0.0,,0.0,,7.0,,,,,,,109.0
warddu01,1993,1,TOR,AL,71,0.0,,,,,,,,,,,,,,,,,71.0
galanau01,1940,1,CHN,NL,68,68.0,209.0,33.0,48.0,14.0,2.0,3.0,22.0,9.0,,37.0,23.0,,0.0,2.0,,2.0,68.0
florera01,2002,1,TEX,AL,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
spoljpa01,1996,1,TOR,AL,28,0.0,,,,,,,,,,,,,,,,,28.0
ferreri01,1943,1,SLA,AL,74,74.0,209.0,12.0,50.0,7.0,0.0,0.0,20.0,0.0,0.0,34.0,14.0,,1.0,2.0,,3.0,74.0
hemonsc01,1993,1,OAK,AL,91,91.0,215.0,31.0,55.0,16.0,0.0,6.0,26.0,14.0,5.0,32.0,55.0,0.0,1.0,6.0,1.0,2.0,91.0
merckke01,2003,1,CIN,NL,49,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
hillypa01,1914,1,PHI,NL,8,8.0,10.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,,1.0,5.0,,0.0,0.0,,,8.0
riverbo01,1975,1,MON,NL,5,5.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0
mcguiry01,2000,1,NYN,NL,1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
duckwbr01,2002,1,PHI,NL,30,29.0,48.0,3.0,9.0,1.0,0.0,0.0,4.0,0.0,0.0,5.0,11.0,0.0,0.0,6.0,0.0,3.0,29.0
filipst01,1948,1,CIN,NL,7,7.0,26.0,0.0,9.0,0.0,1.0,0.0,3.0,0.0,,2.0,1.0,,0.0,0.0,,0.0,7.0
cormirh01,1991,1,SLN,NL,11,11.0,21.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,11.0
joneswi01,1960,1,CIN,NL,79,79.0,149.0,16.0,40.0,7.0,0.0,3.0,27.0,1.0,0.0,31.0,16.0,3.0,0.0,1.0,3.0,2.0,79.0
martima01,1972,1,SLN,NL,9,9.0,7.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0
hootobu01,1975,1,CHN,NL,3,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
fletcda01,1999,1,TOR,AL,115,115.0,412.0,48.0,120.0,26.0,0.0,18.0,80.0,0.0,0.0,26.0,47.0,0.0,6.0,0.0,4.0,16.0,115.0
beckmbi01,1942,2,SLN,NL,2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,2.0
ziskri01,1971,1,PIT,NL,7,7.0,15.0,2.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0
mcmanma01,1929,1,DET,AL,154,154.0,599.0,99.0,168.0,32.0,8.0,18.0,90.0,16.0,11.0,60.0,52.0,,1.0,12.0,,,154.0
ramirma02,2001,1,BOS,AL,142,142.0,529.0,93.0,162.0,33.0,2.0,41.0,125.0,0.0,1.0,81.0,147.0,25.0,8.0,0.0,2.0,9.0,142.0
lewisbu01,1940,1,WS1,AL,148,148.0,600.0,101.0,190.0,38.0,10.0,6.0,63.0,15.0,10.0,74.0,36.0,,1.0,4.0,,10.0,148.0
burnsdi01,1883,1,DTN,NL,37,37.0,140.0,11.0,26.0,7.0,1.0,0.0,5.0,,,2.0,22.0,,,,,,37.0
douglkl01,1898,1,PHI,NL,146,146.0,582.0,105.0,150.0,26.0,4.0,2.0,48.0,18.0,,55.0,,,11.0,25.0,,,146.0
dunnist01,1971,1,CLE,AL,32,32.0,55.0,5.0,10.0,1.0,0.0,1.0,7.0,0.0,0.0,4.0,19.0,0.0,0.0,8.0,1.0,0.0,32.0
orsinjo01,1964,1,BAL,AL,81,81.0,248.0,21.0,55.0,10.0,0.0,8.0,23.0,0.0,0.0,23.0,55.0,3.0,2.0,1.0,3.0,6.0,81.0
naultda01,1998,1,MIN,AL,19,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
whitnar01,1884,1,PT1,AA,23,23.0,94.0,10.0,28.0,4.0,0.0,0.0,0.0,0.0,,1.0,,,0.0,,,,23.0
silvaca01,2006,1,MIN,AL,36,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
leecl02,2011,1,PHI,NL,34,34.0,75.0,6.0,15.0,2.0,0.0,2.0,7.0,1.0,0.0,1.0,26.0,0.0,0.0,5.0,1.0,2.0,34.0
marshdo01,1908,2,CHN,NL,12,12.0,20.0,4.0,6.0,0.0,1.0,0.0,3.0,0.0,,0.0,,,0.0,0.0,,,12.0
beckro01,2001,1,BOS,AL,68,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
candejo01,1989,1,NYA,AL,10,0.0,,,,,,,,,,,,,,,,,10.0
mccanbr01,2012,1,ATL,NL,121,,439.0,44.0,101.0,14.0,0.0,20.0,67.0,3.0,0.0,44.0,76.0,7.0,1.0,0.0,3.0,15.0,
palmeji01,1984,1,BAL,AL,5,0.0,,,,,,,,,,,,,,,,,5.0
seiboso01,1916,1,PHA,AL,5,5.0,12.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,,0.0,4.0,,0.0,0.0,,,5.0
reedro01,1976,1,PHI,NL,59,59.0,24.0,2.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,59.0
gutieri01,2003,1,CLE,AL,16,16.0,50.0,2.0,13.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,5.0,0.0,1.0,1.0,1.0,1.0,16.0
burkele02,1962,1,LAA,AL,19,19.0,64.0,8.0,17.0,1.0,0.0,4.0,14.0,0.0,0.0,5.0,11.0,1.0,1.0,0.0,0.0,1.0,19.0
almonbi01,1980,2,NYN,NL,48,48.0,112.0,13.0,19.0,3.0,2.0,0.0,4.0,2.0,0.0,8.0,27.0,1.0,0.0,0.0,0.0,0.0,48.0
