playerid,yearid,gamenum,gameid,teamid,lgid,gp,startingpos
aguilri01,1992,0,NLS199207140,MIN,AL,1,
aguilri01,1993,0,ALS199307130,MIN,AL,1,
alexado01,1988,0,NLS198807120,DET,AL,0,
alfoned01,2000,0,NLS200007110,NYN,NL,1,
allendi01,1965,0,ALS196507130,PHI,NL,1,5.0
allendi01,1966,0,NLS196607120,PHI,NL,1,
allendi01,1967,0,ALS196707110,PHI,NL,1,5.0
allendi01,1970,0,NLS197007140,SLN,NL,1,3.0
allendi01,1972,0,NLS197207250,CHA,AL,1,3.0
allendi01,1973,0,ALS197307240,CHA,AL,0,
allendi01,1974,0,NLS197407230,CHA,AL,1,3.0
allenjo02,1938,0,NLS193807060,CLE,AL,1,
alleyge01,1967,0,ALS196707110,PIT,NL,1,6.0
alleyge01,1968,0,NLS196807090,PIT,NL,0,
allisbo01,1963,0,ALS196307090,MIN,AL,1,
allisbo01,1964,0,NLS196407070,MIN,AL,1,3.0
alomaro01,1990,0,NLS199007100,SDN,NL,1,
alomaro01,1991,0,ALS199107090,TOR,AL,1,4.0
alomaro01,1992,0,NLS199207140,TOR,AL,1,4.0
alomaro01,1993,0,ALS199307130,TOR,AL,1,4.0
alomaro01,1994,0,NLS199407120,TOR,AL,1,4.0
alomaro01,1995,0,ALS199507110,TOR,AL,1,
alomaro01,1996,0,NLS199607090,BAL,AL,1,4.0
alomaro01,1997,0,ALS199707080,BAL,AL,1,4.0
alomaro01,1998,0,NLS199807070,BAL,AL,1,4.0
alomaro01,1999,0,ALS199907130,CLE,AL,1,4.0
alomaro01,2000,0,NLS200007110,CLE,AL,1,4.0
alomaro01,2001,0,ALS200107100,CLE,AL,1,
alomasa01,1970,0,NLS197007140,CAL,AL,1,
alomasa02,1990,0,NLS199007100,CLE,AL,1,2.0
alomasa02,1991,0,ALS199107090,CLE,AL,1,2.0
alomasa02,1992,0,NLS199207140,CLE,AL,1,2.0
alomasa02,1996,0,NLS199607090,CLE,AL,1,
alomasa02,1997,0,ALS199707080,CLE,AL,1,
alomasa02,1998,0,NLS199807070,CLE,AL,1,
aloufe01,1966,0,NLS196607120,ATL,NL,0,
aloufe01,1968,0,NLS196807090,ATL,NL,1,
alouma01,1968,0,NLS196807090,PIT,NL,1,
alouma01,1969,0,ALS196907230,PIT,NL,1,8.0
aloumo01,1994,0,NLS199407120,MON,NL,1,
aloumo01,1997,0,ALS199707080,FLO,NL,1,
aloumo01,1998,0,NLS199807070,HOU,NL,1,
aloumo01,2001,0,ALS200107100,HOU,NL,1,
aloumo01,2004,0,NLS200407130,CHN,NL,1,
aloumo01,2005,0,ALS200507120,SFN,NL,1,
altuvjo01,2012,0,ALS201207100,HOU,NL,1,
alvarwi01,1994,0,NLS199407120,CHA,AL,1,
alvisma01,1965,0,ALS196507130,CLE,AL,1,
alvisma01,1967,0,ALS196707110,CLE,AL,1,
anderbr01,1992,0,NLS199207140,BAL,AL,1,
anderbr01,1996,0,NLS199607090,BAL,AL,1,9.0
anderbr01,1997,0,ALS199707080,BAL,AL,1,7.0
anderga01,2002,0,NLS200207090,ANA,AL,1,
anderga01,2003,0,ALS200307150,ANA,AL,1,7.0
anderga01,2005,0,ALS200507120,LAA,AL,1,
andremi01,1969,0,ALS196907230,BOS,AL,1,
andrena01,1944,0,NLS194407110,BSN,NL,0,
andruel01,2010,0,ALS201007130,TEX,AL,1,
andruel01,2012,0,ALS201207100,TEX,AL,1,
andujjo01,1977,0,ALS197707190,HOU,NL,0,
andujjo01,1979,0,ALS197907170,HOU,NL,1,
andujjo01,1984,0,NLS198407100,SLN,NL,0,
andujjo01,1985,0,ALS198507160,SLN,NL,0,
antonjo02,1954,0,ALS195407130,NY1,NL,1,
antonjo02,1956,0,ALS195607100,NY1,NL,1,
antonjo02,1957,0,NLS195707090,NY1,NL,0,
