playerid,yearid,stint,teamid,lgid,w,l,g,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,baopp,era,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,gidp
mccorbi01,1909,1,SLA,AL,0,2,2,2,2,0,0,45,29,15,1,6,10,0.0,9.0,,1.0,0.0,0,79.0,0.0,21,,,
manzajo01,1995,1,NYN,NL,1,2,12,0,0,0,0,48,18,14,3,6,14,0.0,7.0,2.0,5.0,0.0,0,73.0,4.0,15,,,
karlan01,1946,1,PHI,NL,3,7,39,0,0,0,5,196,84,36,6,22,15,0.0,4.0,,0.0,1.0,0,292.0,23.0,37,,,
peterji01,1933,1,PHA,AL,2,5,32,5,0,0,0,272,114,50,6,36,18,0.0,4.0,,4.0,0.0,0,422.0,12.0,65,,,
sullich02,1930,1,DET,AL,1,5,40,3,2,0,5,281,112,68,9,53,38,0.0,6.0,,6.0,1.0,0,433.0,18.0,72,,,
smithfr06,1955,1,SLN,NL,3,1,28,0,0,0,1,117,27,14,3,23,17,0.0,3.0,3.0,2.0,5.0,0,168.0,14.0,18,,,
sherrla01,1963,1,LAN,NL,2,6,36,3,0,0,3,239,82,33,8,24,47,0.0,3.0,4.0,3.0,4.0,0,349.0,18.0,43,,,
chambcl01,1953,1,SLN,NL,3,6,32,8,0,0,0,239,82,43,7,43,26,0.0,4.0,,3.0,1.0,1,362.0,9.0,50,,,
wilsopa02,1996,1,NYN,NL,5,12,26,26,1,0,0,447,157,89,15,71,109,0.0,5.0,11.0,3.0,10.0,3,677.0,0.0,102,,,
hernaje02,1992,1,SDN,NL,1,4,26,0,0,0,1,110,39,17,4,11,25,0.0,4.0,5.0,0.0,1.0,0,157.0,11.0,17,,,
hunteca01,1977,1,NYA,AL,9,9,22,22,8,1,0,430,137,75,29,47,52,0.0,4.0,3.0,2.0,3.0,1,608.0,0.0,83,,,
phelptr01,2001,1,TBA,AL,2,2,49,0,0,0,5,186,53,24,6,24,54,,3.0,1.0,2.0,3.0,1,268.0,15.0,30,,,
lacosmi01,1983,1,HOU,NL,5,7,38,17,2,0,1,414,142,68,10,56,53,0.0,4.0,11.0,9.0,2.0,1,590.0,6.0,81,,,
stottto01,1994,1,TOR,AL,7,7,26,19,3,1,1,422,149,66,19,48,105,0.0,4.0,2.0,0.0,7.0,0,605.0,5.0,67,,,
nunezle01,2009,1,FLO,NL,4,6,75,0,0,0,26,206,59,31,13,27,60,,4.0,5.0,1.0,4.0,1,293.0,41.0,33,,,
hayesbe01,1983,1,CIN,NL,4,6,60,0,0,0,7,208,82,50,8,37,44,0.0,6.0,6.0,1.0,1.0,1,318.0,34.0,53,,,
morrija02,1982,1,DET,AL,17,16,37,37,17,3,0,799,247,120,37,96,135,0.0,4.0,7.0,10.0,0.0,0,1107.0,0.0,131,,,
brechha01,1947,1,SLN,NL,16,11,29,28,18,1,1,670,220,82,20,66,89,0.0,3.0,,3.0,3.0,0,927.0,1.0,92,,,
eichhma01,1992,1,CAL,AL,2,4,42,0,0,0,2,170,51,15,2,18,42,0.0,2.0,8.0,3.0,0.0,1,237.0,19.0,19,,,
hawkebi01,1893,1,SLN,NL,0,1,1,1,0,0,0,16,9,3,0,3,1,0.0,5.0,,0.0,0.0,0,0.0,0.0,9,,,
colemjo01,1885,1,PH4,AA,2,2,8,3,3,0,0,181,82,23,0,5,12,,3.0,,5.0,0.0,0,229.0,4.0,46,,,
hamptmi01,1993,1,SEA,AL,1,3,13,3,0,0,1,51,28,18,3,17,8,0.0,9.0,3.0,1.0,0.0,1,95.0,2.0,20,,,
peterky01,2001,1,MIL,NL,1,2,3,2,0,0,0,44,19,9,3,4,12,,5.0,2.0,0.0,0.0,0,68.0,0.0,10,,,
culpra01,1970,1,BOS,AL,17,14,33,33,15,1,0,754,211,85,22,91,197,0.0,3.0,8.0,10.0,11.0,0,1057.0,0.0,104,,,
hallch02,1913,1,BOS,AL,5,4,35,4,2,0,2,315,97,40,1,46,48,0.0,3.0,,1.0,5.0,0,466.0,22.0,66,,,
hogueca01,1954,1,PIT,NL,0,1,3,2,0,0,0,33,11,6,1,12,7,0.0,4.0,,0.0,0.0,0,52.0,0.0,6,,,
darliro01,1988,1,NYN,NL,17,9,34,34,7,4,0,722,218,87,24,60,161,0.0,3.0,2.0,7.0,5.0,2,971.0,0.0,97,,,
abernte02,1966,2,ATL,NL,4,4,38,0,0,0,4,196,58,28,5,36,42,0.0,3.0,10.0,7.0,0.0,0,281.0,25.0,34,,,
glavito02,1990,1,ATL,NL,10,12,33,33,1,0,0,643,232,102,18,78,129,0.0,4.0,10.0,8.0,1.0,1,929.0,0.0,111,,,
planked01,1903,1,PHA,AL,23,16,43,40,33,3,0,1008,317,89,5,65,176,0.0,2.0,,8.0,23.0,0,1378.0,2.0,128,,,
hildeor01,1934,1,CLE,AL,11,9,33,28,10,1,1,594,225,99,14,99,72,0.0,4.0,,4.0,3.0,0,914.0,4.0,112,,,
moosebo01,1972,1,PIT,NL,13,10,31,30,6,3,1,678,213,73,11,47,144,0.0,2.0,9.0,6.0,4.0,1,927.0,1.0,84,,,
tennaji01,1929,1,NY1,NL,0,0,1,0,0,0,0,3,1,0,0,0,1,0.0,0.0,,0.0,0.0,0,3.0,0.0,0,,,
kinzyha01,1934,1,CHA,AL,0,1,13,2,1,0,0,103,38,19,1,31,12,0.0,4.0,,0.0,4.0,1,169.0,10.0,23,,,
zabelzi01,1914,1,CHN,NL,4,4,29,7,2,0,3,384,104,31,5,45,50,0.0,2.0,,4.0,2.0,1,507.0,18.0,45,,,
bailest01,1968,1,CLE,AL,0,1,2,1,0,0,0,15,4,2,1,2,1,0.0,3.0,0.0,1.0,0.0,0,21.0,0.0,3,,,
hevinjo02,1937,1,CLE,AL,8,4,40,0,0,0,5,218,92,39,6,30,35,0.0,4.0,,2.0,2.0,0,337.0,20.0,53,,,
barkele01,1985,1,ATL,NL,2,9,20,18,0,0,0,221,84,52,10,37,47,0.0,6.0,1.0,3.0,1.0,0,335.0,1.0,55,,,
grimsja01,2004,2,BAL,AL,2,4,41,0,0,0,0,109,37,17,3,20,21,0.0,4.0,3.0,2.0,2.0,0,167.0,3.0,25,,,
alfonan01,2006,1,TEX,AL,0,0,19,0,0,0,0,48,23,10,3,7,5,,5.0,0.0,0.0,0.0,0,74.0,3.0,10,,,
rhodear01,2006,1,PHI,NL,0,5,55,0,0,0,4,137,47,27,2,30,48,,5.0,7.0,7.0,2.0,0,214.0,10.0,27,,,
burrira01,1982,1,MON,NL,4,14,37,15,2,0,2,371,143,65,14,53,55,0.0,4.0,7.0,3.0,2.0,0,550.0,9.0,77,,,
schanch01,1945,1,PHI,NL,4,15,35,21,5,1,5,434,165,70,5,87,56,0.0,4.0,,3.0,9.0,0,689.0,9.0,99,,,
salmoro01,1912,1,PHA,AL,1,0,2,1,0,0,0,15,7,5,0,4,5,0.0,9.0,,0.0,0.0,0,26.0,0.0,5,,,
salveja01,1934,1,NY1,NL,3,1,12,4,0,0,0,115,43,15,2,13,18,0.0,3.0,,0.0,0.0,0,168.0,4.0,16,,,
sothoal01,1920,1,SLA,AL,8,15,36,26,12,1,2,655,263,114,6,89,81,0.0,4.0,,10.0,6.0,0,975.0,10.0,151,,,
fornimi01,1957,1,BAL,AL,2,6,15,4,1,1,0,171,57,27,4,17,43,0.0,4.0,2.0,2.0,0.0,0,240.0,4.0,30,,,
deshoji01,1938,1,WS1,AL,5,8,31,14,1,0,0,394,160,96,11,83,41,0.0,6.0,,4.0,1.0,0,613.0,11.0,104,,,
johnsba01,1976,1,CHA,AL,9,16,32,32,8,3,0,634,231,111,20,62,91,0.0,4.0,1.0,4.0,1.0,0,901.0,0.0,115,,,
byrdpa01,1999,1,PHI,NL,15,11,32,32,1,0,0,599,205,102,34,70,106,0.0,4.0,2.0,11.0,17.0,3,872.0,0.0,119,,,
perryji01,1970,1,MIN,AL,24,12,40,40,13,4,0,836,258,94,20,57,168,0.0,3.0,10.0,3.0,9.0,0,1141.0,0.0,112,,,
rodnefe01,2011,1,LAA,AL,3,5,39,0,0,0,3,96,26,16,1,28,26,,4.0,0.0,2.0,3.0,0,150.0,15.0,18,,,
watsoal01,1999,3,NYA,AL,4,0,21,0,0,0,0,103,30,8,3,10,30,0.0,2.0,0.0,1.0,0.0,0,137.0,6.0,8,,,
mooreji01,1929,1,CLE,AL,0,0,2,0,0,0,0,17,6,6,1,4,0,0.0,9.0,,0.0,0.0,0,28.0,2.0,6,,,
walkbo01,1991,1,PIT,NL,9,2,25,20,0,0,0,345,104,46,10,35,67,0.0,3.0,2.0,11.0,5.0,2,484.0,0.0,53,,,
tamulvi01,1935,1,NYA,AL,10,5,30,19,9,3,1,482,178,73,7,55,57,0.0,4.0,,1.0,2.0,0,706.0,6.0,80,,,
richaru01,1989,1,ATL,NL,0,0,2,2,0,0,0,28,10,5,2,6,4,0.0,4.0,0.0,1.0,1.0,0,43.0,0.0,5,,,
mccalwi01,1948,1,BOS,AL,0,1,1,1,0,0,0,4,6,3,1,1,0,0.0,20.0,,0.0,0.0,0,11.0,0.0,3,,,
mcdermi02,1895,1,LS3,NL,4,19,33,26,18,0,0,622,258,138,8,103,42,0.0,5.0,,16.0,0.0,1,0.0,6.0,203,,,
podgajo01,1942,1,PHI,NL,6,14,43,23,6,0,0,560,191,81,9,63,40,0.0,3.0,,3.0,11.0,3,801.0,11.0,95,,,
nuxhajo01,1952,1,CIN,NL,1,4,37,5,2,0,1,277,83,33,4,42,52,0.0,3.0,,5.0,3.0,0,388.0,21.0,33,,,
grodzjo01,1941,1,SLN,NL,2,1,5,1,0,0,0,40,6,2,0,11,10,0.0,1.0,,0.0,0.0,0,58.0,3.0,7,,,
newtodo01,1907,1,NYA,AL,7,10,19,15,10,0,0,399,132,47,0,31,70,0.0,3.0,,4.0,7.0,1,650.0,4.0,66,,,
kaatji01,1974,1,CHA,AL,21,13,42,39,15,3,0,832,263,90,18,63,142,0.0,2.0,3.0,4.0,6.0,0,1137.0,0.0,106,,,
kippebo01,1985,1,CAL,AL,0,1,2,1,0,0,0,10,7,8,1,3,0,0.0,21.0,0.0,0.0,0.0,0,20.0,0.0,8,,,
drucklo01,1910,1,NY1,NL,12,10,34,27,15,0,0,646,174,59,3,82,151,0.0,2.0,,3.0,11.0,1,857.0,4.0,73,,,
hickeke01,1991,1,BAL,AL,1,0,19,0,0,0,0,42,15,14,3,6,10,0.0,9.0,0.0,0.0,0.0,0,62.0,6.0,14,,,
hillmer01,1993,1,NYN,NL,2,9,27,22,3,1,0,435,173,64,12,24,60,0.0,3.0,2.0,0.0,4.0,1,627.0,1.0,83,,,
bentola01,1923,1,BSN,NL,5,9,35,9,1,0,0,384,141,71,4,57,42,0.0,4.0,,3.0,4.0,0,561.0,10.0,78,,,
lefebbi01,1943,1,WS1,AL,2,0,6,3,1,0,0,97,33,16,3,16,10,0.0,4.0,,0.0,0.0,0,140.0,3.0,18,,,
oquismi01,1997,1,OAK,AL,4,6,19,17,1,0,0,323,111,60,15,43,72,0.0,5.0,3.0,2.0,6.0,0,473.0,0.0,62,,,
grantge02,1931,1,PIT,NL,0,0,11,0,0,0,0,51,28,14,0,7,6,0.0,7.0,,0.0,1.0,0,88.0,7.0,16,,,
malonpa02,1935,1,NYA,AL,3,5,29,2,0,0,3,169,53,34,7,33,25,0.0,5.0,,5.0,1.0,0,254.0,21.0,45,,,
oldhare01,1926,1,PIT,NL,2,2,17,2,0,0,2,125,56,26,1,18,16,0.0,5.0,,0.0,1.0,0,185.0,7.0,27,,,
lopatar01,1946,1,PHI,NL,0,1,4,1,0,0,0,16,13,10,1,4,4,0.0,16.0,,1.0,0.0,0,33.0,2.0,11,,,
heimafr01,1921,1,PHA,AL,1,0,1,1,1,1,0,27,7,0,0,1,1,0.0,0.0,,0.0,0.0,0,32.0,0.0,0,,,
almanar01,2001,1,FLO,NL,2,2,52,0,0,0,0,123,34,22,8,26,45,,4.0,1.0,2.0,0.0,0,178.0,8.0,24,,,
warremi01,1983,1,OAK,AL,5,3,12,9,3,1,0,197,51,30,4,18,30,0.0,4.0,1.0,2.0,1.0,0,262.0,1.0,33,,,
haliced01,1978,1,SFN,NL,9,10,29,28,9,4,1,597,166,63,11,45,105,0.0,2.0,9.0,1.0,7.0,3,819.0,1.0,74,,,
akerfda01,1990,1,PHI,NL,5,2,71,0,0,0,3,279,65,39,10,54,42,0.0,3.0,8.0,7.0,3.0,1,395.0,18.0,45,,,
ruffijo01,1993,1,CIN,NL,2,1,21,0,0,0,2,113,36,15,4,11,30,0.0,3.0,1.0,2.0,1.0,0,159.0,5.0,16,,,
davisro02,1983,1,MIN,AL,5,8,66,0,0,0,30,267,89,33,6,33,84,0.0,3.0,3.0,4.0,3.0,1,382.0,61.0,34,,,
brabege01,1966,1,BAL,AL,4,3,31,1,0,0,2,213,57,28,4,29,62,0.0,3.0,0.0,6.0,1.0,2,287.0,15.0,30,,,
jarvike01,2004,2,COL,NL,0,0,2,0,0,0,0,6,6,6,1,4,0,0.0,27.0,2.0,0.0,0.0,0,15.0,0.0,6,,,
rosenst01,1990,1,CHA,AL,1,0,6,0,0,0,0,30,10,6,2,5,4,0.0,5.0,0.0,0.0,0.0,0,44.0,3.0,6,,,
sanfoja02,1967,1,CAL,AL,3,2,12,9,0,0,1,145,53,24,6,7,21,0.0,4.0,1.0,0.0,0.0,1,196.0,2.0,26,,,
ritzke01,1997,1,COL,NL,6,8,18,18,1,0,0,322,142,70,16,46,56,0.0,5.0,3.0,7.0,1.0,0,486.0,0.0,72,,,
backebr01,2009,1,HOU,NL,0,0,5,1,0,0,0,39,21,15,5,6,10,,10.0,1.0,2.0,0.0,0,65.0,3.0,15,,,
oroscje01,1997,1,BAL,AL,6,3,71,0,0,0,0,151,29,13,6,30,46,0.0,2.0,0.0,1.0,0.0,1,205.0,12.0,13,,,
rogerle01,1938,2,BRO,NL,0,2,12,2,0,0,0,71,23,15,0,10,11,0.0,5.0,,1.0,2.0,0,104.0,6.0,16,,,
lashefr01,1968,1,DET,AL,5,1,34,0,0,0,5,146,37,18,5,22,32,0.0,3.0,7.0,2.0,0.0,0,200.0,14.0,19,,,
balleja01,1986,1,CHN,NL,2,4,36,0,0,0,5,161,58,32,7,28,42,0.0,5.0,4.0,2.0,2.0,4,248.0,16.0,37,,,
hickmji02,1967,1,LAN,NL,0,0,1,0,0,0,0,6,2,1,1,0,0,0.0,4.0,0.0,0.0,0.0,0,7.0,1.0,1,,,
pettian01,1995,1,NYA,AL,12,9,31,26,3,0,0,525,183,81,15,63,114,0.0,4.0,3.0,8.0,1.0,1,745.0,1.0,86,,,
innisje01,1990,1,NYN,NL,1,3,18,0,0,0,1,79,19,7,4,10,12,0.0,2.0,3.0,1.0,1.0,1,104.0,12.0,9,,,
freemhe01,1957,1,CIN,NL,7,2,52,0,0,0,8,251,90,42,14,14,36,0.0,4.0,4.0,2.0,3.0,1,353.0,26.0,49,,,
jacksgr01,1972,1,BAL,AL,1,1,32,0,0,0,8,123,33,12,1,9,34,0.0,2.0,0.0,0.0,0.0,0,161.0,23.0,14,,,
herbera01,1958,1,KC1,AL,8,8,42,16,5,0,3,525,161,68,20,55,108,0.0,3.0,3.0,4.0,4.0,0,720.0,8.0,76,,,
murphto02,1972,2,KCA,AL,4,4,18,9,1,1,1,211,77,24,3,16,34,0.0,3.0,0.0,0.0,6.0,0,292.0,2.0,26,,,
harnipe01,1992,1,HOU,NL,9,10,34,34,0,0,0,620,182,85,18,64,164,0.0,3.0,3.0,4.0,5.0,1,859.0,0.0,92,,,
frascjo01,1999,2,TOR,AL,7,1,33,0,0,0,1,111,42,14,5,9,22,0.0,3.0,4.0,5.0,1.0,0,161.0,14.0,16,,,
richajr01,1976,1,HOU,NL,20,15,39,39,14,3,0,873,221,89,14,151,214,0.0,2.0,4.0,13.0,4.0,2,1218.0,0.0,105,,,
littema01,1979,1,SLN,NL,9,4,63,0,0,0,13,247,60,20,2,39,67,0.0,2.0,5.0,7.0,0.0,0,342.0,40.0,22,,,
bendech01,1904,1,PHA,AL,10,11,29,20,18,4,0,611,167,65,1,59,149,0.0,2.0,,5.0,4.0,0,834.0,8.0,90,,,
reedst01,1993,1,COL,NL,9,5,64,0,0,0,3,253,80,42,13,30,51,0.0,4.0,5.0,1.0,3.0,0,347.0,14.0,47,,,
nuxhajo01,1965,1,CIN,NL,11,4,32,16,5,1,2,446,142,57,18,31,117,0.0,3.0,2.0,3.0,3.0,1,601.0,6.0,57,,,
langsma01,1984,1,SEA,AL,17,10,35,33,5,2,0,675,188,85,16,118,204,0.0,3.0,5.0,4.0,8.0,2,965.0,0.0,99,,,
griffcl01,1914,1,WS1,AL,0,0,1,0,0,0,1,3,1,0,0,0,1,0.0,0.0,,0.0,0.0,0,4.0,1.0,0,,,
navarja01,2000,2,CLE,AL,0,1,7,2,0,0,0,44,20,13,3,5,9,0.0,7.0,0.0,0.0,1.0,0,69.0,1.0,13,,,
taffjo01,1913,1,PHA,AL,0,1,7,1,0,0,1,53,22,13,0,5,9,0.0,6.0,,0.0,0.0,0,80.0,5.0,13,,,
bynummi01,2004,1,SDN,NL,0,1,2,0,0,0,0,2,1,4,0,3,0,0.0,54.0,0.0,0.0,0.0,0,6.0,0.0,4,,,
bankswi01,1995,2,LAN,NL,0,2,6,6,0,0,0,87,36,13,2,16,23,0.0,4.0,2.0,4.0,1.0,1,138.0,0.0,21,,,
scarbra01,1950,2,CHA,AL,10,13,27,23,8,1,1,448,160,88,10,62,70,0.0,5.0,,4.0,4.0,0,658.0,3.0,95,,,
mahonmi01,1897,1,BSN,NL,0,0,1,0,0,0,0,3,3,2,0,1,1,0.0,18.0,,0.0,0.0,0,0.0,1.0,2,,,
krohru01,1910,1,CHN,NL,3,1,6,4,1,0,0,103,33,17,1,15,16,0.0,4.0,,0.0,2.0,0,147.0,1.0,19,,,
burrote01,1994,1,TEX,AL,0,0,1,0,0,0,0,3,1,1,1,1,0,0.0,9.0,0.0,0.0,0.0,0,5.0,0.0,1,,,
penajo01,1970,1,LAN,NL,4,3,29,0,0,0,4,171,51,28,8,29,31,0.0,4.0,5.0,1.0,3.0,1,251.0,15.0,32,,,
mcmurcr01,1989,1,TEX,AL,0,0,19,0,0,0,0,69,29,19,3,13,14,0.0,7.0,1.0,1.0,2.0,1,111.0,4.0,21,,,
pagejo01,1947,1,NYA,AL,14,8,56,2,0,0,17,424,105,39,5,72,116,0.0,2.0,,1.0,1.0,0,584.0,44.0,41,,,
byrneto01,1949,1,NYA,AL,15,7,32,30,12,3,0,588,125,81,11,179,129,0.0,3.0,,4.0,13.0,1,880.0,2.0,84,,,
mcquihu01,1926,1,NY1,NL,11,10,33,22,12,1,0,501,171,69,7,42,47,0.0,3.0,,2.0,1.0,0,690.0,5.0,72,,,
ramospe01,1962,1,CLE,AL,10,12,37,27,7,2,1,604,189,83,28,85,96,0.0,3.0,5.0,1.0,5.0,0,872.0,3.0,104,,,
russele01,1912,1,PHA,AL,0,2,5,2,1,0,0,52,18,14,1,14,9,0.0,7.0,,0.0,3.0,0,85.0,0.0,20,,,
dragodi01,1977,2,BAL,AL,6,3,36,0,0,0,3,119,49,16,2,15,20,0.0,3.0,4.0,0.0,1.0,0,182.0,22.0,19,,,
drisktr01,2005,1,HOU,NL,0,0,1,0,0,0,0,3,1,0,0,0,2,,0.0,0.0,0.0,0.0,0,4.0,1.0,0,,,
smithar01,1932,1,CHA,AL,0,1,3,2,0,0,0,21,17,9,1,4,1,0.0,11.0,,0.0,0.0,0,39.0,0.0,13,,,
nuxhajo01,1960,1,CIN,NL,1,8,38,6,0,0,0,336,130,55,8,27,72,0.0,4.0,6.0,3.0,4.0,0,482.0,5.0,58,,,
shueypa01,2003,1,LAN,NL,6,4,62,0,0,0,0,207,50,23,6,33,60,0.0,3.0,3.0,3.0,4.0,0,281.0,18.0,24,,,
hackmlu01,2001,1,SLN,NL,1,2,35,0,0,0,1,107,28,17,7,14,24,,4.0,0.0,1.0,2.0,1,149.0,8.0,18,,,
moorera02,1960,1,CHA,AL,1,1,14,0,0,0,0,62,19,13,5,11,3,0.0,5.0,0.0,0.0,0.0,0,89.0,3.0,13,,,
riverma01,1997,1,NYA,AL,6,4,66,0,0,0,43,215,65,15,5,20,68,0.0,1.0,6.0,2.0,0.0,0,301.0,56.0,17,,,
goodwi01,1905,1,NYA,AL,0,2,5,2,0,0,0,57,18,10,1,14,13,0.0,4.0,,2.0,0.0,0,0.0,3.0,17,,,
viaule01,1890,2,CL4,NL,4,9,13,13,13,1,0,321,101,40,4,42,30,0.0,3.0,,3.0,0.0,0,0.0,0.0,65,,,
hudsolu01,2006,1,KCA,AL,7,6,26,15,0,0,0,306,109,58,7,38,64,,5.0,1.0,6.0,4.0,0,440.0,1.0,62,,,
klinest02,1999,1,MON,NL,7,4,82,0,0,0,0,209,56,29,8,33,69,0.0,3.0,6.0,2.0,3.0,0,297.0,18.0,32,,,
halldi01,1971,1,BAL,AL,6,6,27,0,0,0,1,130,52,24,4,11,26,0.0,4.0,9.0,1.0,1.0,0,194.0,14.0,27,,,
frencla01,1939,1,CHN,NL,15,8,36,21,10,2,1,582,205,71,7,50,98,0.0,3.0,,5.0,1.0,0,828.0,11.0,80,,,
cerutjo01,1991,1,DET,AL,3,6,38,8,1,0,2,266,94,45,9,37,29,0.0,4.0,9.0,4.0,2.0,1,389.0,10.0,49,,,
pichero01,1961,1,ML1,NL,2,2,12,1,1,0,1,70,20,9,1,16,16,0.0,3.0,2.0,0.0,0.0,0,104.0,5.0,12,,,
applepe01,1936,1,WS1,AL,14,9,38,20,12,1,3,605,199,79,7,77,77,0.0,3.0,,5.0,3.0,0,868.0,17.0,94,,,
scottdi01,1901,1,CIN,NL,0,2,3,2,2,0,0,63,26,12,2,9,7,0.0,5.0,,0.0,3.0,0,0.0,1.0,15,,,
hoeftbi01,1966,2,SFN,NL,0,2,4,0,0,0,0,11,4,3,0,3,3,0.0,7.0,1.0,0.0,0.0,0,19.0,1.0,3,,,
pavanca01,2004,1,FLO,NL,18,8,31,31,2,2,0,667,212,74,16,49,139,0.0,3.0,13.0,2.0,11.0,3,909.0,0.0,80,,,
caligfr01,1941,1,PHA,AL,2,2,5,5,4,0,0,129,45,14,2,14,7,0.0,2.0,,0.0,0.0,0,192.0,0.0,22,,,
palmeem01,1926,1,WS1,AL,2,2,7,3,0,0,0,51,22,9,1,15,6,0.0,4.0,,1.0,1.0,0,85.0,3.0,15,,,
lawsobo01,1902,1,BLA,AL,0,2,3,2,1,0,0,39,21,7,0,3,5,0.0,4.0,,1.0,2.0,0,0.0,1.0,11,,,
russeje01,1991,1,TEX,AL,6,4,68,0,0,0,30,238,71,29,11,26,52,0.0,3.0,1.0,6.0,1.0,0,336.0,56.0,36,,,
foxenbi01,1910,1,PHI,NL,5,5,16,9,5,0,0,233,73,22,2,40,33,0.0,2.0,,2.0,3.0,1,315.0,6.0,30,,,
colomje01,2002,1,TBA,AL,2,7,32,0,0,0,0,124,56,38,6,33,33,,8.0,5.0,5.0,2.0,0,204.0,15.0,41,,,
clarkda02,1895,1,SLN,NL,1,6,7,7,7,0,0,183,91,50,7,26,9,0.0,7.0,,4.0,0.0,0,0.0,0.0,66,,,
poholto01,1954,1,SLN,NL,5,7,25,13,4,0,0,318,101,36,11,20,55,0.0,3.0,,0.0,4.0,1,434.0,9.0,43,,,
cvengmi01,1925,1,CHA,AL,3,9,22,11,4,0,0,314,109,50,7,55,32,0.0,4.0,,2.0,3.0,1,465.0,5.0,56,,,
shorera01,1948,1,SLA,AL,1,2,17,4,0,0,0,114,40,27,2,35,12,0.0,6.0,,4.0,4.0,0,190.0,6.0,30,,,
palmeda01,1979,1,MON,NL,10,2,36,11,2,1,2,368,110,36,10,30,72,0.0,2.0,7.0,2.0,2.0,0,502.0,13.0,41,,,
suttodo01,1975,1,LAN,NL,16,13,35,35,11,4,0,763,202,81,17,62,175,0.0,2.0,5.0,7.0,3.0,0,1031.0,0.0,87,,,
perkoha01,1947,1,CIN,NL,0,0,3,1,0,0,0,22,12,3,1,3,2,0.0,3.0,,0.0,0.0,0,35.0,1.0,3,,,
facero01,1955,1,PIT,NL,5,7,42,10,4,0,5,377,128,50,10,40,84,0.0,3.0,4.0,3.0,0.0,0,524.0,21.0,58,,,
pucketr01,1911,1,PHI,NL,0,0,1,0,0,0,0,6,4,3,0,2,1,0.0,13.0,,0.0,1.0,0,12.0,1.0,3,,,
raggibr01,1998,1,SLN,NL,1,1,4,1,0,0,0,21,22,12,1,3,3,,15.0,0.0,0.0,1.0,0,43.0,2.0,12,,,
pattere01,1981,1,CHA,AL,0,1,6,1,0,0,0,22,14,11,1,6,2,0.0,13.0,0.0,1.0,0.0,0,40.0,2.0,11,,,
