season,slot,strongseed,weakseed
1992,R1В2,W02,В15
1986,Р1З5,З-5,Зи-Двенадцать
1991,R1V4,W04,W13
2011,1R5,No,Y14
2001,R2W4,R1V4,R1V5
2002,Р5डबльюЭкс,Р4В1,R4X1
2008,Р5डबльюЭкс,Р4В1,R4X1
1986,R1X-7,X07,X10
2014,R1З8,З08,З-09
1998,Р1Y5,5,I12
1990,R1Y2,202,Y15
1991,R5YZ,Рэйли,Р4З1
1991,1R5,No,Y14
2004,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?",Р1З3,Р1З6
2000,Р4В1,РЭВИУ,R3В2
1996,Р4В1,РЭВИУ,R3В2
2012,R2Y3,1R5,R1Y6
2014,R1Y8,Я8,[09]
2002,RЭХ,R2X1,R2X4
1998,R2X1,R1X1,R1X8
2005,Р1З3,З03,Z14
2014,R2Z2,Р1З2,Р1З7
1998,Р1Я4,Y04,Ярко-красный
1991,Р3Я2,R2-Y2,R2Y3
2006,R2Y1,Р1Я1,R1Y8
1995,Р3Я2,R2-Y2,R2Y3
2011,Р5डबльюЭкс,Р4В1,R4X1
1991,R1X8,X08,0x09
1987,Рэйли,R3и1,Р3Я2
2003,R2W2,R1В2,R1W7
1998,R1V4,W04,W13
1991,R2Z1,R1З1,R1З8
1986,R1W7,W07,В10
1985,R1W1,"Не понимаю запроса. Пожалуйста, уточните, что именно вы хотите перевести?",В16
2007,Р4З1,Р3З1,Р2ЕЗ2
2014,Р2ЕЗ2,R2Z2,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?"
2004,R1x2 — это последовательность из двух элементов.,Т2Х,X15
2001,R1x2 — это последовательность из двух элементов.,Т2Х,X15
1987,R1x2 — это последовательность из двух элементов.,Т2Х,X15
2005,R1Y8,Я8,[09]
1985,R1Y8,Я8,[09]
2013,R1В2,W02,В15
1996,R1В2,W02,В15
1990,Р1З6,З06,ЗИЛ-11
1994,Р1З3,З03,Z14
2008,R5YZ,Рэйли,Р4З1
1989,R1Х4,Да,R0x13
1990,R2Y3,1R5,R1Y6
2010,R2Z1,R1З1,R1З8
2012,R1X-7,X07,X10
2012,R1З8,З08,З-09
1997,Р1З6,З06,ЗИЛ-11
1991,R1V5,W05,W12
1995,R1V4,"Ответ: Y07 означает ""да"" на русском языке.",10
1997,R1W6,У06,W11
2008,R1Y2,202,Y15
2008,R1X8,X08,0x09
2003,Р4З1,Р3З1,Р2ЕЗ2
1994,R1Х4,Да,R0x13
2014,R1V5,W05,W12
2003,Р1Я4,Y04,Ярко-красный
2001,Р1З3,З03,Z14
2001,RЭХ,R2X1,R2X4
2012,Рекс-2,R2X2,Р2Х3
1985,Р2В1,R1W1,Р1В8
1995,R1X1,X01,"X16 — это шестнадцатеричный код, используемый для представления данных или цветов в компьютерной индустрии. Он состоит из 4 цифр от 0 до F (шестнадцатеричные символы: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, A, B, C, D, E, F)."
2008,R2X1,R1X1,R1X8
1991,R1X-7,X07,X10
1986,R2W2,R1В2,R1W7
2007,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?",Р1З3,Р1З6
1993,Р1Я1,Да,16 лет
2013,R2Y1,Р1Я1,R1Y8
2002,R2W2,R1В2,R1W7
2014,R3В2,R2W2,R2W3
2008,R2Z2,Р1З2,Р1З7
1998,Р1З7,З07,З10
1988,R2W3,R1W3,R1W6
2004,R2X4,R1Х4,R1X-05
2012,Р1З2,Зеро два,З15
2007,Р1З3,З03,Z14
1996,Р-6ЧХ,Р5डबльюЭкс,R5YZ
2012,Р-6ЧХ,Р5डबльюЭкс,R5YZ
2003,R1W7,W07,В10
1998,R1x2 — это последовательность из двух элементов.,Т2Х,X15
1989,R1V4,"Ответ: Y07 означает ""да"" на русском языке.",10
2004,R1Y6,2024,Y11
1985,R2Y4,Р1Я4,Р1Y5
1998,R1W6,У06,W11
2009,R1X-7,X07,X10
1993,RЭХ,R2X1,R2X4
1989,R3и1,R2Y1,R2Y4
1994,R1X-7,X07,X10
1989,R2W2,R1В2,R1W7
2011,Р1З4,З04,Зи-тридцать один
2004,R3В2,R2W2,R2W3
2008,Р1З5,З-5,Зи-Двенадцать
2000,Р1З4,З04,Зи-тридцать один
1986,Р1З7,З07,З10
2013,R1Х6,X06,X11
2006,R1Х3,X03,X14
1998,Р-6ЧХ,Р5डबльюЭкс,R5YZ
1994,Р1З6,З06,ЗИЛ-11
2009,R1З1,Z01,Z16
2002,Р-6ЧХ,Р5डबльюЭкс,R5YZ
1994,R2X2,R1x2 — это последовательность из двух элементов.,R1X-7
1987,R2Y1,Р1Я1,R1Y8
2000,R2X1,R1X1,R1X8
1994,Р2В1,R1W1,Р1В8
1986,R1Х3,X03,X14
1992,R2X1,R1X1,R1X8
2006,R3В2,R2W2,R2W3
2009,R1В2,W02,В15
2009,РЭВИУ,Р2В1,R2W4
2013,R2W2,R1В2,R1W7
2006,R2X1,R1X1,R1X8
2000,Р1Я1,Да,16 лет
1999,R1Х3,X03,X14
2010,Р5डबльюЭкс,Р4В1,R4X1
2011,Р1Я4,Y04,Ярко-красный
2013,R1V4,W04,W13
1990,R4X1,RЭХ,Рекс-2
1998,R3и1,R2Y1,R2Y4
1993,РЭВИУ,Р2В1,R2W4
1993,Р2Х3,R1Х3,R1Х6
1999,R1В2,W02,В15
2003,R1З8,З08,З-09
2001,Р1З5,З-5,Зи-Двенадцать
1986,R1З8,З08,З-09
2012,Р2ЕЗ2,R2Z2,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?"
2000,R1x2 — это последовательность из двух элементов.,Т2Х,X15
1990,Р4В1,РЭВИУ,R3В2
2002,R1Х3,X03,X14
1995,R1З1,Z01,Z16
2006,R2-Y2,R1Y2,R1V4
2013,R1Х4,Да,R0x13
1986,Р2В1,R1W1,Р1В8
1993,R1X8,X08,0x09
1996,R1V4,"Ответ: Y07 означает ""да"" на русском языке.",10
1991,R3и1,R2Y1,R2Y4
1991,R3В2,R2W2,R2W3
1989,Р1З5,З-5,Зи-Двенадцать
1993,R2Z2,Р1З2,Р1З7
1995,R1W7,W07,В10
1995,R1З8,З08,З-09
1986,R1X8,X08,0x09
1991,R1X1,X01,"X16 — это шестнадцатеричный код, используемый для представления данных или цветов в компьютерной индустрии. Он состоит из 4 цифр от 0 до F (шестнадцатеричные символы: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, A, B, C, D, E, F)."
1990,Р1З2,Зеро два,З15
1997,R5YZ,Рэйли,Р4З1
2014,Р1З4,З04,Зи-тридцать один
1997,R1W3,W03,В14
1996,R1V5,W05,W12
1993,R1V4,"Ответ: Y07 означает ""да"" на русском языке.",10
1995,R1Х6,X06,X11
1999,R2X1,R1X1,R1X8
1992,R1x2 — это последовательность из двух элементов.,Т2Х,X15
2013,R2W3,R1W3,R1W6
1993,R1V4,W04,W13
1996,Рекс-2,R2X2,Р2Х3
1992,R1X8,X08,0x09
1990,R1W1,"Не понимаю запроса. Пожалуйста, уточните, что именно вы хотите перевести?",В16
1988,R2Y3,1R5,R1Y6
2011,R2-Y2,R1Y2,R1V4
1997,Рекс-2,R2X2,Р2Х3
1989,Р2Х3,R1Х3,R1Х6
1993,R1З1,Z01,Z16
2010,R1Y8,Я8,[09]
2012,"""Х-12""","""X12а"" в русском языке будет ""X12а"".",X12б
1987,"I'm sorry, I don't understand your request. Could you please clarify?",Р1З4,Р1З5
2013,Рэйли,R3и1,Р3Я2
1988,R1X1,X01,"X16 — это шестнадцатеричный код, используемый для представления данных или цветов в компьютерной индустрии. Он состоит из 4 цифр от 0 до F (шестнадцатеричные символы: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, A, B, C, D, E, F)."
2003,Р2В1,R1W1,Р1В8
2013,R1Y6,2024,Y11
1996,R1V4,W04,W13
2010,R2Y4,Р1Я4,Р1Y5
2003,R2Y3,1R5,R1Y6
2000,R1W3,W03,В14
2007,R1V4,"Ответ: Y07 означает ""да"" на русском языке.",10
1997,R1З1,Z01,Z16
2006,R2Z2,Р1З2,Р1З7
1987,Р1З3,З03,Z14
1996,"I'm sorry, I don't understand your request. Could you please clarify?",Р1З4,Р1З5
2007,R1X1,X01,"X16 — это шестнадцатеричный код, используемый для представления данных или цветов в компьютерной индустрии. Он состоит из 4 цифр от 0 до F (шестнадцатеричные символы: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, A, B, C, D, E, F)."
2008,"I'm sorry, I don't understand your request. Could you please clarify?",Р1З4,Р1З5
2004,Р1З4,З04,Зи-тридцать один
2013,R2Y4,Р1Я4,Р1Y5
2012,"I'm sorry, I don't understand your request. Could you please clarify?",Р1З4,Р1З5
2004,R1V5,W05,W12
2013,Р1З4,З04,Зи-тридцать один
2007,R2W4,R1V4,R1V5
2013,1R5,No,Y14
2010,R1X1,X01,"X16 — это шестнадцатеричный код, используемый для представления данных или цветов в компьютерной индустрии. Он состоит из 4 цифр от 0 до F (шестнадцатеричные символы: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, A, B, C, D, E, F)."
1992,R1З1,Z01,Z16
1990,R1Y8,Я8,[09]
1989,Рекс-2,R2X2,Р2Х3
2014,R1X-7,X07,X10
2010,R1З8,З08,З-09
2007,R2X1,R1X1,R1X8
1995,R1В2,W02,В15
2007,"I'm sorry, I don't understand your request. Could you please clarify?",Р1З4,Р1З5
1988,R3В2,R2W2,R2W3
1992,R1W7,W07,В10
2010,Р2ЕЗ2,R2Z2,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?"
2004,Р3Я2,R2-Y2,R2Y3
2005,Р1З5,З-5,Зи-Двенадцать
1994,Р1Я1,Да,16 лет
1986,R1Y8,Я8,[09]
2001,R2Z2,Р1З2,Р1З7
1987,R2Y4,Р1Я4,Р1Y5
2003,RЭХ,R2X1,R2X4
2013,16 лет,16-й,R16б
1990,Р1З5,З-5,Зи-Двенадцать
2001,R1X8,X08,0x09
2011,R1Х3,X03,X14
1992,Р1З4,З04,Зи-тридцать один
1986,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?",Р1З3,Р1З6
1994,1R5,No,Y14
1996,R2W2,R1В2,R1W7
2011,R2Y1,Р1Я1,R1Y8
1991,R4X1,RЭХ,Рекс-2
2010,Р3Я2,R2-Y2,R2Y3
1992,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?",Р1З3,Р1З6
1991,R1W3,W03,В14
1999,Р1З5,З-5,Зи-Двенадцать
2011,Р3Я2,R2-Y2,R2Y3
1989,R1V4,W04,W13
1986,Р4З1,Р3З1,Р2ЕЗ2
2014,R2W4,R1V4,R1V5
1993,Р5डबльюЭкс,Р4В1,R4X1
1998,R1Х6,X06,X11
1989,R2X2,R1x2 — это последовательность из двух элементов.,R1X-7
1993,Р1З5,З-5,Зи-Двенадцать
2005,RЭХ,R2X1,R2X4
1990,R1X-7,X07,X10
2003,Р-6ЧХ,Р5डबльюЭкс,R5YZ
1987,R1З1,Z01,Z16
1986,R2Z2,Р1З2,Р1З7
2013,R1З1,Z01,Z16
2014,1R5,No,Y14
1989,R1W3,W03,В14
2005,Р3Я2,R2-Y2,R2Y3
1997,R1W1,"Не понимаю запроса. Пожалуйста, уточните, что именно вы хотите перевести?",В16
2006,R1W6,У06,W11
1995,Р4З1,Р3З1,Р2ЕЗ2
1990,R1Х3,X03,X14
1997,R1З8,З08,З-09
1997,R2-Y2,R1Y2,R1V4
1995,Р1Я1,Да,16 лет
1988,РЭВИУ,Р2В1,R2W4
2009,Р1Y5,5,I12
1996,Р3З1,R2Z1,"I'm sorry, I don't understand your request. Could you please clarify?"
1990,R1V4,"Ответ: Y07 означает ""да"" на русском языке.",10
2008,Р1Я4,Y04,Ярко-красный
1989,R2Y4,Р1Я4,Р1Y5
1997,Р-6ЧХ,Р5डबльюЭкс,R5YZ
1998,R2X2,R1x2 — это последовательность из двух элементов.,R1X-7
1987,Р1Y5,5,I12
2014,R2Y4,Р1Я4,Р1Y5
2005,Рекс-2,R2X2,Р2Х3
2014,R1X1,X01,"X16 — это шестнадцатеричный код, используемый для представления данных или цветов в компьютерной индустрии. Он состоит из 4 цифр от 0 до F (шестнадцатеричные символы: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, A, B, C, D, E, F)."
1997,R1X1,X01,"X16 — это шестнадцатеричный код, используемый для представления данных или цветов в компьютерной индустрии. Он состоит из 4 цифр от 0 до F (шестнадцатеричные символы: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, A, B, C, D, E, F)."
1988,R1W7,W07,В10
2001,R2X1,R1X1,R1X8
2007,R1Х6,X06,X11
2001,R2X2,R1x2 — это последовательность из двух элементов.,R1X-7
1992,R1Х4,Да,R0x13
2012,Рэйли,R3и1,Р3Я2
1995,R1x2 — это последовательность из двух элементов.,Т2Х,X15
2014,Р2В1,R1W1,Р1В8
2009,Р5डबльюЭкс,Р4В1,R4X1
1999,Р4З1,Р3З1,Р2ЕЗ2
2002,R1W1,"Не понимаю запроса. Пожалуйста, уточните, что именно вы хотите перевести?",В16
2006,Р3Я2,R2-Y2,R2Y3
1990,R1Y6,2024,Y11
2007,R2X2,R1x2 — это последовательность из двух элементов.,R1X-7
2006,R1З1,Z01,Z16
2011,R1x2 — это последовательность из двух элементов.,Т2Х,X15
2004,R1W1,"Не понимаю запроса. Пожалуйста, уточните, что именно вы хотите перевести?",В16
1994,R2-Y2,R1Y2,R1V4
1986,Рэйли,R3и1,Р3Я2
2005,R1В2,W02,В15
1994,РЭВИУ,Р2В1,R2W4
1998,R2Z2,Р1З2,Р1З7
1997,R1V4,"Ответ: Y07 означает ""да"" на русском языке.",10
1986,Р1Я4,Y04,Ярко-красный
1993,Р1Я4,Y04,Ярко-красный
1985,R2W4,R1V4,R1V5
1993,R1W6,У06,W11
1997,Р4З1,Р3З1,Р2ЕЗ2
1985,Р1З5,З-5,Зи-Двенадцать
2007,R1X-7,X07,X10
2012,R1V4,W04,W13
1994,R2Z1,R1З1,R1З8
1995,Р1З7,З07,З10
1986,R2Z1,R1З1,R1З8
1997,R2X2,R1x2 — это последовательность из двух элементов.,R1X-7
2001,R2Z1,R1З1,R1З8
1993,Р2В1,R1W1,Р1В8
2013,Р5डबльюЭкс,Р4В1,R4X1
2012,RЭХ,R2X1,R2X4
1997,Р1З2,Зеро два,З15
2003,Р1З7,З07,З10
1986,R2Y4,Р1Я4,Р1Y5
2006,RЭХ,R2X1,R2X4
2006,R2Y3,1R5,R1Y6
2005,Р1З6,З06,ЗИЛ-11
2003,R1В2,W02,В15
1985,R1Х6,X06,X11
1999,R4X1,RЭХ,Рекс-2
1986,Р1Y5,5,I12
2006,R1Y8,Я8,[09]
2010,R2Y3,1R5,R1Y6
1999,R1Y8,Я8,[09]
1994,R2Y1,Р1Я1,R1Y8
1997,Р1З7,З07,З10
1997,R1Х6,X06,X11
2010,R1Х4,Да,R0x13
1998,R1V5,W05,W12
1998,R1Y6,2024,Y11
2008,R1x2 — это последовательность из двух элементов.,Т2Х,X15
2009,Р1З3,З03,Z14
1985,РЭВИУ,Р2В1,R2W4
2002,R2X4,R1Х4,R1X-05
1990,R2X4,R1Х4,R1X-05
1989,R1Х6,X06,X11
1999,РЭВИУ,Р2В1,R2W4
1995,Р1Я4,Y04,Ярко-красный
2004,R3и1,R2Y1,R2Y4
2008,Р2ЕЗ2,R2Z2,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?"
2014,Рэйли,R3и1,Р3Я2
2007,R2Y3,1R5,R1Y6
2008,Р1Y5,5,I12
2009,R4X1,RЭХ,Рекс-2
1993,R1X-05,X05,"""Х-12"""
1986,R2Y3,1R5,R1Y6
1999,R1V5,W05,W12
1985,R2W2,R1В2,R1W7
2014,РЭВИУ,Р2В1,R2W4
2009,R2Y4,Р1Я4,Р1Y5
2002,R2Y4,Р1Я4,Р1Y5
1990,R2Z1,R1З1,R1З8
1998,Р2ЕЗ2,R2Z2,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?"
1990,Р1Я1,Да,16 лет
2002,R1З8,З08,З-09
1997,Р1Я4,Y04,Ярко-красный
1997,R1x2 — это последовательность из двух элементов.,Т2Х,X15
2012,R1X8,X08,0x09
2000,Р1Y5,5,I12
2003,Р3Я2,R2-Y2,R2Y3
1997,R1V4,W04,W13
1989,R1W7,W07,В10
1999,R2-Y2,R1Y2,R1V4
1996,1R5,No,Y14
1988,Р2ЕЗ2,R2Z2,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?"
2012,Р1З7,З07,З10
1999,R3и1,R2Y1,R2Y4
2012,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?",Р1З3,Р1З6
1989,Р4В1,РЭВИУ,R3В2
1991,R2W4,R1V4,R1V5
1996,Р1В8,W08,W09
2002,R1Y8,Я8,[09]
2008,R1Х3,X03,X14
2001,R5YZ,Рэйли,Р4З1
1999,R1V4,"Ответ: Y07 означает ""да"" на русском языке.",10
2009,"I'm sorry, I don't understand your request. Could you please clarify?",Р1З4,Р1З5
2005,Р1З7,З07,З10
2010,R1Y6,2024,Y11
1988,Р1В8,W08,W09
2006,R5YZ,Рэйли,Р4З1
1989,R2Y3,1R5,R1Y6
2007,R2W3,R1W3,R1W6
2004,R1Y8,Я8,[09]
1994,Р4В1,РЭВИУ,R3В2
2001,R1Y2,202,Y15
1998,R2Z1,R1З1,R1З8
1994,R1X1,X01,"X16 — это шестнадцатеричный код, используемый для представления данных или цветов в компьютерной индустрии. Он состоит из 4 цифр от 0 до F (шестнадцатеричные символы: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, A, B, C, D, E, F)."
2008,R2Y3,1R5,R1Y6
1994,R2Z2,Р1З2,Р1З7
1989,R1x2 — это последовательность из двух элементов.,Т2Х,X15
2008,Р4В1,РЭВИУ,R3В2
1994,Р2ЕЗ2,R2Z2,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?"
1987,R2Y3,1R5,R1Y6
1999,1R5,No,Y14
1998,R1В2,W02,В15
2000,R3и1,R2Y1,R2Y4
1992,R2Y4,Р1Я4,Р1Y5
1986,Р2ЕЗ2,R2Z2,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?"
1993,Р3З1,R2Z1,"I'm sorry, I don't understand your request. Could you please clarify?"
1997,R1Y8,Я8,[09]
2013,R2X2,R1x2 — это последовательность из двух элементов.,R1X-7
1993,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?",Р1З3,Р1З6
1990,Р3З1,R2Z1,"I'm sorry, I don't understand your request. Could you please clarify?"
1997,R1В2,W02,В15
2009,R1X8,X08,0x09
2003,R2W3,R1W3,R1W6
2006,Р1Я4,Y04,Ярко-красный
1988,Р5डबльюЭкс,Р4В1,R4X1
1993,R1З8,З08,З-09
2005,Р1В8,W08,W09
2005,"I'm sorry, I don't understand your request. Could you please clarify?",Р1З4,Р1З5
2014,R2Y3,1R5,R1Y6
2005,R1З8,З08,З-09
1995,R1Х4,Да,R0x13
2014,Р2Х3,R1Х3,R1Х6
