playerid,yearid,teamid,lgid,round,pos,g,gs,innouts,po,a,e,dp,tp,pb,sb,cs
beckejo02,2008,BOS,AL,АЛДС1,П,1,1,15.0,0,0,0,0,0,,2.0,0.0
russebi01,1981,LAN,NL,НЛЦС,Стреловая звезда,5,5,132.0,10,15,0,3,0,,,
lopezja01,1996,ATL,NL,НЛЦС,С,7,6,160.0,48,3,0,0,0,0.0,0.0,1.0
sherrla01,1959,LAN,NL,ВИ,П,4,0,38.0,1,3,0,0,0,,0.0,0.0
fossera01,1975,OAK,AL,АЛКС,С,1,1,18.0,3,0,0,1,0,0.0,0.0,0.0
seitzke01,1996,CLE,AL,АЛДС1,1Б,1,1,21.0,7,1,1,1,0,,,
carrocl02,1972,CIN,NL,НЛЦС,П,2,0,8.0,0,1,0,0,0,,0.0,0.0
cummijo01,1995,LAN,NL,НЛДС2,П,2,0,4.0,0,0,0,0,0,,0.0,0.0
campabe01,1979,CAL,AL,АЛКС,Стреловая звезда,1,0,2.0,0,0,0,0,0,,,
rizzuph01,1949,NYA,AL,ВИ,Стреловая звезда,5,5,135.0,5,15,0,3,0,,,
nenro01,1997,FLO,NL,НЛДС1,П,2,0,6.0,0,0,0,0,0,,1.0,0.0
kuoho01,2006,LAN,NL,НЛДС1,П,1,1,13.0,0,0,0,0,0,,0.0,0.0
pryorgr01,1984,KCA,AL,АЛКС,3В,1,0,3.0,1,0,0,0,0,,,
myersra01,1990,CIN,NL,НЛЦС,П,4,0,17.0,0,0,0,0,0,,1.0,0.0
koskico01,2004,MIN,AL,ADLS2,3В,4,4,122.0,4,4,0,1,0,,,
luzingr01,1976,PHI,NL,НЛЦС,LF,3,3,72.0,6,0,0,0,0,,,
vanslan01,1985,SLN,NL,НЛЦС,ФМ,5,3,81.0,6,0,0,0,0,,,
martica01,1990,PIT,NL,НЛЦС,1Б,2,2,51.0,15,1,0,1,0,,,
morame01,1999,NYN,NL,НЛЦС,ФМ,2,1,52.0,3,2,0,0,0,,,
koosmje01,1973,NYN,NL,НЛЦС,П,1,1,27.0,0,0,0,0,0,,0.0,0.0
boggswa01,1990,BOS,AL,АЛКС,3В,4,4,102.0,6,10,0,2,0,,,
michaja01,2007,CLE,AL,ADLS2,ФМ,1,1,21.0,0,0,0,0,0,,,
morrija02,1992,TOR,AL,ВИ,П,2,2,32.0,0,1,0,0,0,,4.0,1.0
blausje01,1992,ATL,NL,НЛЦС,Стреловая звезда,7,7,171.0,8,17,2,1,0,,,
giambja01,2002,NYA,AL,АЛДС1,1Б,3,3,75.0,26,1,0,4,0,,,
noblera01,1951,NY1,NL,ВИ,С,2,0,9.0,0,1,0,0,0,0.0,0.0,1.0
varitja01,1998,BOS,AL,АЛДС1,С,1,1,24.0,5,0,0,0,0,2.0,1.0,0.0
leebi03,1981,MON,NL,НЛЦС,П,1,0,1.0,0,0,0,0,0,,0.0,0.0
johnsje01,1971,SFN,NL,НЛЦС,П,1,0,4.0,0,0,0,0,0,,0.0,0.0
chaveen01,2006,NYN,NL,НЛДС1,LF,2,0,27.0,2,0,0,0,0,,,
darkal01,1948,BSN,NL,ВИ,Стреловая звезда,6,6,156.0,7,12,3,1,0,,,
murphed02,1914,PHA,AL,ВИ,ФМ,4,4,111.0,4,0,0,0,0,,,
dreiscl01,1946,BOS,AL,ВИ,П,1,0,1.0,0,0,0,0,0,,0.0,0.0
shawkbo01,1926,NYA,AL,ВИ,П,3,1,30.0,0,1,0,0,0,,0.0,2.0
grichbo01,1974,BAL,AL,АЛКС,Двое,4,4,105.0,13,12,1,3,0,,,
demerla01,1974,PIT,NL,НЛЦС,П,2,0,3.0,0,1,0,0,0,,0.0,0.0
hamptmi01,2003,ATL,NL,НЛДС2,П,2,2,38.0,1,4,0,1,0,,0.0,0.0
etchean01,1970,BAL,AL,ВИ,С,2,2,54.0,10,0,1,0,0,0.0,0.0,0.0
dimagjo01,1938,NYA,AL,ВИ,CF,4,4,108.0,10,0,0,0,0,,,
walkedi02,1941,BRO,NL,ВИ,ФМ,5,5,132.0,14,0,0,0,0,,,
ericksc01,1996,BAL,AL,АЛКС,П,2,2,34.0,0,2,0,0,0,,2.0,0.0
hitchst01,1998,SDN,NL,НЛЦС,П,2,2,30.0,1,1,0,0,0,,2.0,0.0
marquja01,2005,SLN,NL,НЛЦС,П,3,0,16.0,0,0,1,0,0,,0.0,0.0
grichbo01,1979,CAL,AL,АЛКС,Двое,4,4,107.0,4,12,1,4,0,,,
