season,seed,team
1988,В07,1374
1992,З05,1104
1989,З05,1438
1993,З12,1203
1988,"Я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",1192
2000,В03,1329
2012,В11,1400
2004,16 лет,1251
2005,В12,1203
2006,Я10,1320
2001,Z07,1336
2003,З06,1166
1996,Я10,1328
1990,Зи13,1225
2002,З12,1281
2002,X07,1448
2011,2019,1459
2011,W06,1462
1991,З12,1453
1994,Я10,1268
1992,З-15,1204
1996,X08,1453
1997,Z14,1388
2003,X11,1423
1985,"Я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",1380
1992,Зо-02,1329
1992,7,1210
2007,6,1323
1996,X11,1409
2005,Y12,1330
2012,З12,1253
2007,X03,1401
2008,Z14,1208
1998,Z14,1172
2004,W13,1190
1995,2001,1242
2001,З10,1344
2006,З05,1449
2009,W09,1397
2003,В11,1335
1991,T15,1157
2000,"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вам нужно перевести?",1387
2007,X14,1335
2013,"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вам нужно перевести?",1281
2000,Зи13,1369
1993,В07,1308
2003,X03,1462
2005,8 августа,1390
1988,W14,1299
1998,X10,1452
1998,Я13,1434
1996,X14,1339
1989,Z07,1417
1986,7,1439
1991,8 августа,1210
2008,Зеро девять,1401
2010,Р-13,1373
1997,W16,1193
2009,В10,1278
2010,З03,1338
1990,X07,1208
1985,7,1412
2001,X01,1390
1998,X11,1304
2009,8 августа,1326
1988,X10,1429
2009,З05,1345
2013,X14,1322
1986,З03,1314
1998,02X,1153
2014,4,1257
2007,W02,1207
2000,Зи16,1238
1988,42,1257
2013,"Я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",1251
1990,T15,1419
2009,В08,1329
2012,Я13,1308
1996,W06,1314
1995,В08,1278
1989,02X,1231
2010,2001,1242
1992,X11,1378
2009,З10,1268
1990,W-15,1352
1996,X06,1257
1985,Z07,1323
2014,Йо́жеф Бьел́а,1276
2004,З05,1344
1991,Зи16,1285
2008,W13,1457
2000,В07,1332
1997,2003,1153
1989,6,1210
1997,В03,1307
1993,X10,1374
1994,В07,1412
1989,В12,1376
1985,"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вам нужно перевести?",1229
2005,02X,1329
1996,З-15,1354
2002,Зи13,1172
1990,"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вам нужно перевести?",1364
2006,Зо-02,1397
2008,Зо-02,1181
1998,4,1279
1992,W05,1281
2004,W05,1228
2013,8 августа,1161
1995,W14,1330
2014,В07,1163
1992,В07,1150
1993,В12,1403
2001,"Я не вижу запроса на перевод. Пожалуйста, предоставьте текст для перевода.",1457
2014,В01,1438
1998,2001,1242
1990,W04,1247
2013,В10,1160
1999,"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вам нужно перевести?",1329
2003,7,1231
1995,Зо-02,1314
1993,2019,1191
1989,Z14,1462
2000,X04,1397
1992,З03,1112
2002,2003,1338
2012,X01,1314
2007,З12,1228
1999,З10,1211
2010,X16b,1457
1992,4,1153
1994,В08,1450
1992,05,1177
1996,X03,1437
2000,Йо́жеф Бьел́а,1235
2010,"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вам нужно перевести?",1320
1986,Я10,1437
1988,Я10,1364
2000,З08,1458
1990,W16,1131
1985,Р-13,1361
2008,"Я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",1340
2010,X09,1257
1988,Йо́жеф Бьел́а,1246
2012,Я-15,1250
2001,Z14,1443
1989,Я13,1114
1995,З04,1328
1997,X09,1348
2006,Y12,1285
1997,2019,1139
2009,X07,1155
1995,2003,1345
2010,Я10,1210
1996,В07,1307
2007,W04,1400
1986,X11,1234
2010,X06,1323
2007,W13,1308
1991,7,1234
2006,З10,1371
2011,W13,1343
1991,Р-13,1293
1998,З08,1329
1999,Я11,1203
1985,W05,1374
1993,X01,1231
2001,02X,1235
2013,7,1166
1989,В08,1435
1997,7,1462
1995,З06,1207
1989,Йо́жеф Бьел́а,1393
2010,В10,1281
1990,X06,1462
1994,Зи13,1218
1987,Йо́жеф Бьел́а,1396
2000,X03,1326
2011,"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вам нужно перевести?",1330
2008,Йо́жеф Бьел́а,1400
1995,Йо́жеф Бьел́а,1116
2013,Z13b,1247
2008,Z07,1452
2009,X04,1211
1999,З11,1335
2014,З11,1304
1990,Я11,1431
1996,Зо-02,1242
1987,Я13,1462
1985,X08,1234
2014,W16,1157
1989,В01,1207
2010,2019,1325
2011,Я10,1277
1997,X06,1228
1986,2001,1246
2012,X07,1388
2003,X06,1268
2011,X04,1400
2001,Зи16,1106
1987,З08,1208
1992,X10,1140
2001,Я11,1462
2007,05,1397
2010,Зеро девять,1199
1991,X14,1309
2012,З08,1272
1988,W16,1250
2011,З06,1207
1997,4,1155
1999,2001,1120
1985,W-15,1273
2002,16В,1373
1994,8 августа,1228
2003,6,1281
2010,Y12,1308
1993,З01,1276
2005,З08,1278
1986,X07,1235
1991,Зеро девять,1435
2012,В07,1211
1993,В10,1304
1996,Зи16,1441
1993,2001,1246
2001,З11,1396
1996,W09,1390
2000,З10,1211
1985,З05,1268
2012,В12,1217
2011,X09,1397
2008,16В,1291
2005,6,1428
1998,З03,1276
1986,Зо-02,1257
1998,З06,1417
1991,05,1448
1985,16 лет,1299
1985,З12,1275
2001,W14,1381
1994,6,1400
1988,T15,1185
2013,Z07,1323
2002,З01,1153
2012,Зи16,1254
1995,З03,1277
2013,"Я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",1443
2002,X04,1228
1988,Я-15,1380
2001,Зо-02,1314
1989,X01,1112
2003,W05,1280
1994,Зеро девять,1458
1990,X03,1207
2007,З03,1338
2000,T15,1423
2001,42,1393
2007,Текущий час: 12:00 пп,1253
2002,В07,1301
2001,"Я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",1422
2005,X10,1388
1989,X03,1371
1994,W-15,1351
2009,Йо́жеф Бьел́а,1277
2003,З12,1454
1994,X09,1104
1985,В08,1396
1990,X09,1283
1998,"Я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",1311
2002,Я13,1423
2002,X09,1443
1986,8 августа,1443
1991,W02,1393
1991,З-15,1384
2000,В08,1242
1991,2001,1326
2002,З10,1218
2004,2003,1338
2011,"Я не вижу запроса на перевод. Пожалуйста, предоставьте текст для перевода.",1421
2013,В03,1266
2004,2019,1416
1991,02X,1231
1991,Я11,1163
1987,Z07,1431
2014,X11,1173
1986,16 лет,1172
1987,З10,1112
1986,W02,1393
2010,Зо-02,1243
2005,Р-13,1335
2003,"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вам нужно перевести?",1428
2006,02X,1417
1987,Зи13,1141
2005,Я10,1234
1993,З04,1210
1994,З11,1356
1989,В07,1452
2001,Зи13,1232
1997,"Я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",1238
1993,Я-15,1398
1997,З-15,1298
2010,З08,1211
1991,Я-15,1419
2007,Зи13,1221
1993,Йо́жеф Бьел́а,1371
2009,W06,1417
2010,4,1268
2001,З03,1196
2011,2001,1338
2009,2019,1295
2002,З05,1274
2010,W14,1285
2002,В03,1208
2007,4,1268
1985,W16,1250
1995,Z14,1451
1993,Z14,1129
1991,З06,1308
2011,X03,1163
2002,W13,1434
2004,W06,1314
2014,7,1400
1995,Z07,1235
1997,6,1235
1989,X08,1388
1991,Зи13,1375
2000,Я-15,1148
2014,T15,1184
2006,Z14,1293
2000,Текущий час: 12:00 пп,1429
1999,2019,1359
2011,Зо-02,1323
1989,З06,1104
2000,З12,1232
2014,X09,1338
2007,З11,1433
2005,W04,1257
1986,Y12,1462
1999,02X,1428
2002,Y12,1428
1990,Зо-02,1112
1998,X08,1397
1987,X01,1207
1990,2019,1320
1997,В07,1458
2000,З01,1112
2001,X09,1386
2011,16В,1427
2001,X06,1458
2013,Я11а,1292
1997,Я13,1275
2007,2019,1275
1998,Р-13,1429
1991,В07,1345
1985,Зо-02,1314
1998,Зи13,1139
1996,В08,1133
2013,X11,1278
1995,З08,1140
1992,2019,1293
1995,W16,1299
1995,"Я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",1198
1996,З03,1112
2000,Я13,1359
1999,8 августа,1393
1987,В11,1301
1996,Z07,1268
2004,X07,1177
2012,X03,1207
1995,Текущий час: 12:00 пп,1365
2010,В11,1449
1998,"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вам нужно перевести?",1293
1997,X04,1112
1998,42,1395
2012,"Я не вижу запроса на перевод. Пожалуйста, предоставьте текст для перевода.",1443
1986,Р-13,1403
2014,X07,1307
1985,X04,1424
1986,З05,1268
2011,Z11a,1425
2004,Я11,1350
1993,W-15,1164
2000,42,1246
1992,Текущий час: 12:00 пп,1308
2011,W05,1452
1994,X06,1266
2013,З05,1458
2008,Y12,1396
2009,"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вам нужно перевести?",1373
2004,В08,1371
2014,X04,1417
2011,W12а,1155
