abbreviation,name,city,country,province,established
Меконг Групп,Группа развития бассейна Меконг-АСЕАН,,,,1995-12-01
ЗС,Комитет Занггера,,,,
Лая,Ассоциация интеграции Латинской Америки,Монтовидео,RUB,Уругвай,1980-08-12
ПРООН,Силы по защите ООН,Нью-Йорк,США,Нью-Йорк,1992-02-28
АМУ,Объединение арабских стран Магриба,Рабат,М,Марокко,1989-02-17
ЦЕЗА,Экономическое сообщество центральноафриканских государств,Либревиль,"Добро пожаловать в Cohere! Я ваш верный помощник, готовый помочь с любыми задачами на английском и русском языках. Как я могу вам помочь сегодня?",Габон,1983-10-18
Экономическое сообщество стран Западной Африки,Экономическое сообщество стран Западной Африки,Лагос,ВАН,Нигерия,1975-05-28
О AU,Организация африканского единства,Аддис-Абеба,ЭФИР,Эфиопия,1963-05-25
МКС,Международный коммерческий фонд,Париж,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Иль-де-Франс,1919-01-01
C,Содружество,Лондон,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Большой Лондон,1931-12-31
Выход,Экономическая и социальная комиссия для Азии и Тихого океана,Бангкок,А,Таиланд,1947-03-28
АСРИТ,Азиатско-Тихоокеанское экономическое сотрудничество,Сингапур,СГП,Сингапур,1989-11-07
ИФК,Международный банк развития,Вашингтон,США,Дистрикт Колумбия,1955-05-25
АФЕСД,Арабский фонд экономического и социального развития,,,,1968-05-16
КАЕУ,Совет арабского экономического единства,Амман,[Джор],Иордания,1957-06-03
ЦП,Коломбо-план,Коломбо,КЛ,Шри-Ланка,1951-07-01
УДЕАК,Центральноафриканское таможенное и экономическое сообщество,Банги,АВТ,Центральная Африканская Республика,1964-12-08
Учет,Агентство по культурному и техническому сотрудничеству,Париж,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Иль-де-Франс,1970-03-21
Меркоусур,Южно-конный общий рынок,Буенос-Айрес,Р,Федеральный округ,1991-03-26
Г-77,Группа 77,,,,1967-10-01
Г-8,Группа из 8,,,,1975-10-01
Г-7,Группа Семьи,,,,1985-09-22
ВМО,Всемирная метеорологическая организация,Жевен,Ч,ГЕ,1947-10-11
РГ,Рио Груп,,,,1988-01-01
ОПЕК,Организация стран-экспортеров нефти,Вена,А,Вена,1960-09-14
ОЕКС,Организация восточно-карибских государств,Кастри,ВЛ,Сент-Люсия,1981-06-18
МНИООН,Миссия Организации Объединенных Наций в Гаити,Нью-Йорк,США,Нью-Йорк,1993-09-23
ВФАО,Международный фонд сельскохозяйственного развития,Рим,я,Лазио,1974-11-01
Н/Д,"Рабочий перевод:
Совет Северной Европы",Стокгольм,Добро пожаловать в Киберпанк 2077! Как я могу вам помочь?,Стокгольм,1952-03-16
UNМОГИП,Группа военных наблюдателей Организации Объединенных Наций в Индии и Пакистане,Нью-Йорк,США,Нью-Йорк,1948-08-13
Г-9,Группа из 9 человек,,,,
ООН,Организация Объединенных Наций,Нью-Йорк,США,Нью-Йорк,1945-06-26
НАМ,Движение неприсоединения,Джакарта,РИ,Индонезия,1961-09-01
CBS,Совет государств Балтийского моря,,,,1992-03-05
AДБ,Восточноафриканский банк развития,Кампала,ВЭА,Уганда,1967-06-06
ЮНЕСКО,"Организация Объединенных Наций по вопросам образования, науки и культуры",Париж,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Иль-де-Франс,1945-11-16
БДИ,Банк развития исламской экономики,Джидда,СА,Саудовская Аравия,1973-12-15
ОАПЕК,Организация арабских стран-экспортеров нефти,,,,1968-01-09
ООНПТ,Организация по контролю за прекращением огня ООН,Иерусалим,Ял,Центральный,1948-05-01
ВТО,Всемирная торговая организация,,,,1994-04-15
Непредеп,Сила по предотвращению развертывания Организации Объединенных Наций,,,,1995-03-31
Интесат,Международная организация спутникового связи,Вашингтон,США,Дистрикт Колумбия,1971-08-20
УНОМИЛ,Миссия наблюдателей ООН в Либерии,Нью-Йорк,США,Нью-Йорк,1993-09-22
УНИТАР,Институт подготовки персонала и обучения при Организации Объединенных Наций,,,,1963-12-11
SPФ,Форум Южной Тихого океана,Суву,Фиджи,Фиджи,1971-08-05
Г-5,Группа из 5,,,,1985-09-22
ЦЕИ,Центральная европейская инициатива,Будапешт,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Будапешт (город),1991-07-27
Инмarsáт,Международная организация спутниковой связи,Лондон,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Большой Лондон,1976-09-03
МВФ,Международный валютный фонд,Вашингтон,США,Дистрикт Колумбия,1944-07-22
БЦЕ,Центральный банк для экономического интегрирования в Центральной Америке,Тегусигальпа,ХКГ,Франсиско Моразан,1960-12-13
НИБ,Нордический инвестиционный банк,Гельсинки,SF,Уусимаа,1975-12-04
УВКБ ООН,Управление Верховного комиссара ООН по делам беженцев,Жевен,Ч,ГЕ,1949-12-03
Международное энергетическое агентство,Международное агентство по энергии,Париж,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Иль-де-Франс,1974-11-15
ВТО,Всемирная организация интеллектуальной собственности,Жевен,Ч,ГЕ,1967-07-14
Международная организация гражданской авиации,Международная организация гражданской авиации,Монреаль,КДН,Квебек,1944-12-07
НАТО,Североатлантический договор,Брюссель,В,Прованс,1949-09-17
BSЕО,Зона экономического сотрудничества Черного моря,,,,1992-06-25
ВЕУ,Западноевропейское объединение,Брюссель,В,Прованс,1954-10-23
Интерпол,Международная организация уголовной полиции,Лион,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Рона-Альпы,1956-06-13
ЭКО,Организация экономического сотрудничества,Тегеран,Ярко,Тегеран,1985-01-01
БИС,Банк международных расчетов,Басель,Ч,bs,1930-01-20
UNРWA,Ближневосточное агентство ООН по помощи и работам для палестинских беженцев,Вена,А,Вена,1949-12-08
УНМОТ,Миссия наблюдателей Организации Объединенных Наций в Таджикистане,Нью-Йорк,США,Нью-Йорк,1994-12-16
ОАС,Организация американских государств,Вашингтон,США,Дистрикт Колумбия,1948-04-30
Европейский инвестиционный банк,Европейский банк инвестиций,Люксембург,Л,Люксембург,1957-03-25
МЭТ,Международный союз электросвязи,Жевен,Ч,ГЕ,1932-12-09
Кто?,Всемирная организация здравоохранения,Жевен,Ч,ГЕ,1946-07-22
ФРОНТЕКС,Операция Организации Объединенных Наций по восстановлению доверия в Хорватии,Нью-Йорк,США,Нью-Йорк,1995-03-31
ОЭСР,Организация экономического сотрудничества и развития,Париж,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Иль-де-Франс,1960-12-14
УНАМИР,Миссия ООН по оказанию помощи Руанде,Нью-Йорк,США,Нью-Йорк,1993-10-05
