sea,country,province
Тихоокеанский океан,"""I'm not sure what you mean,"" she replied, her eyes widening slightly at his tone. ""Of course I believe you—I would never doubt your word. But it's just so unexpected."" She paused for a moment, as if gathering her thoughts, before continuing in a softer voice. ""I don't know why he would say such a thing to me out of the blue like that. It's not like him at all.""",Кагосима
Атлантический океан,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Галисия
Средиземное море,ТР,Айдин
Андаманское море,МЯ,Баго
Красный море,[Джор],Иордания
Средиземное море,ТР,Измир
Атлантический океан,П,Лиссабон
Карибское море,GCA,Гватемала
Тихоокеанский океан,Австралия,Тасмания
Андаманское море,МЯ,Понедельник
Индийский океан,Индия,Тамилнад
Балтийское море,Добро пожаловать в Киберпанк 2077! Как я могу вам помочь?,Содермане
Атлантический океан,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Пуаутен Шаренте
Атлантический океан,КДН,Нью-Брансуик
Атлантический океан,Ваг,Гамбия
Тихоокеанский океан,"Извините, я не понимаю ваш запрос. Можете ли вы повторить ваш запрос на английском языке?",Эль-Сальвадор
Балтийское море,Добро пожаловать в Киберпанк 2077! Как я могу вам помочь?,Кристиансанд
Тихоокеанский океан,ХКГ,Хольютека
Тихоокеанский океан,Р,Сахалинская область
Средиземное море,"Добро пожаловать в GR! Я готов помочь вам с переводом или ответить на любые вопросы, которые у вас могут возникнуть. Пожалуйста, предоставьте текст, который нужно перевести, и я сделаю это как можно более точно и естественно звучащим по-русски.",Стереа Эллас
Атлантический океан,Анг,Луза
Южная Китайская затока,Хонкс,Гонконг
Гольфстрем,C,Пинар-дель-Рио
Средиземное море,ЭТ,Измайло
Карибское море,К,Магдалена
Средиземное море,АЛ,Албания
Карибское море,К,Чоко
Тихоокеанский океан,"Сегодня среда, 24 апреля 2024 года.",Самоа
Балтийское море,SF,Ту́ρκу-Пори
Карибское море,C,Пинар-дель-Рио
Индийский океан,Коко,Острова Кокоса
Средиземное море,Ял,Север
Средиземное море,ТР,Баликесир
Канал,Okay.,Джерси
Атлантический океан,САВ,Западная Сахара
Карибское море,ПА,Кольца
Атлантический океан,Анг,Намибе
Северное море,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Тайн и Уэр
Карибское море,В,Федеральный округ
Тихоокеанский океан,США,Гавайи
Тихоокеанский океан,ПЭ,Пять
Тихоокеанский океан,ВУ,Вануат
Балтийское море,ДК,Дания
Балтийское море,ПЛ,Эльблацкое
Норвежское море,"Да, конечно! Я всегда рад помочь. Какой текст вы хотите перевести?",Северная Тронхеймская область
Тихоокеанский океан,ПИТЦ,Острова Питкэрн
Чёрное море,UA,Крым
Арабское море,ПК,Пакистан
Атлантический океан,КДН,Северо-Западные территории
Малаккский пролив,МАЛ,Кедах
Гольфстрем,США,Миссисипи
Красный море,СА,Саудовская Аравия
Карибское море,Западная Вирджиния,Сент-Винсент и Гренадины
Северное море,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Саффолк
Карибское море,КР,Лимон
Индийский океан,РМ,Антананариво
Ирландское море,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Свонси
Красный море,ДЖИ,Диджибути
Восточное Китайское море,"""I'm not sure what you mean,"" she replied, her eyes widening slightly at his tone. ""Of course I believe you—I would never doubt your word. But it's just so unexpected."" She paused for a moment, as if gathering her thoughts, before continuing in a softer voice. ""I don't know why he would say such a thing to me out of the blue like that. It's not like him at all.""",Окинава
Атлантический океан,СН,Тиес
Красный море,Да,Йемен
Атлантический океан,ПР,Пуэрто-Рико
Малаккский пролив,СГП,Сингапур
Сибирское море,Р,Красноярский край
Тихоокеанский океан,Мексика,Баха-Каліфорния
Атлантический океан,Б,Сан-Паулу
Северный Ледовитый океан,США,Аляска
Каттегат,Добро пожаловать в Киберпанк 2077! Как я могу вам помочь?,Готеборг и Бохус
Карибское море,Кайм,Каймановы острова
Персидский залив,Ярко,Бушер
Моро-Нуса-Тенгара,РИ,Индонезия
Карибское море,В,Сапсан
Атлантический океан,Б,Пара
Сибирское море,Р,Магаданская область
Атлантический океан,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Внешние Гебридские острова
Балтийское море,Добро пожаловать в Киберпанк 2077! Как я могу вам помочь?,Норрботтен
Норвежское море,"Да, конечно! Я всегда рад помочь. Какой текст вы хотите перевести?",Финнмарк
Северный Ледовитый океан,Р,Магаданская область
Балтийское море,Р,Калиннинградская область
Индийский океан,Австралия,Новый Южный Уэльс
Атлантический океан,П,Лейрия
Норвежское море,"Да, конечно! Я всегда рад помочь. Какой текст вы хотите перевести?",Согн и Фьордана
Северное море,"Да, конечно! Я всегда рад помочь. Какой текст вы хотите перевести?",Хордаланд
Восточное Китайское море,"""I'm not sure what you mean,"" she replied, her eyes widening slightly at his tone. ""Of course I believe you—I would never doubt your word. But it's just so unexpected."" She paused for a moment, as if gathering her thoughts, before continuing in a softer voice. ""I don't know why he would say such a thing to me out of the blue like that. It's not like him at all.""",Кагосима
Атлантический океан,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Страна Басков
Андаманское море,А,Таиланд
Северное море,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Хамберсид
Персидский залив,Ярко,Хузестан
Красный море,ЭР,Эритрея
Персидский залив,ОАЭ,Аджман
Средиземное море,"Добро пожаловать в GR! Я готов помочь вам с переводом или ответить на любые вопросы, которые у вас могут возникнуть. Пожалуйста, предоставьте текст, который нужно перевести, и я сделаю это как можно более точно и естественно звучащим по-русски.",Дхитики Эллас
Атлантический океан,П,Сетубал
Балтийское море,SF,Лаппия
Балтийское море,ПЛ,Щецинские
Балтийское море,Р,Санкт-Петербург
Южная Китайская затока,БРУ,Бруней
Ирландское море,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Ланкашир
Балтийское море,SF,Уусимаа
Карибское море,К,Сукре
Тихоокеанский океан,ЕВ,Эквадор
Южная Китайская затока,ТЖ,Гуанчжоу
Карибское море,К,Атлантико
Индийский океан,МOC,Софала
Малаккский пролив,МАЛ,Джохор
Индийский океан,ПК,Пакистан
Ирландское море,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Северная Ирландия
Тихоокеанский океан,НАУ,Науру
Сибирское море,Р,Тюменская область
Средиземное море,ЭТ,Матурух
Тихоокеанский океан,Мексика,Кольяма
Карибское море,ПР,Пуэрто-Рико
Индийский океан,РМ,Фианарантсоа
Северное море,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Эссекс
Оманский залив,ОАЭ,Аль-Фуджайра
Атлантический океан,Р,Рио-Негро
Атлантический океан,КДН,Остров Принца Эдуарда
Атлантический океан,МНТ,Монсеррат
Балтийское море,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Литва
Средиземное море,я,Кампания
Индийский океан,Ешь,Мтвара
Северное море,В,Западфландрия
Средиземное море,я,Сицилия
Чёрное море,Ро,Тулча
Индийский океан,Ешь,Пани
Тихоокеанский океан,АМСА,Американская Самоа
Средиземное море,"Добро пожаловать в GR! Я готов помочь вам с переводом или ответить на любые вопросы, которые у вас могут возникнуть. Пожалуйста, предоставьте текст, который нужно перевести, и я сделаю это как можно более точно и естественно звучащим по-русски.",Кедрики Македония
Средиземное море,ЛАР,Ливия
Карибское море,Мексика,Куэнтана-Роо
Атлантический океан,C,Ци́го де Авила
Средиземное море,я,Лигурия
Канал,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Гэмпшир
Тихоокеанский океан,КР,Гуанакасте
Средиземное море,ЭТ,Восточный
Тихоокеанский океан,КДН,Территория Юкон
Атлантический океан,СВАХ,Шпицберген
Атлантический океан,C,Гуантанамо
Карибское море,БВИР,Британские Виргинские острова
Средиземное море,ЭТ,Кафр-эль-Шейх
Карибское море,В,Новая Спарта
Атлантический океан,Б,Сан-Катарина
Гольф Бенгальский,БД,Бангладеш
Атлантический океан,РТ,Того
Северное море,"Да, конечно! Я всегда рад помочь. Какой текст вы хотите перевести?",Согн и Фьордана
Атлантический океан,П,Алгарве
Северное море,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Оркнейские острова
Атлантический океан,П,Азоры
Средиземное море,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Курсы
Средиземное море,HR,Хорватия
Чёрное море,Ро,Константина
Атлантический океан,В реальной жизни,Ирландия
Южная Китайская затока,ТЖ,광시 쭈잉족 자치구
Атлантический океан,Б,Дух Святой
Карибское море,ГУАД,Гваделупа
Тихоокеанский океан,"""I'm not sure what you mean,"" she replied, her eyes widening slightly at his tone. ""Of course I believe you—I would never doubt your word. But it's just so unexpected."" She paused for a moment, as if gathering her thoughts, before continuing in a softer voice. ""I don't know why he would say such a thing to me out of the blue like that. It's not like him at all.""",Окинава
Канал,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Дэвон
Атлантический океан,ХЭЛКС,Сан-Хелена
