mountain,country,province
Рувензори,ЗРЕ,Киву
Псилоритис,ГР,Крит
Пико-де-Тейде,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Канарские острова
Ринджани,Ри,Индонезия
Табана Нтленяна,ЛЭ,Lesото
Монт Блан,Ф,Рена Альпы
Фако,КАМ,Южный Запад
Джабал Катрина,ПТ,Южный Син
Элгон,Eак,Западный
Рувензори,ВЭА,Уганда
Царатанана,РМ,Анциранана
Ойос-дель-Саладо,РХЧ,Чили
Пика Джейя,Ри,Индонезия
Маунт Рейнир,США,Вашингтон
Монте Писси,А,Ла-Риоха
Ораефайёкалл,Что?,Исландия
Кингс-Пик,США,Юта
Попо-манасеу,SLБ,Соломоновые Острова
Шнеекоппе,ПЛ,Вальбжижское
Тамгак,РН,Нигер
Джабал-Шуайб,Да,Ямен
Глиттертинд,"""No additional text provided.""",Опланд
Кинабалу,МАЛ,Сабах
Монте-Роза,Ч,Вएस
Нангапараبات,ПК,Пакистан
Тирих Ми́р,Афг,Афганистан
Питон д'Эшля,Вернуться,Реюнион
Церо де Пунта,ПР,Пуэрто-Рико
Олимпос,Ц,Кипр
Фудзи-сан,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Шизоку
Пик Чандренгири,KGZ,Киргизстан
Халеакала,США,Гавайи
Пинатубо,RP - ролевая игра,Филиппины
Грани Сассо,я,Абруццо
Мт-Вудстон,КЭН,Британская Колумбия
Широкая гора,ПК,Пакистан
Мт Редаут,США,Аляска
Мерапи,Ри,Индонезия
Тахан,МАЛ,Келантан
Пуй-де-Дом,Ф,Аверин
Концепсьон,НИК,Никарагуа
Хотака-Дакэ,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Нагано
Руапеху,Новая Зеландия,Новая Зеландия
Гора Кук,Новая Зеландия,Новая Зеландия
Монте Писси,А,Тукуман
Зугспитц,Д,Бавария
Семеру,Ри,Индонезия
Пулог,RP - ролевая игра,Филиппины
Гора Борах,США,Идахо
Пико Базили,Гвоздика,Экваториальная Гвинея
Кракатау,Ри,Индонезия
Ллулакаго,А,Тукуман
Арарат,Транслитерация,Агра
Клингманс-Дом,США,Теннесси
Рас Дашчан Терара,ЭФТ,Эфиопия
Монте-Фальтерона,я,Эмилия-Романья
Пико Христофор Колумб,КоА,Магдалена
Аконкагуа,А,Мендоса
Силиси,"Пожалуйста, предоставьте текст для перевода, и я с радостью выполню вашу просьбу.",Самоа
Церо Чирипо,CR,Карфаген
Мармолада,я,Трентино-Альто-Адидже
Маут Аддамс,США,Вашингтон
Молдову,Р,Сибиу
Блекберн,США,Аляска
Чангабэйшань,Нет,Северная Корея
Котопакси,КЭ,Эквадор
Пико-де-лос-Ньевес,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Канарские острова
Кения,Eак,Восточный
Финстерерарн,Ч,БЕ
Канаон,RP - ролевая игра,Филиппины
Чоё,НЕП,Непал
Монте-Фальтерона,я,Тоскана
Гора Апо,RP - ролевая игра,Филиппины
Мт Маккинли,США,Аляска
Олимпиада,ГР,Кедрики Македония
Андрингитра,РМ,Фианарантсоа
Торре-де-Церредо,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Астурия
Тахан,МАЛ,Паханг
Народная,r,Республика Коми
Чангабэйшань,ТЖ,Джилин
Гуни Биния,Ри,Индонезия
Джабал Мара,Суд,Дарфур
Мт Логэн,КЭН,Юконский край
