country,independence,dependent,government
Ниуэ,1974-10-19,,"самоуправляемая территория, находящаяся в свободной ассоциации с Новой Зеландией"
r,1991-08-24,,Федор
РМ,1960-06-26,,Республика
Гуам,,США,организованный
БФ,1960-08-05,,парламентский
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",1492-01-01,,парламентская монархия
TM,1991-10-27,,Республика
Запад,,,
НЕТ ПЕРЕВода,1991-12-01,,Республика
Н,1983-09-19,,конституционная монархия
А,1918-11-12,,Федеративная Республика
Даунтаун,1945-09-02,,Коммунистическое государство
ХСА,1821-09-15,,Республика
ИР,1979-04-01,,теократическая республика
СИ,1976-06-29,,Республика
НAU,1968-01-31,,Республика
Дом,1844-02-27,,Республика
