country,gdp,agriculture,service,industry,inflation
НЛ,301900.0,3.4,26.9,69.7,2.25
М,4400.0,,,,5.0
Западная Вирджиния,240.0,24.0,33.1,42.9,-0.2
Есть,23100.0,58.0,8.0,34.0,25.0
П,116200.0,6.0,35.8,58.2,4.6
Лаос,5200.0,50.0,17.0,33.0,20.0
Австралия,405400.0,3.1,27.7,69.2,4.75
GBG,,,,,7.0
ТЖ,3500000.0,19.0,48.0,33.0,10.1
В,,,,,
MACX,220400.0,0.1,2.8,97.1,6.2
ВИРГ,1200.0,,,,
ЦИ,21900.0,37.0,24.0,39.0,10.0
МНГ,4900.0,28.0,35.0,37.0,53.0
ЧЧ,3300.0,49.0,17.0,34.0,41.0
Мएस,10900.0,,,,9.4
Резюме,440.0,13.0,17.0,70.0,5.0
АЛ,4100.0,55.0,,,16.0
Афг,12800.0,65.0,15.0,20.0,
BRN,7300.0,,,,3.0
