playerid,yearid,stint,teamid,lgid,w,l,g,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,baopp,era,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,gidp
lopezro01,2002,1,BAL,AL,15,9,33,28,1,0,0,590,172,78,23,62,136,,3.0,4.0,2.0,5.0,1,809.0,0.0,83,,,
madsory01,2010,1,PHI,NL,6,2,55,0,0,0,5,159,42,15,4,13,64,,2.0,3.0,2.0,4.0,0,217.0,21.0,16,,,
mccabdi01,1922,1,CHA,AL,1,0,3,0,0,0,0,10,4,2,0,0,1,0.0,5.0,,0.0,0.0,0,13.0,2.0,2,,,
ferryja01,1911,1,PIT,NL,6,4,26,8,4,1,3,257,83,30,3,27,32,0.0,3.0,,4.0,2.0,0,348.0,14.0,35,,,
cainma01,2010,1,SFN,NL,13,11,33,33,4,2,0,670,181,78,22,61,177,,3.0,4.0,8.0,4.0,0,896.0,0.0,84,,,
bauerri01,2006,1,TEX,AL,3,1,58,1,0,0,2,213,73,28,4,25,35,,3.0,0.0,3.0,4.0,0,302.0,19.0,31,,,
kaatji01,1977,1,PHI,NL,6,11,35,27,2,0,0,481,211,96,20,40,55,0.0,5.0,6.0,2.0,2.0,0,709.0,3.0,100,,,
jarvipa01,1973,1,MON,NL,2,1,28,0,0,0,0,118,37,14,6,16,19,0.0,3.0,4.0,1.0,1.0,0,168.0,7.0,21,,,
taberjo01,1890,1,BSN,NL,0,1,2,1,1,0,1,39,11,6,0,8,3,0.0,4.0,,0.0,0.0,1,0.0,1.0,8,,,
hallch02,1909,1,BOS,AL,6,4,11,7,3,0,0,179,59,17,0,17,27,0.0,2.0,,0.0,3.0,0,238.0,4.0,24,,,
cheneto01,1963,1,WS2,AL,8,9,23,21,7,4,0,409,99,41,14,40,97,0.0,2.0,3.0,0.0,1.0,0,542.0,1.0,51,,,
wolteha01,1909,1,BOS,AL,4,4,11,6,0,0,0,177,66,23,0,30,21,0.0,3.0,,3.0,4.0,0,222.0,4.0,25,,,
thomale01,1925,1,WS1,AL,0,2,2,2,1,0,0,39,14,3,0,7,10,0.0,2.0,,2.0,0.0,0,61.0,0.0,8,,,
eastoja01,1891,1,CL6,AA,5,10,18,16,13,0,0,406,145,68,3,59,52,,4.0,,15.0,0.0,0,,,111,,,
flanami01,1983,1,BAL,AL,12,4,20,20,3,1,0,376,135,46,10,31,50,0.0,3.0,2.0,1.0,2.0,0,528.0,0.0,53,,,
ryanke01,1995,1,BOS,AL,0,4,28,0,0,0,7,98,34,18,4,24,34,0.0,4.0,6.0,1.0,1.0,0,153.0,20.0,20,,,
honeyri01,1997,1,SLN,NL,0,0,2,0,0,0,0,6,5,3,0,1,2,0.0,13.0,0.0,1.0,0.0,1,11.0,2.0,3,,,
beckmji01,1927,1,CIN,NL,0,1,4,1,0,0,0,37,18,8,2,6,0,0.0,5.0,,0.0,1.0,0,62.0,3.0,10,,,
galveba01,1986,1,LAN,NL,0,1,10,0,0,0,0,62,19,9,3,12,11,0.0,3.0,2.0,0.0,0.0,2,91.0,2.0,10,,,
hoeftbi01,1965,1,CHN,NL,2,2,29,2,1,0,1,154,41,16,3,20,44,0.0,2.0,2.0,0.0,0.0,0,217.0,7.0,21,,,
belinst01,1993,2,KCA,AL,1,1,23,0,0,0,0,82,30,13,2,6,25,0.0,4.0,0.0,2.0,1.0,0,116.0,7.0,13,,,
leallu01,1982,1,TOR,AL,12,15,38,38,10,0,0,749,250,109,24,79,111,0.0,3.0,3.0,5.0,3.0,1,1055.0,0.0,113,,,
grovele01,1936,1,BOS,AL,17,12,35,30,22,6,2,760,237,79,14,65,130,0.0,2.0,,0.0,4.0,0,1049.0,3.0,90,,,
fossato01,1998,1,SEA,AL,0,3,23,0,0,0,0,34,19,11,1,6,10,,8.0,0.0,0.0,0.0,0,55.0,8.0,11,,,
bentola01,1935,1,BSN,NL,2,3,29,0,0,0,0,216,103,55,6,24,21,0.0,6.0,,6.0,1.0,0,333.0,19.0,61,,,
pattebo01,1994,1,CAL,AL,2,3,47,0,0,0,1,126,35,19,6,15,30,0.0,4.0,2.0,1.0,2.0,0,170.0,11.0,21,,,
vanlawi01,1994,1,SFN,NL,8,2,16,14,0,0,0,252,70,33,4,43,56,0.0,3.0,4.0,3.0,2.0,3,363.0,1.0,37,,,
andujjo01,1977,1,HOU,NL,11,8,26,25,4,1,0,476,149,65,11,64,69,0.0,3.0,3.0,2.0,4.0,2,678.0,1.0,80,,,
quallch01,2010,2,TBA,AL,2,0,27,0,0,0,0,63,24,13,2,6,15,,5.0,0.0,1.0,1.0,0,91.0,1.0,15,,,
herriar01,1946,1,BRO,NL,7,2,35,2,0,0,5,258,91,32,2,29,34,0.0,3.0,,2.0,1.0,0,373.0,13.0,39,,,
quallch01,2008,1,ARI,NL,4,8,77,0,0,0,9,221,61,23,4,18,71,,2.0,2.0,6.0,3.0,0,300.0,21.0,29,,,
fornimi01,1962,1,BOS,AL,3,6,42,1,0,0,5,247,96,49,14,37,36,0.0,5.0,4.0,6.0,8.0,0,373.0,21.0,57,,,
webbele01,1946,2,CLE,AL,1,1,4,2,0,0,0,16,13,14,0,5,5,0.0,23.0,,1.0,0.0,0,34.0,0.0,14,,,
stewada01,1994,1,TOR,AL,7,8,22,22,1,0,0,400,151,87,26,62,111,0.0,5.0,4.0,6.0,4.0,0,602.0,0.0,89,,,
mcnalda01,1974,1,BAL,AL,16,10,39,37,13,4,1,777,260,103,19,81,111,0.0,3.0,6.0,4.0,8.0,5,1073.0,1.0,112,,,
gonzami02,2006,1,PIT,NL,3,4,54,0,0,0,24,162,42,13,1,31,64,,2.0,2.0,0.0,2.0,0,234.0,47.0,13,,,
stanlbo01,1979,1,BOS,AL,16,12,40,30,9,4,1,650,250,96,14,44,56,0.0,3.0,4.0,0.0,4.0,0,914.0,7.0,110,,,
hillmda01,1958,1,CHN,NL,4,8,31,16,3,0,1,377,132,44,12,31,65,0.0,3.0,4.0,1.0,0.0,0,540.0,4.0,57,,,
jacksla01,1967,1,PHI,NL,13,15,40,37,11,4,0,785,242,90,17,54,139,0.0,3.0,11.0,3.0,6.0,1,1078.0,1.0,111,,,
heimafr01,1922,1,PHA,AL,7,11,37,19,7,0,1,515,220,96,18,63,47,0.0,5.0,,3.0,3.0,0,784.0,11.0,117,,,
hartbi01,1898,1,PIT,NL,5,9,16,15,13,1,1,375,141,67,4,44,19,0.0,4.0,,0.0,7.0,0,0.0,1.0,81,,,
krausle02,1969,1,OAK,AL,7,7,43,16,4,2,7,420,134,69,23,48,85,0.0,4.0,8.0,3.0,5.0,0,589.0,15.0,75,,,
liddldo01,1956,1,NY1,NL,1,2,11,5,1,0,1,124,45,18,5,14,21,0.0,3.0,3.0,1.0,1.0,0,184.0,2.0,22,,,
staleha01,1892,1,BSN,NL,22,10,37,35,31,3,0,899,273,101,10,97,93,0.0,3.0,,7.0,0.0,0,0.0,2.0,144,,,
knottga01,2002,1,FLO,NL,3,1,28,0,0,0,0,92,21,15,6,16,21,,4.0,0.0,1.0,1.0,0,127.0,7.0,15,,,
silvajo01,1997,1,PIT,NL,2,1,11,4,0,0,0,109,52,24,4,16,30,0.0,5.0,3.0,0.0,1.0,1,174.0,0.0,26,,,
patteke01,1994,1,CAL,AL,0,0,1,0,0,0,0,2,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0,,,
stanlbo01,1984,1,BOS,AL,9,10,57,0,0,0,22,320,113,42,9,23,52,0.0,3.0,9.0,1.0,2.0,0,455.0,47.0,57,,,
coneda01,1998,1,NYA,AL,20,7,31,31,3,0,0,623,186,82,20,59,209,,3.0,1.0,6.0,15.0,0,866.0,0.0,89,,,
beckejo02,2010,1,BOS,AL,6,6,21,21,0,0,0,383,151,82,20,45,116,,5.0,3.0,3.0,8.0,0,577.0,0.0,89,,,
carmora01,1996,1,SEA,AL,8,3,53,1,0,0,1,271,95,43,11,55,62,0.0,4.0,9.0,4.0,3.0,0,415.0,15.0,47,,,
mootyja01,1943,1,CHN,NL,0,0,2,0,0,0,0,3,2,0,0,1,1,0.0,0.0,,0.0,0.0,0,6.0,0.0,0,,,
graboal01,1929,1,SLN,NL,3,2,6,6,4,2,0,150,44,14,0,8,22,0.0,2.0,,2.0,0.0,0,204.0,0.0,18,,,
nelsoje01,2002,1,SEA,AL,3,2,41,0,0,0,2,137,36,20,4,27,55,,3.0,3.0,5.0,3.0,0,199.0,12.0,20,,,
burkhke01,1948,1,SLN,NL,0,0,20,0,0,0,1,112,50,23,4,14,16,0.0,5.0,,0.0,2.0,0,171.0,7.0,24,,,
johnsar01,1927,1,NY1,NL,0,0,1,0,0,0,0,9,1,0,0,1,0,0.0,0.0,,0.0,0.0,0,11.0,0.0,1,,,
tiantlu01,1966,1,CLE,AL,12,11,46,16,7,5,8,465,121,48,16,50,145,0.0,2.0,4.0,3.0,2.0,0,628.0,22.0,50,,,
leeth01,1938,1,CHA,AL,13,12,33,30,18,1,1,736,252,95,12,94,77,0.0,3.0,,2.0,3.0,0,1074.0,3.0,123,,,
keefege01,1887,1,WS8,NL,0,1,1,1,1,0,0,24,16,8,1,4,0,0.0,9.0,,2.0,2.0,0,50.0,0.0,20,,,
yanes01,1996,1,BAL,AL,0,0,4,0,0,0,0,28,13,6,3,3,7,0.0,5.0,1.0,0.0,0.0,0,42.0,2.0,7,,,
kroonma01,1995,1,SDN,NL,0,1,2,0,0,0,0,5,1,2,0,2,2,0.0,10.0,0.0,0.0,0.0,0,7.0,1.0,2,,,
dwyerfr01,1892,2,CIN,NL,19,10,33,27,24,3,1,778,251,67,6,49,45,0.0,2.0,,2.0,0.0,0,0.0,6.0,101,,,
yelloch01,1921,1,PIT,NL,5,3,10,4,1,0,1,145,45,16,1,13,19,0.0,2.0,,1.0,0.0,0,195.0,5.0,17,,,
taylowi01,1914,1,SLA,AL,2,5,16,8,2,1,0,150,41,19,0,25,20,0.0,3.0,,2.0,2.0,0,223.0,4.0,24,,,
burtoji01,1977,1,BOS,AL,0,0,1,0,0,0,0,8,2,0,0,1,3,0.0,0.0,0.0,0.0,0.0,0,11.0,1.0,0,,,
chechch01,1909,1,BOS,AL,7,5,17,13,6,1,0,320,107,35,3,27,40,0.0,2.0,,1.0,5.0,0,443.0,3.0,51,,,
schupfe01,1915,1,NY1,NL,1,0,23,1,0,0,0,164,57,31,1,29,28,0.0,5.0,,0.0,3.0,0,245.0,15.0,37,,,
gumpera01,1938,1,PHA,AL,0,2,4,2,0,0,0,37,24,15,1,10,1,0.0,10.0,,1.0,0.0,0,72.0,1.0,18,,,
colliph01,1923,1,CHN,NL,1,0,1,1,0,0,0,15,8,2,0,1,2,0.0,3.0,,0.0,0.0,0,22.0,0.0,2,,,
underto01,1978,1,TOR,AL,6,14,31,30,7,1,0,593,201,90,23,87,139,0.0,4.0,4.0,7.0,2.0,0,864.0,0.0,105,,,
byerlbu01,1950,1,CIN,NL,0,1,4,1,0,0,0,44,12,4,1,4,5,0.0,2.0,,0.0,0.0,0,59.0,1.0,4,,,
wehmehe01,1950,1,CIN,NL,10,18,41,32,12,0,4,690,255,145,27,135,121,0.0,5.0,,11.0,4.0,1,1058.0,7.0,157,,,
mahafro01,1927,1,PIT,NL,1,0,2,1,0,0,0,28,9,8,0,9,4,0.0,7.0,,1.0,0.0,0,45.0,1.0,8,,,
brockch01,1997,1,ATL,NL,0,0,7,6,0,0,0,92,34,19,2,19,16,0.0,5.0,2.0,2.0,0.0,1,144.0,1.0,23,,,
hendejo01,1974,1,CHA,AL,1,0,5,3,0,0,0,45,21,14,2,11,12,0.0,8.0,0.0,0.0,0.0,0,76.0,0.0,15,,,
bertafr01,1969,1,WS2,AL,1,3,14,5,0,0,0,107,43,26,8,23,25,0.0,6.0,0.0,2.0,0.0,1,173.0,3.0,30,,,
pfiesja01,1906,1,CHN,NL,20,8,31,29,20,4,0,752,173,42,3,63,153,0.0,1.0,,4.0,13.0,1,956.0,2.0,63,,,
scharbi01,1912,1,BRO,NL,0,1,7,0,0,0,1,62,25,10,1,6,7,0.0,4.0,,0.0,2.0,0,91.0,6.0,13,,,
beimejo01,2010,1,COL,NL,1,2,71,0,0,0,0,135,46,17,5,15,21,,3.0,3.0,2.0,0.0,1,188.0,11.0,18,,,
sandesc01,1982,1,MON,NL,12,12,32,32,7,0,0,672,212,86,24,58,158,0.0,3.0,5.0,2.0,3.0,1,922.0,0.0,98,,,
kreutfr01,1965,1,WS2,AL,2,6,33,14,2,1,0,256,73,41,7,54,65,0.0,4.0,1.0,5.0,2.0,0,379.0,4.0,48,,,
bagbyji01,1912,1,CIN,NL,2,1,5,1,0,0,0,52,17,6,2,9,10,0.0,3.0,,0.0,0.0,0,73.0,3.0,6,,,
starrdi01,1951,1,SLA,AL,2,5,15,9,0,0,0,186,66,51,10,42,26,0.0,7.0,,1.0,2.0,1,286.0,1.0,55,,,
feldmsc01,2005,1,TEX,AL,0,1,8,0,0,0,0,28,9,1,0,2,4,,0.0,1.0,0.0,0.0,0,37.0,3.0,1,,,
