season,slot,strongseed,weakseed
2001,R2Z3,R1Z3,R1Z6
1988,R1W4,W04,W13
2003,R1X1,X01,X16
1986,R1Z7,Z07,Z10
2005,R3X2,R2X2,R2X3
2009,R1Z4,Z04,Z13
1985,R3Y2,R2Y2,R2Y3
2013,R1Y7,Y07,Y10
2010,R1Y1,Y01,Y16
2008,R1Y5,Y05,Y12
2001,R1Y2,Y02,Y15
2011,R3Y1,R2Y1,R2Y4
1993,R2W4,R1W4,R1W5
2002,R1Z8,Z08,Z09
1989,R1W3,W03,W14
1997,R1Z5,Z05,Z12
1989,R3Y2,R2Y2,R2Y3
1989,R3Y1,R2Y1,R2Y4
2000,R1X2,X02,X15
2007,R1Y5,Y05,Y12
2006,R2Y2,R1Y2,R1Y7
2014,R1W3,W03,W14
1988,R1Z8,Z08,Z09
1985,R2Z3,R1Z3,R1Z6
1998,R1W4,W04,W13
1995,R3W1,R2W1,R2W4
2012,R1Y4,Y04,Y13
2013,R4Z1,R3Z1,R3Z2
2012,R1Z2,Z02,Z15
2007,R5YZ,R4Y1,R4Z1
2010,R1W1,W01,W16
2005,R1Y4,Y04,Y13
1990,R2Z2,R1Z2,R1Z7
1989,R4Z1,R3Z1,R3Z2
1986,R1W8,W08,W09
2006,R1Y5,Y05,Y12
1985,R1X8,X08,X09
1992,R3Z1,R2Z1,R2Z4
1992,R2Z1,R1Z1,R1Z8
1995,R2Y4,R1Y4,R1Y5
2012,R6CH,R5WX,R5YZ
1998,R4Z1,R3Z1,R3Z2
2000,R2X1,R1X1,R1X8
1991,R6CH,R5WX,R5YZ
2013,R3W2,R2W2,R2W3
1999,R4Z1,R3Z1,R3Z2
2013,R3X1,R2X1,R2X4
2008,R3Y2,R2Y2,R2Y3
2010,R1X1,X01,X16
1992,R1W5,W05,W12
1990,R2W3,R1W3,R1W6
2003,R3W2,R2W2,R2W3
2013,R1Y2,Y02,Y15
1994,R1Z8,Z08,Z09
2008,R6CH,R5WX,R5YZ
2013,R2W4,R1W4,R1W5
1987,R2W4,R1W4,R1W5
1993,R2W3,R1W3,R1W6
1994,R1X6,X06,X11
2006,R1X1,X01,X16
2005,R2X1,R1X1,R1X8
1991,R1Y6,Y06,Y11
1999,R1X7,X07,X10
2006,R5YZ,R4Y1,R4Z1
1992,R3X1,R2X1,R2X4
2007,R1X5,X05,X12
2000,R4Z1,R3Z1,R3Z2
2011,R1Y8,Y08,Y09
2011,R2Y1,R1Y1,R1Y8
2008,R1Z5,Z05,Z12
2012,R1Z7,Z07,Z10
1987,R1Y5,Y05,Y12
2011,R2Y4,R1Y4,R1Y5
1985,R4W1,R3W1,R3W2
1997,R1X3,X03,X14
2009,R3X2,R2X2,R2X3
2011,R4W1,R3W1,R3W2
1987,R1X2,X02,X15
1999,R1Y6,Y06,Y11
1987,R1Z2,Z02,Z15
2004,R1Y7,Y07,Y10
1991,R2Y3,R1Y3,R1Y6
2014,R1X4,X04,X13
2012,R1X3,X03,X14
1994,R2Z3,R1Z3,R1Z6
1998,R3Z2,R2Z2,R2Z3
1998,R1X8,X08,X09
1999,R1Z4,Z04,Z13
2002,R3Z2,R2Z2,R2Z3
2013,R1Y5,Y05,Y12
1993,R1W6,W06,W11
1993,R2X3,R1X3,R1X6
1992,R2X1,R1X1,R1X8
2003,R1Z5,Z05,Z12
2004,R3Y1,R2Y1,R2Y4
1991,R1Y1,Y01,Y16
1988,R2W1,R1W1,R1W8
2009,R3Z2,R2Z2,R2Z3
2003,R1X4,X04,X13
