managerid,awardid,yearid,lgid,tie,notes
leylaji99m,TSN Manager of the Year,2006,AL,,
lasorto01m,BBWAA Manager of the year,1988,NL,,
coxbo01m,TSN Manager of the Year,2003,NL,,
stengca01m,TSN Manager of the Year,1958,ML,,
manueje01m,TSN Manager of the Year,2000,AL,,
sciosmi01m,TSN Manager of the Year,2002,AL,,
coxbo01m,TSN Manager of the Year,1991,NL,,
bluegos01m,TSN Manager of the Year,1945,ML,,
andersp01m,TSN Manager of the Year,1987,AL,,
bakerdu01m,TSN Manager of the Year,1997,NL,,
coxbo01m,TSN Manager of the Year,2002,NL,,
melvibo01m,TSN Manager of the Year,2007,NL,,
bowala01m,TSN Manager of the Year,2001,NL,,
larusto01m,BBWAA Manager of the year,1988,AL,,
durocle01m,TSN Manager of the Year,1954,ML,,
mcnamjo99m,TSN Manager of the Year,1986,AL,,
larusto01m,BBWAA Manager of the year,1992,AL,,
keanejo99m,TSN Manager of the Year,1964,ML,,
coxbo01m,TSN Manager of the Year,1985,ML,,
gibsoki01m,BBWAA Manager of the year,2011,NL,,
mcnamjo99m,BBWAA Manager of the year,1986,AL,,
foxch01m,TSN Manager of the Year,1971,ML,,
showabu99m,BBWAA Manager of the year,1994,AL,,
herzowh01m,BBWAA Manager of the year,1985,NL,,
meyerbi01m,TSN Manager of the Year,1948,ML,,
bambege01m,TSN Manager of the Year,1978,ML,,
johnsda01m,TSN Manager of the Year,1975,ML,,
torrejo01m,BBWAA Manager of the year,1996,AL,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
southbi01m,TSN Manager of the Year,1941,ML,,
johnsda02m,BBWAA Manager of the year,2012,NL,,
lasorto01m,TSN Manager of the Year,1988,NL,,
larusto01m,TSN Manager of the Year,1983,ML,,
lanieha01m,BBWAA Manager of the year,1986,NL,,
torboje01m,TSN Manager of the Year,1990,AL,,
manueje01m,BBWAA Manager of the year,2000,AL,,
kellyto01m,BBWAA Manager of the year,1991,AL,,
tebbebi01m,TSN Manager of the Year,1956,ML,,
guilloz01m,BBWAA Manager of the year,2005,AL,,
leylaji99m,TSN Manager of the Year,1992,NL,,
leylaji99m,TSN Manager of the Year,1988,NL,,
williji03m,TSN Manager of the Year,1999,AL,,
larusto01m,TSN Manager of the Year,1992,AL,,
rodgebu01m,BBWAA Manager of the year,1987,NL,,
pinielo01m,BBWAA Manager of the year,2001,AL,,
coxbo01m,BBWAA Manager of the year,2005,NL,,
showabu99m,BBWAA Manager of the year,2004,AL,,
leylaji99m,BBWAA Manager of the year,1992,NL,,
bochybr01m,TSN Manager of the Year,1996,NL,,
mccarjo99m,TSN Manager of the Year,1943,ML,,
ozarkda99m,TSN Manager of the Year,1976,ML,,
mckeoja99m,BBWAA Manager of the year,1999,NL,,
mckecbi01m,TSN Manager of the Year,1940,ML,,
oatesjo01m,BBWAA Manager of the year,1996,AL,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
freyji99m,TSN Manager of the Year,1984,ML,,
larusto01m,BBWAA Manager of the year,2002,NL,,
tracyji01m,BBWAA Manager of the year,2009,NL,,
willidi02m,TSN Manager of the Year,1967,ML,,
coxbo01m,BBWAA Manager of the year,1985,AL,,
bochybr01m,BBWAA Manager of the year,1996,NL,,
williji03m,BBWAA Manager of the year,1999,AL,,
robinfr02m,BBWAA Manager of the year,1989,AL,,
johnsda02m,BBWAA Manager of the year,1997,AL,,
larusto01m,TSN Manager of the Year,1988,AL,,
girarjo01m,BBWAA Manager of the year,2006,NL,,
southbi01m,TSN Manager of the Year,1942,ML,,
leylaji99m,TSN Manager of the Year,1990,NL,,
oatesjo01m,TSN Manager of the Year,1996,AL,,
mckecbi01m,TSN Manager of the Year,1937,ML,,
dierkla01m,BBWAA Manager of the year,1998,NL,,
mccarjo99m,TSN Manager of the Year,1936,ML,,
bochybr01m,TSN Manager of the Year,1998,NL,,
leylaji99m,BBWAA Manager of the year,2006,AL,,
torrejo01m,BBWAA Manager of the year,1998,AL,,
pinielo01m,BBWAA Manager of the year,2008,NL,,
bakerdu01m,BBWAA Manager of the year,2000,NL,,
houkra01m,TSN Manager of the Year,1961,ML,,
larusto01m,BBWAA Manager of the year,1983,AL,,
weaveea99m,TSN Manager of the Year,1979,ML,,
robinfr02m,TSN Manager of the Year,1989,AL,,
penato01m,BBWAA Manager of the year,2003,AL,,
alstowa01m,TSN Manager of the Year,1955,ML,,
baylodo01m,TSN Manager of the Year,1995,NL,,
torboje01m,BBWAA Manager of the year,1990,AL,,
virdobi01m,TSN Manager of the Year,1980,ML,,
martibi02m,TSN Manager of the Year,1981,ML,,
durocle01m,TSN Manager of the Year,1951,ML,,
blackbu02m,BBWAA Manager of the year,2010,NL,,
virdobi01m,TSN Manager of the Year,1974,ML,,
showabu99m,TSN Manager of the Year,1994,AL,,
lasorto01m,BBWAA Manager of the year,1983,NL,,
rolfere01m,TSN Manager of the Year,1950,ML,,
mckeoja99m,BBWAA Manager of the year,2003,NL,,
maddojo99m,BBWAA Manager of the year,2011,AL,,
herzowh01m,TSN Manager of the Year,1982,ML,,
melvibo01m,BBWAA Manager of the year,2007,NL,,
gardero01m,TSN Manager of the Year,2004,AL,,
sciosmi01m,BBWAA Manager of the year,2002,AL,,
johnsda02m,TSN Manager of the Year,1997,AL,,
bakerdu01m,BBWAA Manager of the year,1993,NL,,
oatesjo01m,TSN Manager of the Year,1993,AL,,
coxbo01m,BBWAA Manager of the year,2004,NL,,
coxbo01m,TSN Manager of the Year,2005,NL,,
bowala01m,BBWAA Manager of the year,2001,NL,,
melvibo01m,BBWAA Manager of the year,2012,AL,,
coxbo01m,TSN Manager of the Year,1993,NL,,
durocle01m,TSN Manager of the Year,1939,ML,,
bauerha01m,TSN Manager of the Year,1966,ML,,
leylaji99m,BBWAA Manager of the year,1990,NL,,
stanked01m,TSN Manager of the Year,1952,ML,,
alstowa01m,TSN Manager of the Year,1959,ML,,
stengca01m,TSN Manager of the Year,1949,ML,,
freyji99m,BBWAA Manager of the year,1984,NL,,
smithma01m,TSN Manager of the Year,1968,ML,,
hargrmi01m,TSN Manager of the Year,1995,AL,,
