yearid,round,teamidwinner,lgidwinner,teamidloser,lgidloser,wins,losses,ties
1920,ws,CLE,AL,BRO,NL,5,2,0
1983,НЛКС,PHI,NL,LAN,NL,3,1,0
1982,ws,SLN,NL,ML4,AL,4,3,0
1977,ws,NYA,AL,LAN,NL,4,2,0
1937,ws,NYA,AL,NY1,NL,4,1,0
1999,НЛДС-1,ATL,NL,HOU,NL,3,1,0
2005,НЛДС-1,SLN,NL,SDN,NL,3,0,0
1980,АЛКС,KCA,AL,NYA,AL,3,0,0
1935,ws,DET,AL,CHN,NL,4,2,0
1998,АЛКС,NYA,AL,CLE,AL,4,2,0
2008,ws,PHI,NL,TBA,AL,4,1,0
1993,ws,TOR,AL,PHI,NL,4,2,0
2011,АЛДС-1,DET,AL,NYA,AL,3,2,0
1985,ws,KCA,AL,SLN,NL,4,3,0
2003,ws,FLO,NL,NYA,AL,4,2,0
1962,ws,NYA,AL,SFN,NL,4,3,0
2002,ALDS2,MIN,AL,OAK,AL,3,2,0
1998,NLDS2,SDN,NL,HOU,NL,3,1,0
2001,АЛДС-1,SEA,AL,CLE,AL,3,2,0
2003,НЛДС-1,FLO,NL,SFN,NL,3,1,0
2004,ALDS2,NYA,AL,MIN,AL,3,1,0
2012,НЛКС,SFN,NL,SLN,NL,4,3,0
2011,НЛДС-1,SLN,NL,PHI,NL,3,2,0
2006,ALDS2,OAK,AL,MIN,AL,3,0,0
1943,ws,NYA,AL,SLN,NL,4,1,0
2009,АЛДС-1,NYA,AL,MIN,AL,3,0,0
1979,АЛКС,BAL,AL,CAL,AL,3,1,0
1993,НЛКС,PHI,NL,ATL,NL,4,2,0
2010,ws,SFN,NL,TEX,AL,4,1,0
1978,АЛКС,NYA,AL,KCA,AL,3,1,0
1933,ws,NY1,NL,WS1,AL,4,1,0
2001,ws,ARI,NL,NYA,AL,4,3,0
1984,ws,DET,AL,SDN,NL,4,1,0
1980,НЛКС,PHI,NL,HOU,NL,3,2,0
1905,ws,NY1,NL,PHA,AL,4,1,0
2011,АЛКС,TEX,AL,DET,AL,4,2,0
1981,АВДИВ,OAK,AL,KCA,AL,3,0,0
2010,НЛКС,SFN,NL,PHI,NL,4,2,0
2003,АЛКС,NYA,AL,BOS,AL,4,3,0
1970,НЛКС,CIN,NL,PIT,NL,3,0,0
2009,NLDS2,PHI,NL,COL,NL,3,1,0
1915,ws,BOS,AL,PHI,NL,4,1,0
1974,НЛКС,LAN,NL,PIT,NL,3,1,0
2001,NLDS2,ARI,NL,SLN,NL,3,2,0
1984,НЛКС,SDN,NL,CHN,NL,3,2,0
2006,НЛДС-1,NYN,NL,LAN,NL,3,0,0
1963,ws,LAN,NL,NYA,AL,4,0,0
2005,ws,CHA,AL,HOU,NL,4,0,0
1971,АЛКС,BAL,AL,OAK,AL,3,0,0
2001,НЛДС-1,ATL,NL,HOU,NL,3,0,0
1999,НЛКС,ATL,NL,NYN,NL,4,2,0
1982,АЛКС,ML4,AL,CAL,AL,3,2,0
2011,ws,SLN,NL,TEX,AL,4,3,0
2012,ws,SFN,NL,DET,AL,4,0,0
1969,АЛКС,BAL,AL,MIN,AL,3,0,0
1984,АЛКС,DET,AL,KCA,AL,3,0,0
1986,НЛКС,NYN,NL,HOU,NL,4,2,0
2003,НЛКС,FLO,NL,CHN,NL,4,3,0
1991,ws,MIN,AL,ATL,NL,4,3,0
1946,ws,SLN,NL,BOS,AL,4,3,0
2006,NLDS2,SLN,NL,SDN,NL,3,1,0
1993,АЛКС,TOR,AL,CHA,AL,4,2,0
1995,NLDS2,CIN,NL,LAN,NL,3,0,0
1999,ws,NYA,AL,ATL,NL,4,0,0
2012,НЛВК,SLN,NL,ATL,NL,1,0,0
1939,ws,NYA,AL,CIN,NL,4,0,0
1996,NLDS2,SLN,NL,SDN,NL,3,0,0
1913,ws,PHA,AL,NY1,NL,4,1,0
2000,АЛДС-1,NYA,AL,OAK,AL,3,2,0
1985,АЛКС,KCA,AL,TOR,AL,4,3,0
1927,ws,NYA,AL,PIT,NL,4,0,0
1940,ws,CIN,NL,DET,AL,4,3,0
1923,ws,NYA,AL,NY1,NL,4,2,0
1991,АЛКС,MIN,AL,TOR,AL,4,1,0
1910,ws,PHA,AL,CHN,NL,4,1,0
1981,Аидив,NYA,AL,ML4,AL,3,2,0
1912,ws,BOS,AL,NY1,NL,4,3,0
1973,АЛКС,OAK,AL,BAL,AL,3,2,0
1987,АЛКС,MIN,AL,DET,AL,4,1,0
2004,НЛКС,SLN,NL,HOU,NL,4,3,0
1999,АЛКС,NYA,AL,BOS,AL,4,1,0
1995,АЛДС-1,CLE,AL,BOS,AL,3,0,0
1936,ws,NYA,AL,NY1,NL,4,2,0
1954,ws,NY1,NL,CLE,AL,4,0,0
2006,ws,SLN,NL,DET,AL,4,1,0
2008,НЛДС-1,LAN,NL,CHN,NL,3,0,0
1942,ws,SLN,NL,NYA,AL,4,1,0
1964,ws,SLN,NL,NYA,AL,4,3,0
1995,АЛКС,CLE,AL,SEA,AL,4,2,0
2003,АЛДС-1,NYA,AL,MIN,AL,3,1,0
1981,НДВИ,LAN,NL,HOU,NL,3,2,0
1921,ws,NY1,NL,NYA,AL,5,3,0
2007,НЛКС,COL,NL,ARI,NL,4,0,0
2000,НЛКС,NYN,NL,SLN,NL,4,1,0
1997,ALDS2,BAL,AL,SEA,AL,3,1,0
1948,ws,CLE,AL,BSN,NL,4,2,0
1968,ws,DET,AL,SLN,NL,4,3,0
1992,ws,TOR,AL,ATL,NL,4,2,0
1926,ws,SLN,NL,NYA,AL,4,3,0
1908,ws,CHN,NL,DET,AL,4,1,0
1972,ws,OAK,AL,CIN,NL,4,3,0
2005,АЛКС,CHA,AL,LAA,AL,4,1,0
1989,ws,OAK,AL,SFN,NL,4,0,0
1986,АЛКС,BOS,AL,CAL,AL,4,3,0
1983,АЛКС,BAL,AL,CHA,AL,3,1,0
1970,ws,BAL,AL,CIN,NL,4,1,0
2009,АЛКС,NYA,AL,LAA,AL,4,2,0
1999,NLDS2,NYN,NL,ARI,NL,3,1,0
2003,NLDS2,CHN,NL,ATL,NL,3,2,0
1996,НЛДС-1,ATL,NL,LAN,NL,3,0,0
2001,НЛКС,ARI,NL,ATL,NL,4,1,0
1974,ws,OAK,AL,LAN,NL,4,1,0
1983,ws,BAL,AL,PHI,NL,4,1,0
2009,ws,NYA,AL,PHI,NL,4,2,0
1911,ws,PHA,AL,NY1,NL,4,2,0
1981,ws,LAN,NL,NYA,AL,4,2,0
1998,НЛДС-1,ATL,NL,CHN,NL,3,0,0
1996,ALDS2,NYA,AL,TEX,AL,3,1,0
1976,ws,CIN,NL,NYA,AL,4,0,0
2012,АЛКС,DET,AL,NYA,AL,4,0,0
1990,АЛКС,OAK,AL,BOS,AL,4,0,0
1999,ALDS2,NYA,AL,TEX,AL,3,0,0
1989,АЛКС,OAK,AL,TOR,AL,4,1,0
1966,ws,BAL,AL,LAN,NL,4,0,0
1952,ws,NYA,AL,BRO,NL,4,3,0
1914,ws,BSN,NL,PHA,AL,4,0,0
1996,НЛКС,ATL,NL,SLN,NL,4,3,0
2000,NLDS2,NYN,NL,SFN,NL,3,1,0
1999,АЛДС-1,BOS,AL,CLE,AL,3,2,0
1989,НЛКС,SFN,NL,CHN,NL,4,1,0
1998,ALDS2,NYA,AL,TEX,AL,3,0,0
1916,ws,BOS,AL,BRO,NL,4,1,0
2012,НЛДС-1,SLN,NL,WAS,NL,3,2,0
2005,ALDS2,LAA,AL,NYA,AL,3,2,0
1973,ws,OAK,AL,NYN,NL,4,3,0
1976,НЛКС,CIN,NL,PHI,NL,3,0,0
1998,АЛДС-1,CLE,AL,BOS,AL,3,1,0
1996,АЛДС-1,BAL,AL,CLE,AL,3,1,0
1972,АЛКС,OAK,AL,DET,AL,3,2,0
1950,ws,NYA,AL,PHI,NL,4,0,0
1949,ws,NYA,AL,BRO,NL,4,1,0
1925,ws,PIT,NL,WS1,AL,4,3,0
2008,АЛДС-1,BOS,AL,LAA,AL,3,1,0
1951,ws,NYA,AL,NY1,NL,4,2,0
1959,ws,LAN,NL,CHA,AL,4,2,0
1922,ws,NY1,NL,NYA,AL,4,0,0
1938,ws,NYA,AL,CHN,NL,4,0,0
1980,ws,PHI,NL,KCA,AL,4,2,0
2002,НЛДС-1,SFN,NL,ATL,NL,3,2,0
1970,АЛКС,BAL,AL,MIN,AL,3,0,0
1978,НЛКС,LAN,NL,PHI,NL,3,1,0
1931,ws,SLN,NL,PHA,AL,4,3,0
2004,NLDS2,HOU,NL,ATL,NL,3,2,0
1956,ws,NYA,AL,BRO,NL,4,3,0
2002,АЛКС,ANA,AL,MIN,AL,4,1,0
1995,ALDS2,SEA,AL,NYA,AL,3,2,0
1981,АЛКС,NYA,AL,OAK,AL,3,0,0
1988,АЛКС,OAK,AL,BOS,AL,4,0,0
1965,ws,LAN,NL,MIN,AL,4,3,0
1996,ws,NYA,AL,ATL,NL,4,2,0
1953,ws,NYA,AL,BRO,NL,4,2,0
1997,АЛДС-1,CLE,AL,NYA,AL,3,2,0
1909,ws,PIT,NL,DET,AL,4,3,0
2010,НЛДС-1,PHI,NL,CIN,NL,3,0,0
2007,НЛДС-1,ARI,NL,CHN,NL,3,0,0
2012,АЛВЦ,BAL,AL,TEX,AL,1,0,0
1998,НЛКС,SDN,NL,ATL,NL,4,2,0
2001,ALDS2,NYA,AL,OAK,AL,3,2,0
2006,АЛКС,DET,AL,OAK,AL,4,0,0
1906,ws,CHA,AL,CHN,NL,4,2,0
1961,ws,NYA,AL,CIN,NL,4,1,0
1998,ws,NYA,AL,SDN,NL,4,0,0
1957,ws,ML1,NL,NYA,AL,4,3,0
