franchid,franchname,active,naassoc
WNA,Вашингтон Нэшнлз,"Hello, how can I help you today?",
SLR,Сент-Луис Ред Стокингс,Нет,
OLY,Олимпийские игры в Вашингтоне,Нет,
NYM,Нью-Йорк Метс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
WSN,Вашингтон Нэшнлз,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
NHV,Нью-Хейвен Ельм-Сити,Нет,
KEK,Форт-Вэйн Кекионгас,Нет,
SDP,Сан-Диего Падрес,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
IND,Индианаполис Хойос,"Hello, how can I help you today?",
BOS,Бостон Ред Сокс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
CLE,Кливлендские индейцы,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
BFL,Баффало Биллс,"Hello, how can I help you today?",
KCR,Канзас-Сити Роялс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
SFG,Сан-Франциско Джайентс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
PHK,Филадельфийские ключи,"Hello, how can I help you today?",
SYS,Сиракузские звёзды,"Hello, how can I help you today?",
CIN,Цинциннати Редс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
BRS,Бостон Редс,"Hello, how can I help you today?",
NYP,Нью-Йорк Метлс,"Hello, how can I help you today?",
CBL,Кливленд Блюз,"Hello, how can I help you today?",
TOR,Торонто Блю Джейс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
CFC,Кливленд Форест Сити,Нет,
CLV,Кливленд Спайдеры,"Hello, how can I help you today?",
BTT,Бруклин Тип-Топс,"Hello, how can I help you today?",
CBK,Коламбус Баксайенс,"Hello, how can I help you today?",
KCC,Канзас-Сити Ковбои,"Hello, how can I help you today?",
CEN,Филадельфийские столетники,Нет,
CHC,Чикаго Кабс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",ЦएनА
WOR,Уорикер Руби Лэгс,"Hello, how can I help you today?",
DET,Детройт Тайгерс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
NYU,Нью-Йорк Мютуалов,"Hello, how can I help you today?",ННА
ROC,Бронкос Рочестера,"Hello, how can I help you today?",
HOU,Хьюстон Астрос,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
WNT,Вашингтон Нэшнлз,Нет,
ECK,Бруклин Экафорс,Нет,
PRO,Провиденс-Грейс,"Hello, how can I help you today?",
NAT,Вашингтон Нэшнлз,Нет,
CNA,"Чикаго ""Белые стокинги""",Нет,ХСЧ
PIT,Питтсбургские пираты,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
LGR,Луисвилл Грейс,"Hello, how can I help you today?",
PBB,Питтсбургские бургеры,"Hello, how can I help you today?",
KCU,Канзас-Сити Ковбои,"Hello, how can I help you today?",
BLO,Балтимор Ориолс,"Hello, how can I help you today?",
PHQ,Филадельфийские Атлеты,"Hello, how can I help you today?",
TOL,Толедские синие стокинги,"Hello, how can I help you today?",
ARI,Аризона Даймондбэкс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
TRO,Трой Хеймейкеры,Нет,
STP,Святые апостолы Павел,"Hello, how can I help you today?",
MIL,Милуоки Брюэрс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
WNL,Вашингтон Нэшнлз,"Hello, how can I help you today?",
PWS,Филадельфийские белые чулки,Нет,
STL,Сент-Луис Кардиналс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
BRG,Бруклин Галадриотов,"Hello, how can I help you today?",
OAK,Окленд Атлетикс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
CHW,Чикаго Уайлд-Уингс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
TBD,Тампа Бэй Рейс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
ROK,Рокфорд Фолс Ситиз,Нет,
