yearid,round,teamidwinner,lgidwinner,teamidloser,lgidloser,wins,losses,ties
1969,NLCS,NYN,NL,ATL,NL,3,0,0
2012,ALDS1,NYA,AL,BAL,AL,3,2,0
1992,WS,TOR,AL,ATL,NL,4,2,0
2003,ALDS1,NYA,AL,MIN,AL,3,1,0
2004,NLDS1,SLN,NL,LAN,NL,3,1,0
1998,NLDS2,SDN,NL,HOU,NL,3,1,0
1959,WS,LAN,NL,CHA,AL,4,2,0
1907,WS,CHN,NL,DET,AL,4,0,0
1997,NLCS,FLO,NL,ATL,NL,4,2,0
1988,ALCS,OAK,AL,BOS,AL,4,0,0
1915,WS,BOS,AL,PHI,NL,4,1,0
1924,WS,WS1,AL,NY1,NL,4,3,0
1929,WS,PHA,AL,CHN,NL,4,1,0
1987,NLCS,SLN,NL,SFN,NL,4,3,0
2011,NLCS,SLN,NL,MIL,NL,4,2,0
1979,WS,PIT,NL,BAL,AL,4,3,0
2011,NLDS2,MIL,NL,ARI,NL,3,2,0
2005,ALCS,CHA,AL,LAA,AL,4,1,0
2010,NLDS2,SFN,NL,ATL,NL,3,1,0
2001,ALCS,NYA,AL,SEA,AL,4,1,0
1905,WS,NY1,NL,PHA,AL,4,1,0
1997,NLDS2,ATL,NL,HOU,NL,3,0,0
1965,WS,LAN,NL,MIN,AL,4,3,0
1960,WS,PIT,NL,NYA,AL,4,3,0
2002,ALDS1,ANA,AL,NYA,AL,3,1,0
2004,NLDS2,HOU,NL,ATL,NL,3,2,0
2011,ALDS2,TEX,AL,TBA,AL,3,1,0
2007,NLDS1,ARI,NL,CHN,NL,3,0,0
1999,NLDS2,NYN,NL,ARI,NL,3,1,0
2005,NLCS,HOU,NL,SLN,NL,4,2,0
2001,NLCS,ARI,NL,ATL,NL,4,1,0
1920,WS,CLE,AL,BRO,NL,5,2,0
1989,ALCS,OAK,AL,TOR,AL,4,1,0
2009,ALCS,NYA,AL,LAA,AL,4,2,0
2001,WS,ARI,NL,NYA,AL,4,3,0
2007,ALCS,BOS,AL,CLE,AL,4,3,0
1981,AEDIV,NYA,AL,ML4,AL,3,2,0
1981,NLCS,LAN,NL,MON,NL,3,2,0
2002,WS,ANA,AL,SFN,NL,4,3,0
2008,NLCS,PHI,NL,LAN,NL,4,1,0
2006,NLDS1,NYN,NL,LAN,NL,3,0,0
1923,WS,NYA,AL,NY1,NL,4,2,0
2009,WS,NYA,AL,PHI,NL,4,2,0
2005,NLDS1,SLN,NL,SDN,NL,3,0,0
1942,WS,SLN,NL,NYA,AL,4,1,0
1946,WS,SLN,NL,BOS,AL,4,3,0
1911,WS,PHA,AL,NY1,NL,4,2,0
1917,WS,CHA,AL,NY1,NL,4,2,0
1999,ALDS1,BOS,AL,CLE,AL,3,2,0
2010,WS,SFN,NL,TEX,AL,4,1,0
1982,WS,SLN,NL,ML4,AL,4,3,0
