playerid,awardid,yearid,lgid,tie,notes
bentola01,Baseball Magazine All-Star,1928,ML,,P2
ruffire01,Baseball Magazine All-Star,1938,AL,,P1
caminke01,Gold Glove,1995,NL,,3B
schmimi01,Gold Glove,1984,NL,,3B
ramirha01,Rookie of the Year,2006,NL,,
aparilu01,Gold Glove,1968,AL,,SS
wheatza01,Baseball Magazine All-Star,1924,ML,,LF
devliar01,Baseball Magazine All-Star,1910,NL,,3B
rolensc01,TSN All-Star,2002,NL,,3B
berrayo01,TSN All-Star,1954,ML,,C
manushe01,Baseball Magazine All-Star,1928,ML,,OF
bellge02,Silver Slugger,1985,AL,,OF
kleinch01,TSN Guide MVP,1931,NL,,
baylodo01,TSN All-Star,1986,AL,,DH
wegmabi01,Hutch Award,1991,ML,,
greenha01,Baseball Magazine All-Star,1935,ML,,1B
valenfe01,TSN Pitcher of the Year,1981,NL,,
grimebu01,Baseball Magazine All-Star,1929,NL,,P2
bluevi01,TSN All-Star,1971,AL,,LHP
traynpi01,Baseball Magazine All-Star,1926,ML,,3B
dyeje01,Gold Glove,2000,AL,,OF
murphda05,Silver Slugger,1982,NL,,OF
clemero01,Gold Glove,1971,NL,,OF
metzgro01,Gold Glove,1973,NL,,SS
colavro01,TSN All-Star,1961,AL,,OF
lemonbo01,Baseball Magazine All-Star,1948,AL,,P1
jonesan01,TSN Major League Player of the Year,2005,ML,,
luzingr01,TSN All-Star,1977,NL,,OF
rizzuph01,TSN All-Star,1951,ML,,SS
cartega01,All-Star Game MVP,1981,ML,,
leachto01,Baseball Magazine All-Star,1909,NL,,CF
oneilst01,Baseball Magazine All-Star,1919,AL,,C
gibsobo01,Gold Glove,1970,NL,,P
wilsoha01,TSN All-Star,1929,ML,,OF
moseswa01,Baseball Magazine All-Star,1937,AL,,LF
groatdi01,TSN All-Star,1964,NL,,SS
moorejo02,Baseball Magazine All-Star,1934,NL,,LF
kaatji01,TSN Pitcher of the Year,1966,AL,,
ruthba01,Baseball Magazine All-Star,1930,ML,,RF
lyonste01,TSN All-Star,1927,ML,,P
renteed01,Silver Slugger,2002,NL,,SS
grovele01,Baseball Magazine All-Star,1928,AL,,P4
smithle02,Rolaids Relief Man Award,1991,NL,,
spencji01,Gold Glove,1970,AL,,1B
willima04,Silver Slugger,1993,NL,,3B
higgipi01,Baseball Magazine All-Star,1935,AL,,3B
riddlel01,Baseball Magazine All-Star,1943,NL,,P3
mayswi01,TSN Player of the Year,1965,NL,,
floodcu01,Gold Glove,1963,NL,,OF
lopezja01,TSN All-Star,2003,NL,,C
fregoji01,Gold Glove,1967,AL,,SS
warnelo01,Baseball Magazine All-Star,1935,NL,,P3
fiskca01,TSN All-Star,1983,AL,,C
campbbi02,Rolaids Relief Man Award,1977,AL,,
travice01,TSN All-Star,1941,ML,,SS
riceji01,Silver Slugger,1983,AL,,OF
thornan01,Roberto Clemente Award,1979,ML,,
trammal01,TSN All-Star,1988,AL,,SS
derripa01,TSN All-Star,1940,ML,,P
fieldpr01,Silver Slugger,2012,AL,,1B
houttar01,Baseball Magazine All-Star,1950,AL,,P3
grissma02,Gold Glove,1996,NL,,OF
willite01,TSN All-Star,1948,ML,,OF
speaktr01,Baseball Magazine All-Star,1923,ML,,OF
yastrca01,TSN All-Star,1967,AL,,OF
sainjo01,Baseball Magazine All-Star,1948,ML,,P2
flanami01,Cy Young Award,1979,AL,,
belleal01,TSN All-Star,1996,AL,,OF
bergewa01,TSN All-Star,1933,ML,,OF
gehrilo01,Most Valuable Player,1936,AL,,
slaugen01,Baseball Magazine All-Star,1949,NL,,RF
pennohe01,Baseball Magazine All-Star,1925,AL,,P4
johnswa01,Baseball Magazine All-Star,1918,AL,,P2
guidrro01,TSN Major League Player of the Year,1978,ML,,
gosligo01,TSN All-Star,1926,ML,,OF
larkiba01,TSN All-Star,1988,NL,,SS
warnelo01,Baseball Magazine All-Star,1933,NL,,P4
guerrvl01,Silver Slugger,2000,NL,,OF
fernato01,Gold Glove,1988,AL,,SS
conceda01,TSN All-Star,1981,NL,,SS
fossera01,Gold Glove,1971,AL,,C
edmonji01,Gold Glove,1997,AL,,OF
walkela01,Silver Slugger,1997,NL,,OF
turlebo01,TSN Pitcher of the Year,1958,AL,,
