playerid,yearid,stint,teamid,lgid,g,g_batting,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp,g_old
pattero01,1902,1,CHA,AL,34,34,105.0,11.0,20.0,1.0,0.0,0.0,6.0,0.0,,3.0,,,0.0,5.0,,,34.0
gilliba01,1882,1,PRO,NL,56,56,201.0,32.0,45.0,7.0,6.0,0.0,26.0,,,4.0,26.0,,,,,,56.0
cobbty01,1912,1,DET,AL,140,140,553.0,120.0,226.0,30.0,23.0,7.0,83.0,61.0,,43.0,,,5.0,8.0,,,140.0
mcdevda01,1961,2,MIN,AL,16,16,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0
adamsbe01,1919,1,PHI,NL,78,78,232.0,14.0,54.0,7.0,2.0,1.0,17.0,4.0,,6.0,27.0,,0.0,3.0,,,78.0
chaveen01,2002,1,MON,NL,36,36,125.0,20.0,37.0,8.0,5.0,1.0,9.0,3.0,5.0,5.0,16.0,0.0,0.0,7.0,1.0,0.0,36.0
weberbe01,2000,2,ANA,AL,10,0,,,,,,,,,,,,,,,,,10.0
downibr01,1979,1,CAL,AL,148,148,509.0,87.0,166.0,27.0,3.0,12.0,75.0,3.0,3.0,77.0,57.0,4.0,5.0,3.0,2.0,17.0,148.0
heintke01,1937,1,PIT,NL,1,1,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,0.0,0.0,,0.0,1.0
foxne01,1948,1,PHA,AL,3,3,13.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,,0.0,3.0
duboser01,2005,1,BAL,AL,15,0,,,,,,,,,,,,,,,,,15.0
lavando01,1919,1,SLN,NL,100,100,356.0,25.0,86.0,12.0,2.0,1.0,25.0,4.0,,11.0,30.0,,0.0,9.0,,,100.0
alicelu01,1998,1,TEX,AL,101,101,259.0,51.0,71.0,15.0,3.0,6.0,33.0,4.0,3.0,37.0,40.0,0.0,5.0,4.0,3.0,1.0,101.0
phelpne01,1876,2,PHN,NL,1,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,1.0
wathajo01,1985,1,KCA,AL,60,60,145.0,11.0,34.0,8.0,1.0,1.0,9.0,1.0,1.0,17.0,15.0,0.0,1.0,2.0,0.0,4.0,60.0
grimsja01,1989,1,PHI,NL,4,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0
kolpra01,1930,1,CIN,NL,37,37,49.0,3.0,12.0,1.0,0.0,1.0,1.0,0.0,,2.0,8.0,,0.0,1.0,,,37.0
bakerbo01,1901,2,PHA,AL,1,1,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,0.0,0.0,,,1.0
vinafe01,2003,1,SLN,NL,61,61,259.0,35.0,65.0,14.0,4.0,4.0,23.0,4.0,4.0,11.0,24.0,0.0,11.0,3.0,1.0,5.0,61.0
russeal01,1924,1,WS1,AL,37,37,18.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,,0.0,1.0,,,37.0
blankla02,1990,1,OAK,AL,86,86,136.0,18.0,26.0,3.0,0.0,0.0,10.0,3.0,1.0,20.0,23.0,0.0,0.0,6.0,0.0,6.0,86.0
heintto01,1977,1,SFN,NL,2,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
keenaji01,1888,1,CN2,AA,85,85,313.0,38.0,73.0,9.0,8.0,1.0,40.0,9.0,,22.0,,,5.0,,,,85.0
perezti01,2000,1,NYN,NL,24,24,49.0,11.0,14.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,5.0,0.0,1.0,0.0,1.0,0.0,24.0
schmifr01,1947,3,CHN,NL,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,0.0,0.0,,0.0,1.0
woodsro01,1971,2,MON,NL,51,51,138.0,26.0,41.0,7.0,3.0,1.0,17.0,0.0,2.0,19.0,18.0,0.0,0.0,2.0,0.0,5.0,51.0
thomato02,1936,1,SLA,AL,36,36,58.0,4.0,8.0,2.0,0.0,0.0,7.0,0.0,0.0,2.0,16.0,,0.0,7.0,,,36.0
dreyest01,1994,1,TEX,AL,5,0,,,,,,,,,,,,,,,,,5.0
fultzda01,1902,1,PHA,AL,129,129,506.0,109.0,153.0,20.0,5.0,1.0,49.0,44.0,,62.0,,,2.0,35.0,,,129.0
kieltbo01,2007,1,OAK,AL,13,13,35.0,4.0,7.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,9.0,0.0,1.0,0.0,1.0,1.0,13.0
willido03,2009,1,DET,AL,7,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
greenda02,1965,1,WS2,AL,6,6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0
smithea02,1929,1,SLN,NL,57,57,145.0,9.0,50.0,8.0,0.0,1.0,22.0,0.0,,18.0,6.0,,0.0,1.0,,,57.0
walketo01,1902,1,PHA,AL,1,1,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,1.0
gonzaju03,2000,1,DET,AL,115,115,461.0,69.0,133.0,30.0,2.0,22.0,67.0,1.0,2.0,32.0,84.0,3.0,2.0,0.0,1.0,13.0,115.0
reynoar02,1993,1,COL,NL,31,31,63.0,4.0,8.0,0.0,0.0,2.0,4.0,0.0,0.0,3.0,20.0,0.0,0.0,6.0,0.0,0.0,31.0
hansero02,1966,1,CHA,AL,23,23,74.0,3.0,13.0,1.0,0.0,0.0,4.0,0.0,1.0,15.0,10.0,3.0,1.0,5.0,0.0,0.0,23.0
rossga01,1975,1,CAL,AL,1,0,,,,,,,,,,,,,,,,,1.0
casege01,1946,1,CLE,AL,118,118,484.0,46.0,109.0,23.0,4.0,1.0,22.0,28.0,11.0,34.0,38.0,,3.0,7.0,,6.0,118.0
kraneed01,1964,1,NYN,NL,119,119,420.0,47.0,108.0,19.0,4.0,10.0,45.0,0.0,1.0,32.0,50.0,2.0,2.0,3.0,4.0,9.0,119.0
kellemi02,1972,1,SLN,NL,23,23,63.0,5.0,10.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,15.0,0.0,0.0,2.0,0.0,1.0,23.0
adairje01,1970,1,KCA,AL,7,7,27.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,3.0,1.0,0.0,1.0,0.0,1.0,7.0
etchean01,1967,1,BAL,AL,112,112,330.0,29.0,71.0,13.0,0.0,7.0,35.0,1.0,0.0,38.0,80.0,9.0,2.0,2.0,2.0,12.0,112.0
howsedi01,1964,1,CLE,AL,162,162,637.0,101.0,163.0,23.0,4.0,3.0,52.0,20.0,7.0,76.0,39.0,1.0,2.0,16.0,4.0,12.0,162.0
dappecl01,1942,1,BRO,NL,8,8,17.0,2.0,8.0,1.0,0.0,1.0,9.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,8.0
kuipedu01,1976,1,CLE,AL,135,135,506.0,47.0,133.0,13.0,6.0,0.0,37.0,10.0,17.0,30.0,42.0,2.0,1.0,14.0,4.0,13.0,135.0
brownto01,1890,1,BSP,PL,128,128,543.0,146.0,149.0,23.0,14.0,4.0,61.0,79.0,,86.0,84.0,,3.0,,,,128.0
benavfr01,1993,1,COL,NL,74,74,213.0,20.0,61.0,10.0,3.0,3.0,26.0,3.0,2.0,6.0,27.0,1.0,0.0,3.0,1.0,4.0,74.0
huntebi03,1954,1,BAL,AL,125,125,411.0,28.0,100.0,9.0,5.0,2.0,27.0,5.0,4.0,21.0,38.0,,2.0,13.0,4.0,14.0,125.0
davisge02,1913,1,BSN,NL,2,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0
petkoma01,1993,1,PIT,NL,26,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
lindsfr01,1928,1,NY1,NL,153,153,646.0,99.0,231.0,39.0,9.0,14.0,107.0,15.0,,25.0,21.0,,2.0,14.0,,,153.0
blakesh01,1927,1,CHN,NL,32,32,83.0,2.0,16.0,0.0,0.0,0.0,3.0,0.0,,1.0,10.0,,0.0,4.0,,,32.0
martipa03,1996,1,ATL,NL,4,4,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
chrisla01,1977,1,PHI,NL,34,34,74.0,4.0,10.0,0.0,0.0,3.0,13.0,0.0,0.0,4.0,38.0,0.0,0.0,10.0,0.0,0.0,34.0
whitnji01,1884,1,BSN,NL,66,66,270.0,41.0,70.0,17.0,5.0,3.0,40.0,,,16.0,38.0,,,,,,66.0
huntro01,1973,1,MON,NL,113,113,401.0,61.0,124.0,14.0,0.0,0.0,18.0,10.0,7.0,52.0,19.0,3.0,24.0,8.0,1.0,9.0,113.0
laabsch01,1942,1,SLA,AL,144,144,520.0,90.0,143.0,21.0,7.0,27.0,99.0,0.0,3.0,88.0,88.0,,0.0,6.0,,12.0,144.0
mcbriba01,1982,1,CLE,AL,27,27,85.0,8.0,31.0,3.0,3.0,0.0,13.0,2.0,2.0,2.0,12.0,1.0,0.0,0.0,1.0,2.0,27.0
alouma01,1961,1,SFN,NL,81,81,200.0,38.0,62.0,7.0,2.0,6.0,24.0,3.0,2.0,15.0,18.0,2.0,0.0,1.0,1.0,4.0,81.0
dunnist01,1970,1,CLE,AL,19,19,31.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,14.0,0.0,0.0,3.0,0.0,0.0,19.0
schulbu01,1978,1,SLN,NL,62,62,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,62.0
mclisca01,1951,1,CHN,NL,31,31,42.0,2.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,20.0,,0.0,0.0,,1.0,31.0
mctamji01,1890,1,CL6,AA,125,125,466.0,140.0,120.0,27.0,7.0,1.0,48.0,43.0,,112.0,,,4.0,,,,125.0
evansda01,1982,1,SFN,NL,141,141,465.0,64.0,119.0,20.0,4.0,16.0,61.0,5.0,4.0,77.0,64.0,7.0,2.0,3.0,6.0,8.0,141.0
womacto01,2003,2,COL,NL,21,21,79.0,9.0,15.0,2.0,0.0,0.0,5.0,3.0,1.0,0.0,9.0,0.0,1.0,1.0,0.0,1.0,21.0
bautijo02,2004,2,TBA,AL,12,12,12.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,12.0
giambja01,1995,1,OAK,AL,54,54,176.0,27.0,45.0,7.0,0.0,6.0,25.0,2.0,1.0,28.0,31.0,0.0,3.0,1.0,2.0,4.0,54.0
galaran01,2000,1,ATL,NL,141,141,494.0,67.0,149.0,25.0,1.0,28.0,100.0,3.0,5.0,36.0,126.0,5.0,17.0,0.0,1.0,15.0,141.0
ryanmi02,1966,1,BOS,AL,116,116,369.0,27.0,79.0,15.0,3.0,2.0,32.0,1.0,0.0,29.0,68.0,3.0,0.0,1.0,1.0,10.0,116.0
greggke01,2010,1,TOR,AL,63,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
hernaxa01,1993,1,HOU,NL,72,72,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,72.0
houseto01,1974,1,ATL,NL,56,56,10.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,56.0
taverfr01,1975,1,PIT,NL,134,134,378.0,44.0,80.0,9.0,4.0,0.0,23.0,17.0,6.0,37.0,42.0,0.0,2.0,8.0,2.0,2.0,134.0
sewellu01,1942,1,SLA,AL,6,6,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,,0.0,0.0,,1.0,6.0
holtzke01,1978,1,NYA,AL,5,0,,,,,,,,,,,,,,,,,5.0
lunahe01,2008,1,TOR,AL,2,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
raineti01,1996,1,NYA,AL,59,59,201.0,45.0,57.0,10.0,0.0,9.0,33.0,10.0,1.0,34.0,29.0,1.0,1.0,0.0,4.0,5.0,59.0
jonesti02,1989,1,SLN,NL,42,42,75.0,11.0,22.0,6.0,0.0,0.0,7.0,1.0,0.0,7.0,8.0,1.0,1.0,1.0,2.0,2.0,42.0
leedo01,1957,1,DET,AL,11,11,12.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,11.0
bunniji01,1969,2,LAN,NL,9,9,18.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,1.0,9.0
bellbu01,1977,1,CLE,AL,129,129,479.0,64.0,140.0,23.0,4.0,11.0,64.0,1.0,8.0,45.0,63.0,5.0,1.0,8.0,5.0,14.0,129.0
burnsdi01,1884,1,CNU,UA,79,79,350.0,84.0,107.0,17.0,12.0,4.0,,0.0,,5.0,,,,,,,79.0
hootobu01,1978,1,LAN,NL,32,32,67.0,4.0,10.0,1.0,0.0,0.0,2.0,0.0,0.0,7.0,15.0,0.0,0.0,18.0,0.0,2.0,32.0
almonbi01,1985,1,PIT,NL,88,88,244.0,33.0,66.0,17.0,0.0,6.0,29.0,10.0,7.0,22.0,61.0,0.0,1.0,4.0,3.0,6.0,88.0
sullisl01,1883,2,LS2,AA,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,1.0
