playerid,yearid,stint,teamid,lgid,pos,g,gs,innouts,po,a,e,dp,pb,wp,sb,cs,zr
ibanera01,1997,1,SEA,AL,DH,1,,,,,,,,,,,
walkbo01,1990,1,PIT,NL,P,26,24.0,389.0,12.0,11.0,3.0,0.0,,,,,
reynoch01,1882,1,PH4,AA,OF,1,,,0.0,0.0,0.0,0.0,,,,,
furilca01,1958,1,LAN,NL,OF,119,105.0,2887.0,187.0,5.0,5.0,0.0,,,,,
seymocy01,1910,1,NY1,NL,OF,76,,,137.0,9.0,10.0,1.0,,,,,
millwke01,2008,1,TEX,AL,P,29,29.0,506.0,8.0,24.0,2.0,1.0,,,,,
nelsoro02,1969,1,KCA,AL,P,29,29.0,580.0,19.0,25.0,5.0,3.0,,,,,
nortogr01,2006,1,TBA,AL,RF,28,26.0,622.0,40.0,0.0,2.0,0.0,,,,,
kildupe01,1917,2,CHN,NL,2B,5,,,11.0,17.0,0.0,2.0,,,,,
higgike01,1993,1,SDN,NL,RF,2,0.0,9.0,0.0,0.0,0.0,0.0,,,,,
snydech01,1890,1,PH4,AA,OF,5,,,6.0,1.0,5.0,0.0,,,,,
patteke01,1993,1,CAL,AL,P,46,0.0,177.0,1.0,8.0,1.0,0.0,,,,,
seradbi01,1885,1,BFN,NL,P,30,,,9.0,38.0,9.0,2.0,,,,,
reesera01,1930,1,NY1,NL,1B,1,,,0.0,0.0,0.0,0.0,,,,,
vaughgr01,1999,1,CIN,NL,OF,144,144.0,3574.0,266.0,8.0,4.0,2.0,,,,,
merklfr01,1920,1,CHN,NL,OF,1,,,0.0,0.0,0.0,0.0,,,,,
maysjo01,2002,1,MIN,AL,P,17,17.0,286.0,7.0,13.0,2.0,4.0,,,,,
asproke01,1962,2,ML1,NL,3B,6,5.0,153.0,9.0,12.0,1.0,1.0,,,,,
howelha01,1900,1,BRO,NL,P,21,,,6.0,31.0,2.0,1.0,,,,,
roberro01,1963,1,BAL,AL,P,35,35.0,754.0,24.0,31.0,3.0,1.0,,,,,
manniri01,1985,1,ML4,AL,DH,2,,,,,,,,,,,
edmonji01,1993,1,CAL,AL,RF,15,14.0,349.0,37.0,3.0,1.0,1.0,,,,,
edwarma01,1983,1,ML4,AL,LF,12,8.0,208.0,17.0,1.0,0.0,1.0,,,,,
geejo01,1944,2,NY1,NL,P,4,,,0.0,3.0,0.0,0.0,,,,,
paskedo01,1921,1,CIN,NL,OF,24,,,60.0,2.0,1.0,2.0,,,,,
wadderu01,1901,1,PIT,NL,P,2,,,0.0,4.0,1.0,0.0,,,,,
teahema01,2011,1,CHA,AL,RF,6,2.0,69.0,2.0,0.0,0.0,0.0,,,,,
bondwa01,1967,1,MIN,AL,LF,3,3.0,66.0,7.0,0.0,1.0,0.0,,,,,
hurstbr01,1989,1,SDN,NL,P,33,33.0,734.0,8.0,42.0,0.0,2.0,,,,,
fanzoca01,1973,1,CHN,NL,3B,25,15.0,472.0,17.0,30.0,4.0,0.0,,,,,
hammoro01,2007,1,ARI,NL,3B,4,1.0,41.0,0.0,2.0,1.0,0.0,,,,,
bondsbo01,1980,1,SLN,NL,OF,70,57.0,1547.0,114.0,5.0,4.0,2.0,,,,,
applilu01,1939,1,CHA,AL,SS,148,,,289.0,461.0,39.0,78.0,,,,,
felizpe01,2002,1,SFN,NL,3B,44,32.0,841.0,29.0,57.0,3.0,9.0,,,,,
skinnbo01,1960,1,PIT,NL,OF,141,140.0,3685.0,250.0,13.0,5.0,2.0,,,,,
mabryjo01,1996,1,SLN,NL,1B,146,139.0,3593.0,1170.0,76.0,8.0,107.0,,,,,
knollpu01,1905,1,WS1,AL,C,5,,,14.0,4.0,0.0,0.0,0.0,,,,
hornsro01,1916,1,SLN,NL,SS,45,,,90.0,132.0,22.0,22.0,,,,,
koosmje01,1984,1,PHI,NL,P,36,34.0,672.0,9.0,34.0,4.0,1.0,,,,,
whitnji01,1884,1,BSN,NL,3B,1,,,1.0,1.0,0.0,0.0,,,,,
akersbi01,1929,1,DET,AL,SS,24,,,43.0,57.0,7.0,13.0,,,,,
loudeba01,1915,1,BUF,FL,3B,19,,,27.0,42.0,2.0,6.0,,,,,
mclaujo01,1984,2,TEX,AL,P,15,0.0,98.0,3.0,1.0,0.0,1.0,,,,,
ehrharu01,1927,1,BRO,NL,P,46,,,5.0,36.0,3.0,1.0,,,,,
mottocu01,1974,1,BAL,AL,DH,1,,,,,,,,,,,
younger01,1996,1,COL,NL,2B,139,136.0,3507.0,340.0,431.0,12.0,109.0,,,,,
bakerfl01,1954,2,PHI,NL,3B,7,3.0,93.0,6.0,11.0,0.0,0.0,,,,,
fieldce01,1998,2,CLE,AL,DH,10,,,,,,,,,,,
murphed01,1898,1,PHI,NL,P,7,,,3.0,12.0,2.0,2.0,,,,,
strawda01,1988,1,NYN,NL,RF,150,149.0,3896.0,296.0,4.0,9.0,3.0,,,,,
yosted01,1956,1,WS1,AL,3B,135,135.0,3562.0,164.0,303.0,18.0,31.0,,,,,
harrijo03,1924,1,BOS,AL,OF,3,,,9.0,0.0,0.0,0.0,,,,,
joosted01,1943,1,BSN,NL,2B,60,,,141.0,167.0,17.0,37.0,,,,,
