season,slot,strongseed,weakseed
2007,R2W4,R1W4,R1W5
1993,R1W2,W02,W15
1991,R1W2,W02,W15
2004,R1Y7,Y07,Y10
1998,R3Z2,R2Z2,R2Z3
1992,R1W3,W03,W14
2011,R3Z2,R2Z2,R2Z3
2001,R4Z1,R3Z1,R3Z2
2008,R2Z4,R1Z4,R1Z5
2011,R1Z1,Z01,Z16
1986,R1W5,W05,W12
2013,R1Y7,Y07,Y10
1988,R1Y7,Y07,Y10
1990,R3X1,R2X1,R2X4
2012,R2Y1,R1Y1,R1Y8
1990,R1W6,W06,W11
1988,R5WX,R4W1,R4X1
2000,R2Y3,R1Y3,R1Y6
1991,R4W1,R3W1,R3W2
1987,R2Y4,R1Y4,R1Y5
1995,R1Y5,Y05,Y12
2002,R3Y2,R2Y2,R2Y3
2001,R1Z3,Z03,Z14
1992,R1Y1,Y01,Y16
1985,R2W3,R1W3,R1W6
2010,R1W6,W06,W11
2014,R4Z1,R3Z1,R3Z2
2000,R1W2,W02,W15
1992,R2Z2,R1Z2,R1Z7
2014,R4W1,R3W1,R3W2
1998,R1X6,X06,X11
1989,R3Y1,R2Y1,R2Y4
2005,R1Y3,Y03,Y14
2003,R1W3,W03,W14
1996,R1W3,W03,W14
1989,R1Y4,Y04,Y13
1992,R4W1,R3W1,R3W2
1992,R4X1,R3X1,R3X2
2001,R1Y7,Y07,Y10
1992,R2Z1,R1Z1,R1Z8
2006,R2W3,R1W3,R1W6
2003,R1Y6,Y06,Y11
1994,R1W7,W07,W10
2013,R3Y1,R2Y1,R2Y4
1988,R1Y4,Y04,Y13
1995,R1X7,X07,X10
2014,R2Y2,R1Y2,R1Y7
