franchid,franchname,active,naassoc
CFC,Кливленд Форест-Ситис,Да.,
PHI,Филадельфийские Филлис,Да.,
MAN,Миддлтон-Мансфилды,Да.,
ECK,Бруклин Экфорс,Да.,
NYU,Нью-Йорк Мутуалы,Машина хорошо работает и не требует ремонта.,ННА
NYP,Нью-Йорк Метролитанс,Машина хорошо работает и не требует ремонта.,
BLT,Балтимор Чертопальцы,Машина хорошо работает и не требует ремонта.,
CIN,"""Цинциннати Редс""",Да.,
CLE,Кливленд Индианс,Да.,
OLY,Олимпийские игры в Вашингтоне,Да.,
TEX,Техас Рейнджеры,Да.,
SYR,Сиракузские звёзды,Машина хорошо работает и не требует ремонта.,
SEA,Сиэтл Маринерс,Да.,
LAD,Лос-Анджелес Доджерс,Да.,
BOS,Бостон Ред Сокс,Да.,
CPI,Чикаго/Питтсбург (Союзная лига),Машина хорошо работает и не требует ремонта.,
TOR,Бьюфало Бэйхитс,Да.,
HNA,Гарвард Дарк Блюз,Да.,ХАР
DTN,Детройт Вулверинс,Машина хорошо работает и не требует ремонта.,
COR,Цинциннати Оутла Редз,Машина хорошо работает и не требует ремонта.,
RES,Элизабет Решает Проблемы,Да.,
ALT,Альтоона-Маунтин-Сити,Машина хорошо работает и не требует ремонта.,
FLA,Майами Марлинс,Да.,
WES,Кэокук Уэстернс,Да.,
SLI,Сент-Луис Террьеры,Машина хорошо работает и не требует ремонта.,
SLM,Сент-Луис Мароус,Машина хорошо работает и не требует ремонта.,
TOL,Толедские синие стокинги,Машина хорошо работает и не требует ремонта.,
HOU,Хьюстон Астрос,Да.,
CLS,Колумбус Солоны,Машина хорошо работает и не требует ремонта.,
PRO,Провиденс Грейс,Машина хорошо работает и не требует ремонта.,
STL,Сент-Луис Кардиналс,Да.,
NNA,Нью-Йорк Мутуалы,Да.,Нью-Йоркский университет
SNA,Сент-Луис Браун Стокингс,Да.,ШНБ
CLI,Кливленд Инфантс,Машина хорошо работает и не требует ремонта.,
ROK,Рокфорд Форест Ситис,Да.,
DET,Детройт Тайгерс,Да.,
ATL,Атланта Брейвз,Да.,БНА
NYM,Нью-Йорк Метс,Да.,
CNR,"""Цинциннати Редс""",Машина хорошо работает и не требует ремонта.,
BRD,Бостон Редс,Машина хорошо работает и не требует ремонта.,
BRS,Бостон Редс,Машина хорошо работает и не требует ремонта.,
CBK,Коламбус Баксайенс,Машина хорошо работает и не требует ремонта.,
BTT,Бруклин Тип-Топс,Машина хорошо работает и не требует ремонта.,
WOR,Уорцестер Руби Лэгс,Машина хорошо работает и не требует ремонта.,
NYY,Нью-Йорк Янкиз,Да.,
SYS,Сиракузские звёзды,Машина хорошо работает и не требует ремонта.,
NYI,Нью-Йорк Джайантс,Машина хорошо работает и не требует ремонта.,
ANA,Лос-Анджелес Энджелс из Анахайма,Да.,
CHW,Чикаго Уайт Сокс,Да.,
BLC,Балтиморские канарейки,Да.,
BUF,Баффало Бильс,Машина хорошо работает и не требует ремонта.,
TBD,Тампа Бэй Рейс,Да.,
ATH,Филадельфийские Атлетики,Машина хорошо работает и не требует ремонта.,НП
HAR,Гарвард Дарк Блюз,Машина хорошо работает и не требует ремонта.,HА
MIL,Милуоки Брюэрс,Да.,
CEN,Филадельфийские столетия,Да.,
SLR,Сент-Луис Ред Стокингс,Да.,
CKK,Киллеры Кэнсас-Сити Келлз,Машина хорошо работает и не требует ремонта.,
PBB,Питтсбургские бурги,Машина хорошо работает и не требует ремонта.,
BRG,Бруклин Гладиаторы,Машина хорошо работает и не требует ремонта.,
ARI,Аризона Даймондбэкс,Да.,
CBL,Кливленд Блюз,Машина хорошо работает и не требует ремонта.,
KEK,Форт-Уэйн Кекионгэс,Да.,
TRO,Трой Хэймэкс,Да.,
WBL,Вашингтонские синие ноги,Да.,
BAL,Балтимор Ориолс,Да.,
NAT,Вашингтон Нэшнлз,Да.,
BLU,Бальтиморские монументы,Машина хорошо работает и не требует ремонта.,
PWS,Филадельфийские белые чулки,Да.,
KCC,Канзас-Сити Ковбои,Машина хорошо работает и не требует ремонта.,
MLU,Милуоки Брюэрс,Машина хорошо работает и не требует ремонта.,
KCU,Канзас-Сити Ковбои,Машина хорошо работает и не требует ремонта.,
KCR,Канзас-Сити Роялс,Да.,
CHP,Чикаго Пэсос,Машина хорошо работает и не требует ремонта.,
SFG,Сан-Франциско Джайентс,Да.,
PIT,Питтсбургские пираты,Да.,
WNA,Вашингтон Нэшнлз,Машина хорошо работает и не требует ремонта.,
