playerid,schoolid,yearmin,yearmax
sackibr01,stanford,1990,1992
sewellu01,alabama,1919,1921
sheajo01,bostoncoll,1923,1928
laynehe01,wvirginia,1920,1926
schutca01,sela,1993,1993
mccurha01,illinois,1920,1922
thompma01,kentucky,1990,1992
wardlcu01,ucriver,1981,1981
holmaga01,usc,1963,1963
patteke01,baylor,1984,1985
belloro01,mercer,1966,1969
morgajo01,bostoncoll,1950,1952
adducji01,sillinois,1978,1980
morrebi01,tuftsma,1920,1923
ruthvdi01,fresnost,1971,1972
pritcch01,ucla,1989,1991
bailesc01,swmost,1981,1981
freemhe01,alabama,1947,1947
mcnamdi01,bostoncoll,1924,1927
moutoja01,stmarysca,1988,1991
belarwa01,santaclara,1948,1948
ramiral01,rice,1976,1979
hartmi02,wisconsin,1977,1979
jonesdo01,butler,1976,1977
tamje01,floridast,1993,1993
vangoda01,usc,1976,1978
harrebu01,sanfranst,1963,1963
tellmto01,unlv,1975,1975
legggr01,seoklahoma,1979,1982
hinsker01,arkansas,1996,1998
bruskji01,loyolamary,1986,1986
hugheto03,texas,1928,1929
stottme02,unlv,1983,1984
finlebi01,columbia,1886,1886
whitema03,clemson,1996,1998
shafera01,cincy,1913,1914
hartzpa01,lehigh,1972,1975
osikke01,lsu,1988,1990
buicede01,csdomhills,1976,1976
balbost01,eckerd,1976,1978
smithjo03,california,1912,1913
vanegti01,jksonvilst,1990,1991
henniri01,missouri,1968,1968
mchaljo01,notredame,1943,1943
hawksch01,santaclara,1915,1920
beattbl01,baylor,1985,1986
montgst01,pepperdine,1990,1992
carribi02,holycross,1904,1906
richaru01,texas,1984,1986
mitchbo03,usc,1974,1977
tamarjo01,georgiasou,1972,1973
porzimi01,wconnst,1991,1993
lyonsst01,oregonst,1979,1981
handlge01,bradley,1933,1935
hashhe01,richmond,1935,1937
curledo01,holycross,1894,1898
kinzyha01,txchrist,1932,1934
boonebo01,stanford,1967,1969
stantmi02,swesterntx,1986,1986
clarkwa01,harvard,1898,1903
spindha01,ucla,1931,1938
czajkji01,nalabama,1985,1986
wilsogr01,troyst,1941,1947
heathje02,oralrob,1980,1980
colemri01,syracuse,1952,1952
castiji01,georgetown,1937,1941
skubebo01,usc,1977,1979
orwolos01,lutheria,1922,1925
neverer01,stanford,1924,1925
lawleto01,psubehrend,1975,1978
tonkido01,maryland,1900,1907
wilsofr01,bostoncoll,1921,1924
parkssl01,michigan,1919,1920
martijo05,emichigan,1975,1978
erickro01,norleans,1975,1977
wardru01,holycross,1899,1901
hennemi01,okstate,1983,1984
speiery01,radford,1998,2001
gibsoki01,michiganst,1978,1978
northja01,bucknell,1907,1910
fariepa01,pepperdine,1984,1987
gilleto02,indianast,1981,1984
partrja01,oglethrpga,1922,1925
caprani01,oklahoma,1979,1979
lyonshe01,occidental,1934,1937
mooreba01,pfeiffer,1962,1962
bobbra01,arizonast,1967,1967
pearsja01,illinoisst,1995,1998
gilfija01,charleston,1995,1996
rossma01,texasam,1976,1979
gallaed01,bostoncoll,1929,1932
daveymi01,gonzaga,1972,1974
dwyerji01,sillinois,1970,1971
banksbr01,byu,1990,1990
cohenan01,alabama,1923,1925
pyechjo01,appalst,1950,1953
frencpa01,maine,1912,1917
gregopa01,missst,1928,1930
sheehji01,alabama,1934,1934
weaveor01,mryvilletn,1905,1905
riosar01,lsu,1991,1993
georgch01,kentst,1987,1988
wickeke01,ncstate,1925,1930
eatoncr01,floridast,1975,1976
mormaal01,wingate,1988,1991
phoenst01,grcanyon,1989,1990
berryjo02,upenn,1915,1917
milletr01,kentst,1992,1994
chambbi02,stanselm,1929,1932
barnelu01,oregonst,1967,1969
welchmi03,smaine,1991,1993
murrare01,notredame,1905,1906
schmabr01,nillinois,1992,1995
thompjo01,neastern,1938,1940
barkeke01,vatech,1994,1996
leachri01,michigan,1976,1979
ritzke01,wlmpennia,1984,1984
bowench01,holycross,1916,1919
nagello01,notredame,1909,1910
brousbe01,mcneese,1996,1999
allenbe01,purdue,1959,1961
zelleba01,eillinois,1961,1963
larkige01,columbia,1981,1984
grahamo01,maryland,1903,1905
rungepa01,jacksonvil,1977,1979
donnech01,loyolamary,1985,1987
finlest01,sillinois,1984,1987
patejo01,tulane,1911,1919
locklst01,wisconsin,1947,1948
vernomi01,villanova,1937,1937
aikenwi01,scstate,1973,1974
willisc01,okstate,1997,1997
boltoro01,kentucky,1989,1990
chalkda01,texas,1969,1972
cassaha01,ilwesleyan,1901,1904
jacksry01,duke,1991,1994
mcdonjo03,providence,1995,1996
hearnbu01,missst,1908,1909
thomale01,lynchbrgva,1920,1923
goffje01,california,1985,1986
adairji01,etxbaptist,1924,1927
craigpe01,detroit,1961,1963
primra01,auburn,1929,1929
brossfr01,minnesota,1964,1966
finlebi01,manhattan,1882,1885
kluttcl01,catawba,1937,1937
huntebi03,indianapa,1946,1947
fieldce01,unlv,1982,1982
dunnemi01,bradley,1982,1984
grillst01,gannon,1968,1970
methebu01,willmary,1935,1938
repulri01,stcloudst,1946,1946
leitndo01,fordham,1884,1887
perrypa01,emoryga,1911,1913
johnsfr02,davidson,1919,1919
nettlgr01,sandiegost,1964,1965
walkuji02,arkansas,1928,1929
ratlijo01,lemoyne,1991,1993
mcdowod01,arizonast,1983,1984
repozro01,wwashngton,1959,1960
singlch01,nevada,1992,1993
prattde01,alabama,1908,1909
biglepe01,sprngfldma,1916,1916
machami01,rice,1974,1975
stoneti01,mercer,1920,1923
boggsra01,denver,1923,1924
smithda05,creighton,1988,1990
reploan01,kansasst,1973,1975
spiezed01,lewisil,1962,1963
reisja01,cincy,1909,1911
revento01,mankatost,1988,1990
applilu01,oglethrpga,1929,1930
adamsmi01,usc,1967,1967
owenla01,bowlgreen,1974,1977
belkti01,lubbchrist,1992,1992
bellje01,belmont,1966,1968
eshelva01,houston,1990,1991
normale01,stfrncisil,1988,1991
hortori01,virginia,1978,1980
uhlaete01,baylor,1959,1961
fitzgbr01,vatech,1993,1996
ellisro02,nwstate,1989,1989
drakela01,baylor,1941,1944
bonhabi01,ucla,1969,1970
demarch01,longbeach,2001,2002
brosisc01,linfieldor,1985,1987
sauered01,elon,1939,1939
mattoji01,washleeva,1919,1920
smithpa01,millikin,1909,1910
armstmi01,miamifl,1973,1973
edwarmi01,ucla,1973,1974
ramsebi01,florida,1939,1940
quantpa01,wisconsin,1987,1989
leero01,bowlgreen,1936,1941
rakerja01,nmstate,1994,1995
citarra01,flsouthern,1977,1979
fordcu01,jacksonst,1979,1981
jacksro01,wmichigan,1952,1954
dejeami01,walabama,1991,1992
papeke01,texas,1971,1973
sullide01,holycross,1878,1879
colemed01,oregonst,1924,1924
zuberjo01,california,1989,1992
faberre01,lorasia,1909,1909
sherrti01,arkansas,1986,1987
roggecl01,adrianmi,1910,1914
lowfl01,dartmouth,1913,1914
averiea02,oregon,1950,1953
eaddydo01,michigan,1952,1955
lukema01,california,1990,1992
brookto01,mansfield,1972,1974
eavega01,grambling,1982,1985
kingmda01,usc,1969,1970
pattejo01,grcanyon,1987,1988
whitebi01,brown,1879,1883
merchan01,auburn,1969,1972
tobinjo01,neastern,1925,1932
allench01,texasam,1994,1996
broacjo01,yale,1932,1932
mootyja01,texasam,1933,1935
cantwmi01,georgetown,1914,1916
guthrje01,stanford,2001,2002
spurgfr01,valpo,1919,1924
ralstdo01,pittsburgh,1904,1910
fossuca01,texasam,1997,1999
peacojo01,unc,1931,1933
sandede01,oklahoma,1942,1942
hutchch01,stanford,1996,1998
sembemi01,tulsa,1971,1974
mcnulpa01,ohiost,1920,1921
rhombke01,stfrncisil,1976,1977
yarriru01,gettysburg,1917,1920
grundke01,mosouthern,1988,1991
martist01,guilfordnc,1930,1933
breweto02,miamifl,1978,1979
lucasga01,chapmanca,1975,1976
suscege01,stbonny,1928,1929
thomast01,newhaven,1969,1971
hulseda01,schreiner,1987,1990
winero01,okstate,1981,1983
wirtske01,stmarysca,1916,1921
wineaed01,providence,1927,1929
abbotgl01,carkansas,1970,1970
reedbi01,notredame,1944,1948
faltest01,salabama,1990,1992
emersch01,dartmouth,1908,1911
mullifr01,santaclara,1976,1979
papeljo01,missst,2000,2003
macphwa01,princeton,1919,1922
mcconam01,beloitwi,1903,1903
hobsobu01,alabama,1970,1973
kingra01,lambuthtn,1993,1995
maurero01,evansville,1986,1988
gammoda01,brown,1895,1898
cookgl01,ithacany,1978,1981
hopkipa01,colgate,1924,1927
mearach01,manhattan,1910,1914
vonkofr01,scarolina,1912,1913
brownle02,sacstate,1969,1973
moodyer01,erskine,1990,1993
siskdo01,washst,1980,1980
kusnyar01,kentst,1966,1966
leeda01,mercyhurst,1994,1995
firovda01,utpanam,1978,1979
twombcy01,lehigh,1916,1918
tremani01,manhattan,1931,1934
nagych01,uconn,1987,1988
bairdal01,lsu,1916,1916
habenbo01,stlouis,1946,1947
wilsode01,fairldick,1989,1990
tuttlbi01,bradley,1949,1951
mulrofr01,iowa,1927,1928
murphfr01,fordham,1894,1901
fordge02,iowa,1933,1935
lanedi01,detroit,1946,1949
jacksda02,oklahoma,1981,1981
chulkvi01,stthomasfl,1998,2000
heinebu01,stbonny,1920,1921
mulligr01,nflorida,1994,1995
costejo01,mercyhurst,1980,1983
wyliere01,genevapa,1880,1882
mccauji01,unionny,1882,1883
sulliha02,florida,1950,1952
farrejo03,okstate,1983,1984
scarsle01,stmarysca,1933,1933
smithbo05,missouri,1948,1950
busbyst01,usc,1970,1971
benesal01,creighton,1991,1993
melhuad01,ucla,1992,1993
brunsar01,cncrdiacol,1959,1962
clarkge01,iowast,1911,1911
raczkmi01,newhaven,1981,1984
millele01,arizonast,1980,1981
doolami01,villanova,1899,1904
mcgheed01,arkansasst,1946,1947
winchfr01,princeton,1901,1909
madisda01,lsu,1941,1943
romanbi01,michigan,1958,1960
stonedi01,okcity,1933,1934
koplomi01,delaware,1998,1998
olwined01,morehead,1977,1980
nelsojo01,sanfran,1993,1996
tudorjo01,georgiasou,1975,1975
thomaro01,upenn,1892,1898
hollida01,scarolina,1985,1987
lawsobo01,unc,1897,1899
edenfke01,wkentucky,1989,1990
bolesca01,arkansaspb,1954,1958
leskacu01,lsu,1989,1989
fehridu01,purdue,1932,1934
sambijo01,adelphi,1971,1973
brinkbi01,washington,1903,1905
upchuwo01,campbell,1930,1935
canizja01,okstate,1992,1992
jonesje02,iowa,1977,1979
boudrlo01,illinois,1937,1937
mclaned01,fordham,1900,1907
karnuja01,illinoisst,1995,1997
hanckbu01,birmsouth,1933,1934
manueba01,lsu,1986,1987
sheage01,creighton,1900,1905
brownfr02,georgtwnky,1902,1904
pyeed01,mtennst,1986,1988
peterch01,indiana,1992,1993
powisca01,murrayst,1948,1948
mcdevda01,stbonny,1951,1951
chrisll01,davidson,1914,1914
upshace01,centenary,1961,1963
combsea01,ekentucky,1918,1921
rogerle01,alabama,1934,1935
humphjo01,cornell,1880,1882
pyburji01,auburn,1953,1954
wilhojo01,depaul,1906,1911
harrich02,txtech,1961,1962
lyonste01,baylor,1920,1923
frankja01,illinois,1938,1942
erickra01,idahost,1923,1925
essegch01,stanford,1951,1953
holtzke01,illinois,1965,1965
trabeji01,okstate,1980,1982
hamilst01,morehead,1955,1957
whitmda02,wvirginia,1988,1990
neumeda01,wioshkosh,1967,1968
caldwbr01,yale,1927,1928
whitese01,charlotte,1990,1992
patebo01,arizonast,1976,1977
spognan01,bostoncoll,1928,1932
coopedo01,nytech,1975,1977
edwarwa01,azusapac,1983,1985
kenwodi01,missouri,1960,1960
engleda01,usc,1977,1978
marlodi01,davidson,1948,1948
oquismi01,arkansas,1987,1989
knodera01,maryland,1917,1920
stankjo01,okstate,1949,1952
hargeal01,neillinois,1976,1977
zimmeje02,txchrist,1992,1993
leele01,princeton,1877,1878
johnsdo02,oregonst,1932,1932
clarkwa02,mscollege,1921,1924
pyznati01,eillinois,1979,1981
mcgilbi01,friendsks,1899,1907
russoma01,brklyncuny,1933,1935
cadargr01,grvalleyst,1980,1983
frazige01,oklahoma,1975,1976
edenmi01,sillinois,1971,1973
drewca01,newhaven,1983,1985
scottpe01,stmarysca,1917,1925
mottoch01,cflorida,1990,1992
canalge01,vatech,1984,1986
arndtla01,bowlgreen,1982,1985
strando01,ncstate,1983,1985
hancole01,calpoly,1986,1988
pearsmo01,california,1928,1929
bradlry01,arizonast,1995,1997
shumaan01,crdstritch,1992,1995
brillji01,roanokeva,1920,1920
adkinhe01,chicago,1893,1895
sullibi04,notredame,1930,1931
militsa01,tampa,1988,1990
corajo01,vandy,1983,1985
wilsoed01,holycross,1928,1936
dedearo01,usc,1933,1935
lewisri01,floridast,1985,1987
mchalji01,stmarysca,1894,1899
blairbu01,lsu,1933,1936
clarkro01,brown,1893,1897
ignasmi01,michigan,1985,1988
grababi01,stmarytx,1966,1966
schoege01,loyolano,1965,1966
bushodo01,upenn,1875,1875
westma01,ntexas,1923,1928
barneho01,colgate,1922,1925
mussiba01,bowlgreen,1938,1943
carnepa01,holycross,1898,1901
mooresc01,gatech,1913,1913
glazera01,dartmouth,1903,1906
spraged02,stanford,1986,1988
raschvi01,willmary,1939,1941
mackde01,villanova,1867,1870
lynchja01,fordham,1876,1880
morgave01,richmond,1947,1947
blankma01,texasam,1996,1997
reynoal01,okstate,1936,1938
tuckemi01,longwoodva,1990,1992
magnest01,cornell,1908,1911
soffra01,cmichigan,1977,1979
richaje01,arkansas,1984,1984
thielja01,manhattan,1898,1904
elmorve01,alabama,1925,1926
shafeti01,santaclara,1907,1908
doziebu01,baylor,1943,1945
beenefr01,samhouston,1962,1964
mussimi01,stanford,1989,1990
hedgpha01,unc,1909,1910
napolda01,rider,1964,1964
grayda01,weberst,1962,1963
malonch01,bostoncoll,1905,1908
jarvike01,wake,1988,1991
kilgupa01,kentucky,1981,1984
dimicfr01,lasalle,1983,1985
liebejo01,salabama,1991,1992
boswean01,upenn,1893,1894
parkech01,notredame,1995,1996
peterga01,grovecity,1955,1955
beltrri01,wyoming,1990,1991
goodwpe01,california,1910,1913
keatira01,niagara,1910,1912
nippedu01,ohvalley,0,0
lawrebr02,nwstate,1997,1998
willire01,southernu,1979,1982
lusadsc01,florida,1984,1985
porzimi01,villanova,1991,1993
taberle01,georgetown,1919,1926
neumi01,miamifl,1999,2001
bordlbi01,usc,1977,1978
dearbu01,vatech,1925,1927
naultda01,calstfull,1991,1992
grossga01,auburn,1999,2001
barnere01,alabama,1925,1926
portene01,florida,1924,1926
rignejo01,stthomasmn,1933,1935
levinal01,sillinois,1990,1991
whelato01,dartmouth,1917,1917
adamshe01,nillinois,1947,1947
lopezja02,virginia,1996,1998
bairdal01,centenary,1914,1917
gehrilo01,columbia,1923,1923
mackqu01,ucsb,1986,1987
farmeho01,jacksonst,1986,1987
hoblidi01,pittsburgh,1906,1908
poffjo01,duke,1971,1974
woodcfr01,dartmouth,1888,1890
anderbo01,michiganst,1954,1954
clarkda05,jacksonst,1981,1983
lansimi01,wichitast,1987,1990
johnsra04,sanjosest,1977,1978
fortuti01,vanguardca,1981,1986
snellna01,tennst,1973,1976
deckest01,lewclarkst,1986,1988
thomada01,sillinois,1971,1973
bedrost01,newhaven,1978,1978
johnsre01,usc,1958,1959
hodgegi01,stjosephin,1942,1943
morgake01,sela,1989,1991
meridro01,oralrob,1976,1978
careysc01,wvirginia,1892,1894
atherch01,pennst,1893,1895
staplda02,grcanyon,1982,1983
strohjo01,pacific,1965,1968
sulliha01,stlouis,1906,1909
millela01,kansas,1957,1958
mccaski01,vermont,1980,1982
buforda01,usc,1988,1990
carlete01,txchrist,1923,1925
younger02,lewisil,1988,1990
howelke01,tuskegee,1980,1982
paytoja01,gatech,1992,1994
mcclula01,amherstma,1907,1909
bethebi01,texas,1961,1963
tracyan01,bowlgreen,1993,1996
allisda01,jamesmad,1986,1989
myettaa01,washington,1996,1996
bearega01,longbeach,1973,1974
douglla01,tennessee,1909,1915
johnsjo03,emichigan,1933,1935
conlojo01,harvard,1917,1922
kellemi02,pugetsound,1967,1969
griesti01,texasam,1916,1917
paglimi01,miamifl,1979,1981
diazca02,okstate,1983,1986
campbda01,michigan,1962,1964
ageeto01,grambling,1961,1961
riggsad01,uscaiken,1993,1994
stidhph01,arkansas,1989,1991
kippeth01,wisconsin,1946,1950
dalcabr01,calipa,1961,1964
venafmi01,jamesmad,1992,1995
johnsro05,washington,1978,1980
stewajo01,erskine,1898,1900
vitkojo01,stfranpa,1989,1989
shultto01,upenn,1907,1911
chrisja01,cameronok,1990,1991
edensto01,lewclarkst,1980,1983
doranbi01,stmarysca,1917,1922
reeseke01,sandiego,1997,2000
polonjo01,arizonast,1973,1975
wallado02,okstate,1960,1962
roberri01,santaclara,1963,1965
ginnti01,georgia,1911,1914
pfeffbi01,illinois,1904,1904
everead01,scarolina,1997,1998
orieke01,indiana,1991,1993
moorebi03,calstfull,1980,1983
hernaxa01,ulala,1984,1986
swoboro01,maryland,1963,1963
howarch02,miamifl,1986,1986
tayloha01,cornell,1885,1888
leffecr01,arizona,1978,1980
brewero01,florida,1985,1987
ruckeda01,laverneca,1978,1978
noyeswi01,newesleyan,1909,1912
brocklo01,southernu,1958,1960
powelle01,michiganst,1953,1955
signewa01,newyorku,1931,1933
pederst01,pacific,1978,1978
anderfr01,davidson,1906,1906
steerge01,brown,1891,1894
bowensa02,valdostast,1973,1974
tolenjo01,texas,1983,1983
coreyma02,edinboro,1993,1995
haleyra01,willinois,1910,1914
croweji01,indpolis,1993,1995
bernhwa01,upenn,1917,1918
hughebo01,usc,1992,1992
walshed01,fordham,1900,1903
lassedo01,georgia,1952,1952
moorega01,texas,1965,1966
kentst01,flinternat,1999,1999
walkemi02,houston,1984,1986
freesge02,wlibertyst,1952,1952
hurstja01,flsouthern,1988,1989
smithda03,lamar,1978,1979
cobleda01,scarolina,1933,1934
haughch01,stjohns,1943,1943
leebi03,usc,1966,1968
templjo01,catawba,1947,1948
busbyji01,txchrist,1947,1948
morhamo01,uconn,1957,1959
alvarab01,longbeach,2001,2003
norwowi01,laverneca,1969,1972
casiala01,calstfull,1985,1987
drewjd01,floridast,0,0
pearste01,walabama,1993,1993
bakerje03,clemson,2000,2002
simonja01,sanjosest,1995,1995
baumhfr01,ohio,1938,1941
sledgte01,longbeach,1998,1999
maholpa01,missst,2001,2003
davisbo01,yale,1953,1955
scanldo01,syracuse,1902,1903
neeltr01,texasam,1984,1985
doyleje02,oregonst,1975,1977
murraca01,texas,1990,1992
munsoer01,usc,1997,1999
wilkied01,stmarysca,1908,1911
gerhake01,mtennst,1980,1982
guidrro01,ulala,1969,1970
lynchto01,gallaudet,1881,1884
riosar01,charlotte,1990,1990
waltefr01,missst,1935,1937
fredrsc01,texas,1990,1990
anderfe01,kansas,1937,1938
ortmeda01,utarl,2000,2002
staigro01,baconeok,1969,1970
littlsc01,missouri,1983,1983
smithbe01,southernu,1960,1961
sorrech01,stedwardtx,1916,1917
dayleke01,portland,1978,1980
buckega01,wabashin,1915,1918
kahdoik01,haskellks,1920,1922
mccarjo02,niagara,1900,1905
smithge02,columbia,1911,1916
peterra01,harvard,1965,1968
haneyto01,texas,1986,1987
campri01,wgeorgia,1973,1974
falsepe01,yale,1910,1914
deutsme01,texas,1939,1941
reinhar01,iowa,1918,1918
pinnaed01,michiganst,1903,1903
morriji01,georgiasou,1973,1974
blancal01,providence,1931,1934
jacksra01,texas,1946,1947
shiplcr01,alabama,1982,1984
mathiro01,missouri,1978,1980
priorma01,usc,2000,2001
phelpke01,arizonast,1975,1976
kralija01,michiganst,1954,1954
grahejo01,miamifl,1987,1989
schleru01,cincy,1960,1963
theodge01,utah,1967,1969
myersro01,wisconsin,1988,1990
calvema01,tulsa,1977,1978
schroke01,idaho,1974,1975
flemibi01,stmarysca,1933,1935
clemero02,texas,1982,1983
mackfr01,stmarysca,1919,1922
bradlph01,missouri,1979,1981
groatdi01,duke,1951,1952
lowese01,arizonast,1992,1992
posesc01,arkansas,1988,1989
tragewa01,purdue,1908,1909
adairji01,marshall,1924,1927
burkhmo01,cmissouri,1994,1994
hendrha01,vandy,1917,1922
dottedu01,syracuse,1950,1950
smithre05,notredame,1925,1927
mcgilbi02,stanford,1902,1902
parkewe01,clrmuddscr,1959,1961
dropowa01,uconn,1943,1943
colbecr01,oralrob,1984,1986
hammost01,floridast,1976,1977
ruszkha01,dayton,1944,1944
barreti01,indianast,1982,1983
berrych02,lafayette,1922,1925
cumbejo01,maine,1966,1966
costash01,calstfull,2001,2003
mapleho01,oregonst,1926,1929
quirkar01,dartmouth,1957,1959
steinju01,stlouis,1930,1937
meredcl01,vcu,2002,2004
mageewe01,samford,1993,1994
wickefl01,ecarolina,1960,1961
landrho01,michiganst,1948,1948
bakopa01,ulala,1991,1993
clemebo01,movalley,1905,1914
testani01,florida,1946,1946
loeka01,calstnorth,2000,2002
skeelda01,gonzaga,1910,1910
brownda01,calstla,1976,1977
spottji01,marshall,1928,1929
hooksal01,smethodist,1926,1928
holshhe01,unc,1925,1925
brownto05,lemoyne,1979,1981
billibr01,calstfull,1996,1996
lehrju01,usc,1999,1999
millsbi01,holycross,1940,1944
speiech01,ucsb,1969,1969
knodemi01,maryland,1913,1916
coraal01,miamifl,1994,1996
friedbo01,holycross,1929,1931
dreyest01,niowa,1988,1990
mcdonja02,houston,1993,1993
wehrmda01,trumanst,1971,1972
pruethu01,missouri,1921,1921
bartlja01,oklahoma,2000,2001
biittla01,buenavista,1966,1968
searske01,alabama,1936,1938
zitoba01,usc,1999,1999
johnsma01,dartmouth,1987,1990
mieskma01,wmichigan,1987,1990
gibboja01,calstla,1996,1998
coonebo01,fordham,1926,1931
frasewi01,concordny,1983,1985
timlimi01,swesterntx,1985,1987
thielhe01,manhattan,1899,1901
irwinto01,unc,1934,1935
heathmi03,creighton,1988,1991
frostda01,stanford,1972,1972
walketo04,lsu,1992,1994
filerto01,lasalle,1975,1978
fasansa01,evansville,1990,1993
gautrdo01,holycross,1922,1925
johnsje02,charlotte,1985,1988
scanldo01,manhattan,1899,1901
sukefcl01,georgetown,1923,1926
cashica01,erskine,1910,1910
ainswku01,lsu,1998,1999
shealry01,florida,1999,2002
turneti01,upenn,1909,1915
loretma01,nwestern,1990,1993
crosbke01,byu,1967,1969
tyronji01,utpanam,1970,1971
blefacu01,wagner,1961,1962
maddumi01,utep,1980,1982
hershor01,bowlgreen,1977,1979
adamswi01,albrightpa,1910,1912
grahach01,santaclara,1897,1905
wagnema02,iowast,1994,1994
holtro01,florida,1975,1977
lachoal01,pittsburgh,1979,1981
whiteja02,fordham,1924,1927
kalfabi01,columbia,1935,1937
wilsost01,portland,1983,1985
westeos01,stmarysca,1901,1907
gallaal01,santaclara,1964,1965
triplco01,appalst,1930,1935
fussele01,willinois,1940,1941
essicbi01,knoxil,1901,1903
bottari01,cconnst,1990,1991
rominke01,arizonast,1981,1982
peterje01,maryhrdbay,1985,1985
coxle01,texas,1925,1925
ohmanwi01,pepperdine,1997,1998
valenfr01,tennst,1954,1956
baichgr01,valpo,1909,1914
colliwi01,vandy,1909,1912
vicksa01,millsapsms,1914,1916
