managerid,awardid,yearid,lgid,tie,notes
williji03m,BBWAA Manager of the year,1999,AL,,
leylaji99m,TSN Manager of the Year,1992,NL,,
girarjo01m,BBWAA Manager of the year,2006,NL,,
manueje01m,TSN Manager of the Year,2000,AL,,
durocle01m,TSN Manager of the Year,1939,ML,,
mckeoja99m,BBWAA Manager of the year,1999,NL,,
melvibo01m,BBWAA Manager of the year,2007,NL,,
bakerdu01m,TSN Manager of the Year,1997,NL,,
larusto01m,TSN Manager of the Year,1992,AL,,
aloufe01m,TSN Manager of the Year,1994,NL,,
bakerdu01m,BBWAA Manager of the year,1997,NL,,
murtada01m,TSN Manager of the Year,1960,ML,,
hargrmi01m,TSN Manager of the Year,1995,AL,,
stanked01m,TSN Manager of the Year,1952,ML,,
leylaji99m,BBWAA Manager of the year,1992,NL,,
alstowa01m,TSN Manager of the Year,1963,ML,,
tracyji01m,BBWAA Manager of the year,2009,NL,,
bambege01m,TSN Manager of the Year,1978,ML,,
pinielo01m,BBWAA Manager of the year,2008,NL,,
manueje01m,BBWAA Manager of the year,2000,AL,,
mccarjo99m,TSN Manager of the Year,1938,ML,,
foxch01m,TSN Manager of the Year,1971,ML,,
bluegos01m,TSN Manager of the Year,1945,ML,,
stengca01m,TSN Manager of the Year,1953,ML,,
coxbo01m,TSN Manager of the Year,2003,NL,,
coxbo01m,TSN Manager of the Year,1991,NL,,
torboje01m,BBWAA Manager of the year,1990,AL,,
bowala01m,TSN Manager of the Year,2001,NL,,
coxbo01m,BBWAA Manager of the year,2005,NL,,
tebbebi01m,TSN Manager of the Year,1956,ML,,
johnsda02m,BBWAA Manager of the year,1997,AL,,
torboje01m,TSN Manager of the Year,1990,AL,,
stengca01m,TSN Manager of the Year,1958,ML,,
melvibo01m,BBWAA Manager of the year,2012,AL,,
melesa01m,TSN Manager of the Year,1965,ML,,
girarjo01m,TSN Manager of the Year,2006,NL,,
maddojo99m,BBWAA Manager of the year,2008,AL,,
williji03m,TSN Manager of the Year,1999,AL,,
torrejo01m,BBWAA Manager of the year,1998,AL,,
gibsoki01m,BBWAA Manager of the year,2011,NL,,
andersp01m,TSN Manager of the Year,1987,AL,,
zimmedo01m,BBWAA Manager of the year,1989,NL,,
mckeoja99m,BBWAA Manager of the year,2003,NL,,
wedgeer01m,BBWAA Manager of the year,2007,AL,,
coxbo01m,TSN Manager of the Year,1993,NL,,
lanieha01m,TSN Manager of the Year,1986,NL,,
coxbo01m,BBWAA Manager of the year,2004,NL,,
oatesjo01m,TSN Manager of the Year,1996,AL,,
oatesjo01m,TSN Manager of the Year,1993,AL,,
oatesjo01m,BBWAA Manager of the year,1996,AL,Y,
mccarjo99m,TSN Manager of the Year,1936,ML,,
coxbo01m,TSN Manager of the Year,1999,NL,,
smithma01m,TSN Manager of the Year,1968,ML,,
showabu99m,BBWAA Manager of the year,2004,AL,,
southbi01m,TSN Manager of the Year,1941,ML,,
penato01m,TSN Manager of the Year,2003,AL,,
andersp01m,BBWAA Manager of the year,1984,AL,,
alstowa01m,TSN Manager of the Year,1955,ML,,
hodgegi01m,TSN Manager of the Year,1969,ML,,
larusto01m,TSN Manager of the Year,1988,AL,,
blackbu02m,BBWAA Manager of the year,2010,NL,,
hutchfr01m,TSN Manager of the Year,1957,ML,,
durocle01m,TSN Manager of the Year,1951,ML,,
baylodo01m,TSN Manager of the Year,1995,NL,,
bochybr01m,TSN Manager of the Year,1996,NL,,
pinielo01m,TSN Manager of the Year,2001,AL,,
tannech01m,TSN Manager of the Year,1972,ML,,
leylaji99m,TSN Manager of the Year,2006,AL,,
durocle01m,TSN Manager of the Year,1954,ML,,
dierkla01m,BBWAA Manager of the year,1998,NL,,
johnsda02m,TSN Manager of the Year,1997,AL,,
virdobi01m,TSN Manager of the Year,1974,ML,,
showabu99m,BBWAA Manager of the year,1994,AL,,
larusto01m,BBWAA Manager of the year,1992,AL,,
leylaji99m,BBWAA Manager of the year,2006,AL,,
southbi01m,TSN Manager of the Year,1942,ML,,
larusto01m,BBWAA Manager of the year,1983,AL,,
larusto01m,BBWAA Manager of the year,2002,NL,,
larusto01m,TSN Manager of the Year,1983,ML,,
bochybr01m,TSN Manager of the Year,1998,NL,,
lasorto01m,BBWAA Manager of the year,1988,NL,,
murtada01m,TSN Manager of the Year,1970,ML,,
guilloz01m,TSN Manager of the Year,2005,AL,,
johnsda02m,BBWAA Manager of the year,2012,NL,,
sciosmi01m,TSN Manager of the Year,2002,AL,,
coxbo01m,BBWAA Manager of the year,1991,NL,,
mcnamjo99m,TSN Manager of the Year,1986,AL,,
lamonge01m,BBWAA Manager of the year,1993,AL,,
aloufe01m,BBWAA Manager of the year,1994,NL,,
mccarjo99m,TSN Manager of the Year,1943,ML,,
