abbreviation,name,city,country,province,established
ОПАНАЛ,Агентство по запрещению ядерного оружия в Латинской Америке и Карибском бассейне,Мехико,МЕКС,Федеральный департамент,1967-02-14
ИБР,Исламский банк развития,Джидда,С.А.,Саудовская Аравия,1973-12-15
МКСП,Международная конфедерация свободных профсоюзов,Брюссель,B,Брабант,1949-12-01
СААРК,Ассоциация регионального сотрудничества стран Южной Азии,Катманду,NEP,Непал,1985-12-08
САДК,Сообщество по вопросам развития стран юга Африки,Габороне,РБ,Ботсвана,1992-08-17
ВСООНК,Вооруженные силы Организации Объединенных Наций на Кипре,Нью-Йорк,США,Нью-Йорк,1964-03-04
АФЭСР,Арабский фонд экономического и социального развития,,,,1968-05-16
CEPGL,Экономическое сообщество стран Великих озер,,,,1976-09-26
ЮДЕАК,Таможенный и экономический союз Центральной Африки,Банги,РСС,Центральноафриканская Республика,1964-12-08
МАБР,Межамериканский банк развития,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1959-04-08
Спартека,Южнотихоокеанское региональное соглашение о торговле и экономическом сотрудничестве,,,,1981-01-01
ЮНИДО,Организация Объединенных Наций по промышленному развитию,Вена,A,Вена,1966-11-17
ГВНООНИП,Группа военных наблюдателей Организации Объединенных Наций в Индии и Пакистане,Нью-Йорк,США,Нью-Йорк,1948-08-13
КАСМ,Центральноамериканский общий рынок,Город Гватемала,СУА,Гватемала,1960-12-13
ЭКЛАК,Экономическая комиссия для Латинской Америки и Карибского бассейна,Сантьяго,RCH,Чили,1948-02-25
ЕС,Европейский союз,Брюссель,B,Брабант,1992-02-07
FZ,Зона франка,Париж,F,Иль де Франция,1945-12-20
ИКМООНН,Ирако-кувейтская миссия Организации Объединенных Наций по наблюдению,Нью-Йорк,США,Нью-Йорк,1991-04-09
АНК,Совет сотрудничества в Северной Атлантике,Брюссель,B,Брабант,1991-11-08
МНООНТ,Миссия наблюдателей Организации Объединенных Наций в Таджикистане,Нью-Йорк,США,Нью-Йорк,1994-12-16
АТЭС,Азиатско-тихоокеанское экономическое сотрудничество,Сингапур,SGP,Сингапур,1989-11-07
МФСР,Международный фонд сельскохозяйственного развития,Рим,I,Лацио,1974-11-01
ИМО,Международная морская организация,Лондон,ГБ,Большой Лондон,1958-03-17
ИСО,Международная организация по стандартизации,Женева,CH,ГЭ,1947-02-01
КХЦ,Совет таможенного сотрудничества,Брюссель,B,Брабант,1950-12-15
ЕАБР,Восточноафриканский банк развития,Кампала,ЕАС,Уганда,1967-06-06
ЦЕИАК,Экономическое сообщество центральноафриканских государств,Либревиль,G,Габон,1983-10-18
УВКБ,Управление Верховного комиссара Организации Объединенных Наций по делам беженцев,Женева,CH,ГЭ,1949-12-03
КМООНА III,Контрольная миссия Организации Объединенных Наций в Анголе,Нью-Йорк,США,Нью-Йорк,1988-12-20
ВОЗ,Всемирная организация здравоохранения,Женева,CH,ГЭ,1946-07-22
Кариком,Карибское сообщество и Общий рынок,Джорджтаун,Парень,Гайана,1973-07-04
CP,План Коломбо,Коломбо,Кл,Шри-Ланка,1951-07-01
RG,Группа Рио,,,,1988-01-01
ЮНИТАР,Учебный и научно-исследовательский институт Организации Объединенных Наций,,,,1963-12-11
Группа 77,Группа 77,,,,1967-10-01
ВОИС,Всемирная организация интеллектуальной собственности,Женева,CH,ГЭ,1967-07-14
АзБР,Азиатский банк развития,Манила,РП,Филиппины,1966-12-19
ЛАС,Латиноамериканская экономическая система,Каракас,YV,Федеральный департамент,1975-10-17
МФОКК,Международная федерация обществ Красного Креста и Красного Полумесяца,Женева,CH,ГЭ,1919-05-05
ВСООНЛ,Временные силы Организации Объединенных Наций в Ливане,Нью-Йорк,США,Нью-Йорк,1978-03-19
ЗЕС,Западноевропейский союз,Брюссель,B,Брабант,1954-10-23
МКПТ,Международное движение Красного Креста и Красного Полумесяца,Женева,CH,ГЭ,1928-01-01
АНЗЫ,Договор о безопасности между Австралией и Новой Зеландией и Соединенными Штатами,Канберра,AUS,Австралийская столичная территория,1951-09-01
О-2,Группа 2,,,,
