year,month,date,tmid,oppid,r/p,idgoalie1,idgoalie2
1955,3,22,MTL,BOS,П,plantja01,hodgech01
1999,1,9,PHI,CAR,р,hextaro01,vanbijo01
1985,1,8,EDM,QUE,р,moogan01,fuhrgr01
2005,11,12,ATL,CAR,р,dunhami01,berkhad01
1987,1,9,WIN,HAR,р,reddipo01,berthda01
1997,11,4,TOR,SJS,р,healygl01,cousima01
1977,3,18,WAS,COR,р,croziro01,lowro01
1993,2,8,PIT,BOS,р,wreggke01,barrato01
1973,2,7,QUN,PHB,р,aubryse01,broderi01
2002,1,10,BOS,LAK,р,grahajo01,dafoeby01
1981,2,5,MTL,MNS,р,herrode01,sevigri01
2008,10,25,STL,FLO,р,bishobe01,schwama01
1941,3,15,MTL,NYA,р,bibeapa01,gardibe01
2001,10,27,DET,NAS,р,hasekdo01,legacma01
1996,11,9,NJD,NYI,р,brodema01,dunhami01
2000,3,21,BOS,TBL,р,grahajo01,tallaro01
2005,12,2,SJS,BUF,р,nabokev01,schaeno01
1998,4,4,NYI,NYR,р,saloto01,flahewa01
2010,5,10,PHI,BOS,П,bouchbr01,leighmi01
2001,3,12,SJS,MTL,р,nabokev01,kiprumi01
2011,12,6,VAN,COL,р,luongro01,schneco01
2003,11,21,SJS,PHO,р,nabokev01,toskave01
2012,4,14,STL,SJS,П,halakja01,elliobr01
