playerid,yearid,teamid,lgid,round,pos,g,gs,innouts,po,a,e,dp,tp,pb,sb,cs
ericksc01,1997,BAL,AL,ОLSАД2,П,1,1,20.0,1,0,0,0,0,,2.0,0.0
micelda01,2004,HOU,NL,НЛС,П,2,0,4.0,1,0,0,0,0,,0.0,0.0
rodriau01,1981,NYA,AL,АЛКС,3В,1,0,6.0,0,0,0,0,0,,,
dyeje01,1996,ATL,NL,НЛДС1,RF,3,3,84.0,11,1,0,0,0,,,
javiest01,2000,SEA,AL,АЛКС,LF,1,0,6.0,1,0,0,0,0,,,
westda01,1993,PHI,NL,НЛС,П,3,0,8.0,0,1,0,0,0,,0.0,0.0
roberda07,1999,CLE,AL,АЛДС1,КФ,2,0,18.0,3,0,0,0,0,,,
cuellmi01,1970,BAL,AL,ОК,П,2,2,34.0,0,1,0,1,0,,0.0,0.0
kellech01,1942,NYA,AL,ОК,LF,5,5,132.0,12,1,0,1,0,,,
walkelu01,1970,PIT,NL,НЛС,П,1,1,21.0,0,0,1,0,0,,1.0,0.0
bufordo01,1970,BAL,AL,ОК,LF,4,4,108.0,6,0,0,0,0,,,
millebi02,1929,PHA,AL,ОК,RF,5,5,135.0,13,0,1,0,0,,,
eckstda01,2006,SLN,NL,НЛДС2,КВ,4,4,108.0,6,12,0,4,0,,,
arroybr01,2003,BOS,AL,АЛКС,П,3,0,10.0,1,0,0,0,0,,0.0,0.0
dyeje01,2003,OAK,AL,ОLSАД2,RF,4,4,105.0,9,0,0,0,0,,,
guzmaju01,1993,TOR,AL,ОК,П,2,2,36.0,0,1,0,0,0,,3.0,0.0
maddoga01,1981,PHI,NL,НЕДИВ,КФ,2,0,27.0,3,0,0,0,0,,,
navardi01,2012,CIN,NL,НЛДС2,В,1,1,27.0,7,1,0,0,0,0.0,0.0,1.0
lloydgr01,1998,NYA,AL,АЛКС,П,1,0,2.0,0,1,0,0,0,,0.0,0.0
weaveje01,2009,LAN,NL,НЛДС1,П,1,0,4.0,0,1,0,0,0,,0.0,0.0
mcmahdo02,1971,SFN,NL,НЛС,П,2,0,9.0,1,1,0,0,0,,0.0,0.0
soriaal01,2003,NYA,AL,ОК,RF,1,0,3.0,0,0,0,0,0,,,
mendora01,1998,NYA,AL,АЛКС,П,2,0,13.0,0,0,0,0,0,,0.0,0.0
polanpl01,2006,DET,AL,АЛКС,Две-Б,4,4,108.0,12,10,0,6,0,,,
stottto01,1989,TOR,AL,АЛКС,П,1,1,15.0,0,0,0,0,0,,2.0,0.0
cookaa01,2009,COL,NL,НЛДС2,П,1,1,15.0,0,0,0,0,0,,0.0,0.0
wainwad01,2006,SLN,NL,НЛС,П,3,0,9.0,0,0,0,0,0,,0.0,0.0
planked01,1905,PHA,AL,ОК,П,2,2,51.0,1,6,0,0,0,,4.0,1.0
radinsc01,1996,LAN,NL,НЛДС1,П,2,0,4.0,0,0,0,0,0,,0.0,0.0
coxbi02,1949,BRO,NL,ОК,3В,1,0,9.0,1,0,0,0,0,,,
jacksgr01,1979,PIT,NL,НЛС,П,2,0,6.0,0,0,0,0,0,,0.0,0.0
derosma01,2007,CHN,NL,НЛДС1,Две-Б,3,3,75.0,5,8,0,3,0,,,
reedri01,2000,NYN,NL,НЛС,П,1,1,10.0,0,0,0,0,0,,0.0,0.0
weisswa01,1988,OAK,AL,АЛКС,КВ,4,4,108.0,7,10,0,3,0,,,
collida02,1979,CIN,NL,НЛС,RF,3,3,87.0,6,0,0,0,0,,,
whittpo01,1915,PHI,NL,ОК,LF,5,5,128.0,12,0,0,0,0,,,
lylesp01,1977,NYA,AL,ОК,П,2,0,14.0,0,0,0,0,0,,0.0,0.0
popeda01,1954,CLE,AL,ОК,RF,1,0,7.0,0,0,0,0,0,,,
foyjo01,1967,BOS,AL,ОК,3В,3,3,78.0,7,10,1,0,0,,,
gullibi01,1981,MON,NL,НЕДИВ,П,1,1,23.0,0,2,0,0,0,,0.0,0.0
mcbrito01,1946,BOS,AL,ОК,RF,2,2,52.0,4,0,1,0,0,,,
kuheljo01,1933,WS1,AL,ОК,1б,5,5,138.0,59,3,0,4,0,,,
maricju01,1962,SFN,NL,ОК,П,1,1,12.0,1,0,0,1,0,,0.0,1.0
johnsho01,1988,NYN,NL,НЛС,3В,1,0,3.0,0,0,0,0,0,,,
smoltjo01,2009,SLN,NL,НЛДС1,П,1,0,6.0,0,0,0,0,0,,0.0,0.0
hendrge01,1986,CAL,AL,АЛКС,RF,2,2,45.0,2,0,0,0,0,,,
graffto01,1997,ATL,NL,НЛДС2,Две-Б,3,1,42.0,1,6,0,0,0,,,
kingmbr01,1981,OAK,AL,АЛКС,П,1,0,1.0,0,0,0,0,0,,0.0,0.0
mirabdo01,2003,BOS,AL,ОLSАД2,В,2,1,30.0,13,0,0,0,0,1.0,0.0,0.0
sojolu01,2000,NYA,AL,ОК,3В,2,0,12.0,0,1,0,0,0,,,
embreal01,2003,BOS,AL,ОLSАД2,П,3,0,6.0,0,0,0,0,0,,0.0,0.0
utleych01,2009,PHI,NL,НЛДС2,Две-Б,4,4,108.0,8,9,0,4,0,,,
mcgwima01,1989,OAK,AL,АЛКС,1б,5,5,132.0,46,1,1,4,0,,,
wakefti01,2003,BOS,AL,ОLSАД2,П,2,1,23.0,1,0,0,0,0,,0.0,0.0
kingemi01,1995,COL,NL,НЛДС1,КФ,4,2,62.0,5,0,0,0,0,,,
derosma01,2001,ATL,NL,НЛС,КВ,1,0,6.0,0,1,0,0,0,,,
lindjo01,1992,PIT,NL,НЛС,Две-Б,7,7,179.0,15,23,2,3,0,,,
meusebo01,1927,NYA,AL,ОК,LF,4,4,108.0,8,0,1,0,0,,,
brusswa01,1977,PHI,NL,НЛС,П,2,0,8.0,0,0,0,0,0,,0.0,0.0
hennemi01,1987,DET,AL,АЛКС,П,3,0,15.0,0,2,0,0,0,,0.0,0.0
cabreor01,2004,BOS,AL,АЛДС1,КВ,3,3,84.0,3,5,0,1,0,,,
crossla01,1905,PHA,AL,ОК,3В,5,5,129.0,6,6,0,1,0,,,
embreal01,2000,SFN,NL,НЛДС2,П,2,0,5.0,0,0,0,0,0,,1.0,0.0
trowbbo01,1957,ML1,NL,ОК,П,1,0,3.0,0,0,0,0,0,,1.0,0.0
nelsoje01,1999,NYA,AL,АЛКС,П,2,0,2.0,0,1,0,0,0,,0.0,0.0
francje01,2007,COL,NL,НЛДС2,П,1,1,18.0,0,0,0,0,0,,1.0,0.0
anderga01,2004,ANA,AL,АЛДС1,КФ,3,3,83.0,8,0,0,0,0,,,
rolfere01,1937,NYA,AL,ОК,3В,5,5,132.0,2,6,0,0,0,,,
shower01,1984,SDN,NL,НЛС,П,2,2,16.0,0,0,0,0,0,,1.0,0.0
menecfr01,2001,OAK,AL,ОLSАД2,Две-Б,4,4,102.0,8,14,1,2,0,,,
belanma01,1979,BAL,AL,АЛКС,КВ,3,1,43.0,0,6,0,0,0,,,
odombl01,1972,OAK,AL,ОК,П,2,2,34.0,1,3,0,0,0,,2.0,1.0
trachst01,2006,NYN,NL,НЛДС1,П,1,1,10.0,1,0,0,0,0,,1.0,0.0
willibe02,1998,NYA,AL,ОLSАД2,КФ,3,3,81.0,8,0,0,0,0,,,
mecirji01,2003,OAK,AL,ОLSАД2,П,1,0,2.0,0,0,0,0,0,,1.0,0.0
roberbo01,1971,PIT,NL,НЛС,1б,4,4,105.0,25,2,0,3,0,,,
newmaal01,1991,MIN,AL,АЛКС,3В,1,0,3.0,0,0,0,0,0,,,
borbope01,1975,CIN,NL,ОК,П,3,0,9.0,0,0,0,0,0,,0.0,0.0
iorgga01,1985,TOR,AL,АЛКС,3В,6,4,105.0,5,10,0,0,0,,,
picciro01,1981,OAK,AL,АWDИВ,КВ,1,1,24.0,1,2,0,0,0,,,
nixontr01,2004,BOS,AL,АЛДС1,RF,2,2,54.0,1,0,0,0,0,,,
mcdougi01,1953,NYA,AL,ОК,3В,6,6,156.0,4,14,0,0,0,,,
maddugr01,1996,ATL,NL,НЛС,П,2,2,43.0,1,4,0,0,0,,1.0,0.0
lummi01,1969,ATL,NL,НЛС,LF,1,0,6.0,0,0,0,0,0,,,
curtich01,1998,NYA,AL,АЛКС,LF,2,1,36.0,1,0,0,0,0,,,
carroja01,2007,COL,NL,НЛС,3В,2,0,13.0,1,0,0,0,0,,,
rodrial01,2004,NYA,AL,АЛКС,3В,7,7,209.0,4,7,0,2,0,,,
rhodear01,2011,SLN,NL,НЛС,П,2,0,,0,1,0,0,0,,,
combsea01,1926,NYA,AL,ОК,КФ,7,7,189.0,17,0,0,0,0,,,
matsuka01,2007,COL,NL,НЛДС2,Две-Б,3,3,77.0,5,13,0,3,0,,,
snodgfr01,1912,NY1,NL,ОК,LF,1,1,13.0,0,0,0,0,0,,,
weisswa01,2000,ATL,NL,НЛДС1,КВ,1,1,18.0,2,1,0,0,0,,,
valenjo02,1995,BOS,AL,АЛДС1,КВ,3,3,89.0,5,5,1,0,0,,,
pooleji02,1998,CLE,AL,АЛКС,П,4,0,4.0,0,0,0,0,0,,1.0,0.0
glaustr01,2002,ANA,AL,ОК,3В,7,7,183.0,4,11,1,1,0,,,
buhneja01,1995,SEA,AL,ОLSАД2,RF,5,5,154.0,11,2,0,0,0,,,
gonzare01,1991,TOR,AL,АЛКС,1б,1,0,3.0,2,0,0,0,0,,,
mayswi01,1954,NY1,NL,ОК,КФ,4,4,111.0,10,0,0,0,0,,,
woodwwo01,1970,CIN,NL,ОК,КВ,3,2,41.0,4,5,0,3,0,,,
rohege01,1906,CHA,AL,ОК,3В,6,6,162.0,4,17,3,0,0,,,
crabtti01,1998,TEX,AL,ОLSАД2,П,2,0,12.0,0,0,0,0,0,,0.0,0.0
ruthba01,1932,NYA,AL,ОК,RF,2,2,54.0,4,0,1,0,0,,,
robinbr01,1974,BAL,AL,АЛКС,3В,4,4,105.0,4,13,0,1,0,,,
