franchid,franchname,active,naassoc
TLM,Толедо Маумейс,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
LGR,Луизвилл Грейс,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
NEW,Ньюарк-Пеппер,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
PHA,Филадельфийские Атлетики,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
CHH,Чикаго Уэйлс,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
RIC,Ричмондские виргинянецы,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
WOR,Уорикские рубины,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
TRO,Трои Хэймауэры,No additional text. Translation only.,
PWS,Филадельфийские белые чулки,No additional text. Translation only.,
NYY,Нью-Йорк Янкиз,z,
NHV,Новый-Хейвен-Элм-Сити,No additional text. Translation only.,
BRA,Бруклин Атлантикас,No additional text. Translation only.,
BRD,Бостон Редс,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
ATL,Атланта Брейвз,z,БНА
MAN,Миддлтон-Мансфилды,No additional text. Translation only.,
BFB,Баффало Бильс,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
DET,Детройт Тайгерс,z,
NYU,Нью-Йорк Мютуалс,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",НNA
BWW,Вуду Brooklyn Вард,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
TOR,Торонто Блю Джейс,z,
WBL,Вашингтонские синие ноги,No additional text. Translation only.,
KCU,Канзас-Сити Ковбои,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
WST,Вашингтон Стейтменс,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
NYP,Нью-Йорк Метростос,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
KCR,Канзас-Сити Роялс,z,
CHC,Чикаго Кабс,z,КНА
CNA,"Чикаго ""Белые стокинги""",No additional text. Translation only.,ХСЧ
PBS,Питтсбургские Рэбелз,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
BRG,Бруклин Гладиаторы,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
TOL,Толедские синие стокинги,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
RES,Элизабет принимает решение,No additional text. Translation only.,
CNR,"""Синциннати Редс""","Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
WSN,Вашингтон Нэшнлз,z,
BLU,Монументы в Балтиморе,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
WIL,Уимингтон Крикет-Копс,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
DTN,Детройт Уайлдкэтс,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
KCC,Канзас-Сити Ковбои,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
IHO,Индианаполис Хоусьерс,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
TEX,Техас Рейнджеры,z,
SLM,Сент-Луис Марунс,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
NAT,Вашингтон Нэшнлз,No additional text. Translation only.,
KCP,Канзас-Сити Пакерс,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
WNA,Вашингтон Нэшнлз,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
BAL,Балтимор Ориолс,z,
MAR,"Балтимор, Мэриленд",No additional text. Translation only.,
BLT,Балтиморские черепахи,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
COL,Колорадо Рокиз,z,
ATH,Филадельфийские Атлетики,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",НПА
PBB,Питтсбургские бурги,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
BUF,Баффало Бильс,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
BFL,Баффало Бильс,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
ARI,Аризона Дейвс,z,
CHP,Чикаго Пэкс,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
PRO,Провиденс-Грейс,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
CLS,Колумбус Солоны,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
SDP,Сан-Диего Падрес,z,
CLI,Кливленд Инфантс,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
WES,Кеоук-Уэстернс,No additional text. Translation only.,
MIN,Миннесота Твинс,z,
CKK,Киллы Кэнзинси,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
NYM,Нью-Йорк Метс,z,
ALT,Альтона-Маунтин-Сити,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
IND,Индианаполис Хоусьерс,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
PHK,Филадельфийские ключи,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
CHW,Чикаго Уайлд-Кокс,z,
SFG,Сан-Франциско Джайентс,z,
SLI,Сент-Луис Террьеры,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
BOS,Бостон Ред Сокс,z,
ROK,Рокфорд Форест Ситис,No additional text. Translation only.,
LAD,Лос-Анджелес Доджерс,z,
