managerid,awardid,yearid,lgid,tie,notes
aloufe01m,TSN Manager of the Year,1994,NL,,
melvibo01m,TSN Manager of the Year,2007,NL,,
coxbo01m,TSN Manager of the Year,2005,NL,,
bakerdu01m,BBWAA Manager of the year,1997,NL,,
bochybr01m,TSN Manager of the Year,1998,NL,,
manueje01m,BBWAA Manager of the year,2000,AL,,
showabu99m,BBWAA Manager of the year,1994,AL,,
tebbebi01m,TSN Manager of the Year,1956,ML,,
maddojo99m,BBWAA Manager of the year,2011,AL,,
mauchge01m,TSN Manager of the Year,1973,ML,,
kellyto01m,BBWAA Manager of the year,1991,AL,,
leylaji99m,TSN Manager of the Year,1990,NL,,
leylaji99m,TSN Manager of the Year,2006,AL,,
zimmedo01m,TSN Manager of the Year,1989,NL,,
oatesjo01m,TSN Manager of the Year,1996,AL,,
leylaji99m,TSN Manager of the Year,1992,NL,,
torboje01m,TSN Manager of the Year,1990,AL,,
pinielo01m,BBWAA Manager of the year,2008,NL,,
durocle01m,TSN Manager of the Year,1954,ML,,
larusto01m,BBWAA Manager of the year,1988,AL,,
mccarjo99m,TSN Manager of the Year,1938,ML,,
coxbo01m,TSN Manager of the Year,2004,NL,,
mcnamjo99m,TSN Manager of the Year,1986,AL,,
coxbo01m,TSN Manager of the Year,1993,NL,,
