lake,country,province
Lake Mead,USA,Nevada
Caspian Sea,IR,Mazandaran
Vierwaldstattersee,CH,LU
Lake Kioga,EAU,Uganda
Lake Michigan,USA,Illinois
Balaton,H,Zala
Vaettern,S,Skaraborg
Ozero Baikal,R,Rep. of Buryatiya
Lake Victoria,EAK,Nyanza
Lake Managua,NIC,Nicaragua
Lake Tahoe,USA,California
Ozero Onega,R,Rep. of Karelia
Chew Bahir,ETH,Ethiopia
Rutanzige/Eduardsee,ZRE,Kivu
Vaettern,S,Jonkoping
Lake Keban,TR,Elazig
Lake Chilwa,MW,Malawi
Lago Maggiore,I,Piemonte
Lake Ngami,RB,Botswana
Lake Abaya,ETH,Ethiopia
Bodensee,D,Baden Wurttemberg
Lago Maggiore,I,Lombardia
Lake Mead,USA,Arizona
Vierwaldstattersee,CH,SZ
Oulujaervi,SF,Oulu
Lake Eyasi,EAT,Arusha
Licancabur Crater Lake,BOL,Bolivia
Paeijaenne,SF,Haeme
Balaton,H,Fejer
Lake Erie,USA,New York
Loch Ness,GB,Central
Lago de Chapala,MEX,Jalisco
Lake Kainji,WAN,Nigeria
Caspian Sea,IR,Gilan
Bodensee,A,Vorarlberg
Lake Natron,EAT,Arusha
Lake Genezareth,IL,North
Lake Ohrid,MK,Macedonia
Lake Turkana,ETH,Ethiopia
Lake Van,TR,Van
Lake Tanganjika,ZRE,Kivu
Vaenern,S,Alvsborg
Ammersee,D,Bayern
Balaton,H,Somogy
Lago di Garda ,I,Veneto
Lop Nor,TJ,Xinjiang Uygur
Issyk-Kul,KGZ,Kyrgyzstan
Lago Trasimeno,I,Umbria
Lake Burley Griffin,AUS,Australia Capital Territory
Lake Maracaibo,YV,Merida
Lago de Sobradinho,BR,Bahia
Laguna Mar Chiquita,RA,Cordoba
Lake Prespa,AL,Albania
Lac Leman,CH,VD
Lake Sakakawea,USA,Montana
Makarikari Salt Pan,RB,Botswana
Ozero Ladoga,R,Rep. of Karelia
