sea,country,province
Atlantic Ocean,ZRE,Bas Zaire
Pacific Ocean,EC,Ecuador
Atlantic Ocean,CDN,New Brunswick
The Channel,GB,Cornwall
Indian Ocean,RI,Indonesia
Sea of Japan,J,Hokkaido
Red Sea,ER,Eritrea
Caribbean Sea,YV,Delta Amacuro
Kattegat,S,Malmohus
Pacific Ocean,AMSA,American Samoa
Gulf of Bengal,IND,Andaman and Nicobar Is.
Pacific Ocean,NIC,Nicaragua
Caribbean Sea,GCA,Guatemala
Pacific Ocean,USA,Hawaii
Yellow Sea,ROK,South Korea
Caribbean Sea,HCA,Atlantida
Sea of Japan,J,Niigata
Gulf of Oman,UAE,Al Fujayrah
Pacific Ocean,RC,Taiwan
Caribbean Sea,YV,Sucre
Atlantic Ocean,E,Cantabria
Mediterranean Sea,I,Sicilia
Indian Ocean,SP,Somalia
Caribbean Sea,CO,Antioquia
Indian Ocean,RSA,Kwazulu Natal
Atlantic Ocean,USA,New Jersey
Baltic Sea,SF,Vaasa
Bering Sea,USA,Alaska
Pacific Ocean,PAL,Palau
Black Sea,TR,Kastamonu
Pacific Ocean,CO,Choco
Baltic Sea,SF,Aland
Pacific Ocean,GUAM,Guam
Atlantic Ocean,C,Holguin
Atlantic Ocean,P,Aveiro
Caribbean Sea,CR,Limon
Gulf of Mexico,USA,Florida
