country,independence,dependent,government
MC,1419-01-01,,constitutional monarchy
IS,1944-06-17,,republic
TJ,,,Communist state
SUD,1956-01-01,,transitional previously ruling military junta
WAG,1965-02-18,,republic under multiparty democratic rule
AXA,,GB,British Overseas Territories
SK,1993-01-01,,parliamentary democracy
EW,1991-09-06,,republic
GAZA,,,
BRN,1971-08-15,,traditional monarchy
RN,1960-08-03,,republic
STP,1975-07-12,,republic
BY,1991-08-25,,republic
RT,1960-04-27,,republic under transition to multiparty democratic rule
H,1001-01-01,,republic
WAFU,,F,overseas territory of France
TUCA,,GB,British Overseas Territories
GH,1957-03-06,,constitutional democracy
SRB,2006-06-05,,parliamentary democracy
WEST,,,
VN,1945-09-02,,Communist state
PY,1811-05-14,,republic
A,1918-11-12,,federal republic
TM,1991-10-27,,republic
RSA,1910-05-31,,republic
HELX,,GB,British Overseas Territories
LB,,,republic
CH,,,federal republic
NIC,1821-09-15,,republic
EC,1822-05-24,,republic
SP,1960-07-01,,none
PK,1947-08-14,,republic
GROX,,DK,part of the Danish realm
DZ,1962-07-05,,republic
ROU,1828-08-25,,republic
OM,1650-01-01,,monarchy
SME,1975-11-25,,republic
SLO,1991-06-25,,emerging democracy
R,1991-08-24,,federation
B,1830-10-04,,constitutional monarchy
MA,1956-03-02,,constitutional monarchy
VIRG,,,organized
RO,1881-01-01,,republic
FSM,1986-11-03,,constitutional government in free association with the US
TN,1956-03-20,,republic
CV,1975-07-05,,republic
