abbreviation,name,city,country,province,established
IMO,International Maritime Organization,London,GB,Greater London,1958-03-17
G-8,Group of 8,,,,1975-10-01
BDEAC,Central African States Development Bank,Brazzaville,RCB,Congo,1975-12-03
ESCAP,Economic and Social Commission for Asia and the Pacific,Bangkok,THA,Thailand,1947-03-28
ACC,Arab Cooperation Council,,,,1989-02-16
WTrO,World Trade Organization,,,,1994-04-15
IAEA,International Atomic Energy Agency,Vienna,A,Vienna,1956-10-26
LAIA,Latin American Integration Association,Montevideo,ROU,Uruguay,1980-08-12
OECS,Organization of Eastern Caribbean States,Castries,WL,Saint Lucia,1981-06-18
PFP,Partnership for Peace,,,,1994-01-10
CE,Council of Europe,Strasbourg,F,Alsace,1949-05-05
ESA,European Space Agency,Paris,F,Ile de France,1973-07-31
BIS,Bank for International Settlements,Basel,CH,BS,1930-01-20
G-9,Group of 9,,,,
UNOMIL,United Nations Observer Mission in Liberia,New York,USA,New York,1993-09-22
EU,European Union,Brussels,B,Brabant,1992-02-07
UNHCR,United Nations Office of the High Commissioner for Refugees,Geneva,CH,GE,1949-12-03
G-10,Group of 10,Paris,F,Ile de France,1962-10-01
BCIE,Central American Bank for Economic Integration,Tegucigalpa,HCA,Francisco Morazan,1960-12-13
G-11,Group of 11,,,,1984-06-22
ICAO,International Civil Aviation Organization,Montreal,CDN,Quebec,1944-12-07
OPEC,Organization of Petroleum Exporting Countries,Vienna,A,Vienna,1960-09-14
C,Commonwealth,London,GB,Greater London,1931-12-31
FAO,Food and Agriculture Organization,Rome,I,Lazio,1945-10-16
Mercosur,Southern Cone Common Market,Buenos Aires,RA,Distrito Federal,1991-03-26
WToO,World Tourism Organization,Madrid,E,Madrid,1975-01-02
SPF,South Pacific Forum,Suva,FJI,Fiji,1971-08-05
IGADD,Inter-Governmental Authority on Drought and Development,Djibouti,DJI,Djibouti,1986-01-15
G-7,Group of 7,,,,1985-09-22
OECD,Organization for Economic Cooperation and Development,Paris,F,Ile de France,1960-12-14
AFESD,Arab Fund for Economic and Social Development,,,,1968-05-16
G-2,Group of 2,,,,
AL,Arab League,Cairo,ET,El Qahira,1945-03-22
UNCTAD,United Nations Conference on Trade and Development,Geneva,CH,GE,1964-12-30
CP,Colombo Plan,Colombo,CL,Sri Lanka,1951-07-01
EFTA,European Free Trade Association,Geneva,CH,GE,1960-01-04
UNIDO,United Nations Industrial Development Organization,Vienna,A,Vienna,1966-11-17
OIC,Organization of the Islamic Conference,Jeddah,SA,Saudi Arabia,1969-09-22
ECO,Economic Cooperation Organization,Tehran,IR,Tehran,1985-01-01
MINURSO,United Nations Mission for the Referendum in Western Sahara,New York,USA,New York,1991-04-29
CBSS,Council of the Baltic Sea States,,,,1992-03-05
CEEAC,Economic Community of Central African States,Libreville,G,Gabon,1983-10-18
AfDB,African Development Bank,Abidjan,CI,Cote dIvoire,1963-08-04
UNESCO,"United Nations Educational, Scientific, and Cultural Organization",Paris,F,Ile de France,1945-11-16
Inmarsat,International Mobile Satellite Organization,London,GB,Greater London,1976-09-03
NIB,Nordic Investment Bank,Helsinki,SF,Uusimaa,1975-12-04
UNIKOM,United Nations Iraq-Kuwait Observation Mission,New York,USA,New York,1991-04-09
IBRD,International Bank for Reconstruction and Development,Washington,USA,Distr. Columbia,1944-07-22
CACM,Central American Common Market,Guatemala City,GCA,Guatemala,1960-12-13
UDEAC,Central African Customs and Economic Union,Bangui,RCA,Central African Republic,1964-12-08
G-19,Group of 19,,,,1975-10-01
AMU,Arab Maghreb Union,Rabat,MA,Morocco,1989-02-17
WADB,West African Development Bank,Lome,RT,Togo,1973-11-14
CCC,Customs Cooperation Council,Brussels,B,Brabant,1950-12-15
APEC,Asia Pacific Economic Cooperation,Singapore,SGP,Singapore,1989-11-07
Benelux,Benelux Economic Union,Brussels,B,Brabant,1958-02-03
AsDB,Asian Development Bank,Manila,RP,Philippines,1966-12-19
IOC,International Olympic Committee,Lausanne,CH,VD,1894-06-23
UNFICYP,United Nations Force in Cyprus,New York,USA,New York,1964-03-04
SACU,Southern African Customs Union,Pretoria,RSA,Gauteng,1969-12-11
ACP,"African, Caribbean, and Pacific Countries",Brussels,B,Brabant,1976-04-01
ICRM,International Red Cross and Red Crescent Movement,Geneva,CH,GE,1928-01-01
EADB,East African Development Bank,Kampala,EAU,Uganda,1967-06-06
EN,Nuclear Energy Agency,,,,1958-01-01
ANZUS,Australia-New Zealand-United States Security Treaty,Canberra,AUS,Australia Capital Territory,1951-09-01
IFC,International Finance Corporation,Washington,USA,Distr. Columbia,1955-05-25
UNU,United Nations University,,,,1973-12-06
IMF,International Monetary Fund,Washington,USA,Distr. Columbia,1944-07-22
UNDOF,United Nations Disengagement Observer Force,Damascus,SYR,Syria,1974-05-31
ECOWAS,Economic Community of West African States,Lagos,WAN,Nigeria,1975-05-28
ABEDA,Arab Bank for Economic Development in Africa,Khartoum,SUD,al Khartum,1974-02-18
CERN,European Organization for Nuclear Research,Geneva,CH,GE,1953-07-01
UNCRO,United Nations Confidence Restoration Operation in Croatia,New York,USA,New York,1995-03-31
OAPEC,Organization of Arab Petroleum Exporting Countries,,,,1968-01-09
ASEAN,Association of Southeast Asian Nations,Jakarta,RI,Indonesia,1967-08-09
UNAVEM III,United Nations Angola Verification Mission,New York,USA,New York,1988-12-20
CIS,Commonwealth of Independent States,Minsk,BY,Belarus,1991-12-08
SADC,Southern African Development Community,Gaborone,RB,Botswana,1992-08-17
ECE,Economic Commission for Europe,Geneva,CH,GE,1947-03-28
MTCR,Missile Technology Control Regime,,,,1987-04-16
ZC,Zangger Committee,,,,
G-77,Group of 77,,,,1967-10-01
CEPGL,Economic Community of the Great Lakes Countries,,,,1976-09-26
IEA,International Energy Agency,Paris,F,Ile de France,1974-11-15
GCC,Gulf Cooperation Council,Riyadh,SA,Saudi Arabia,1981-05-25
PCA,Permanent Court of Arbitration,,,,1899-07-29
UNTSO,United Nations Truce Supervision Organization,Jerusalem,IL,Central,1948-05-01
OPANAL,Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean,Mexico City,MEX,Distrito Federal,1967-02-14
ICC,International Chamber of Commerce,Paris,F,Ile de France,1919-01-01
IFAD,International Fund for Agricultural Development,Rome,I,Lazio,1974-11-01
WHO,World Health Organization,Geneva,CH,GE,1946-07-22
UNRWA,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Vienna,A,Vienna,1949-12-08
Interpol,International Criminal Police Organization,Lyon,F,Rhone Alpes,1956-06-13
ACCT,Agency for Cultural and Technical Cooperation,Paris,F,Ile de France,1970-03-21
G-3,Group of 3,,,,1990-10-01
UNMOGIP,United Nations Military Observer Group in India and Pakistan,New York,USA,New York,1948-08-13
WMO,World Meteorological Organization,Geneva,CH,GE,1947-10-11
Caricom,Caribbean Community and Common Market,Georgetown,GUY,Guyana,1973-07-04
WCL,World Confederation of Labor,Brussels,B,Brabant,1920-06-19
