island,country,province
Great Britain,GB,Buckinghamshire
Great Britain,GB,Lothian
Shikoku,J,Ehime
Mayotte,MAYO,Mayotte
Honshu,J,Wakayama
Grand Bermuda,BERM,Bermuda
Bali,RI,Indonesia
Jamaica,JA,Jamaica
Norfolk Island,NORF,Norfolk Island
Usedom,PL,Szczecinskie
Uvea,WAFU,Wallis and Futuna
Sokotra,YE,Yemen
Corvo,P,Azores
Great Britain,GB,Monmouthshire
Iceland,IS,Iceland
Fohr,D,Schleswig Holstein
Great Britain,GB,Northamptonshire
Shikoku,J,Kagawa
Banks Island,CDN,Northwest Territories
Panarea,I,Calabria
Great Britain,GB,Bridgend
Grand Turk,TUCA,Turks and Caicos Islands
Hispaniola,DOM,Dominican Republic
Honshu,J,Chiba
Isabela,EC,Ecuador
Teneriffa,E,Canary Islands
Nevis,KN,Saint Kitts and Nevis
Lundy,GB,Devon
Vancouver Island,CDN,British Columbia
Okinawa,J,Okinawa
Menorca,E,Balearic Islands
South Ronaldsay,GB,Orkneys
Mohilla,COM,Comoros
Bangka,RI,Indonesia
Porto Santo,P,Madeira
Kyushu,J,Miyazaki
Olkhon,R,Rep. of Buryatiya
Honshu,J,Okayama
Tarawa,KIR,Kiribati
Santa Catalina Island,USA,California
Saint Thomas,VIRG,Virgin Islands
Southampton Island,CDN,Northwest Territories
Great Britain,GB,Hertfordshire
Honshu,J,Mie
Sachalin,R,Sakhalinskaya oblast
Falster,DK,Denmark
Grande Terre,NCA,New Caledonia
Great Britain,GB,Dumfries and Galloway
South Uist,GB,Outer Hebrides
Honshu,J,Shimane
Saint Kitts,KN,Saint Kitts and Nevis
Samos,GR,Voreion Aiyaion
Rhum,GB,Highland
Chios,GR,Voreion Aiyaion
Rarotonga,COOK,Cook Islands
Honshu,J,Tokyo
Great Britain,GB,Powys
Amrum,D,Schleswig Holstein
Batam,RI,Indonesia
Great Britain,GB,Wrexham
Tortola,BVIR,British Virgin Islands
Great Britain,GB,Somerset
Juist,D,Niedersachsen
Melville Island,AUS,Northern Territory
Great Britain,GB,Gloucestershire
Rene Levasseur Island,CDN,Ontario
Honshu,J,Nagano
Greenland,GROX,Greenland
Lipari,I,Calabria
Cuba,C,Ciego de Avila
Rugen,D,Mecklenburg Vorpommern
Aruba,ARU,Aruba
Futuna,WAFU,Wallis and Futuna
Kyushu,J,Fukuoka
Kyushu,J,Nagasaki
Prince Edward Island,CDN,Prince Edward Island
Santa Rosa Island,USA,California
Islay,GB,Strathclyde
Cangaroo Island,AUS,South Australia
Great Britain,GB,Rhondda Cynon Taff
Seeland,DK,Denmark
Arran,GB,Strathclyde
Te Ika-a-Maui (North Island),NZ,New Zealand
Great Britain,GB,Warwickshire
Hispaniola,RH,Haiti
Grenada,WG,Grenada
Ceram,RI,Indonesia
Ambon,RI,Indonesia
Honshu,J,Aichi
Vlieland,NL,Friesland
Great Britain,GB,Devon
San Miguel Island,USA,California
Bahrain,BRN,Bahrain
