island,sea,lake,river
Ascension,Atlantic Ocean,,
Male,Indian Ocean,,
Upolu,Pacific Ocean,,
Grand Cayman,Caribbean Sea,,
Mahe,Indian Ocean,,
Jersey,The Channel,,
Saipan,Pacific Ocean,,
Banks Island,Arctic Ocean,,
Montserrat,Atlantic Ocean,,
Filicudi,Mediterranean Sea,,
Hokkaido,Sea of Okhotsk,,
Aland,Baltic Sea,,
Honshu,Sea of Japan,,
Saint Thomas,Atlantic Ocean,,
Sachalin,Sea of Okhotsk,,
Miquelon-Langlade,Atlantic Ocean,,
Aust-Vagoey,Norwegian Sea,,
Westray,North Sea,,
Anguilla,Caribbean Sea,,
Sulawesi,Sulawesi Sea,,
Mayotte,Indian Ocean,,
West Falkland,Atlantic Ocean,,
Taiwan,Pacific Ocean,,
Shetland Mainland,Norwegian Sea,,
Pico,Atlantic Ocean,,
Fogo,Atlantic Ocean,,
Seeland,Kattegat,,
Sokotra,Indian Ocean,,
Dagoe,Baltic Sea,,
Kyushu,Sea of Japan,,
Kotelny Island,Sibirian Sea,,
Kauai,Pacific Ocean,,
Lampedusa,Mediterranean Sea,,
Kefallinia,Mediterranean Sea,,
Rota,Pacific Ocean,,
Rhum,Atlantic Ocean,,
Cyprus,Mediterranean Sea,,
Gran Canaria,Atlantic Ocean,,
Leyte,Sulawesi Sea,,
New Guinea,Pacific Ocean,,
Sri Lanka,Indian Ocean,,
Grande-Terre,Caribbean Sea,,
Westray,North Sea,,
Antigua,Atlantic Ocean,,
Khark,Arabian Sea,,
Chios,Mediterranean Sea,,
Saint Helena,Atlantic Ocean,,
Guam,Pacific Ocean,,
Shetland Mainland,Norwegian Sea,,
Martinique,Atlantic Ocean,,
Svalbard,Norwegian Sea,,
Maui,Pacific Ocean,,
Borneo,South China Sea,,
Corse,Mediterranean Sea,,
New Guinea,Sunda Sea,,
Grande Terre,Pacific Ocean,,
Kotelny Island,Arctic Ocean,,
Saint Kitts,Caribbean Sea,,
San Clemente Island,Pacific Ocean,,
Niihau,Pacific Ocean,,
Victoria Island,Arctic Ocean,,
Koror,Pacific Ocean,,
Reunion,Indian Ocean,,
Leyte,Pacific Ocean,,
Anguilla,Atlantic Ocean,,
Panay,Sulawesi Sea,,
Samosir,,Lake Toba,
Fehmarn,North Sea,,
Lewis and Harris,Atlantic Ocean,,
Grand Turk,Atlantic Ocean,,
Sachalin,Sea of Okhotsk,,
Corvo,Atlantic Ocean,,
Formentera,Mediterranean Sea,,
Bali,Indian Ocean,,
Dominica,Caribbean Sea,,
Usedom,Baltic Sea,,
Shikoku,Pacific Ocean,,
Korfu,Mediterranean Sea,,
Basse-Terre,Caribbean Sea,,
Santa Catalina Island,Pacific Ocean,,
Linosa,Mediterranean Sea,,
Ellesmere Island,Arctic Ocean,,
Dominica,Caribbean Sea,,
Panay,Sulawesi Sea,,
Antigua,Atlantic Ocean,,
Lewis and Harris,Atlantic Ocean,,
Benbecula,Atlantic Ocean,,
Aland,Baltic Sea,,
Lipari,Mediterranean Sea,,
Texel,North Sea,,
New Guinea,Sunda Sea,,
New Providence,Atlantic Ocean,,
Filicudi,Mediterranean Sea,,
Saint Vincent,Atlantic Ocean,,
San Miguel Island,Pacific Ocean,,
Hokkaido,Pacific Ocean,,
Gozo,Mediterranean Sea,,
Palawan,Sulawesi Sea,,
Sumbawa,Sunda Sea,,
Salina,Mediterranean Sea,,
Faial,Atlantic Ocean,,
Greenland,Norwegian Sea,,
Kotelny Island,Arctic Ocean,,
Luzon,Pacific Ocean,,
Uvea,Pacific Ocean,,
Nevis,Atlantic Ocean,,
Iceland,Norwegian Sea,,
Anguilla,Caribbean Sea,,
Oahu,Pacific Ocean,,
Okinawa,Pacific Ocean,,
Orkney Mainland,North Sea,,
Sokotra,Gulf of Aden,,
Kreta,Mediterranean Sea,,
Amrum,North Sea,,
Kyushu,Sea of Japan,,
New Providence,Atlantic Ocean,,
Isle of Man,Irish Sea,,
Greenland,Arctic Ocean,,
Babelthuap,Pacific Ocean,,
South Ronaldsay,North Sea,,
Grande-Terre,Atlantic Ocean,,
Panay,Sulawesi Sea,,
Ascension,Atlantic Ocean,,
Samos,Mediterranean Sea,,
North Uist,Atlantic Ocean,,
Lombok,Indian Ocean,,
Tongatapu,Pacific Ocean,,
Rene Levasseur Island,,Lake Manicouagan,
Niihau,Pacific Ocean,,
Miquelon-Langlade,Atlantic Ocean,,
Bangka,Sunda Sea,,
Sumatra,Indian Ocean,,
Pellworm,North Sea,,
South Uist,Atlantic Ocean,,
Mayotte,Indian Ocean,,
Bishop Rock,Atlantic Ocean,,
Tobago,Atlantic Ocean,,
Borneo,South China Sea,,
Isla da Ometepe,,Lake Nicaragua,
Singapore,South China Sea,,
Barbuda,Caribbean Sea,,
Lolland,Baltic Sea,,
Great Britain,North Sea,,
Antigua,Atlantic Ocean,,
Grande Terre,Pacific Ocean,,
Te Waka-a-Maui (South Island),Pacific Ocean,,
Manitoulin,,Lake Huron,
Luzon,Pacific Ocean,,
Osterinsel,Pacific Ocean,,
Melville Island,Indian Ocean,,
Grenada,Atlantic Ocean,,
Saipan,Pacific Ocean,,
Montserrat,Caribbean Sea,,
Rene Levasseur Island,,Lake Manicouagan,
Menorca,Mediterranean Sea,,
Lanzarote,Atlantic Ocean,,
Khark,Persian Gulf,,
Falster,Baltic Sea,,
Barra,Atlantic Ocean,,
Providenciales,Atlantic Ocean,,
Bali,Indian Ocean,,
Saint Vincent,Caribbean Sea,,
Wangerooge,North Sea,,
Victoria Island,Arctic Ocean,,
Anguilla,Atlantic Ocean,,
Cuba,Gulf of Mexico,,
Shikoku,Pacific Ocean,,
Shetland Mainland,North Sea,,
Upolu,Pacific Ocean,,
Batam,South China Sea,,
Rota,Pacific Ocean,,
Hokkaido,Sea of Japan,,
Teneriffa,Atlantic Ocean,,
Faial,Atlantic Ocean,,
Iceland,Norwegian Sea,,
Antigua,Caribbean Sea,,
Ambon,Sunda Sea,,
Seeland,Baltic Sea,,
Lewis and Harris,Atlantic Ocean,,
Efate,Pacific Ocean,,
Saint Lucia,Atlantic Ocean,,
