season,slot,strongseed,weakseed
1998,R6CH,R5WX,R5YZ
1987,R1Z7,Z07,Z10
1986,R2X4,R1X4,R1X5
1995,R1W7,W07,W10
2003,R1W1,W01,W16
2004,R1W1,W01,W16
2005,R1W1,W01,W16
2006,R1W1,W01,W16
2007,R1W1,W01,W16
2008,R1W1,W01,W16
2009,R1W1,W01,W16
2010,R1W1,W01,W16
2011,R1W1,W01,W16
2012,R1W1,W01,W16
2013,R1W1,W01,W16
2014,R1W1,W01,W16
2003,R1W2,W02,W15
2004,R1W2,W02,W15
2006,R1W2,W02,W15
2007,R1W2,W02,W15
2008,R1W2,W02,W15
2009,R1W2,W02,W15
2010,R1W2,W02,W15
2011,R1W2,W02,W15
2012,R1W2,W02,W15
2013,R1W2,W02,W15
2014,R1W2,W02,W15
2003,R1W3,W03,W14
2006,R1W3,W03,W14
2007,R1W3,W03,W14
2008,R1W3,W03,W14
2009,R1W3,W03,W14
2010,R1W3,W03,W14
2011,R1W3,W03,W14
2012,R1W3,W03,W14
2013,R1W3,W03,W14
2014,R1W3,W03,W14
2003,R1W4,W04,W13
2004,R1W4,W04,W13
2005,R1W4,W04,W13
2006,R1W4,W04,W13
2007,R1W4,W04,W13
2008,R1W4,W04,W13
2009,R1W4,W04,W13
2010,R1W4,W04,W13
2011,R1W4,W04,W13
2012,R1W4,W04,W13
2013,R1W4,W04,W13
2014,R1W4,W04,W13
2003,R1W5,W05,W12
2004,R1W5,W05,W12
2005,R1W5,W05,W12
2006,R1W5,W05,W12
2007,R1W5,W05,W12
2008,R1W5,W05,W12
2009,R1W5,W05,W12
2010,R1W5,W05,W12
2011,R1W5,W05,W12
2012,R1W5,W05,W12
2013,R1W5,W05,W12
2014,R1W5,W05,W12
2003,R1W6,W06,W11
2004,R1W6,W06,W11
2005,R1W6,W06,W11
2006,R1W6,W06,W11
2007,R1W6,W06,W11
2008,R1W6,W06,W11
2009,R1W6,W06,W11
2010,R1W6,W06,W11
2011,R1W6,W06,W11
2012,R1W6,W06,W11
2013,R1W6,W06,W11
2014,R1W6,W06,W11
2003,R1W7,W07,W10
2004,R1W7,W07,W10
2005,R1W7,W07,W10
2006,R1W7,W07,W10
2007,R1W7,W07,W10
2008,R1W7,W07,W10
2009,R1W7,W07,W10
2010,R1W7,W07,W10
2011,R1W7,W07,W10
2012,R1W7,W07,W10
2013,R1W7,W07,W10
2014,R1W7,W07,W10
2003,R1W8,W08,W09
2004,R1W8,W08,W09
2005,R1W8,W08,W09
2006,R1W8,W08,W09
2007,R1W8,W08,W09
2008,R1W8,W08,W09
2002,R3Y2,R2Y2,R2Y3
1998,R1Y5,Y05,Y12
2007,R5YZ,R4Y1,R4Z1
1990,R2Y4,R1Y4,R1Y5
2000,R1X7,X07,X10
2002,R1Z3,Z03,Z14
1993,R1X2,X02,X15
2011,R2Z4,R1Z4,R1Z5
1989,R1X1,X01,X16
2012,R1Z4,Z04,Z13
1993,R3X2,R2X2,R2X3
1995,R2W4,R1W4,R1W5
1995,R1Y3,Y03,Y14
2011,R1X4,X04,X13
1988,R1Z2,Z02,Z15
2010,R2X3,R1X3,R1X6
2014,R1Y7,Y07,Y10
1993,R5WX,R4W1,R4X1
1994,R1Z2,Z02,Z15
1999,R5YZ,R4Y1,R4Z1
1997,R5YZ,R4Y1,R4Z1
1992,R1Y6,Y06,Y11
1992,R3Z2,R2Z2,R2Z3
1998,R2X1,R1X1,R1X8
2012,R2X1,R1X1,R1X8
1989,R1Z6,Z06,Z11
1998,R1Y2,Y02,Y15
1997,R1X5,X05,X12
2014,R2Z2,R1Z2,R1Z7
1999,R3Y1,R2Y1,R2Y4
2005,R2Z3,R1Z3,R1Z6
2006,R1Y4,Y04,Y13
1993,R1Z6,Z06,Z11
1996,R1X2,X02,X15
1990,R1Y2,Y02,Y15
2004,R1X4,X04,X13
2000,R1W5,W05,W12
2005,R3Y1,R2Y1,R2Y4
2014,R1X1,X01,X16
2014,R2Y2,R1Y2,R1Y7
1986,R2Z2,R1Z2,R1Z7
1988,R1W3,W03,W14
2000,R2W2,R1W2,R1W7
2009,R1X8,X08,X09
1997,R1W1,W01,W16
2012,R2Z4,R1Z4,R1Z5
1993,R2X1,R1X1,R1X8
2006,R2W3,R1W3,R1W6
1999,R2W1,R1W1,R1W8
1998,R3W2,R2W2,R2W3
2007,R1Z7,Z07,Z10
1990,R2Z1,R1Z1,R1Z8
1986,R3Z2,R2Z2,R2Z3
1992,R1Y7,Y07,Y10
1988,R1W8,W08,W09
2002,R6CH,R5WX,R5YZ
1996,R1W5,W05,W12
2006,R1X3,X03,X14
2005,R2Z2,R1Z2,R1Z7
2005,R4W1,R3W1,R3W2
2011,R4W1,R3W1,R3W2
1997,R2Z1,R1Z1,R1Z8
2001,R1X1,X01,X16
2007,R2W4,R1W4,R1W5
1996,R1X4,X04,X13
2004,R5YZ,R4Y1,R4Z1
2007,R5WX,R4W1,R4X1
2000,R1Y7,Y07,Y10
2012,R3Y1,R2Y1,R2Y4
2011,R2W3,R1W3,R1W6
1997,R1W5,W05,W12
1989,R2Y1,R1Y1,R1Y8
2002,R1Z5,Z05,Z12
1985,R1W7,W07,W10
1991,R1Y8,Y08,Y09
2013,R1X5,X05,X12
2009,R2X3,R1X3,R1X6
2000,R1Y1,Y01,Y16
2001,R3Z2,R2Z2,R2Z3
2002,R2Z1,R1Z1,R1Z8
1998,R1Z3,Z03,Z14
2013,R4X1,R3X1,R3X2
2006,R2Z2,R1Z2,R1Z7
1985,R3W2,R2W2,R2W3
2003,R3W2,R2W2,R2W3
1994,R1W4,W04,W13
1991,R1X6,X06,X11
2012,R1Y6,Y06,Y11
1998,R3Z1,R2Z1,R2Z4
1998,R1Y7,Y07,Y10
2002,R2W1,R1W1,R1W8
1986,R1Z3,Z03,Z14
1989,R2W2,R1W2,R1W7
2012,R2X2,R1X2,R1X7
2003,R2Y3,R1Y3,R1Y6
1995,R3W1,R2W1,R2W4
1998,R1X7,X07,X10
1994,R2Z3,R1Z3,R1Z6
2011,R2X1,R1X1,R1X8
1990,R4Z1,R3Z1,R3Z2
1985,R1X6,X06,X11
1997,R3X2,R2X2,R2X3
1985,R2W3,R1W3,R1W6
1996,R2Y2,R1Y2,R1Y7
1994,R3X1,R2X1,R2X4
2005,R2Y3,R1Y3,R1Y6
1990,R2W1,R1W1,R1W8
1986,R1X3,X03,X14
2006,R1Z4,Z04,Z13
1991,R1X2,X02,X15
2013,R2X1,R1X1,R1X8
1986,R3W2,R2W2,R2W3
1998,R1W2,W02,W15
2014,R1X3,X03,X14
1994,R1Y7,Y07,Y10
1998,R1W1,W01,W16
2012,R1Z7,Z07,Z10
2013,R2Z2,R1Z2,R1Z7
1998,R1X5,X05,X12
1991,R1Z7,Z07,Z10
1995,R1Y8,Y08,Y09
2004,R2W4,R1W4,R1W5
2008,R6CH,R5WX,R5YZ
2006,R4W1,R3W1,R3W2
2006,R1Z5,Z05,Z12
2007,R1Z6,Z06,Z11
2014,R2X1,R1X1,R1X8
1987,R1Y3,Y03,Y14
2007,R3Z1,R2Z1,R2Z4
1998,R1W8,W08,W09
1993,R2Z1,R1Z1,R1Z8
2010,R2X2,R1X2,R1X7
2007,R4X1,R3X1,R3X2
2008,R3Y2,R2Y2,R2Y3
1993,R3Z2,R2Z2,R2Z3
1988,R1Y2,Y02,Y15
1987,R1Z6,Z06,Z11
1993,R1Y2,Y02,Y15
1995,R2Z3,R1Z3,R1Z6
1986,R4Z1,R3Z1,R3Z2
2012,R2Y1,R1Y1,R1Y8
2011,R2Y4,R1Y4,R1Y5
2010,R1X4,X04,X13
2003,R2W3,R1W3,R1W6
1999,R1Z1,Z01,Z16
2012,R2Y3,R1Y3,R1Y6
2010,R3X2,R2X2,R2X3
2002,R1Y3,Y03,Y14
1998,R1W5,W05,W12
2005,R1Y2,Y02,Y15
2009,R1Z2,Z02,Z15
2012,Y16,Y16a,Y16b
2003,R2Z3,R1Z3,R1Z6
2009,R2Z4,R1Z4,R1Z5
2014,X16,X16a,X16b
1996,R1W3,W03,W14
2001,R2Y2,R1Y2,R1Y7
1999,R3X2,R2X2,R2X3
1997,R1Z5,Z05,Z12
2001,R1W1,W01,W16
2007,R2Z3,R1Z3,R1Z6
2010,R1Y5,Y05,Y12
1988,R1Z5,Z05,Z12
1990,R3X2,R2X2,R2X3
1990,R1Y5,Y05,Y12
1995,R2X2,R1X2,R1X7
2000,R4Y1,R3Y1,R3Y2
1996,R1Y4,Y04,Y13
1996,R2Z3,R1Z3,R1Z6
2010,R2Y4,R1Y4,R1Y5
2009,R1Y4,Y04,Y13
1992,R2Z1,R1Z1,R1Z8
1991,R1Y1,Y01,Y16
2001,R1W3,W03,W14
1987,R1W8,W08,W09
1989,R2Z1,R1Z1,R1Z8
1989,R2Y2,R1Y2,R1Y7
1989,R2Y4,R1Y4,R1Y5
1995,R1Y7,Y07,Y10
2009,R1Y8,Y08,Y09
2011,R1Z2,Z02,Z15
2004,R2W2,R1W2,R1W7
2000,R2Y3,R1Y3,R1Y6
1995,R2Z1,R1Z1,R1Z8
2013,R1X6,X06,X11
1996,R1X7,X07,X10
1999,R2W4,R1W4,R1W5
2002,R1Y8,Y08,Y09
2008,R1Y7,Y07,Y10
1990,R1Z5,Z05,Z12
2005,R2X3,R1X3,R1X6
1993,R3W2,R2W2,R2W3
2002,R2Z3,R1Z3,R1Z6
2005,R2X2,R1X2,R1X7
1994,R3W1,R2W1,R2W4
2004,R2Z4,R1Z4,R1Z5
1996,R1W8,W08,W09
2006,R1Z8,Z08,Z09
1989,R3Z1,R2Z1,R2Z4
2000,R1W3,W03,W14
1994,R2X1,R1X1,R1X8
2006,R4X1,R3X1,R3X2
1986,R1X4,X04,X13
2009,R2Z3,R1Z3,R1Z6
1989,R1Y3,Y03,Y14
1987,R2W4,R1W4,R1W5
1991,R1Z3,Z03,Z14
1986,R1W5,W05,W12
1986,R4Y1,R3Y1,R3Y2
2012,X12,X12a,X12b
1992,R2W4,R1W4,R1W5
1992,R2W2,R1W2,R1W7
2011,R1Y6,Y06,Y11
2013,R1Y4,Y04,Y13
2003,R1Y4,Y04,Y13
1995,R2Y4,R1Y4,R1Y5
1990,R1X3,X03,X14
1992,R1X4,X04,X13
1985,R2W2,R1W2,R1W7
1995,R1Z7,Z07,Z10
1985,R1Z1,Z01,Z16
1987,R1Y6,Y06,Y11
1991,R2X4,R1X4,R1X5
2004,R1Z3,Z03,Z14
1993,R1Y1,Y01,Y16
1995,R4W1,R3W1,R3W2
2006,R1Z1,Z01,Z16
2001,R5WX,R4W1,R4X1
2006,R1X8,X08,X09
2009,R1X1,X01,X16
1988,R4X1,R3X1,R3X2
2010,R1Z6,Z06,Z11
1993,R1Z5,Z05,Z12
1992,R1X8,X08,X09
2002,R1Y4,Y04,Y13
2009,R6CH,R5WX,R5YZ
1998,R2Y4,R1Y4,R1Y5
2005,R2Z1,R1Z1,R1Z8
1993,R1Y5,Y05,Y12
2007,R1Y6,Y06,Y11
1991,R3Y1,R2Y1,R2Y4
2014,R1Y2,Y02,Y15
2000,R2Z1,R1Z1,R1Z8
1998,R3Y1,R2Y1,R2Y4
1986,R2Y3,R1Y3,R1Y6
2010,R2W1,R1W1,R1W8
2004,R1X6,X06,X11
2005,R3X2,R2X2,R2X3
2012,R2W2,R1W2,R1W7
1985,R2W1,R1W1,R1W8
1990,R2X1,R1X1,R1X8
1997,R1Y3,Y03,Y14
1994,R1X7,X07,X10
1997,R3Z2,R2Z2,R2Z3
1987,R3Y2,R2Y2,R2Y3
1994,R2Z4,R1Z4,R1Z5
1987,R2Z2,R1Z2,R1Z7
1992,R1W4,W04,W13
1994,R2Y3,R1Y3,R1Y6
2002,R1X6,X06,X11
1996,R4Z1,R3Z1,R3Z2
1992,R1Y3,Y03,Y14
1986,R1X6,X06,X11
2012,R2X3,R1X3,R1X6
1989,R1Z2,Z02,Z15
2003,R1Y5,Y05,Y12
2010,R3W2,R2W2,R2W3
2003,R1Y1,Y01,Y16
2007,R4Y1,R3Y1,R3Y2
2013,R1Y2,Y02,Y15
1999,R1Z2,Z02,Z15
1985,R1Y1,Y01,Y16
1992,R2W1,R1W1,R1W8
2001,R1Z8,Z08,Z09
2002,R1X4,X04,X13
1989,R1X7,X07,X10
2007,R3X1,R2X1,R2X4
1996,R6CH,R5WX,R5YZ
2010,R1Z3,Z03,Z14
2011,R5YZ,R4Y1,R4Z1
2005,R1X5,X05,X12
1988,R2X3,R1X3,R1X6
1990,R1W1,W01,W16
1990,R1W8,W08,W09
1998,R1Z2,Z02,Z15
2007,R4W1,R3W1,R3W2
1988,R2W4,R1W4,R1W5
2009,R1X5,X05,X12
1995,R2Z4,R1Z4,R1Z5
1994,R1W6,W06,W11
1999,R1W5,W05,W12
2012,R3Z1,R2Z1,R2Z4
1998,R2W1,R1W1,R1W8
1992,R1Z6,Z06,Z11
1995,R3X2,R2X2,R2X3
1997,R2W1,R1W1,R1W8
1985,R4X1,R3X1,R3X2
2013,R1W8,W08,W09
2005,R2Y1,R1Y1,R1Y8
1997,R1W7,W07,W10
1985,R2Y2,R1Y2,R1Y7
2005,R1X1,X01,X16
2012,R1Y5,Y05,Y12
1987,R3W1,R2W1,R2W4
1990,R4Y1,R3Y1,R3Y2
2010,X16,X16a,X16b
2002,R1X8,X08,X09
2004,R1X2,X02,X15
1997,R2Y3,R1Y3,R1Y6
1996,R2X1,R1X1,R1X8
1997,R1Z3,Z03,Z14
2014,R4W1,R3W1,R3W2
2009,R1Z3,Z03,Z14
2014,R1Z5,Z05,Z12
1988,R1W7,W07,W10
2000,R2X1,R1X1,R1X8
1997,R4Y1,R3Y1,R3Y2
2014,R1Z2,Z02,Z15
2014,R2W4,R1W4,R1W5
2008,R1Y6,Y06,Y11
1987,R1X2,X02,X15
1987,R1Y4,Y04,Y13
1993,R1X4,X04,X13
1996,R1Y3,Y03,Y14
2002,R2X1,R1X1,R1X8
2002,R2Y4,R1Y4,R1Y5
1990,R2Y1,R1Y1,R1Y8
1995,R1W3,W03,W14
1994,R2Y4,R1Y4,R1Y5
1986,R1X7,X07,X10
1987,R3X2,R2X2,R2X3
1999,R2Y4,R1Y4,R1Y5
1996,R3W2,R2W2,R2W3
2001,R1Z7,Z07,Z10
1999,R1X8,X08,X09
1999,R1W6,W06,W11
1991,R4Y1,R3Y1,R3Y2
2000,R1X2,X02,X15
2001,R5YZ,R4Y1,R4Z1
1991,R1Y7,Y07,Y10
1991,R1Y4,Y04,Y13
1997,R1Y8,Y08,Y09
1999,R1Y1,Y01,Y16
2000,R3X2,R2X2,R2X3
2006,R1Z3,Z03,Z14
1996,R5WX,R4W1,R4X1
1992,R5WX,R4W1,R4X1
1989,R6CH,R5WX,R5YZ
2006,R2X4,R1X4,R1X5
1997,R3W1,R2W1,R2W4
1991,R2Y3,R1Y3,R1Y6
1993,R1W8,W08,W09
2002,R1Z7,Z07,Z10
2001,R3X1,R2X1,R2X4
1999,R2X1,R1X1,R1X8
2008,W16,W16a,W16b
2012,R1X8,X08,X09
2012,R1Z6,Z06,Z11
1990,R1Z8,Z08,Z09
2009,R2Y1,R1Y1,R1Y8
2012,R1Z5,Z05,Z12
1993,R1W7,W07,W10
2013,Y11,Y11a,Y11b
1999,R2X4,R1X4,R1X5
1990,R1Y1,Y01,Y16
1988,R4W1,R3W1,R3W2
1999,R1Z5,Z05,Z12
2010,R4W1,R3W1,R3W2
2004,R2Y1,R1Y1,R1Y8
2011,R3Y2,R2Y2,R2Y3
1991,R1Y3,Y03,Y14
2008,R2Y1,R1Y1,R1Y8
2007,R1X8,X08,X09
1988,R1Y6,Y06,Y11
2009,R4Z1,R3Z1,R3Z2
1992,R4X1,R3X1,R3X2
1985,R4Y1,R3Y1,R3Y2
2006,R1Y8,Y08,Y09
1992,R2Z4,R1Z4,R1Z5
1998,R1X4,X04,X13
2003,R2W1,R1W1,R1W8
2014,R4Y1,R3Y1,R3Y2
1988,R2Y1,R1Y1,R1Y8
2000,R3Z2,R2Z2,R2Z3
2000,R1Y5,Y05,Y12
1997,R6CH,R5WX,R5YZ
1995,R3Z1,R2Z1,R2Z4
1994,R1X1,X01,X16
2010,R1W8,W08,W09
2006,R1Y2,Y02,Y15
1989,R1W6,W06,W11
1990,R2Z2,R1Z2,R1Z7
2008,R2X3,R1X3,R1X6
1994,R2X2,R1X2,R1X7
2008,R2W2,R1W2,R1W7
2005,R2W4,R1W4,R1W5
1998,R1Z5,Z05,Z12
1990,R3Y2,R2Y2,R2Y3
1991,R3Z2,R2Z2,R2Z3
2014,R1Z7,Z07,Z10
2004,R4Y1,R3Y1,R3Y2
2006,R2W1,R1W1,R1W8
2001,R1Y3,Y03,Y14
2011,R1Y3,Y03,Y14
2009,R5YZ,R4Y1,R4Z1
1994,R1Y2,Y02,Y15
1990,R5YZ,R4Y1,R4Z1
2014,R3Z1,R2Z1,R2Z4
1990,R1X8,X08,X09
2001,R1W4,W04,W13
2008,R2Y3,R1Y3,R1Y6
2011,R1Z5,Z05,Z12
2008,R2Y2,R1Y2,R1Y7
1986,R2Y2,R1Y2,R1Y7
1989,R5YZ,R4Y1,R4Z1
2004,R2Z2,R1Z2,R1Z7
2012,R1Y8,Y08,Y09
1999,R3Z2,R2Z2,R2Z3
2014,R2X3,R1X3,R1X6
2009,R2Y2,R1Y2,R1Y7
1988,R1Z8,Z08,Z09
1985,R2X4,R1X4,R1X5
1996,R1X5,X05,X12
2006,R5WX,R4W1,R4X1
1985,R1Z7,Z07,Z10
2002,R1Z6,Z06,Z11
2010,R4Z1,R3Z1,R3Z2
1999,R2Z4,R1Z4,R1Z5
1993,R2X3,R1X3,R1X6
2000,R3Y2,R2Y2,R2Y3
1998,R2W4,R1W4,R1W5
2012,R1Y3,Y03,Y14
1989,R4X1,R3X1,R3X2
1994,R1Z6,Z06,Z11
2002,R2W2,R1W2,R1W7
1991,R5YZ,R4Y1,R4Z1
1987,R1X5,X05,X12
1991,R3W2,R2W2,R2W3
1997,R1Y2,Y02,Y15
2013,R1Y7,Y07,Y10
1993,R2Y3,R1Y3,R1Y6
1989,R2Z3,R1Z3,R1Z6
1985,R4W1,R3W1,R3W2
1997,R1X6,X06,X11
2005,R1Y3,Y03,Y14
1997,R1W3,W03,W14
1985,R1W2,W02,W15
1992,R2Y2,R1Y2,R1Y7
1995,R3Y1,R2Y1,R2Y4
1992,R1Z1,Z01,Z16
2010,R2X1,R1X1,R1X8
2001,R3W2,R2W2,R2W3
1988,R6CH,R5WX,R5YZ
2004,R3W1,R2W1,R2W4
1985,R2Z4,R1Z4,R1Z5
1985,R2X1,R1X1,R1X8
2000,R1W7,W07,W10
1997,R1X3,X03,X14
2007,R2Y2,R1Y2,R1Y7
1997,R1Y1,Y01,Y16
2008,R2X2,R1X2,R1X7
2012,R1X2,X02,X15
1999,R2Y2,R1Y2,R1Y7
1998,R2Z1,R1Z1,R1Z8
1986,R5WX,R4W1,R4X1
2011,R2Z3,R1Z3,R1Z6
2003,R1X4,X04,X13
2001,R1Z1,Z01,Z16
2002,R1W5,W05,W12
2004,R3Y1,R2Y1,R2Y4
2008,R3W2,R2W2,R2W3
1991,R1Z1,Z01,Z16
2012,R2W1,R1W1,R1W8
1987,R1W5,W05,W12
2003,R5YZ,R4Y1,R4Z1
2012,R1Z8,Z08,Z09
1993,R2Z3,R1Z3,R1Z6
2000,R1Y8,Y08,Y09
1999,R3W1,R2W1,R2W4
2005,R3X1,R2X1,R2X4
1996,R1Z7,Z07,Z10
2006,R2Y4,R1Y4,R1Y5
1991,R1X1,X01,X16
2009,R1Z6,Z06,Z11
1997,R1Y6,Y06,Y11
2008,R1Y3,Y03,Y14
2004,R1X1,X01,X16
1999,R1Y6,Y06,Y11
2008,R2X4,R1X4,R1X5
1991,R1W7,W07,W10
2012,R1Z1,Z01,Z16
1999,R1W7,W07,W10
1999,R1X6,X06,X11
1996,R2W3,R1W3,R1W6
2001,R1W6,W06,W11
1995,R1Z6,Z06,Z11
1989,R3X1,R2X1,R2X4
1996,R1Z5,Z05,Z12
2013,R1X4,X04,X13
1993,R2W1,R1W1,R1W8
2012,R1Y4,Y04,Y13
2014,R1X8,X08,X09
1993,R2W2,R1W2,R1W7
1995,R1Y1,Y01,Y16
1987,R1X7,X07,X10
2001,R1Y1,Y01,Y16
1987,R1Z3,Z03,Z14
1989,R3X2,R2X2,R2X3
2007,R1X2,X02,X15
2003,R1X2,X02,X15
1992,R1Y8,Y08,Y09
1996,R3W1,R2W1,R2W4
2004,Z16,Z16a,Z16b
1996,R1X3,X03,X14
1987,R1X6,X06,X11
2013,R1Z1,Z01,Z16
2013,R2W3,R1W3,R1W6
2004,R3Z1,R2Z1,R2Z4
1996,R1W2,W02,W15
2002,R2Z4,R1Z4,R1Z5
2003,R1Z4,Z04,Z13
2005,R1Z8,Z08,Z09
2008,R2Z2,R1Z2,R1Z7
1986,R3X2,R2X2,R2X3
2008,R1X1,X01,X16
2008,R4Y1,R3Y1,R3Y2
1990,R1X7,X07,X10
2013,R3X2,R2X2,R2X3
1988,R1Z3,Z03,Z14
1991,R3Z1,R2Z1,R2Z4
2004,R2X1,R1X1,R1X8
1991,R1X7,X07,X10
1986,R1Y6,Y06,Y11
1996,R3Z1,R2Z1,R2Z4
2009,R3Z2,R2Z2,R2Z3
1990,R1W7,W07,W10
1996,R1Y5,Y05,Y12
1989,R1W2,W02,W15
2008,R3W1,R2W1,R2W4
1999,R1X3,X03,X14
1988,R1Z7,Z07,Z10
1997,R3Y2,R2Y2,R2Y3
1987,R1Y5,Y05,Y12
2001,R4Y1,R3Y1,R3Y2
2006,R2Z1,R1Z1,R1Z8
2008,R1X3,X03,X14
2014,R4Z1,R3Z1,R3Z2
2014,R1Z4,Z04,Z13
1991,R4W1,R3W1,R3W2
2007,R2X3,R1X3,R1X6
1985,R2W4,R1W4,R1W5
1988,R2Z2,R1Z2,R1Z7
1992,R2X2,R1X2,R1X7
2006,R5YZ,R4Y1,R4Z1
2007,R3Z2,R2Z2,R2Z3
2013,R1X8,X08,X09
2007,R1Z3,Z03,Z14
2013,R3Z1,R2Z1,R2Z4
1985,R4Z1,R3Z1,R3Z2
2007,R1Y8,Y08,Y09
1994,R3X2,R2X2,R2X3
1987,R3Z2,R2Z2,R2Z3
1988,R4Z1,R3Z1,R3Z2
1993,R1W5,W05,W12
1989,R1W8,W08,W09
1995,R1W8,W08,W09
1989,R4Y1,R3Y1,R3Y2
1997,R1Z1,Z01,Z16
2004,R1Y4,Y04,Y13
2003,R3Y2,R2Y2,R2Y3
1990,R3X1,R2X1,R2X4
