managerid,awardid,yearid,lgid,tie,notes
sciosmi01m,BBWAA Manager of the year,2009,AL,,
rignebi01m,TSN Manager of the Year,1962,ML,,
andersp01m,BBWAA Manager of the year,1984,AL,,
lamonge01m,BBWAA Manager of the year,1993,AL,,
mckeoja99m,BBWAA Manager of the year,1999,NL,,
larusto01m,TSN Manager of the Year,1992,AL,,
bochybr01m,TSN Manager of the Year,1996,NL,,
lasorto01m,TSN Manager of the Year,1988,NL,,
coxbo01m,TSN Manager of the Year,1991,NL,,
leylaji99m,BBWAA Manager of the year,1990,NL,,
baylodo01m,TSN Manager of the Year,1995,NL,,
bochybr01m,TSN Manager of the Year,1998,NL,,
johnsda02m,TSN Manager of the Year,1997,AL,,
maddojo99m,BBWAA Manager of the year,2008,AL,,
bakerdu01m,TSN Manager of the Year,1997,NL,,
foxch01m,TSN Manager of the Year,1971,ML,,
manueje01m,TSN Manager of the Year,2000,AL,,
ozarkda99m,TSN Manager of the Year,1976,ML,,
girarjo01m,TSN Manager of the Year,2006,NL,,
coxbo01m,TSN Manager of the Year,1993,NL,,
johnsda01m,TSN Manager of the Year,1975,ML,,
sciosmi01m,TSN Manager of the Year,2002,AL,,
bakerdu01m,BBWAA Manager of the year,1997,NL,,
murtada01m,TSN Manager of the Year,1960,ML,,
williji03m,BBWAA Manager of the year,1999,AL,,
hodgegi01m,TSN Manager of the Year,1969,ML,,
johnsda02m,BBWAA Manager of the year,1997,AL,,
lanieha01m,TSN Manager of the Year,1986,NL,,
bowala01m,TSN Manager of the Year,2001,NL,,
wedgeer01m,BBWAA Manager of the year,2007,AL,,
tracyji01m,BBWAA Manager of the year,2009,NL,,
mccarjo99m,TSN Manager of the Year,1936,ML,,
coxbo01m,BBWAA Manager of the year,2004,NL,,
