yearid,round,teamidwinner,lgidwinner,teamidloser,lgidloser,wins,losses,ties
1976,ВВС,CIN,NL,NYA,AL,4,0,0
1998,АЛД2,NYA,AL,TEX,AL,3,0,0
1906,ВВС,CHA,AL,CHN,NL,4,2,0
2008,NLDS1,LAN,NL,CHN,NL,3,0,0
1997,НЛЦС,FLO,NL,ATL,NL,4,2,0
1991,АЛКС,MIN,AL,TOR,AL,4,1,0
2000,АЛД2,SEA,AL,CHA,AL,3,0,0
1938,ВВС,NYA,AL,CHN,NL,4,0,0
1914,ВВС,BSN,NL,PHA,AL,4,0,0
1986,НЛЦС,NYN,NL,HOU,NL,4,2,0
2012,НЛЦС,SFN,NL,SLN,NL,4,3,0
1939,ВВС,NYA,AL,CIN,NL,4,0,0
2007,НЛЦС,COL,NL,ARI,NL,4,0,0
1956,ВВС,NYA,AL,BRO,NL,4,3,0
1978,ВВС,NYA,AL,LAN,NL,4,2,0
2001,Алдс1,SEA,AL,CLE,AL,3,2,0
1988,ВВС,LAN,NL,OAK,AL,4,1,0
1995,АЛКС,CLE,AL,SEA,AL,4,2,0
1992,ВВС,TOR,AL,ATL,NL,4,2,0
1934,ВВС,SLN,NL,DET,AL,4,3,0
1995,АЛД2,SEA,AL,NYA,AL,3,2,0
1981,АВДИВ,OAK,AL,KCA,AL,3,0,0
2008,Алдс1,BOS,AL,LAA,AL,3,1,0
1993,АЛКС,TOR,AL,CHA,AL,4,2,0
1982,ВВС,SLN,NL,ML4,AL,4,3,0
1953,ВВС,NYA,AL,BRO,NL,4,2,0
1919,ВВС,CIN,NL,CHA,AL,5,3,0
1957,ВВС,ML1,NL,NYA,AL,4,3,0
1997,НЛДС2,ATL,NL,HOU,NL,3,0,0
1979,АЛКС,BAL,AL,CAL,AL,3,1,0
2005,АЛД2,LAA,AL,NYA,AL,3,2,0
2004,АЛД2,NYA,AL,MIN,AL,3,1,0
2012,НЛПЧ,SLN,NL,ATL,NL,1,0,0
2011,NLDS1,SLN,NL,PHI,NL,3,2,0
1932,ВВС,NYA,AL,CHN,NL,4,0,0
1908,ВВС,CHN,NL,DET,AL,4,1,0
1973,АЛКС,OAK,AL,BAL,AL,3,2,0
1982,АЛКС,ML4,AL,CAL,AL,3,2,0
1970,НЛЦС,CIN,NL,PIT,NL,3,0,0
1996,НЛДС2,SLN,NL,SDN,NL,3,0,0
1997,АЛКС,CLE,AL,BAL,AL,4,2,0
2007,АЛКС,BOS,AL,CLE,AL,4,3,0
2007,АЛД2,CLE,AL,NYA,AL,3,1,0
1940,ВВС,CIN,NL,DET,AL,4,3,0
1998,НЛДС2,SDN,NL,HOU,NL,3,1,0
2010,АЛД2,NYA,AL,MIN,AL,3,0,0
2006,Алдс1,DET,AL,NYA,AL,3,1,0
1974,НЛЦС,LAN,NL,PIT,NL,3,1,0
2012,ВВС,SFN,NL,DET,AL,4,0,0
1977,АЛКС,NYA,AL,KCA,AL,3,2,0
2012,НЛДС2,SFN,NL,CIN,NL,3,2,0
1993,ВВС,TOR,AL,PHI,NL,4,2,0
2001,NLDS1,ATL,NL,HOU,NL,3,0,0
1922,ВВС,NY1,NL,NYA,AL,4,0,0
1991,ВВС,MIN,AL,ATL,NL,4,3,0
1980,НЛЦС,PHI,NL,HOU,NL,3,2,0
1996,НЛЦС,ATL,NL,SLN,NL,4,3,0
1996,АЛКС,NYA,AL,BAL,AL,4,1,0
1973,НЛЦС,NYN,NL,CIN,NL,3,2,0
1916,ВВС,BOS,AL,BRO,NL,4,1,0
1998,ВВС,NYA,AL,SDN,NL,4,0,0
1967,ВВС,SLN,NL,BOS,AL,4,3,0
2002,НЛДС2,SLN,NL,ARI,NL,3,0,0
1990,АЛКС,OAK,AL,BOS,AL,4,0,0
2011,АЛД2,TEX,AL,TBA,AL,3,1,0
2004,NLDS1,SLN,NL,LAN,NL,3,1,0
1989,ВВС,OAK,AL,SFN,NL,4,0,0
1999,ВВС,NYA,AL,ATL,NL,4,0,0
1959,ВВС,LAN,NL,CHA,AL,4,2,0
2000,NLDS1,SLN,NL,ATL,NL,3,0,0
1962,ВВС,NYA,AL,SFN,NL,4,3,0
1972,ВВС,OAK,AL,CIN,NL,4,3,0
1936,ВВС,NYA,AL,NY1,NL,4,2,0
1972,НЛЦС,CIN,NL,PIT,NL,3,2,0
1944,ВВС,SLN,NL,SLA,AL,4,2,0
1947,ВВС,NYA,AL,BRO,NL,4,3,0
2012,All-Weather Low-Carbon,BAL,AL,TEX,AL,1,0,0
1923,ВВС,NYA,AL,NY1,NL,4,2,0
1975,ВВС,CIN,NL,BOS,AL,4,3,0
1924,ВВС,WS1,AL,NY1,NL,4,3,0
1972,АЛКС,OAK,AL,DET,AL,3,2,0
1949,ВВС,NYA,AL,BRO,NL,4,1,0
1995,НЛДС2,CIN,NL,LAN,NL,3,0,0
1970,ВВС,BAL,AL,CIN,NL,4,1,0
2005,НЛДС2,HOU,NL,ATL,NL,3,1,0
1931,ВВС,SLN,NL,PHA,AL,4,3,0
1961,ВВС,NYA,AL,CIN,NL,4,1,0
2000,ВВС,NYA,AL,NYN,NL,4,1,0
2000,НЛЦС,NYN,NL,SLN,NL,4,1,0
1992,НЛЦС,ATL,NL,PIT,NL,4,3,0
1995,ВВС,ATL,NL,CLE,AL,4,2,0
1985,НЛЦС,SLN,NL,LAN,NL,4,2,0
1998,NLDS1,ATL,NL,CHN,NL,3,0,0
2012,АЛД2,DET,AL,OAK,AL,3,2,0
1941,ВВС,NYA,AL,BRO,NL,4,1,0
1975,АЛКС,BOS,AL,OAK,AL,3,0,0
1945,ВВС,DET,AL,CHN,NL,4,3,0
1984,ВВС,DET,AL,SDN,NL,4,1,0
2003,НЛДС2,CHN,NL,ATL,NL,3,2,0
1929,ВВС,PHA,AL,CHN,NL,4,1,0
1971,АЛКС,BAL,AL,OAK,AL,3,0,0
2006,АЛД2,OAK,AL,MIN,AL,3,0,0
1960,ВВС,PIT,NL,NYA,AL,4,3,0
2010,Алдс1,TEX,AL,TBA,AL,3,2,0
1909,ВВС,PIT,NL,DET,AL,4,3,0
1905,ВВС,NY1,NL,PHA,AL,4,1,0
1993,НЛЦС,PHI,NL,ATL,NL,4,2,0
2012,Алдс1,NYA,AL,BAL,AL,3,2,0
1948,ВВС,CLE,AL,BSN,NL,4,2,0
2003,Алдс1,NYA,AL,MIN,AL,3,1,0
2003,NLDS1,FLO,NL,SFN,NL,3,1,0
1955,ВВС,BRO,NL,NYA,AL,4,3,0
1987,АЛКС,MIN,AL,DET,AL,4,1,0
1979,НЛЦС,PIT,NL,CIN,NL,3,0,0
2003,АЛД2,BOS,AL,OAK,AL,3,2,0
1983,АЛКС,BAL,AL,CHA,AL,3,1,0
1999,АЛКС,NYA,AL,BOS,AL,4,1,0
2006,АЛКС,DET,AL,OAK,AL,4,0,0
2006,НЛЦС,SLN,NL,NYN,NL,4,3,0
2006,НЛДС2,SLN,NL,SDN,NL,3,1,0
1987,ВВС,MIN,AL,SLN,NL,4,3,0
2009,АЛД2,LAA,AL,BOS,AL,3,0,0
1930,ВВС,PHA,AL,SLN,NL,4,2,0
2003,АЛКС,NYA,AL,BOS,AL,4,3,0
1980,ВВС,PHI,NL,KCA,AL,4,2,0
1927,ВВС,NYA,AL,PIT,NL,4,0,0
1995,NLDS1,ATL,NL,COL,NL,3,1,0
1981,ВВС,LAN,NL,NYA,AL,4,2,0
1950,ВВС,NYA,AL,PHI,NL,4,0,0
2011,ВВС,SLN,NL,TEX,AL,4,3,0
2009,НЛЦС,PHI,NL,LAN,NL,4,1,0
1985,ВВС,KCA,AL,SLN,NL,4,3,0
2010,НЛЦС,SFN,NL,PHI,NL,4,2,0
2002,ВВС,ANA,AL,SFN,NL,4,3,0
1958,ВВС,NYA,AL,ML1,NL,4,3,0
2009,АЛКС,NYA,AL,LAA,AL,4,2,0
1966,ВВС,BAL,AL,LAN,NL,4,0,0
1970,АЛКС,BAL,AL,MIN,AL,3,0,0
1986,ВВС,NYN,NL,BOS,AL,4,3,0
2001,ВВС,ARI,NL,NYA,AL,4,3,0
1974,ВВС,OAK,AL,LAN,NL,4,1,0
1968,ВВС,DET,AL,SLN,NL,4,3,0
1996,АЛД2,NYA,AL,TEX,AL,3,1,0
1988,АЛКС,OAK,AL,BOS,AL,4,0,0
1985,АЛКС,KCA,AL,TOR,AL,4,3,0
1928,ВВС,NYA,AL,SLN,NL,4,0,0
1933,ВВС,NY1,NL,WS1,AL,4,1,0
1964,ВВС,SLN,NL,NYA,AL,4,3,0
1978,НЛЦС,LAN,NL,PHI,NL,3,1,0
1999,НЛДС2,NYN,NL,ARI,NL,3,1,0
1969,АЛКС,BAL,AL,MIN,AL,3,0,0
2001,НЛЦС,ARI,NL,ATL,NL,4,1,0
1951,ВВС,NYA,AL,NY1,NL,4,2,0
2000,АЛКС,NYA,AL,SEA,AL,4,2,0
1954,ВВС,NY1,NL,CLE,AL,4,0,0
2005,АЛКС,CHA,AL,LAA,AL,4,1,0
2005,ВВС,CHA,AL,HOU,NL,4,0,0
2008,НЛЦС,PHI,NL,LAN,NL,4,1,0
1998,Алдс1,CLE,AL,BOS,AL,3,1,0
2002,АЛД2,MIN,AL,OAK,AL,3,2,0
1981,АЛКС,NYA,AL,OAK,AL,3,0,0
2004,Алдс1,BOS,AL,ANA,AL,3,0,0
1937,ВВС,NYA,AL,NY1,NL,4,1,0
1963,ВВС,LAN,NL,NYA,AL,4,0,0
2004,АЛКС,BOS,AL,NYA,AL,4,3,0
1977,ВВС,NYA,AL,LAN,NL,4,2,0
1979,ВВС,PIT,NL,BAL,AL,4,3,0
1996,NLDS1,ATL,NL,LAN,NL,3,0,0
1969,НЛЦС,NYN,NL,ATL,NL,3,0,0
2010,АЛКС,TEX,AL,NYA,AL,4,2,0
1981,НЛЦС,LAN,NL,MON,NL,3,2,0
1976,АЛКС,NYA,AL,KCA,AL,3,2,0
2011,АЛКС,TEX,AL,DET,AL,4,2,0
2007,Алдс1,BOS,AL,LAA,AL,3,0,0
1992,АЛКС,TOR,AL,OAK,AL,4,2,0
2008,АЛД2,TBA,AL,CHA,AL,3,1,0
2010,НЛДС2,SFN,NL,ATL,NL,3,1,0
1911,ВВС,PHA,AL,NY1,NL,4,2,0
1912,ВВС,BOS,AL,NY1,NL,4,3,0
1999,NLDS1,ATL,NL,HOU,NL,3,1,0
1952,ВВС,NYA,AL,BRO,NL,4,3,0
1981,Аидив,NYA,AL,ML4,AL,3,2,0
1984,НЛЦС,SDN,NL,CHN,NL,3,2,0
1977,НЛЦС,LAN,NL,PHI,NL,3,1,0
2006,ВВС,SLN,NL,DET,AL,4,1,0
1974,АЛКС,OAK,AL,BAL,AL,3,1,0
1969,ВВС,NYN,NL,BAL,AL,4,1,0
1997,Алдс1,CLE,AL,NYA,AL,3,2,0
1978,АЛКС,NYA,AL,KCA,AL,3,1,0
2007,NLDS1,ARI,NL,CHN,NL,3,0,0
1998,НЛЦС,SDN,NL,ATL,NL,4,2,0
2011,Алдс1,DET,AL,NYA,AL,3,2,0
1971,ВВС,PIT,NL,BAL,AL,4,3,0
2007,НЛДС2,COL,NL,PHI,NL,3,0,0
1946,ВВС,SLN,NL,BOS,AL,4,3,0
1986,АЛКС,BOS,AL,CAL,AL,4,3,0
2008,АЛКС,TBA,AL,BOS,AL,4,3,0
1987,НЛЦС,SLN,NL,SFN,NL,4,3,0
2007,ВВС,BOS,AL,COL,NL,4,0,0
1943,ВВС,NYA,AL,SLN,NL,4,1,0
1996,ВВС,NYA,AL,ATL,NL,4,2,0
2005,NLDS1,SLN,NL,SDN,NL,3,0,0
2002,Алдс1,ANA,AL,NYA,AL,3,1,0
1989,АЛКС,OAK,AL,TOR,AL,4,1,0
2012,NLDS1,SLN,NL,WAS,NL,3,2,0
1999,АЛД2,NYA,AL,TEX,AL,3,0,0
2000,НЛДС2,NYN,NL,SFN,NL,3,1,0
2002,NLDS1,SFN,NL,ATL,NL,3,2,0
1903,ВВС,BOS,AL,PIT,NL,5,3,0
1998,АЛКС,NYA,AL,CLE,AL,4,2,0
2011,НЛЦС,SLN,NL,MIL,NL,4,2,0
1975,НЛЦС,CIN,NL,PIT,NL,3,0,0
1965,ВВС,LAN,NL,MIN,AL,4,3,0
1999,НЛЦС,ATL,NL,NYN,NL,4,2,0
1917,ВВС,CHA,AL,NY1,NL,4,2,0
2005,Алдс1,CHA,AL,BOS,AL,3,0,0
2002,АЛКС,ANA,AL,MIN,AL,4,1,0
2010,NLDS1,PHI,NL,CIN,NL,3,0,0
1913,ВВС,PHA,AL,NY1,NL,4,1,0
1996,Алдс1,BAL,AL,CLE,AL,3,1,0
2009,НЛДС2,PHI,NL,COL,NL,3,1,0
2001,АЛКС,NYA,AL,SEA,AL,4,1,0
1907,ВВС,CHN,NL,DET,AL,4,0,0
1990,НЛЦС,CIN,NL,PIT,NL,4,2,0
1989,НЛЦС,SFN,NL,CHN,NL,4,1,0
