yearid,lgid,teamid,franchid,divid,rank,g,ghome,w,l,divwin,wcwin,lgwin,wswin,r,ab,h,2b,3b,hr,bb,so,sb,cs,hbp,sf,ra,er,era,cg,sho,sv,ipouts,ha,hra,bba,soa,e,dp,fp,name,park,attendance,bpf,ppf,teamidbr,teamidlahman45,teamidretro
2001,AL,ANA,ANA,W,3,162,81.0,75,87,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",691,5551,1447,275,26,158,494,1001.0,116.0,52.0,77.0,53.0,730,671,4,6,1,43,4313,1452,168,525,947,103,142.0,0,Анахайм Энджелс,Едисон Интернашнл Фьелд,2000919.0,101,101,ANA,ANA,ANA
1937,NL,BSN,ATL,,5,152,76.0,79,73,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",579,5124,1265,200,41,63,485,707.0,45.0,,,,556,486,3,85,16,10,4077,1344,60,372,387,157,128.0,0,Бостонские пчелы,Бравс-филд,385339.0,91,91,BSN,BSN,BSN
1891,NL,BRO,LAD,,6,137,,61,76,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",,765,4748,1233,200,69,23,464,435.0,337.0,,,,820,516,3,121,8,3,3612,1272,40,459,407,432,,0,Бруклин Грумы,Восточный парк,181477.0,99,99,BRO,BRO,BRO
1916,AL,BOS,BOS,,1,156,78.0,91,63,,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.","Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",550,5018,1246,197,56,14,464,482.0,129.0,,,,480,389,2,76,24,16,4230,1221,10,463,584,183,108.0,0,Бостон Ред Сокс,Фенвей-Парк I,496397.0,101,98,BOS,BOS,BOS
1882,AA,PH4,PHA,,3,75,,41,34,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",,406,2707,660,89,21,5,125,164.0,,,,,389,219,2,72,2,0,1989,682,13,99,190,361,36.0,0,Филадельфийские Атлетики,Оукдейл-Парк,,110,110,PHA,PH4,PH4
1926,NL,CIN,CIN,,2,157,77.0,87,67,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",747,5320,1541,242,120,35,454,333.0,51.0,,,,651,535,3,88,14,8,4224,1449,40,324,424,183,160.0,0,"""Цинциннати Редс""",Кроссли Филд,672987.0,98,97,CIN,CIN,CIN
1941,AL,PHA,OAK,,8,154,77.0,64,90,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",713,5336,1431,240,69,85,574,588.0,27.0,36.0,,,840,733,4,64,3,18,4095,1516,136,557,386,200,150.0,0,Филадельфийские Атлетики,Шибе Парк,528894.0,98,101,PHA,PHA,PHA
1989,NL,SDN,SDP,W,2,162,81.0,89,73,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",642,5422,1360,215,32,120,552,1013.0,136.0,67.0,,,626,547,3,21,11,52,4371,1359,133,481,933,152,147.0,0,Сан-Диего Падрес,Стадион Джека Мёрфи,2009031.0,101,101,SDP,SDN,SDN
1923,NL,PHI,PHI,,8,155,75.0,50,104,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",748,5491,1528,259,39,112,414,556.0,70.0,73.0,,,1008,816,5,68,3,8,4128,1801,100,549,384,213,172.0,0,Филадельфийские Филлис,Бакер-боул,228168.0,111,115,PHI,PHI,PHI
1916,AL,CLE,CLE,,6,157,78.0,77,77,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",630,5064,1264,233,66,16,522,605.0,160.0,,,,602,454,2,65,9,16,4230,1383,16,467,537,232,130.0,0,Кливленд Индианс,Лига Парк II,492106.0,106,106,CLE,CLE,CLE
2003,NL,COL,COL,W,4,162,81.0,74,88,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",853,5518,1472,330,31,198,619,1134.0,63.0,37.0,52.0,38.0,892,821,5,3,4,34,4260,1629,200,552,866,116,165.0,0,Колорадо Рокиз,Корас Филд,2334085.0,115,116,COL,COL,COL
1945,NL,BRO,LAD,,3,155,78.0,87,67,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",795,5418,1468,257,71,57,629,434.0,75.0,,,,724,572,3,61,7,18,4176,1357,74,586,557,230,144.0,0,Бруклин Доджерс,Эббетс-филд,1059220.0,99,99,BRO,BRO,BRO
1914,FL,PTF,PBS,,7,154,,64,86,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",,605,5114,1339,180,90,34,410,575.0,153.0,,,,698,542,3,97,9,6,4110,1416,39,444,510,253,92.0,0,Питтсбург Рэбельс,,,99,99,PBS,PTF,PTF
1985,NL,ATL,ATL,W,5,162,81.0,66,96,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",632,5526,1359,213,28,126,553,849.0,72.0,52.0,,,781,678,4,9,9,29,4371,1512,134,642,776,159,197.0,0,Атланта Брейвз,Аटलанта-Фултон Каунти Стадиум,1350137.0,105,106,ATL,ATL,ATL
2008,NL,ATL,ATL,E,4,162,,72,90,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",753,5604,1514,316,33,130,618,1023.0,58.0,27.0,42.0,34.0,778,714,4,2,7,26,4322,1439,156,586,1076,107,149.0,0,Атланта Брейвз,Turner-филд,2532834.0,98,98,ATL,ATL,ATL
2004,NL,MON,WSN,E,5,162,80.0,67,95,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",635,5474,1361,276,27,151,496,925.0,109.0,38.0,35.0,33.0,769,696,4,11,11,31,4341,1477,191,582,1032,99,171.0,0,Монреаль Экспоз,Стадион «Стэди Омникс» / «Хирам Битхорн»,749550.0,105,105,MON,MON,MON
1924,AL,BOS,BOS,,7,157,77.0,67,87,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",737,5340,1481,302,63,30,603,417.0,79.0,61.0,,,806,672,4,73,8,16,4173,1563,43,523,414,207,124.0,0,Бостон Ред Сокс,Фенвей-Парк I,448556.0,99,103,BOS,BOS,BOS
1872,NA,WS4,NAT,,11,11,,0,11,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",,80,460,105,3,2,0,1,3.0,0.0,0.0,,,190,76,6,11,0,0,297,194,2,3,0,100,,0,Вашингтон Нэшнлз,Национальные стадионы,,129,141,NAT,WS4,WS4
2007,AL,TEX,TEX,W,4,162,,75,87,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",816,5555,1460,298,36,179,503,1224.0,88.0,25.0,56.0,42.0,844,755,4,0,6,42,4290,1525,155,668,976,124,178.0,0,Техас Рейнджеры,"Стадион ""Рэнджерс"" в Арлингтоне",2353862.0,101,101,TEX,TEX,TEX
1883,NL,PHI,PHI,,8,99,,17,81,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",,437,3576,859,181,48,3,141,355.0,,,,,887,513,5,91,3,0,2592,1267,20,125,253,639,,0,Филадельфийские Друзья,Рекреационный парк,,91,98,PHI,PHI,PHI
1952,NL,SLN,STL,,3,154,77.0,88,66,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",677,5200,1386,247,54,97,537,479.0,33.0,32.0,,,630,553,3,49,12,27,4083,1274,119,501,712,141,159.0,0,Сент-Луис Кардиналс,Парк спортсмена IV,913113.0,100,99,STL,SLN,SLN
1977,AL,CAL,ANA,W,5,162,81.0,74,88,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",675,5410,1380,233,40,131,542,880.0,159.0,89.0,,,695,594,3,53,13,26,4311,1383,136,572,965,147,137.0,0,Калифорнийские ангелы,Анахайм Арена,1432633.0,96,96,CAL,CAL,CAL
1914,AL,PHA,OAK,,1,158,78.0,99,53,,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",749,5126,1392,165,80,29,545,517.0,231.0,188.0,,,529,434,2,89,24,17,4212,1264,18,521,720,213,116.0,0,Филадельфийские Атлетики,Шибе Парк,346641.0,96,95,PHA,PHA,PHA
1952,NL,PIT,PIT,,8,155,77.0,42,112,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",515,5193,1201,181,30,92,486,724.0,43.0,41.0,,,793,704,4,43,5,8,4089,1395,133,615,564,181,167.0,0,Питтсбург Пэйрэтс,Форбс-филд,686673.0,102,107,PIT,PIT,PIT
1947,AL,PHA,OAK,,5,156,78.0,78,76,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",633,5198,1311,218,52,61,605,563.0,37.0,33.0,,,614,542,3,70,12,15,4173,1291,85,597,493,143,161.0,0,Филадельфийские Атлетики,Шибе Парк,911566.0,102,103,PHA,PHA,PHA
1981,NL,PHI,PHI,E,3,107,55.0,59,48,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",491,3665,1002,165,25,69,372,432.0,103.0,46.0,,,472,432,4,19,5,23,2880,967,72,347,580,86,90.0,0,Филадельфийские Филлис,Стадион ветеранов,1638752.0,104,104,PHI,PHI,PHI
1974,NL,HOU,HOU,W,4,162,81.0,81,81,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",653,5489,1441,222,41,110,471,864.0,108.0,65.0,,,632,557,3,36,18,18,4350,1396,84,601,738,108,161.0,0,Хьюстон Астрос,Астродом,1090728.0,96,96,HOU,HOU,HOU
1906,NL,CIN,CIN,,6,155,78.0,64,87,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",533,5025,1198,140,71,16,395,,170.0,,,,582,409,2,126,12,5,4107,1248,14,470,567,260,97.0,0,"""Цинциннати Редс""",Дворец Фанов,330056.0,104,104,CIN,CIN,CIN
1919,AL,CLE,CLE,,2,139,69.0,84,55,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",636,4565,1268,254,72,24,498,367.0,113.0,,,,537,407,2,80,10,10,3735,1242,19,362,432,201,102.0,0,Кливленд Индианс,Лига Парк II,538135.0,106,104,CLE,CLE,CLE
1971,AL,NYA,NYY,E,4,162,81.0,82,80,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",648,5413,1377,195,43,97,581,717.0,75.0,55.0,,,641,553,3,67,15,12,4356,1382,126,423,707,125,159.0,0,Нью-Йорк Янкиз,Янки-стадион I,1070771.0,94,94,NYY,NYA,NYA
1967,NL,NYN,NYM,,10,162,78.0,61,101,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",498,5417,1288,178,23,83,362,981.0,58.0,44.0,,,672,594,3,36,10,19,4299,1369,124,536,893,157,147.0,0,Нью-Йорк Метс,Шей-стадиум,1565492.0,98,100,NYM,NYN,NYN
1980,AL,CHA,CHW,W,5,162,81.0,70,90,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",587,5444,1408,255,38,91,399,670.0,68.0,54.0,,,722,625,3,32,12,42,4305,1434,108,563,724,171,162.0,0,Чикаго Уайт Сокс,Комиски-Парк,1200365.0,100,100,CHW,CHA,CHA
1889,AA,KC2,KCC,,7,139,,55,82,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",852,4947,1256,162,76,18,430,626.0,472.0,,,,1031,583,4,128,0,2,3612,1373,51,457,447,611,,0,Канзас-Сити Ковбояс,Экспозиционный парк,,105,108,KCC,KC2,KC2
2005,NL,SDN,SDP,W,1,162,81.0,82,80,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.","Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",684,5502,1416,269,39,130,600,977.0,99.0,44.0,49.0,48.0,726,668,4,4,8,45,4366,1452,146,503,1133,109,136.0,0,Сан-Диего Падрес,Парк Петко,2869787.0,92,91,SDP,SDN,SDN
1977,AL,CLE,CLE,E,5,161,81.0,71,90,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",676,5491,1476,221,46,100,531,688.0,87.0,87.0,,,739,661,4,45,8,30,4356,1441,136,550,876,130,145.0,0,Кливленд Индианс,Стадион «Кливленд»,900365.0,96,97,CLE,CLE,CLE
1974,AL,BAL,BAL,E,1,162,81.0,91,71,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",659,5535,1418,226,27,116,509,770.0,145.0,58.0,,,612,536,3,57,16,25,4422,1393,101,480,701,128,174.0,0,Балтимор Ориолс,Мемориальный стадион,962572.0,97,95,BAL,BAL,BAL
1972,AL,ML4,MIL,E,6,156,79.0,65,91,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",493,5124,1204,167,22,88,472,868.0,64.0,57.0,,,595,533,3,37,14,32,4173,1289,116,486,740,139,145.0,0,Милуоки Брюэрс,"Стадион ""Кэти""",600440.0,97,98,MIL,MIL,MIL
1970,AL,CHA,CHW,W,6,162,84.0,56,106,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",633,5514,1394,192,20,123,477,872.0,53.0,33.0,,,822,721,4,20,6,30,4290,1554,164,556,762,165,187.0,0,Чикаго Уайт Сокс,Комиски-Парк,495355.0,101,102,CHW,CHA,CHA
1986,NL,ATL,ATL,W,6,161,81.0,72,89,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",615,5384,1348,241,24,138,538,904.0,93.0,76.0,,,719,628,3,17,5,39,4272,1443,117,576,932,141,181.0,0,Атланта Брейвз,Аटलанта-Фултон Каунти Стадиум,1387181.0,105,106,ATL,ATL,ATL
1915,FL,PTF,PBS,,3,156,,86,67,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",,592,5040,1318,180,80,20,448,561.0,224.0,,,,524,428,2,88,16,12,4146,1273,37,441,517,174,98.0,0,Питтсбург Рэбельс,,,99,99,PBS,PTF,PTF
1948,NL,PHI,PHI,,6,155,76.0,66,88,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",591,5287,1367,227,39,91,440,598.0,68.0,,,,729,617,4,61,6,15,4086,1385,95,556,550,210,126.0,0,Филадельфийские Филлис,Шибе Парк,767429.0,98,99,PHI,PHI,PHI
1967,AL,WS2,TEX,,6,161,80.0,76,85,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",550,5441,1211,168,25,115,472,1037.0,53.0,37.0,,,637,553,3,24,14,39,4419,1334,113,495,878,144,167.0,0,Вашингтонские сенаторы,Стадион РФК,770868.0,96,97,WSA,WS2,WS2
1982,AL,SEA,SEA,W,4,162,81.0,76,86,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",651,5626,1431,259,33,130,456,806.0,131.0,82.0,,,712,636,3,23,11,39,4428,1431,173,547,1002,138,158.0,0,Сиэтл Маринерс,Королевство,1070404.0,103,105,SEA,SEA,SEA
1913,AL,SLA,BAL,,8,155,77.0,57,96,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",528,5031,1193,179,73,18,455,769.0,209.0,,,,642,470,3,104,14,5,4146,1369,21,454,476,301,125.0,0,Сент-Луис Браунс,Парк спортсмена IV,250330.0,97,100,SLB,SLA,SLA
1994,AL,DET,DET,E,5,115,58.0,53,62,,,,,652,3955,1048,216,25,161,520,897.0,46.0,33.0,,,671,609,5,15,1,20,3054,1139,148,449,560,82,90.0,0,Детройт Тайгерс,Стадион Тигров,1184783.0,101,101,DET,DET,DET
1876,NL,NY3,NYU,,6,57,,21,35,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",,260,2180,494,39,15,2,18,35.0,,,,,412,173,2,56,2,0,1590,718,8,24,37,475,18.0,0,Нью-Йорк Мутуалы,Union Grounds (Бруклин),,96,100,NYU,NY3,NY3
1950,AL,WS1,MIN,,5,155,78.0,67,87,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",690,5251,1365,190,53,76,671,606.0,42.0,25.0,,,813,706,4,59,7,18,4092,1479,99,648,486,167,181.0,0,Вашингтонские сенаторы,стадион Гриффита I,699697.0,95,98,WSH,WS1,WS1
1976,AL,CHA,CHW,W,6,161,80.0,64,97,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",586,5532,1410,209,46,73,471,739.0,120.0,53.0,,,745,684,4,54,10,22,4344,1460,87,600,802,130,155.0,0,Чикаго Уайт Сокс,Комиски-Парк,914945.0,101,102,CHW,CHA,CHA
1989,NL,PIT,PIT,E,5,164,81.0,74,88,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",637,5539,1334,263,53,95,563,914.0,155.0,69.0,,,680,601,3,20,9,40,4461,1394,121,539,827,160,130.0,0,Питтсбург Пэйрэтс,Стадион «Трех рек»,1374141.0,96,96,PIT,PIT,PIT
1973,NL,PHI,PHI,E,6,162,81.0,71,91,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",642,5546,1381,218,29,134,476,979.0,51.0,47.0,,,717,642,3,49,11,22,4341,1435,131,632,919,134,179.0,0,Филадельфийские Филлис,Стадион ветеранов,1475934.0,102,103,PHI,PHI,PHI
1994,NL,SDN,SDP,W,4,117,57.0,47,70,,,,,479,4068,1117,200,19,92,319,762.0,79.0,37.0,,,531,474,4,8,3,27,3135,1008,99,393,862,111,82.0,0,Сан-Диего Падрес,Стадион Джека Мёрфи,953857.0,97,98,SDP,SDN,SDN
2000,AL,TBA,TBD,E,5,161,80.0,69,92,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",733,5505,1414,253,22,162,559,1022.0,90.0,46.0,48.0,40.0,842,773,4,10,8,38,4293,1553,198,533,955,118,171.0,0,Тампа-Бэй Рейз,Тропикана Филд,1449673.0,99,100,TBD,TBA,TBA
1907,AL,SLA,BAL,,6,155,76.0,69,83,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",542,5224,1324,154,63,10,370,,144.0,,,,555,400,2,129,15,9,4143,1254,17,352,463,266,97.0,0,Сент-Луис Браунс,"Спортивный парк ""III""",419025.0,100,99,SLB,SLA,SLA
1910,NL,PHI,PHI,,4,157,78.0,78,75,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",674,5171,1319,223,71,22,506,559.0,199.0,,,,639,478,3,84,17,9,4233,1297,36,547,657,258,132.0,0,Филадельфийские Филлис,Бакер-боул,296597.0,103,103,PHI,PHI,PHI
2003,NL,PIT,PIT,C,4,162,81.0,75,87,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",753,5581,1492,275,45,163,529,1049.0,86.0,37.0,87.0,38.0,801,744,4,7,10,44,4333,1527,178,502,926,123,159.0,0,Питтсбург Пэйрэтс,ПНК Парк,1636751.0,102,102,PIT,PIT,PIT
1901,AL,BOS,BOS,,2,138,69.0,79,57,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",,759,4866,1353,183,104,37,331,282.0,157.0,,,,608,411,3,123,7,1,3651,1178,33,294,396,329,104.0,0,Бостонские американцы,Хингтон-авеню-граунз,289448.0,98,96,BOS,BOS,BOS
1953,AL,BOS,BOS,,4,153,76.0,84,69,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",656,5246,1385,255,37,101,496,601.0,33.0,45.0,,,632,546,3,41,15,37,4119,1333,92,584,642,147,173.0,0,Бостон Ред Сокс,Фенвей-парк II,1026133.0,105,105,BOS,BOS,BOS
1916,NL,SLN,STL,,7,153,76.0,60,93,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",476,5030,1223,155,74,25,335,651.0,182.0,,,,629,473,3,58,13,15,4065,1331,31,445,529,273,124.0,0,Сент-Луис Кардиналс,Робинсон-филд,224308.0,99,101,STL,SLN,SLN
