franchid,franchname,active,naassoc
WNT,Вашингтон Нэшнлз,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
ROK,Рокфорд Форест Ситис,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
PBB,Питтсбургские бургеры,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
BRA,Бруклин Атлантики,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
WSN,Вашингтон Нэшнлз,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
ATH,Филадельфийские Атлетики,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",НКАП
BAL,Балтимор Ориолс,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
FLA,"""Флорида Марлинс""","Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
HNA,Хартфорд Дарк Блюз,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",ХАР
TRT,Трои,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
MLG,Милуоки Греис,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
WAS,Вашингтонские сенаторы,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
NAT,Вашингтон Нэшнлз,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
DET,Детройт Тайгерс,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
WBL,Вашингтонские синие ноги,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
NYI,Нью-Йорк Джайентс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
STP,Святые апостолы Павел,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
BFL,Баффало Бильс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
BLC,Бальтиморские орлы,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
TLM,Толедские мавры,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
WST,Вашингтон Стейтменс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
COL,Колорадо Рокиз,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
TBD,Тампа Бэй Рейс,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
BNA,Бостон Ред Стокингс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",ATL
ARI,Аризона Дэдхэкс,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
PHA,Филадельфийские Атлетики,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
STL,Сент-Луис Кардиналс,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
CHW,Чикаго Уайт Сокс,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
BLT,Балтимор Террапины,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
PHK,Филадельфийские ключи,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
CNA,Чикаго Белые Штанги,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",ХСХ
ANA,Лос-Анджелес Энджелс из Анахайма,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
BRG,Бруклин Гладиаторы,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
PBS,Питтсбург Рэбельс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
RES,Элизабет решает,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
NEW,Ньюарк-Пеппер,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
BTT,Бруклин Тип-Топс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
ATL,Атланта Брейвз,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",БНА
SNA,Сент-Луис Браун Стокингс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",КАН
OAK,Окленд Атлетикс,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
CNR,"""Цинциннати Редс""","Yes, I can do that! Please provide the text you would like translated from English to Russian.",
HAR,Хартфорд Дарк Блюз,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",HА
MAN,Миддлтон-Мансфилдс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
WES,Кеокук Уэстернс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
IBL,Индианаполис Блюз,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
SDP,Сан-Диего Падрес,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
KCP,Канзас-Сити Пакерс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
TOR,Торонто Блю Джейс,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
BOS,Бостон Ред Сокс,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
KCU,Канзас-Сити Ковбояс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
MAR,"Балтимор, штат Мэриленд","Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
WIL,Уильмингтонские быстрые шаги,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
CIN,"""Цинциннати Редс""","Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
CBK,Коламбус Баксайерс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
KEK,Форт-Вейн Кекионгасы,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
SLM,Сент-Луис Марунс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
ALT,Альтона Маунтин Сити,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
CFC,Кливленд Форест-Ситис,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
COR,Цинциннати Оутлоуд Редз,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
PHQ,Филадельфийские Атлетики,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
LOU,Луизвилл Колонелы,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
CPI,Чикаго/Питтсбург (Уион-Лиг),"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
PNA,Филадельфийские Атлетики,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",АТХ
IHO,Индианаполис Хоуизерз,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
CBL,Кливленд Блюз,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
LAD,Лос-Анджелес Доджерс,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
TOL,Толедские синие стокинги,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
OLY,Олимпийские игры в Вашингтоне,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
BRS,Бостон Редс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
KCC,Канзас-Сити Ковбояс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
SBS,Сент-Луис Браун Стокингс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",СНА
TRO,Трои МакРэйники,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
CKK,Киллеры из Цинциннати Келли,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
SEA,Сиэтл Маринерс,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
CLS,Коламбус Солоунс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
CEN,Филадельфийские центениалы,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
SFG,Сан-Франциско Джайентс,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
NYY,Нью-Йорк Янкиз,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
HOU,Хьюстон Астрос,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
TEX,Техас Рейнджеры,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
IND,Индианаполис Хоуизерз,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
BRD,Бостон Редс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
RIC,Ричмондские виргиняне,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
PHI,Филадельфийские Филлис,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
MIN,Миннесота Докс,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
NYM,Нью-Йорк Метс,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
PRO,Провиденс Грейс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
BFB,Баффало Бильс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
