yearid,round,teamidwinner,lgidwinner,teamidloser,lgidloser,wins,losses,ties
1965,WS,LAN,NL,MIN,AL,4,3,0
1946,WS,SLN,NL,BOS,AL,4,3,0
1906,WS,CHA,AL,CHN,NL,4,2,0
1913,WS,PHA,AL,NY1,NL,4,1,0
1998,НЛКС,SDN,NL,ATL,NL,4,2,0
1996,ALDS1,BAL,AL,CLE,AL,3,1,0
2004,НЛКС,SLN,NL,HOU,NL,4,3,0
1918,WS,BOS,AL,CHN,NL,4,2,0
1967,WS,SLN,NL,BOS,AL,4,3,0
1999,НЛДС2,NYN,NL,ARI,NL,3,1,0
1915,WS,BOS,AL,PHI,NL,4,1,0
1972,НЛКС,CIN,NL,PIT,NL,3,2,0
1996,НЛКС,ATL,NL,SLN,NL,4,3,0
1996,WS,NYA,AL,ATL,NL,4,2,0
1976,АЛКС,NYA,AL,KCA,AL,3,2,0
1959,WS,LAN,NL,CHA,AL,4,2,0
1998,АЛКС,NYA,AL,CLE,AL,4,2,0
1988,НЛКС,LAN,NL,NYN,NL,4,3,0
1974,НЛКС,LAN,NL,PIT,NL,3,1,0
2005,ALDS2,LAA,AL,NYA,AL,3,2,0
2004,ALDS2,NYA,AL,MIN,AL,3,1,0
2011,ALDS1,DET,AL,NYA,AL,3,2,0
1978,НЛКС,LAN,NL,PHI,NL,3,1,0
1981,АЛКС,NYA,AL,OAK,AL,3,0,0
2008,ALDS2,TBA,AL,CHA,AL,3,1,0
1969,НЛКС,NYN,NL,ATL,NL,3,0,0
2001,НЛКС,ARI,NL,ATL,NL,4,1,0
1958,WS,NYA,AL,ML1,NL,4,3,0
2012,WS,SFN,NL,DET,AL,4,0,0
2011,НЛКС,SLN,NL,MIL,NL,4,2,0
1970,АЛКС,BAL,AL,MIN,AL,3,0,0
1980,НЛКС,PHI,NL,HOU,NL,3,2,0
1972,WS,OAK,AL,CIN,NL,4,3,0
2003,ALDS2,BOS,AL,OAK,AL,3,2,0
1976,НЛКС,CIN,NL,PHI,NL,3,0,0
2010,ALDS1,TEX,AL,TBA,AL,3,2,0
1986,WS,NYN,NL,BOS,AL,4,3,0
2011,АЛКС,TEX,AL,DET,AL,4,2,0
1989,АЛКС,OAK,AL,TOR,AL,4,1,0
1914,WS,BSN,NL,PHA,AL,4,0,0
1977,НЛКС,LAN,NL,PHI,NL,3,1,0
1996,АЛКС,NYA,AL,BAL,AL,4,1,0
2006,ALDS2,OAK,AL,MIN,AL,3,0,0
2009,НЛКС,PHI,NL,LAN,NL,4,1,0
1981,НЛКС,LAN,NL,MON,NL,3,2,0
2000,НЛКС,NYN,NL,SLN,NL,4,1,0
1931,WS,SLN,NL,PHA,AL,4,3,0
1930,WS,PHA,AL,SLN,NL,4,2,0
1963,WS,LAN,NL,NYA,AL,4,0,0
2006,НЛДС2,SLN,NL,SDN,NL,3,1,0
2002,ALDS2,MIN,AL,OAK,AL,3,2,0
1995,НЛДС2,CIN,NL,LAN,NL,3,0,0
2012,ALDS2,DET,AL,OAK,AL,3,2,0
1977,АЛКС,NYA,AL,KCA,AL,3,2,0
1973,АЛКС,OAK,AL,BAL,AL,3,2,0
2007,ALDS2,CLE,AL,NYA,AL,3,1,0
1966,WS,BAL,AL,LAN,NL,4,0,0
1984,НЛКС,SDN,NL,CHN,NL,3,2,0
2000,НДС1,SLN,NL,ATL,NL,3,0,0
1987,АЛКС,MIN,AL,DET,AL,4,1,0
2012,ALDS1,NYA,AL,BAL,AL,3,2,0
2010,НЛКС,SFN,NL,PHI,NL,4,2,0
1961,WS,NYA,AL,CIN,NL,4,1,0
1991,АЛКС,MIN,AL,TOR,AL,4,1,0
1999,ALDS1,BOS,AL,CLE,AL,3,2,0
1936,WS,NYA,AL,NY1,NL,4,2,0
1955,WS,BRO,NL,NYA,AL,4,3,0
2001,НЛДС2,ARI,NL,SLN,NL,3,2,0
2006,НЛКС,SLN,NL,NYN,NL,4,3,0
1911,WS,PHA,AL,NY1,NL,4,2,0
1993,НЛКС,PHI,NL,ATL,NL,4,2,0
1916,WS,BOS,AL,BRO,NL,4,1,0
1982,WS,SLN,NL,ML4,AL,4,3,0
2004,НЛДС2,HOU,NL,ATL,NL,3,2,0
1950,WS,NYA,AL,PHI,NL,4,0,0
2005,НДС1,SLN,NL,SDN,NL,3,0,0
1921,WS,NY1,NL,NYA,AL,5,3,0
2007,НЛДС2,COL,NL,PHI,NL,3,0,0
1983,АЛКС,BAL,AL,CHA,AL,3,1,0
2008,НЛКС,PHI,NL,LAN,NL,4,1,0
1989,НЛКС,SFN,NL,CHN,NL,4,1,0
1988,WS,LAN,NL,OAK,AL,4,1,0
1907,WS,CHN,NL,DET,AL,4,0,0
2005,WS,CHA,AL,HOU,NL,4,0,0
1984,АЛКС,DET,AL,KCA,AL,3,0,0
2002,НЛКС,SFN,NL,SLN,NL,4,1,0
1979,WS,PIT,NL,BAL,AL,4,3,0
2002,НДС1,SFN,NL,ATL,NL,3,2,0
2012,Алкемистская лаборатория Вискасси,BAL,AL,TEX,AL,1,0,0
2001,ALDS1,SEA,AL,CLE,AL,3,2,0
1923,WS,NYA,AL,NY1,NL,4,2,0
1993,АЛКС,TOR,AL,CHA,AL,4,2,0
1987,WS,MIN,AL,SLN,NL,4,3,0
1999,НЛКС,ATL,NL,NYN,NL,4,2,0
1993,WS,TOR,AL,PHI,NL,4,2,0
2001,ALDS2,NYA,AL,OAK,AL,3,2,0
2005,НЛДС2,HOU,NL,ATL,NL,3,1,0
1986,АЛКС,BOS,AL,CAL,AL,4,3,0
1910,WS,PHA,AL,CHN,NL,4,1,0
1968,WS,DET,AL,SLN,NL,4,3,0
1997,ALDS1,CLE,AL,NYA,AL,3,2,0
2008,WS,PHI,NL,TBA,AL,4,1,0
1937,WS,NYA,AL,NY1,NL,4,1,0
1926,WS,SLN,NL,NYA,AL,4,3,0
2007,НДС1,ARI,NL,CHN,NL,3,0,0
1943,WS,NYA,AL,SLN,NL,4,1,0
1985,WS,KCA,AL,SLN,NL,4,3,0
1957,WS,ML1,NL,NYA,AL,4,3,0
1981,WS,LAN,NL,NYA,AL,4,2,0
1999,НДС1,ATL,NL,HOU,NL,3,1,0
1974,WS,OAK,AL,LAN,NL,4,1,0
1956,WS,NYA,AL,BRO,NL,4,3,0
1999,АЛКС,NYA,AL,BOS,AL,4,1,0
2000,WS,NYA,AL,NYN,NL,4,1,0
2007,АЛКС,BOS,AL,CLE,AL,4,3,0
2006,WS,SLN,NL,DET,AL,4,1,0
2010,НДС1,PHI,NL,CIN,NL,3,0,0
2010,НЛДС2,SFN,NL,ATL,NL,3,1,0
1928,WS,NYA,AL,SLN,NL,4,0,0
1981,Адеев,NYA,AL,ML4,AL,3,2,0
2008,АЛКС,TBA,AL,BOS,AL,4,3,0
2008,НДС1,LAN,NL,CHN,NL,3,0,0
1927,WS,NYA,AL,PIT,NL,4,0,0
1912,WS,BOS,AL,NY1,NL,4,3,0
2012,НЛВП,SLN,NL,ATL,NL,1,0,0
1997,НЛКС,FLO,NL,ATL,NL,4,2,0
1935,WS,DET,AL,CHN,NL,4,2,0
1905,WS,NY1,NL,PHA,AL,4,1,0
2002,ALDS1,ANA,AL,NYA,AL,3,1,0
1944,WS,SLN,NL,SLA,AL,4,2,0
2006,АЛКС,DET,AL,OAK,AL,4,0,0
