year,month,date,tmid,oppid,r/p,idgoalie1,idgoalie2
2001,11,15,PHI,WAS,Р,bouchbr01,cechmro01
1981,11,11,MTL,COR,Р,herrode01,sevigri01
1975,2,23,CHI,ATF,Р,esposto01,dumasmi01
1983,12,4,NJD,DET,Р,lowro01,reschgl01
1991,10,25,DET,TOR,Р,riendvi01,cheveti01
1970,11,5,STL,BOS,Р,hallgl01,wakeler01
1997,11,4,TOR,SJS,Р,healygl01,cousima01
2006,11,23,NAS,VAN,Р,vokouto01,masonch02
2005,12,2,SJS,BUF,Р,nabokev01,schaeno01
1996,12,3,TOR,STL,Р,cousima01,potvife01
1985,1,8,EDM,QUE,Р,moogan01,fuhrgr01
2001,3,12,SJS,MTL,Р,nabokev01,kiprumi01
2001,10,27,DET,NAS,Р,hasekdo01,legacma01
2005,11,12,ATL,CAR,Р,dunhami01,berkhad01
1973,2,7,QUN,PHB,Р,aubryse01,broderi01
2005,10,22,CAR,WAS,Р,gerbema01,wardca01
1972,11,25,TOR,CLF,Р,plantja01,lowro01
2001,11,15,PHI,WAS,Р,bouchbr01,cechmro01
1929,3,14,TOR,NYA,Р,chabolo01,grantbe01
1991,10,25,DET,TOR,Р,riendvi01,cheveti01
1987,1,9,WIN,HAR,Р,reddipo01,berthda01
1999,4,8,TBL,BOS,Р,schwaco01,hodsoke01
1977,11,1,NYI,ATF,Р,smithbi01,hogosgo01
1998,10,28,LAK,NJD,Р,fisetst01,legacma01
1941,3,15,MTL,NYA,Р,bibeapa01,gardibe01
1997,11,4,TOR,SJS,Р,healygl01,cousima01
2008,10,25,STL,FLO,Р,bishobe01,schwama01
2012,4,14,STL,SJS,Р,halakja01,elliobr01
1975,2,23,CHI,ATF,Р,esposto01,dumasmi01
2001,11,17,CAL,STL,Р,vernomi01,turekro01
1980,2,20,LAK,BOS,Р,lessama01,keansdo01
1983,4,3,WAS,NYR,Р,jenseal01,riggipa01
2010,5,10,PHI,BOS,Р,bouchbr01,leighmi01
1997,10,18,DET,CAR,Р,osgooch01,hodsoke01
1971,1,2,TOR,DET,Р,plantja01,gamblbr01
1971,3,24,TOR,CLF,Р,plantja01,parenbe01
1996,11,9,NJD,NYI,Р,brodema01,dunhami01
1993,2,8,PIT,BOS,Р,wreggke01,barrato01
2002,1,10,BOS,LAK,Р,grahajo01,dafoeby01
2007,12,12,OTT,CAR,Р,gerbema01,emeryra01
1981,2,5,MTL,MNS,Р,herrode01,sevigri01
