awardid,yearid,lgid,playerid,pointswon,pointsmax,votesfirst
MVP,1998,NL,lopezja01,1,448,0.0
MVP,1954,NL,sauerha01,1,336,0.0
MVP,1995,NL,gwynnto01,72,392,0.0
MVP,1924,AL,gerbewa01,4,64,0.0
Cy Young,1958,ML,burdele01,3,16,3.0
MVP,1913,AL,speaktr01,26,64,
MVP,1962,NL,koufasa01,3,280,0.0
MVP,1949,AL,dimagdo01,7,336,0.0
MVP,1938,NL,vaughar01,163,336,
MVP,1925,AL,burnsge02,4,64,0.0
MVP,1964,AL,fregoji01,21,280,0.0
MVP,1941,NL,higbeki01,64,336,
MVP,1958,AL,laryfr01,3,336,0.0
Cy Young,1991,NL,rijojo01,13,120,1.0
MVP,2004,NL,kentje01,18,448,0.0
Rookie of the Year,1951,NL,nichoch02,4,24,4.0
MVP,1956,AL,kalinal01,142,336,0.0
MVP,1980,NL,mcgratu01,10,336,0.0
MVP,1929,NL,fredejo01,2,80,0.0
Cy Young,2009,AL,sabatcc01,13,140,0.0
MVP,1954,AL,kalinal01,4,336,0.0
MVP,1929,NL,kleinch01,15,80,
MVP,1994,AL,knoblch01,8,392,0.0
MVP,1990,NL,willima04,95,336,0.0
MVP,1924,AL,pennohe01,24,64,
MVP,1955,AL,mantlmi01,113,336,0.0
Rookie of the Year,1999,NL,morriwa02,69,160,6.0
MVP,2000,NL,burksel01,6,448,0.0
MVP,1927,AL,todtph01,1,64,0.0
MVP,1956,NL,moonwa01,3,336,0.0
MVP,1914,NL,fletcar01,5,64,0.0
MVP,1954,NL,rhodedu01,1,336,0.0
Cy Young,1977,AL,palmeji01,48,140,6.0
Cy Young,1995,AL,wakefti01,29,140,0.0
MVP,1989,NL,davisgl01,64,336,0.0
MVP,1992,AL,morrija02,18,392,0.0
MVP,1997,AL,jeterde01,3,392,0.0
MVP,1960,NL,facero01,47,336,0.0
MVP,1940,NL,westma02,6,336,0.0
Cy Young,1989,NL,davisma01,107,120,19.0
MVP,1950,AL,parneme01,7,336,0.0
MVP,1939,NL,goodmiv01,4,336,0.0
MVP,1924,AL,severha01,17,64,
MVP,2009,NL,howarry01,217,448,0.0
Rookie of the Year,1983,NL,redusga01,8,120,0.0
MVP,1927,NL,careyma01,3,80,0.0
MVP,1988,NL,myersra01,3,336,0.0
Cy Young,1980,NL,carltst01,118,120,23.0
MVP,1968,NL,beckegl01,40,280,0.0
MVP,1925,AL,gehrilo01,2,64,0.0
MVP,1923,AL,collied01,37,64,0.0
MVP,1961,NL,spahnwa01,31,224,0.0
MVP,2001,NL,nevinph01,3,448,0.0
MVP,1981,NL,bakerdu01,65,336,0.0
MVP,2009,NL,victosh01,8,448,0.0
MVP,1945,NL,greggha01,2,336,0.0
MVP,1935,AL,sewellu01,7,80,0.0
MVP,1927,AL,seweljo01,9,64,0.0
MVP,1913,AL,schalra01,3,64,0.0
MVP,1944,AL,mayoed01,3,336,0.0
MVP,1923,AL,bassljo01,17,64,0.0
MVP,1948,AL,keltnke01,18,336,0.0
MVP,1987,NL,clarkja01,186,336,3.0
Cy Young,1984,AL,boddimi01,41,140,3.0
MVP,1984,NL,gwynnto01,184,336,1.0
MVP,1942,AL,ferreri01,8,336,0.0
Rookie of the Year,1987,NL,youngge02,7,120,0.0
Rookie of the Year,1996,NL,ordonre01,7,140,1.0
Cy Young,1976,AL,tiantlu01,10,120,0.0
MVP,1986,AL,joynewa01,74,392,0.0
MVP,1993,NL,gantro01,176,392,0.0
MVP,1981,AL,hargrmi01,4,392,0.0
MVP,1976,AL,lylesp01,8,336,0.0
MVP,1983,AL,luzingr01,9,392,0.0
MVP,1973,NL,cardejo02,6,336,0.0
MVP,1970,NL,aaronha01,16,336,0.0
MVP,1952,NL,brazlal01,3,336,0.0
MVP,2006,NL,jonesan01,29,448,0.0
MVP,1955,AL,klausbi01,27,336,0.0
Rookie of the Year,1994,AL,valenjo03,1,140,0.0
MVP,1995,NL,hayesch01,4,392,0.0
Rookie of the Year,1986,AL,eichhma01,23,140,0.0
MVP,2007,AL,thomafr04,1,392,0.0
MVP,1938,NL,camildo01,5,336,0.0
MVP,1954,NL,conlege01,3,336,0.0
Cy Young,1976,NL,koosmje01,69,120,7.0
MVP,1935,AL,cochrmi01,24,80,0.0
MVP,1923,AL,galloch01,13,64,0.0
MVP,2003,NL,gilesma01,9,448,0.0
MVP,1947,AL,fellebo01,58,336,0.0
MVP,1957,AL,wertzvi01,61,336,0.0
MVP,1971,NL,willsma01,74,336,0.0
Cy Young,1978,AL,guidrro01,140,140,28.0
MVP,1949,AL,kellge01,80,336,0.0
Rookie of the Year,1998,AL,hernaor01,25,140,1.0
MVP,1958,AL,harshja01,2,336,0.0
MVP,1968,NL,floodcu01,116,280,0.0
MVP,1928,AL,foxxji01,7,64,0.0
MVP,1928,NL,critzhu01,37,80,
MVP,1929,NL,tayloza02,1,80,0.0
MVP,1978,AL,tananfr01,1,392,0.0
MVP,1985,AL,boggswa01,159,392,0.0
Rookie of the Year,1978,AL,molitpa01,3,28,3.0
MVP,1965,NL,floodcu01,13,280,0.0
MVP,1960,AL,gentiji01,21,336,0.0
MVP,1932,AL,ruthba01,26,80,
MVP,2005,NL,pettian01,5,448,0.0
MVP,1985,NL,goodedw01,162,336,1.0
MVP,1942,AL,dickebi01,12,336,0.0
MVP,1943,NL,sewelri01,127,336,0.0
Rookie of the Year,2002,AL,juliojo01,14,140,0.0
MVP,1977,AL,bondsbo01,28,392,0.0
MVP,1990,AL,parkeda01,11,392,0.0
MVP,2006,AL,rogerke01,2,392,0.0
MVP,1911,NL,merklfr01,19,64,
Cy Young,1993,AL,hentgpa01,3,140,0.0
Cy Young,1985,AL,burnsbr01,2,140,0.0
MVP,1992,AL,listapa01,8,392,0.0
MVP,1929,NL,terrybi01,48,80,
MVP,1975,AL,toddji01,5,336,0.0
MVP,1987,AL,evansdw01,127,392,0.0
MVP,2007,NL,leeca01,7,448,0.0
MVP,1934,NL,friscfr01,4,80,0.0
MVP,1983,NL,ramirra01,15,336,0.0
MVP,1942,AL,wrighta01,6,336,0.0
MVP,1922,AL,bluelu01,11,64,
MVP,1947,NL,mizejo01,144,336,2.0
Cy Young,2000,AL,martipe02,140,140,28.0
MVP,1973,NL,bryanro01,5,336,0.0
MVP,1962,AL,killeha01,99,280,1.0
MVP,2005,AL,varitja01,4,392,0.0
Cy Young,1967,NL,jenkife01,1,20,1.0
Rookie of the Year,1993,AL,bereja01,59,140,0.0
Rookie of the Year,1951,NL,labincl01,2,24,2.0
MVP,1950,NL,simmocu01,22,336,0.0
MVP,1975,AL,kaatji01,2,336,0.0
MVP,1935,NL,terrybi01,20,80,
MVP,1941,AL,travice01,101,336,0.0
Cy Young,1978,NL,grimsro02,7,120,0.0
MVP,1936,AL,foxxji01,16,80,
MVP,1912,NL,daubeja01,13,64,
MVP,1941,NL,nichobi01,16,336,
MVP,1914,AL,schanwa01,10,64,
MVP,1911,NL,adamsba01,1,64,0.0
MVP,1956,NL,spahnwa01,126,336,1.0
MVP,1951,NL,cavarph01,1,336,0.0
MVP,1958,NL,frienbo01,98,336,0.0
MVP,1936,AL,grovele01,5,80,0.0
MVP,1998,AL,jeterde01,180,392,2.0
Rookie of the Year,1992,NL,wakefti01,29,120,2.0
MVP,1933,NL,warnelo01,4,80,0.0
MVP,1999,AL,willibe02,21,392,0.0
MVP,1926,AL,riceha01,6,64,0.0
MVP,1988,NL,davisgl01,72,336,0.0
MVP,2008,NL,ramirha01,55,448,0.0
MVP,1911,AL,barryja01,3,64,0.0
MVP,2000,AL,martipe02,103,392,0.0
Cy Young,2011,AL,sabatcc01,63,196,0.0
MVP,1954,AL,sievero01,1,336,0.0
MVP,1950,AL,dimagdo01,17,336,0.0
MVP,1989,AL,davisal01,2,392,0.0
MVP,1940,AL,yorkru01,61,336,0.0
Cy Young,2003,AL,loaizes01,63,140,2.0
MVP,1937,AL,lewisbu01,7,80,0.0
Rookie of the Year,1995,NL,verasqu01,14,140,0.0
Rookie of the Year,2005,NL,howarry01,109,160,19.0
MVP,1990,AL,cansejo01,26,392,0.0
MVP,1977,NL,rosepe01,15,336,0.0
MVP,1995,NL,walkela01,88,392,0.0
MVP,1913,NL,eversjo01,10,64,
MVP,1961,AL,donovdi01,5,280,0.0
MVP,1985,NL,marshmi02,11,336,0.0
Cy Young,1989,AL,saberbr01,138,140,27.0
Cy Young,1986,NL,krukomi01,15,120,0.0
MVP,2005,AL,matsuhi01,8,392,0.0
MVP,1961,NL,matheed01,7,224,0.0
MVP,2006,NL,soriaal01,106,448,0.0
MVP,1958,NL,thomafr03,143,336,2.0
MVP,1946,NL,walkedi02,159,336,0.0
MVP,1984,AL,hernawi01,306,392,16.0
MVP,1984,AL,wilsowi02,61,392,0.0
MVP,1942,AL,boudrlo01,34,336,0.0
MVP,2008,NL,gonzaad01,13,448,0.0
MVP,1948,NL,slaugen01,55,336,0.0
Rookie of the Year,1961,AL,schilch01,2,20,2.0
MVP,1978,AL,eckerde01,4,392,0.0
MVP,1952,NL,sauerha01,226,336,8.0
MVP,2001,AL,sasakka01,3,392,0.0
MVP,1973,AL,ryanno01,20,336,0.0
Rookie of the Year,1984,NL,darliro01,3,120,0.0
MVP,1976,AL,carewro01,71,336,1.0
MVP,1972,AL,palmeji01,21,336,0.0
MVP,1925,AL,covelst01,7,64,0.0
MVP,1958,AL,bollifr01,10,336,0.0
MVP,1937,AL,averiea01,4,80,0.0
MVP,1966,AL,robinfr02,280,280,20.0
MVP,1924,NL,wheatza01,40,80,
MVP,1912,AL,mcinnst01,1,64,0.0
MVP,1999,NL,jonesch06,432,448,29.0
MVP,1964,AL,powelbo01,28,280,0.0
MVP,1922,AL,sislege01,59,64,
Rookie of the Year,2003,NL,byrdma01,6,160,0.0
MVP,2007,NL,webbbr01,15,448,0.0
MVP,1984,AL,mosebll01,4,392,0.0
Cy Young,1991,AL,harvebr01,10,140,0.0
MVP,1936,AL,dykesji01,3,80,0.0
MVP,1939,AL,browncl01,34,336,0.0
Cy Young,1990,NL,martira02,70,120,1.0
MVP,1976,AL,campbbi02,56,336,0.0
MVP,1973,NL,johnsda02,34,336,0.0
MVP,1931,NL,cuyleki01,14,80,
MVP,1979,AL,kempst01,15,392,0.0
MVP,1977,NL,parkeda01,156,336,0.0
MVP,2007,AL,penaca01,64,392,0.0
MVP,1984,AL,trammal01,76,392,0.0
MVP,1966,NL,brocklo01,2,280,0.0
MVP,1933,NL,deandi01,23,80,
MVP,1962,AL,robinfl01,33,280,0.0
MVP,2012,AL,pujolal01,8,392,0.0
MVP,2004,NL,pujolal01,247,448,1.0
MVP,1964,AL,chancde01,97,280,0.0
MVP,1949,NL,kinerra01,133,336,0.0
MVP,1969,NL,menkede01,8,336,0.0
MVP,1932,AL,averiea01,37,80,
MVP,1953,AL,berrayo01,167,336,0.0
MVP,1997,AL,willibe02,14,392,0.0
MVP,1938,AL,averiea01,34,336,
MVP,1940,AL,treshmi01,4,336,0.0
MVP,1913,AL,russere01,5,64,0.0
MVP,1995,NL,biggicr01,58,392,0.0
MVP,1946,AL,henrito01,1,336,0.0
MVP,1980,AL,henderi01,51,392,0.0
MVP,1931,AL,ferrewe01,12,80,
MVP,1985,NL,duncama01,1,336,0.0
MVP,1994,NL,aloumo01,183,392,0.0
MVP,1986,NL,scottmi03,33,336,0.0
Cy Young,1972,NL,gibsobo01,3,120,0.0
Cy Young,1970,NL,merriji01,8,120,0.0
MVP,1911,NL,beschbo01,4,64,0.0
MVP,1963,AL,richabo01,43,280,0.0
MVP,1983,AL,mosebll01,21,392,0.0
MVP,2001,AL,hunteto01,2,392,0.0
Rookie of the Year,1973,NL,grubbjo01,1,24,1.0
Rookie of the Year,1982,NL,sandbry01,9,120,1.0
MVP,1941,AL,dimagdo01,1,336,0.0
MVP,2001,NL,heltoto01,90,448,0.0
MVP,1962,AL,mantlmi01,234,280,13.0
MVP,1976,NL,montawi01,4,336,0.0
Cy Young,2003,NL,gagneer01,146,160,28.0
MVP,2010,NL,wainwad01,12,448,0.0
MVP,1992,AL,belleal01,1,392,0.0
MVP,1997,NL,beckro01,2,392,0.0
MVP,2003,NL,gonzalu01,4,448,0.0
MVP,1970,NL,roberbo01,3,336,0.0
MVP,1928,AL,cochrmi01,53,64,
Rookie of the Year,1957,NL,sanfoja02,16,24,16.0
MVP,1933,AL,whiteea01,18,80,0.0
MVP,1984,AL,boddimi01,2,392,0.0
MVP,1947,NL,leonadu02,32,336,1.0
Rookie of the Year,1974,NL,madlobi01,1,24,1.0
MVP,1931,NL,engliwo01,30,80,
MVP,1935,NL,medwijo01,37,80,
MVP,2010,NL,howarry01,50,448,0.0
MVP,2006,NL,delgaca01,23,448,0.0
MVP,1944,NL,kurowwh01,1,336,0.0
Cy Young,2005,AL,buehrma01,5,140,0.0
MVP,1959,AL,minosmi01,26,336,0.0
MVP,1999,NL,jordabr01,11,448,0.0
Cy Young,2003,NL,schmija01,73,160,2.0
Rookie of the Year,2004,AL,roberna01,1,140,0.0
MVP,1970,AL,perryji01,63,336,0.0
Rookie of the Year,1988,AL,espyce01,1,140,0.0
MVP,1965,AL,mantife01,2,280,0.0
MVP,1990,AL,ripkeca01,2,392,0.0
MVP,1986,AL,obriepe03,5,392,0.0
MVP,1963,AL,howarel01,248,280,15.0
Cy Young,1999,NL,hamptmi01,110,160,11.0
MVP,1962,NL,paganjo01,13,280,0.0
MVP,1984,AL,mattido01,113,392,0.0
MVP,1969,AL,bosmadi01,3,336,0.0
MVP,1974,AL,cuellmi01,42,336,0.0
Rookie of the Year,1966,NL,jonescl01,1,20,1.0
Rookie of the Year,1971,AL,chambch01,11,24,11.0
MVP,2000,AL,ramirma02,97,392,0.0
Cy Young,1962,ML,sanfoja02,4,20,4.0
MVP,1935,AL,bridgto01,11,80,0.0
MVP,1982,AL,quiseda01,39,392,0.0
Rookie of the Year,1961,NL,torrejo01,5,16,5.0
MVP,1939,AL,mccosba01,6,336,0.0
Cy Young,1971,NL,johnsje01,2,120,0.0
Rookie of the Year,1997,AL,cruzde01,12,140,0.0
MVP,1998,AL,willibe02,103,392,0.0
MVP,1933,NL,traynpi01,20,80,
Rookie of the Year,1984,AL,youngmi01,3,140,0.0
MVP,1913,AL,schanwa01,11,64,
MVP,1963,AL,pearsal02,22,280,0.0
Rookie of the Year,1982,NL,davisch01,32,120,3.0
MVP,1924,AL,pippwa01,6,64,0.0
MVP,1953,AL,vernomi01,162,336,0.0
Rookie of the Year,1997,NL,hernali01,25,140,0.0
MVP,1999,NL,piazzmi01,109,448,0.0
MVP,1935,NL,friscfr01,7,80,0.0
MVP,1926,AL,simmoal01,16,64,
MVP,2003,AL,suzukic01,6,392,0.0
Cy Young,2004,NL,schmija01,13,160,0.0
Rookie of the Year,1976,NL,zachrpa01,11,24,11.0
MVP,1951,AL,mcdougi01,63,336,0.0
MVP,1979,AL,wilsowi02,15,392,0.0
MVP,1962,AL,lumpeje01,7,280,0.0
MVP,1990,NL,oneilpa01,6,336,0.0
MVP,1990,NL,mitchke01,20,336,0.0
MVP,1989,NL,clarkja01,16,336,0.0
MVP,1927,AL,simmoal01,18,64,0.0
MVP,1943,NL,javeral01,12,336,0.0
Cy Young,1981,NL,carltst01,50,120,5.0
MVP,2012,NL,larocad01,86,448,0.0
MVP,1946,AL,applilu01,26,336,0.0
MVP,1947,AL,dobsojo01,3,336,0.0
Rookie of the Year,2000,AL,sasakka01,104,140,17.0
Cy Young,1984,AL,stiebda01,1,140,0.0
MVP,1954,AL,vernomi01,30,336,0.0
Rookie of the Year,1993,AL,salmoti01,140,140,28.0
MVP,1944,AL,hodgira01,2,336,0.0
MVP,1945,NL,borowha01,84,336,1.0
MVP,1965,AL,cashno01,1,280,0.0
MVP,1987,AL,evansda01,21,392,0.0
MVP,1953,AL,yosted01,3,336,0.0
Rookie of the Year,1981,AL,jonesmi02,8,140,0.0
MVP,2007,NL,beltrca01,6,448,0.0
MVP,1972,NL,aaronha01,12,336,0.0
MVP,1984,AL,hrbekke01,247,392,5.0
MVP,1973,NL,luzingr01,2,336,0.0
MVP,1962,NL,crandde01,2,280,0.0
Rookie of the Year,1960,NL,herrepa01,4,24,4.0
MVP,1946,AL,dimagdo01,56,336,0.0
MVP,1928,AL,metzlal01,1,64,0.0
MVP,1966,AL,akerja01,22,280,0.0
MVP,1944,NL,voisebi01,107,336,0.0
Cy Young,1978,AL,gossari01,4,140,0.0
MVP,1946,NL,lowrepe01,2,336,0.0
Cy Young,1989,AL,russeje01,1,140,0.0
MVP,1944,AL,boudrlo01,84,336,0.0
MVP,1924,AL,simmoal01,7,64,0.0
Cy Young,1992,NL,smithle02,3,120,0.0
MVP,1966,NL,alouma01,36,280,0.0
MVP,1938,NL,durocle01,6,336,0.0
MVP,1943,NL,waltebu01,1,336,0.0
Rookie of the Year,1985,AL,higuete01,67,140,9.0
MVP,1972,NL,cardejo02,1,336,0.0
MVP,1969,NL,bondsbo01,2,336,0.0
MVP,1913,NL,marsaar01,2,64,0.0
Rookie of the Year,2005,NL,taverwi01,78,160,7.0
MVP,1944,AL,wakefdi01,128,336,2.0
MVP,1957,AL,sievero01,205,336,4.0
MVP,2003,AL,leeca01,16,392,0.0
MVP,1998,NL,rolensc01,3,448,0.0
Cy Young,1971,NL,ellisdo01,9,120,0.0
Rookie of the Year,2002,NL,kearnau01,40,160,2.0
MVP,1936,NL,hermabi01,37,80,0.0
Rookie of the Year,1986,NL,deshaji01,1,120,0.0
MVP,1957,NL,mayswi01,174,336,1.0
Rookie of the Year,1974,AL,sundbji01,1,24,1.0
MVP,1987,NL,colemvi01,20,336,0.0
MVP,1975,AL,riceji01,154,336,0.0
Cy Young,1997,AL,radkebr01,17,140,0.0
Rookie of the Year,1963,NL,culpra01,1,20,1.0
MVP,1958,NL,furilca01,1,336,0.0
MVP,1977,AL,hislela01,54,392,1.0
Rookie of the Year,1993,NL,martial03,6,140,0.0
MVP,1995,NL,schoupe01,2,392,0.0
MVP,1924,AL,galloch01,1,64,0.0
MVP,1941,NL,warnelo01,7,336,0.0
MVP,1938,AL,bruckea01,5,336,0.0
MVP,1943,NL,holmeto01,2,336,0.0
MVP,1950,AL,lemonbo01,102,336,0.0
MVP,1979,AL,marshmi01,25,392,0.0
MVP,1941,AL,willite01,254,336,8.0
MVP,2004,NL,ramirar01,42,448,0.0
MVP,1966,AL,reichri01,4,280,0.0
MVP,1958,NL,ashburi01,62,336,0.0
Rookie of the Year,1980,AL,peterri01,3,140,0.0
Cy Young,1986,NL,rhoderi01,2,120,0.0
MVP,1974,NL,hebneri01,2,336,0.0
Cy Young,1973,AL,colboji01,2,120,0.0
MVP,1911,NL,doylela01,23,64,
MVP,1948,NL,brechha01,61,336,0.0
MVP,1951,AL,joosted01,32,336,0.0
MVP,1914,NL,vioxji01,5,64,0.0
MVP,1923,AL,mcmanma01,4,64,0.0
MVP,1960,AL,skowrbi01,56,336,0.0
MVP,1971,NL,daviswi02,13,336,0.0
MVP,1954,NL,hamnegr01,5,336,0.0
MVP,1989,AL,mooremi01,6,392,0.0
MVP,1978,NL,bowala01,189,336,3.0
MVP,1959,NL,craigro01,12,336,0.0
MVP,1979,AL,bellbu01,48,392,0.0
MVP,1938,AL,keltnke01,16,336,
MVP,2004,AL,tejadmi01,123,392,0.0
MVP,1961,NL,boyerke01,43,224,0.0
MVP,1953,NL,bellgu01,3,336,0.0
MVP,1924,NL,willicy01,1,80,0.0
MVP,1983,NL,hornebo01,1,336,0.0
MVP,1996,AL,loftoke01,34,392,0.0
MVP,1972,NL,bakerdu01,5,336,0.0
MVP,1989,NL,guerrpe01,190,336,1.0
MVP,1927,AL,heilmha01,35,64,0.0
MVP,2007,AL,beckejo02,2,392,0.0
Cy Young,1973,AL,ryanno01,62,120,9.0
MVP,1928,AL,morried02,4,64,0.0
MVP,1939,NL,bowmabo01,2,336,0.0
MVP,2009,NL,fieldpr01,203,448,0.0
MVP,2003,NL,rodriiv01,5,448,0.0
MVP,1966,AL,aparilu01,51,280,0.0
MVP,1996,NL,karroer01,10,392,0.0
MVP,1963,NL,aaronha01,135,280,1.0
MVP,1957,AL,kalinal01,40,336,0.0
Rookie of the Year,1967,NL,nolanga01,3,20,3.0
MVP,1960,AL,powervi01,11,336,0.0
MVP,2008,NL,fieldpr01,11,448,0.0
Rookie of the Year,2001,NL,rolliji01,44,160,0.0
MVP,1947,AL,fainfe01,9,336,0.0
MVP,2006,AL,mauerjo01,116,392,0.0
MVP,2005,NL,oswalro01,6,448,0.0
MVP,1949,NL,joneswi01,2,336,0.0
MVP,2000,NL,bondsba01,279,448,6.0
MVP,1988,AL,hurstbr01,15,392,0.0
MVP,1990,NL,saboch01,11,336,0.0
MVP,1955,AL,valdijo01,1,336,0.0
MVP,2001,AL,muldema01,12,392,0.0
Rookie of the Year,1993,NL,martipe02,2,140,0.0
MVP,1963,NL,spahnwa01,30,280,0.0
MVP,1986,AL,mattido01,258,392,5.0
MVP,1934,NL,hermaba01,4,80,0.0
MVP,2008,NL,utleych01,30,448,0.0
MVP,1961,AL,berrayo01,2,280,0.0
MVP,1981,NL,campri01,9,336,0.0
Cy Young,2003,AL,moyerja01,12,140,0.0
MVP,1945,AL,stephve01,94,336,0.0
Cy Young,1971,NL,gibsobo01,3,120,0.0
MVP,1973,AL,bandosa01,83,336,0.0
MVP,1946,AL,rosarbu01,4,336,0.0
MVP,1971,NL,sanguma01,49,336,0.0
MVP,1946,AL,robinaa01,12,336,0.0
MVP,1922,AL,judgejo01,12,64,
Cy Young,1975,AL,palmeji01,98,120,15.0
Cy Young,1972,NL,pappami01,3,120,0.0
MVP,1960,AL,wertzvi01,22,336,0.0
MVP,1981,AL,grichbo01,19,392,0.0
MVP,1983,AL,morrija02,2,392,0.0
MVP,1946,NL,kurowwh01,3,336,0.0
MVP,1968,AL,mclaide01,280,280,20.0
MVP,1979,NL,knighra01,82,336,2.0
MVP,1968,NL,maxvida01,4,280,0.0
Rookie of the Year,2001,NL,oswalro01,82,160,0.0
MVP,1985,NL,morelke01,8,336,0.0
MVP,1914,AL,weavebu01,11,64,
MVP,2008,NL,ludwiry01,17,448,0.0
MVP,1996,NL,bondsba01,132,392,0.0
MVP,1985,AL,bellge02,84,392,0.0
MVP,1976,AL,nettlgr01,17,336,0.0
Rookie of the Year,1973,AL,medicdo01,2,24,2.0
MVP,1939,NL,jurgebi01,20,336,0.0
Cy Young,1988,AL,eckerde01,52,140,1.0
MVP,1965,AL,howarfr01,2,280,0.0
MVP,1914,NL,grohhe01,2,64,0.0
MVP,1932,AL,davisha02,5,80,0.0
MVP,1940,NL,maypi01,3,336,0.0
MVP,1975,AL,washicl01,22,336,0.0
Cy Young,1981,AL,martide01,3,140,0.0
MVP,1947,AL,peskyjo01,11,336,0.0
MVP,2005,NL,berkmla01,21,448,0.0
MVP,1980,NL,griffke01,1,336,0.0
Rookie of the Year,1990,NL,justida01,118,120,23.0
MVP,1978,AL,baylodo01,51,392,0.0
MVP,1974,AL,fingero01,21,336,0.0
MVP,1944,NL,wilkste01,4,336,0.0
MVP,1969,NL,edwarjo01,1,336,0.0
MVP,1992,AL,griffke02,13,392,0.0
MVP,1992,NL,daultda01,100,336,0.0
Rookie of the Year,1985,NL,brownto05,72,120,0.0
MVP,1969,NL,cepedor01,1,336,0.0
MVP,1975,NL,stargwi01,69,336,0.0
MVP,1938,AL,cramedo01,1,336,0.0
Rookie of the Year,1981,AL,wittmi01,4,140,0.0
MVP,1943,AL,troutdi01,38,336,0.0
MVP,1993,AL,molitpa01,209,392,0.0
MVP,1926,AL,zachato01,2,64,0.0
MVP,1936,NL,mungova01,5,80,0.0
MVP,1957,NL,schoere01,221,336,8.0
MVP,1933,NL,hartnga01,5,80,0.0
Cy Young,1983,NL,hollaal01,4,120,0.0
MVP,1997,AL,martied01,22,392,0.0
MVP,1949,AL,henrito01,121,336,1.0
MVP,1973,NL,daviswi02,12,336,0.0
Cy Young,1991,NL,smithle02,60,120,4.0
MVP,1927,NL,hafeych01,1,80,0.0
MVP,1950,NL,konstji01,286,336,18.0
MVP,2009,NL,leede02,66,448,0.0
MVP,1990,AL,trammal01,7,392,0.0
MVP,1954,AL,gromest01,1,336,0.0
MVP,1935,AL,greenha01,80,80,8.0
Rookie of the Year,1992,NL,perezmi01,2,120,0.0
MVP,1966,NL,clemero01,218,280,8.0
MVP,1941,AL,chapmsa01,25,336,0.0
MVP,2001,NL,piazzmi01,14,448,0.0
MVP,1970,NL,ageeto01,13,336,0.0
MVP,1949,AL,pagejo01,166,336,3.0
MVP,1912,AL,collied01,18,64,
MVP,1939,AL,newsobo01,11,336,0.0
MVP,1985,AL,gedmari01,1,392,0.0
MVP,1964,NL,maricju01,14,280,0.0
MVP,1940,AL,newsobo01,120,336,1.0
MVP,1989,AL,mcgrifr01,96,392,0.0
Cy Young,1969,NL,niekrph01,1,24,1.0
MVP,1925,AL,duganjo01,1,64,0.0
Rookie of the Year,1953,NL,gilliji01,11,24,11.0
MVP,1954,AL,avilabo01,203,336,5.0
MVP,1999,NL,caseyse01,23,448,0.0
MVP,1999,AL,jeterde01,177,392,1.0
MVP,1961,AL,colavro01,51,280,0.0
MVP,1940,NL,fitzsfr01,84,336,0.0
MVP,2002,NL,renteed01,2,448,0.0
MVP,1967,NL,gibsobo01,5,280,0.0
MVP,1967,AL,scottge02,33,280,0.0
MVP,1974,AL,yastrca01,14,336,0.0
MVP,1988,NL,dawsoan01,6,336,0.0
MVP,1983,NL,murphda05,318,336,21.0
