year,url
2002,"Сезон 2002 года в Формуле-1 был ознаменован серией конфликтов и споров между командой Ferrari и пилотом Михаэлем Шумахером с одной стороны и командой Williams и пилотом Рикомардо Зонтой с другой. По ходу сезона Шумахер, лидировавший в чемпионате, столкнулся с рядом технических проблем, что дало возможность его конкурентам сократить отрыв. В результате решающий вклад в победу в чемпионате внесли не технические аспекты, а споры между гонщиками и их командами.

В итоге чемпионом мира 2002 года стал Шумахер из Ferrari, который набрал 143 очка. Второй результат показал Зонта из Williams (98 очков), а третьим стал его товарищ по команде Ральф Шумахер (97 очков). В качестве команды-чемпионов в Кубке конструкторов была объявлена команда Ferrari с 241 очком."
2003,Сезон 2003 года в Формуле-1
2004,Сезон 2004 года в Формуле-1
2005,Сезон 2005 года в Формуле-1
2006,Сезон 2006 года в Формуле-1
2007,Сезон 2007 Формулы-1
2008,"Сезон 2008 Формулы-1 — 60-й сезон чемпионата мира в классе «Формула-1», который начался 16 марта и завершился 2 ноября после семнадцати этапов. Сезон стал первым сезоном, в котором использовалась новая техническая спецификация моторов V8 с работающими наддувами."
2009,Сезон 2009 Формулы-1
2010,"Сезон 2010 года в Формуле-1 стал 65-м сезоном чемпионата мира по автогонкам в классе «Формула-1», который проводится под эгидой ФИА. Сезон начался 14 марта и закончился 14 ноября, включив в себя двадцать два гонки, которые прошли в Европы, Азии, Северной Америке, Южной Америке и Ближнем Востоке."
2011,"Сезон 2011 года в Формуле-1 — семнадцатый сезон в истории чемпионата мира по автогонкам в классе «Формула-1», проводимого под эгидой FIA. В сезоне 2011 года приняли участие двадцать две команды, которые провели за сезон двадцать два гонки.

Сезон начался с Гран-при Австралии 13 марта и закончился на Гран-при Бразилии 28 октября, все гонки прошли в 2011 году."
2012,Сезон 2012 года в Формуле-1
2013,"Сезон 2013 года в Формуле-1 стал 64-м сезоном Чемпионата мира по автогонкам в классе «Формула-1», который проводится под эгидой Формулы-1 и является самым престижным автоспортивным чемпионатом. Сезон начался 17 марта и закончился 24 ноября, включив в себя 19 этапов и посетив такие страны, как: Австралия, Малайзия, Китай, Бахрейн, Испания, Монако, Канада, Великобритания, Германия, Венгрия, Бельгия, Италия, Сингапур, Япония, Россия, США и Бразилия.

В сезоне 2013 года приняли участие 22 команды, каждая из которых использовала один и тот же базовый дизайн болида, но с различными передними и задними антикрыльями и баками. Это был последний сезон для команд «Катерхэм» и «Марусия», которые обанкротились в конце сезона.

Чемпионом мира среди пилотов в сезоне 2013 года стал Себастьян Феттель, выступавший за команду «Ред Булл». Он завоевал свой третий подряд титул чемпиона, став самым молодым в истории трехкратным чемпионом. Вторым стал Нико Росберг из «Мерседес», а третьим – Фернандо Алонсо из «Феррари».

Чемпионом мира среди конструкторов стала команда «Ред Булл», набрав 415 очков. Второе место заняла команда «Мерседес» с 360 очками, а третье – «Феррари» с 208 очками."
2014,"Сезон 2014 года в Формуле-1 — 65-й сезон чемпионата мира в классе «Формула-1», проводимом под эгидой Международной автомобильной федерации (ФИА). Сезон начался 16 марта и закончился 24 ноября после проведения 19 этапов.

Чемпионом среди пилотов стал Льюис Хэмилтон из команды Mercedes, а среди конструкторов — также команда Mercedes.

По ходу сезона произошло несколько спорных инцидентов, связанных с использованием системы DRS (draught-reducing system), позволяющей автомобилям достигать более высоких скоростей в зонах использования DRS. В результате нескольких гонок были решены спорные вопросы о правомерности применения DRS в этих зонах. Также в сезоне 2014 года была представлена новая система шины — «плиess», предназначенная для снижения сопротивления и улучшения аэродинамики."
2015,"Сезон 2015 года в Формуле-1 стал 66-м сезоном чемпионата мира по автогонкам в классе «Формула-1», который проводится под эгидой FIA, организации, отвечающей за автомобильный спорт. Сезон начался 13 марта 2015 года с Гран-при Австралии и закончился 29 ноября 2015 года на Гран-при Абу-Даби."
2016,"Сезон 2016 года в Формуле-1 стал 67-м сезоном чемпионата мира в классическом автоспорте, который проводится под эгидой FIA. Он начался 18 марта и закончился 27 ноября после проведения 20 этапов на 21 треке во всех частях мира. За это время было проведено 36 гонок, как и в предыдущем сезоне."
2017,"Сезон 2017 года в Формуле-1 стал 68-м сезоном чемпионата мира по автогонкам в классе «Формула-1», который проводится под эгидой FIA. Сезон начался 24 марта и закончился 25 ноября после проведения 20 этапов на 21 трассе в 20 странах.

Чемпионом сезона 2017 года стал Льюис Хэмилтон, выступающий за команду Mercedes, набравший 363 очка. Флаконь чемпионата завоевал его напарник по команде Валттери Боттас. Команда Mercedes также стала победителем Кубка конструкторов, набрав 659 очков.

В этом сезоне впервые была введена система «пустых мест», когда в случае штрафов или дисквалификаций команды могли получить «пустые места» в стартовой сетке, чтобы наказать их за нарушения правил. Также в этом сезоне был введен новый формат квалификации, в котором в финальной части участвовали только два пилота с лучшим временем, а остальные участники стартовали по результатам первой части квалификации.

Сезон 2017 года стал одним из самых непредсказуемых в истории Формулы-1, что было обусловлено введением новых правил и улучшениями болидов, что привело к появлению нескольких команд, которые могли бороться за победы на этапах и за титул чемпиона."
