coachid,year,tmid,lgid,stint,won,lost,post_wins,post_losses
dunlemi01,1993,MIL,NBA,1,20,62,0.0,0.0
leonasl01,1976,IND,NBA,1,36,46,0.0,0.0
westje01,1977,LAL,NBA,1,45,37,1.0,2.0
cheekma01,2005,PHI,NBA,1,38,44,0.0,0.0
dalych01,1988,DET,NBA,1,63,19,15.0,2.0
fitzsco01,1988,PHO,NBA,1,55,27,7.0,5.0
jacksph01,2000,LAL,NBA,1,56,26,15.0,1.0
seymopa01,1958,SYR,NBA,1,35,37,5.0,4.0
gallaha01,1963,STL,NBA,1,46,34,6.0,6.0
vanguje01,2001,NYK,NBA,1,10,9,0.0,0.0
leege01,1968,SFW,NBA,1,41,41,2.0,4.0
hannual01,1971,DNR,ABA,1,34,50,3.0,4.0
lewisfr01,1947,BIR,PBLA,1,5,2,,
sloanje01,2002,UTA,NBA,1,47,35,1.0,4.0
sachsph01,1946,DTF,NBA,2,8,18,0.0,0.0
tomjaru01,1997,HOU,NBA,1,41,41,2.0,3.0
calipjo01,1997,NJN,NBA,1,43,39,0.0,3.0
hopkibo01,1977,SEA,NBA,1,5,17,0.0,0.0
montgmi01,2004,GSW,NBA,1,34,48,0.0,0.0
isselda01,1994,DEN,NBA,1,18,16,0.0,0.0
brownla01,2009,CHA,NBA,1,44,38,0.0,4.0
tomjaru01,1991,HOU,NBA,2,16,14,0.0,0.0
brownla01,1992,LAC,NBA,1,41,41,2.0,3.0
bassbo01,1979,SAS,NBA,2,8,8,1.0,2.0
joneskc01,1983,BOS,NBA,1,62,20,15.0,8.0
wilkele01,1986,CLE,NBA,1,31,51,0.0,0.0
nissato01,1983,CLE,NBA,1,28,54,0.0,0.0
sloanje01,1988,UTA,NBA,2,40,25,0.0,3.0
laydefr01,1984,UTA,NBA,1,41,41,4.0,6.0
mckinja01,1981,IND,NBA,1,35,47,0.0,0.0
fratemi01,1989,ATL,NBA,1,41,41,0.0,0.0
hillbo01,1996,SAS,NBA,1,3,15,0.0,0.0
butchdo01,1966,DET,NBA,2,2,6,0.0,0.0
karlge01,2007,DEN,NBA,1,50,32,0.0,4.0
schaufr01,1964,LAL,NBA,1,49,31,5.0,6.0
johnsfr01,2003,PHO,NBA,1,8,13,0.0,0.0
braunca01,1960,NYK,NBA,1,21,58,0.0,0.0
cartwbi01,2001,CHI,NBA,3,17,38,0.0,0.0
westppa01,1992,PHO,NBA,1,62,20,13.0,11.0
mcmilna01,2003,SEA,NBA,1,37,45,0.0,0.0
sandeto01,1978,BOS,NBA,1,2,12,0.0,0.0
johnsph01,1976,KCK,NBA,1,40,42,0.0,0.0
nissato01,1973,SAA,ABA,1,45,39,3.0,4.0
brownhu01,1979,ATL,NBA,1,50,32,1.0,4.0
nissato01,1980,UTA,NBA,1,28,54,0.0,0.0
dantomi01,2007,PHO,NBA,1,55,27,1.0,4.0
unselwe01,1990,WSB,NBA,1,30,52,0.0,0.0
hardiji01,1968,MNP,ABA,1,18,8,0.0,0.0
karlge01,1991,SEA,NBA,3,27,15,4.0,5.0
gottled01,1953,PHW,NBA,1,29,43,0.0,0.0
loeffke01,1948,PRO,NBA,1,12,48,0.0,0.0
dalych01,1984,DET,NBA,1,46,36,5.0,4.0
gentral01,1999,DET,NBA,1,28,30,0.0,0.0
brownla01,2010,CHA,NBA,1,9,19,0.0,0.0
brighal01,1967,ANA,ABA,1,12,24,0.0,0.0
stavela01,1977,KCK,NBA,2,18,27,0.0,0.0
bickebe01,1994,DEN,NBA,3,20,12,0.0,3.0
fordch01,1998,LAC,NBA,1,9,41,0.0,0.0
halebr01,1948,INJ,NBA,1,4,13,0.0,0.0
saundfl01,2000,MIN,NBA,1,47,35,1.0,3.0
guokama02,1989,ORL,NBA,1,18,64,0.0,0.0
karlge01,2005,DEN,NBA,1,44,38,1.0,4.0
reedwi01,1978,NYK,NBA,1,6,8,0.0,0.0
costela01,1970,MIL,NBA,1,66,16,12.0,2.0
sloanje01,2009,UTA,NBA,1,53,29,4.0,6.0
harrile01,1952,ROC,NBA,1,44,26,1.0,2.0
brownla01,1998,PHI,NBA,1,28,22,3.0,5.0
loughke01,1972,PHI,NBA,2,5,26,0.0,0.0
vanbrbu01,1976,NOJ,NBA,1,14,12,0.0,0.0
auerbre01,1956,BOS,NBA,1,44,28,7.0,3.0
hollili01,2010,MEM,NBA,1,46,36,7.0,6.0
pottero01,1949,TRI,NBA,1,1,6,0.0,0.0
jacksph01,1995,CHI,NBA,1,72,10,15.0,3.0
dantomi01,2011,NYK,NBA,1,18,24,0.0,0.0
brownla01,1982,NJN,NBA,1,47,29,0.0,0.0
fordch01,1993,BOS,NBA,1,32,50,0.0,0.0
costela01,1975,MIL,NBA,1,38,44,1.0,2.0
nissato01,1972,SEA,NBA,1,13,32,0.0,0.0
shippch01,1949,WAT,NBA,1,8,27,0.0,0.0
beecl01,1953,BLB,NBA,1,16,56,0.0,0.0
smartke01,2010,GSW,NBA,1,36,46,0.0,0.0
hannual01,1963,SFW,NBA,1,48,32,5.0,7.0
gentral01,2002,LAC,NBA,1,19,39,0.0,0.0
mackibo01,1980,NJN,NBA,2,12,35,0.0,0.0
dunlemi01,1991,LAL,NBA,1,43,39,1.0,3.0
portete01,2008,PHO,NBA,1,23,18,0.0,0.0
westhpa01,1981,LAL,NBA,1,7,4,0.0,0.0
pollaji01,1968,MMF,ABA,1,43,35,5.0,7.0
