yearid,lgid,teamid,franchid,divid,rank,g,ghome,w,l,divwin,wcwin,lgwin,wswin,r,ab,h,2b,3b,hr,bb,so,sb,cs,hbp,sf,ra,er,era,cg,sho,sv,ipouts,ha,hra,bba,soa,e,dp,fp,name,park,attendance,bpf,ppf,teamidbr,teamidlahman45,teamidretro
1944,NL,CIN,CIN,,3,155,78.0,89,65,,,Н,Н,573,5271,1340,229,31,51,423,391.0,51.0,,,,537,461,2,93,17,12,4194,1292,60,390,369,138,153.0,0,Красные Цинциннати,Кросли Филд,409567.0,96,97,CIN,CIN,CIN
1973,AL,BOS,BOS,E,2,162,81.0,89,73,Н,,Н,Н,738,5513,1472,235,30,147,581,799.0,114.0,45.0,,,647,584,3,67,10,33,4320,1417,158,499,808,127,162.0,0,Бостонский ред Сокс,Парк Фенвей II,1481002.0,106,106,BOS,BOS,BOS
1993,NL,ATL,ATL,W,1,162,81.0,104,58,Y,,Н,Н,767,5515,1444,239,29,169,560,946.0,125.0,48.0,,,559,508,3,18,16,46,4365,1297,101,480,1036,108,146.0,0,Атланты Храбрые храбрые,Стадион округа Атланта-Фултон,3884720.0,101,100,ATL,ATL,ATL
1998,AL,BOS,BOS,E,2,162,81.0,92,70,Н,Y,Н,Н,876,5601,1568,338,35,205,541,1049.0,72.0,39.0,,,729,669,4,5,8,53,4308,1406,168,504,1025,105,128.0,0,Бостонский ред Сокс,Парк Фенвей II,2314704.0,102,101,BOS,BOS,BOS
1916,AL,DET,DET,,3,155,77.0,87,67,,,Н,Н,670,5193,1371,202,96,17,545,529.0,190.0,,,,595,465,2,81,8,13,4230,1254,12,578,531,211,110.0,0,&lt; &lt; Тигры Детройта &gt; &gt;,Поле Навина,616772.0,104,101,DET,DET,DET
1957,AL,KC1,OAK,,7,154,77.0,59,94,,,Н,Н,563,5170,1262,195,40,166,364,760.0,35.0,27.0,,,710,637,4,26,6,19,4107,1344,153,565,626,125,162.0,0,Канзас-Сити Атлетика,Муниципальный стадион I,901067.0,101,104,KCA,KC1,KC1
1916,AL,WS1,MIN,,7,159,81.0,76,77,,,Н,Н,536,5114,1238,170,60,12,535,597.0,185.0,,,,543,424,2,85,11,7,4290,1271,14,490,706,232,119.0,0,Сенаторы Вашингтона,Стадион Гриффита I,177265.0,99,99,WSH,WS1,WS1
2005,AL,BAL,BAL,E,4,162,81.0,74,88,Н,Н,Н,Н,729,5551,1492,296,27,189,447,902.0,83.0,37.0,54.0,42.0,800,724,4,2,9,38,4283,1458,180,580,1052,107,154.0,0,Балтимор Ориолс,Парк Ориол в Камден-Ярдс,2624740.0,99,99,BAL,BAL,BAL
1915,NL,BSN,ATL,,2,157,78.0,83,69,,,Н,Н,582,5070,1219,231,57,17,549,620.0,121.0,98.0,,,545,401,2,95,17,13,4215,1257,23,366,630,213,115.0,0,Бостонские храбрые,Fenway Park I / Hraves Field,376283.0,98,97,BSN,BSN,BSN
1981,NL,CIN,CIN,W,1,108,54.0,66,42,Н,,Н,Н,464,3637,972,190,24,64,375,553.0,58.0,37.0,,,440,400,3,25,19,20,2897,863,67,393,593,80,99.0,0,Красные Цинциннати,Стадион &quot; Риверфронт &quot;,1093730.0,102,102,CIN,CIN,CIN
1930,AL,CHA,CHW,,7,154,78.0,62,92,,,Н,Н,729,5419,1496,256,90,63,389,479.0,74.0,40.0,,,884,712,4,63,2,10,4083,1629,74,407,471,233,136.0,0,Чикаго Уайт Сокс,Парк Комиски,406123.0,96,99,CHW,CHA,CHA
1876,NL,CN1,CNR,,8,65,,9,56,,,Н,,238,2372,555,51,12,4,41,136.0,,,,,579,238,3,57,0,0,1773,850,9,34,60,469,45.0,0,Красные Цинциннати,Авеню Земля,,86,95,CIN,CN1,CN1
1918,NL,SLN,STL,,8,131,73.0,51,78,,,Н,Н,454,4369,1066,147,64,27,329,461.0,119.0,,,,527,392,2,72,3,5,3579,1148,16,352,361,220,116.0,0,Кардиналы Сент-Луиса,Поле Робисон,110599.0,97,98,STL,SLN,SLN
1952,AL,WS1,MIN,,5,157,78.0,78,76,,,Н,Н,598,5357,1282,225,44,50,580,607.0,48.0,37.0,,,608,535,3,75,10,15,4287,1405,78,577,574,130,152.0,0,Сенаторы Вашингтона,Стадион Гриффита I,699457.0,97,97,WSH,WS1,WS1
1986,NL,PIT,PIT,E,6,162,81.0,64,98,Н,,Н,Н,663,5456,1366,273,33,111,569,929.0,152.0,84.0,,,700,628,3,17,9,30,4350,1397,138,570,924,142,134.0,0,Питтсбургские пираты,Три речного стадиона,1000917.0,102,103,PIT,PIT,PIT
1983,AL,BOS,BOS,E,6,162,81.0,78,84,Н,,Н,Н,724,5590,1512,287,32,142,536,758.0,30.0,26.0,,,775,697,4,29,7,42,4338,1572,158,493,767,130,168.0,0,Бостонский ред Сокс,Парк Фенвей II,1782285.0,107,107,BOS,BOS,BOS
1968,NL,HOU,HOU,,10,162,81.0,72,90,,,Н,Н,510,5336,1233,205,28,66,479,988.0,44.0,51.0,,,588,524,3,50,12,23,4338,1362,68,479,1021,152,129.0,0,Хьюстон Астрос,Астродом,1312887.0,97,99,HOU,HOU,HOU
1957,NL,ML1,ATL,,1,155,78.0,95,59,,,Y,Y,772,5458,1469,221,62,199,461,729.0,35.0,16.0,,,613,544,3,60,9,24,4233,1347,124,570,693,120,173.0,0,Милуоки храбрые храбрые,Окружной стадион,2215404.0,93,90,MLN,MLN,MLN
1888,NL,WS8,WNL,,8,136,,48,86,,,Н,Н,482,4546,944,98,49,30,246,499.0,331.0,,,,731,464,3,133,6,0,3537,1157,50,298,406,474,,0,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Спампдудл-Земля,,94,98,WHS,WS8,WS8
2010,NL,SLN,STL,C,2,162,,86,76,Н,Н,Н,Н,736,5542,1456,285,18,150,541,1027.0,79.0,41.0,50.0,40.0,641,577,3,7,16,32,4361,1412,133,477,1094,109,170.0,0,Кардиналы Сент-Луиса,Стадион &lt; &lt; Автобус III &gt; &gt;,,97,97,STL,SLN,SLN
1911,AL,SLA,BAL,,8,152,78.0,45,107,,,Н,Н,567,4996,1192,187,63,17,460,,125.0,,,,812,571,3,92,8,1,3996,1465,28,463,383,358,104.0,0,Сент-Луис Браунс,Парк IV для спортсменов,207984.0,96,101,SLB,SLA,SLA
2000,AL,SEA,SEA,W,2,162,81.0,91,71,Н,Y,Н,Н,907,5497,1481,300,26,198,775,1073.0,122.0,56.0,48.0,61.0,780,720,4,4,10,44,4324,1442,167,634,998,99,178.0,0,Морские пехотинцы Сиэтла,Поле Safeco,2914624.0,95,93,SEA,SEA,SEA
1986,AL,MIN,MIN,W,6,162,81.0,71,91,Н,,Н,Н,741,5531,1446,257,39,196,501,977.0,81.0,61.0,,,839,759,4,39,6,24,4296,1579,200,503,937,118,168.0,0,Близнецы из Миннесоты,Хьюберт Хэмфри Метродом,1255453.0,102,102,MIN,MIN,MIN
2009,AL,OAK,OAK,W,4,162,,75,87,Н,Н,Н,Н,759,5584,1464,307,21,135,527,1046.0,133.0,48.0,50.0,54.0,761,685,4,2,10,38,4342,1486,156,523,1124,121,153.0,0,Аклендская атлетика,Окленд-Аламеда Страна Колизей,1408783.0,99,99,OAK,OAK,OAK
1966,AL,NYA,NYY,,10,160,82.0,70,89,,,Н,Н,611,5330,1254,182,36,162,485,817.0,49.0,29.0,,,612,536,3,29,7,32,4245,1318,124,443,842,142,142.0,0,Нью-Йорк Янкиз,Стадион I Янки,1124648.0,95,96,NYY,NYA,NYA
1943,NL,SLN,STL,,1,157,81.0,105,49,,,Y,Н,679,5438,1515,259,72,70,428,438.0,40.0,,,,475,407,2,94,21,15,4281,1246,33,477,639,151,183.0,0,Кардиналы Сент-Луиса,Парк IV для спортсменов,517135.0,106,101,STL,SLN,SLN
1940,NL,BRO,LAD,,2,156,81.0,88,65,,,Н,Н,697,5470,1421,256,70,93,522,570.0,56.0,,,,621,557,3,65,17,14,4299,1366,101,393,639,183,110.0,0,Бруклин Доджерс,Эббетс Поле,975978.0,108,105,BRO,BRO,BRO
1890,NL,BSN,ATL,,5,134,,76,57,,,Н,Н,763,4722,1220,175,62,31,530,515.0,285.0,,,,593,386,2,132,13,1,3561,1132,27,354,506,358,,0,Бостонские бунтари,South End Groups II,147539.0,108,105,BSN,BSN,BSN
1994,AL,CHA,CHW,C,1,113,53.0,67,46,,,,,633,3942,1133,175,39,121,497,568.0,77.0,27.0,,,498,444,3,13,6,20,3034,964,115,377,754,79,91.0,0,Чикаго Уайт Сокс,Парк Комиски II,1697398.0,99,98,CHW,CHA,CHA
1904,AL,CLE,CLE,,4,154,78.0,86,65,,,Н,,647,5152,1340,225,90,27,307,714.0,178.0,,,,482,334,2,141,20,0,4068,1273,10,285,627,255,86.0,0,Кливленд Напс,Парк I Лиги,264749.0,99,98,CLE,CLE,CLE
1871,,PH1,PNA,,1,28,,21,7,,,Y,,376,1281,410,66,27,9,46,23.0,56.0,,,,266,137,4,27,0,0,747,329,3,53,16,194,,0,Филадельфия Атлетика,Земля Джефферсона,,102,98,ATH,PH1,PH1
2006,NL,HOU,HOU,C,2,162,81.0,82,80,Н,Н,Н,Н,735,5521,1407,275,27,174,585,1076.0,79.0,36.0,73.0,46.0,719,666,4,5,12,42,4406,1425,182,480,1160,80,164.0,0,Хьюстон Астрос,Мини-парк &quot; Горничная &quot;,3022763.0,100,99,HOU,HOU,HOU
1968,AL,CLE,CLE,,3,162,81.0,86,75,,,Н,Н,516,5416,1266,210,36,75,427,858.0,115.0,61.0,,,504,433,2,48,23,32,4392,1087,98,540,1157,126,130.0,0,Индейцы Кливленда,Стадион Кливленда,857994.0,99,100,CLE,CLE,CLE
1967,NL,ATL,ATL,,7,162,81.0,77,85,,,Н,Н,631,5450,1307,191,29,158,512,947.0,55.0,45.0,,,640,561,3,35,5,32,4362,1377,118,449,862,138,148.0,0,Атланты Храбрые храбрые,Стадион округа Атланта-Фултон,1389222.0,99,99,ATL,ATL,ATL
2001,AL,KCA,KCR,C,5,162,81.0,65,97,Н,Н,Н,Н,729,5643,1503,277,37,152,406,898.0,100.0,42.0,44.0,47.0,858,779,4,5,1,30,4320,1537,209,576,911,117,204.0,0,Канзас-Сити Роялс,Стадион Кауффмана,1536371.0,107,108,KCR,KCA,KCA
2012,AL,NYA,NYY,E,1,162,81.0,95,67,Y,Н,Н,Н,804,5524,1462,280,13,245,565,1176.0,93.0,27.0,62.0,49.0,668,618,3,6,2,51,4336,1401,190,431,1318,74,135.0,0,Нью-Йорк Янкиз,Стадион &lt; &lt; Янки &gt; &gt; III,3542406.0,103,102,NYY,NYA,NYA
1991,NL,SLN,STL,E,2,162,84.0,84,78,Н,,Н,Н,651,5362,1366,239,53,68,532,857.0,202.0,110.0,,,648,588,3,9,5,51,4305,1367,114,454,822,105,133.0,0,Кардиналы Сент-Луиса,Автобусный стадион II,2448699.0,100,100,STL,SLN,SLN
1975,NL,LAN,LAD,W,2,162,81.0,88,74,Н,,Н,Н,648,5453,1355,217,31,118,611,825.0,138.0,52.0,,,534,477,2,51,18,21,4407,1215,104,448,894,127,106.0,0,Лос-Анджелес Доджерс,Стадион Dodger,2539349.0,96,94,LAD,LAN,LAN
1976,AL,CLE,CLE,E,4,159,79.0,81,78,Н,,Н,Н,615,5412,1423,189,38,85,479,631.0,75.0,69.0,,,615,552,3,30,17,46,4296,1361,80,533,928,121,159.0,0,Индейцы Кливленда,Стадион Кливленда,948776.0,98,98,CLE,CLE,CLE
1875,,BS1,BNA,,1,82,,71,8,,,Y,,831,3516,1124,157,54,14,31,0.0,,,,,343,138,1,60,10,17,2196,751,2,29,0,464,,0,Бостонские красные чулки,South End Groups I,,103,96,BOS,BS1,BS1
1875,,PH2,PWS,,5,70,,37,31,,,Н,,470,2717,681,65,28,5,22,0.0,,,,,376,150,2,64,5,0,1881,650,6,30,0,475,,0,Филадельфия Уайтс,Земля Джефферсона,,104,102,PHI,PH2,PH2
1947,NL,CIN,CIN,,5,154,77.0,73,81,,,Н,Н,681,5299,1372,242,43,95,539,530.0,46.0,,,,755,669,4,54,13,13,4095,1442,102,589,633,136,134.0,0,Красные Цинциннати,Кросли Филд,899975.0,100,102,CIN,CIN,CIN
1934,NL,NY1,SFG,,2,153,75.0,93,60,,,Н,Н,760,5396,1485,240,41,126,406,526.0,19.0,,,,583,486,3,68,13,30,4110,1384,75,351,499,179,141.0,0,Нью-Йорк Гиганты,Поло Земля IV,730851.0,98,96,NYG,NY1,NY1
1919,AL,SLA,BAL,,5,140,70.0,67,72,,,Н,Н,533,4672,1234,187,73,31,391,443.0,74.0,,,,567,437,3,78,14,4,3768,1255,35,421,415,214,98.0,0,Сент-Луис Браунс,Парк IV для спортсменов,349350.0,102,103,SLB,SLA,SLA
1951,NL,NY1,SFG,,1,157,78.0,98,59,,,Y,Н,781,5360,1396,201,53,179,671,624.0,55.0,34.0,,,641,546,3,64,9,18,4236,1334,148,482,625,170,175.0,0,Нью-Йорк Гиганты,Поло Земля IV,1059539.0,101,99,NYG,NY1,NY1
1952,NL,PIT,PIT,,8,155,77.0,42,112,,,Н,Н,515,5193,1201,181,30,92,486,724.0,43.0,41.0,,,793,704,4,43,5,8,4089,1395,133,615,564,181,167.0,0,Питтсбургские пираты,Поле Форбса,686673.0,102,107,PIT,PIT,PIT
2005,AL,OAK,OAK,W,2,162,81.0,88,74,Н,Н,Н,Н,772,5627,1476,310,20,155,537,819.0,31.0,22.0,52.0,40.0,658,594,3,9,12,38,4351,1315,154,504,1075,88,166.0,0,Аклендская атлетика,Макэфи Колизей,2109118.0,101,100,OAK,OAK,OAK
2012,AL,TBA,TBD,E,3,162,81.0,90,72,Н,Н,Н,Н,697,5398,1293,250,30,175,571,1323.0,134.0,44.0,58.0,42.0,577,518,3,7,4,50,4379,1233,139,469,1383,114,154.0,0,Tampa Bay Rays,Тропиканское поле,1559681.0,94,93,TBR,TBA,TBA
2003,AL,NYA,NYY,E,1,163,82.0,101,61,Y,Н,Y,Н,877,5605,1518,304,14,230,684,1042.0,98.0,33.0,81.0,35.0,716,653,4,8,12,49,4386,1512,145,375,1119,114,126.0,0,Нью-Йорк Янкиз,Стадион &lt; &lt; Янки &gt; &gt; II,3465600.0,98,97,NYY,NYA,NYA
2009,AL,DET,DET,C,2,163,,86,77,Н,Н,Н,Н,743,5540,1443,245,35,183,540,1114.0,72.0,33.0,61.0,39.0,745,690,4,4,9,42,4341,1449,182,594,1102,106,164.0,0,&lt; &lt; Тигры Детройта &gt; &gt;,Парк &quot; Комерика &quot;,2567165.0,101,102,DET,DET,DET
1969,NL,PHI,PHI,E,5,162,81.0,63,99,Н,,Н,Н,645,5408,1304,227,35,137,549,1130.0,73.0,49.0,,,745,660,4,47,14,21,4302,1494,134,570,921,136,157.0,0,Филадельфия Филадельфия,Стадион Конни Мак,519414.0,98,99,PHI,PHI,PHI
1965,AL,KC1,OAK,,10,162,81.0,59,103,,,Н,Н,585,5393,1294,186,59,110,521,1020.0,110.0,51.0,,,755,675,4,18,7,32,4299,1399,161,574,882,139,142.0,0,Канзас-Сити Атлетика,Муниципальный стадион I,528344.0,99,101,KCA,KC1,KC1
1985,AL,BOS,BOS,E,5,163,81.0,81,81,Н,,Н,Н,800,5720,1615,292,31,162,562,816.0,66.0,27.0,,,720,659,4,35,8,29,4383,1487,130,540,913,145,161.0,0,Бостонский ред Сокс,Парк Фенвей II,1786633.0,104,104,BOS,BOS,BOS
1927,NL,CHN,CHC,,4,153,78.0,85,68,,,Н,Н,750,5303,1505,266,63,74,481,492.0,65.0,,,,661,562,3,75,11,5,4155,1439,50,514,465,181,152.0,0,Чикаго Кабс,Филд Уригли,1159168.0,101,99,CHC,CHN,CHN
1924,NL,NY1,SFG,,1,154,77.0,93,60,,,Y,Н,857,5445,1634,269,81,95,467,479.0,82.0,53.0,,,641,554,3,71,4,21,4134,1464,77,392,406,186,160.0,0,Нью-Йорк Гиганты,Поло Земля IV,844068.0,98,95,NYG,NY1,NY1
1876,NL,CHN,CHC,,1,66,,52,14,,,Y,,624,2748,926,131,32,8,70,45.0,,,,,257,116,1,59,9,4,1776,608,6,29,51,282,33.0,0,Белые чулки Чикаго,23-я улица,,112,106,CHC,CHN,CHN
1980,NL,CIN,CIN,W,3,163,82.0,89,73,Н,,Н,Н,707,5516,1445,256,45,113,537,852.0,156.0,43.0,,,670,624,3,30,12,37,4377,1404,113,506,833,106,144.0,0,Красные Цинциннати,Стадион &quot; Риверфронт &quot;,2022450.0,101,100,CIN,CIN,CIN
1962,NL,SLN,STL,,6,163,81.0,84,78,,,Н,Н,774,5643,1528,221,31,137,515,846.0,86.0,41.0,,,664,577,3,53,17,25,4389,1394,149,517,914,132,170.0,0,Кардиналы Сент-Луиса,Парк IV для спортсменов,953895.0,111,109,STL,SLN,SLN
1990,NL,PHI,PHI,E,4,162,81.0,77,85,Н,,Н,Н,646,5535,1410,237,27,103,582,915.0,108.0,35.0,,,729,655,4,18,7,35,4347,1381,124,651,840,117,150.0,0,Филадельфия Филадельфия,Стадион ветеранов,1992484.0,99,100,PHI,PHI,PHI
1898,NL,NY1,SFG,,7,157,,77,73,,,Н,,837,5349,1422,190,86,34,428,372.0,214.0,,,,800,517,3,141,9,1,4059,1359,21,587,558,447,,0,Нью-Йорк Гиганты,Поло Земля III,265414.0,97,96,NYG,NY1,NY1
1979,NL,LAN,LAD,W,3,162,81.0,79,83,Н,,Н,Н,739,5490,1443,220,24,183,556,834.0,106.0,46.0,,,717,615,3,30,6,34,4332,1425,101,555,811,118,123.0,0,Лос-Анджелес Доджерс,Стадион Dodger,2860954.0,99,98,LAD,LAN,LAN
1903,AL,WS1,MIN,,8,140,71.0,43,94,,,Н,Н,437,4613,1066,172,72,17,257,463.0,131.0,,,,691,519,3,122,6,3,3669,1333,38,306,452,262,86.0,0,Сенаторы Вашингтона,Парк I Американской лиги,128878.0,102,105,WSH,WS1,WS1
1916,NL,BSN,ATL,,3,158,78.0,89,63,,,Н,Н,542,5075,1181,166,73,22,437,646.0,141.0,,,,453,344,2,97,23,11,4245,1206,24,325,644,212,124.0,0,Бостонские храбрые,Поле храбрых,313495.0,95,94,BSN,BSN,BSN
1975,AL,BAL,BAL,E,2,159,77.0,90,69,Н,,Н,Н,682,5474,1382,224,33,124,580,834.0,104.0,55.0,,,553,511,3,70,19,21,4353,1285,110,500,717,107,175.0,0,Балтимор Ориолс,Памятный стадион,1002157.0,94,93,BAL,BAL,BAL
1897,NL,PIT,PIT,,8,135,,60,71,,,Н,,676,4590,1266,140,108,25,359,334.0,170.0,,,,835,598,4,112,2,2,3459,1397,22,318,342,346,,0,Питтсбургские пираты,Парк выставки,165950.0,96,97,PIT,PIT,PIT
1978,AL,NYA,NYY,E,1,163,81.0,100,63,Y,,Y,Y,735,5583,1489,228,38,125,505,695.0,98.0,42.0,,,582,516,3,39,16,36,4380,1321,111,478,817,113,134.0,0,Нью-Йорк Янкиз,Стадион &lt; &lt; Янки &gt; &gt; II,2335871.0,97,96,NYY,NYA,NYA
1930,NL,SLN,STL,,1,154,77.0,92,62,,,Y,Н,1004,5512,1732,373,89,104,479,496.0,72.0,,,,784,673,4,63,5,21,4140,1596,87,476,639,183,176.0,0,Кардиналы Сент-Луиса,Парк IV для спортсменов,508501.0,104,102,STL,SLN,SLN
