schoolid,schoolname,schoolcity,schoolstate,schoolnick
tulsa,Университет Талсы,Талса,Хорошо.,Золотой ураган
randmacon,Колледж Рэндольф-Макон,Эшланд,VA,Желтые пекарни
calutheran,Калифорнийский лютеранский университет,Тысяча огурцов,КА,Корольцы
nalabama,Университет Северной Алабамы,Флоренция,AL,Львы
duquesne,Университет Дюкесне,Питтсбург,ПА,Дюки
walabama,Университет Западной Алабамы,Ливингстон,AL,Тигры
morehouse,Морхаусский колледж,Атланта,GA,Марунские тигры
centok,Центральный Оклахомский университет,Эдмонд,Хорошо.,Бронхос
utep,Техасский университет в Эль-Пасо,Эль-Пасо,TX,Горнодобывающие предприятия
utsa,Техасский университет в Сан-Антонио,Сан-Антонио,TX,Дорожные бегуны
pittsbst,Питтсбургский государственный университет,Питтсбург,KS,Гориллы
lamar,Университет Ламара,Бомонт,TX,Кардиналы
montanast,Университет штата Монтана,Боземан,МТ,Бобкоты
pacificor,Тихоокеанский университет,Лесной Гроув,ИЛИ,Боксеры
sliprock,Пенсильванский университет &lt; &lt; Слиппери Рок &gt; &gt;,Скользкий камень,ПА,Скала
clarksonny,Университет Кларксона,Потсдам,Нью-Йорк,Рыцари
philly,Филадельфийский университет,Филадельфия,ПА,Рамс
cwpost,"Лонг-Айлендский университет, К.В., Пост-кампус",Бруквилль,Нью-Йорк,Пионеры
nyfredonia,Колледж Нью-Йоркского университета в Фредонии,Фредония,Нью-Йорк,Голубые дьяволы
salemintl,Международный университет Салема,Салем,WV,Тигры
stetson,Стетсонский университет,Обезвреживание,ФЛ,Шляпы
longisland,"Лонг-Айлендский университет, Бруклинский кампус",Бруклин,Нью-Йорк,Черные птицы
utahvalley,Университет долины Юта,Орем,UT,Извержение
lubbchrist,Луббокский христианский университет,Любобок,TX,Чарралы
haskellks,Индийский университет &quot; Хаскел &quot;,Лоуренс,KS,Индейцы
lewclarkst,Государственный колледж Льюис-Кларк,Льюистон,Идентификационный номер,Воины
missouri,Университет Миссури,Колумбия,МО,Тигры
bryant,Колледж Брайанта,Смитфилд,РИ,Бульдоги
yale,Йельский университет,Нью-Хейвен,КТ,Бульдоги
midlndluth,Мидлендский лютеранский колледж,Фремонт,Нет,Воины
mankatost,"Университет штата Миннесота, Манкато",Манкато,МН,Маверики
morehead,Морехедский государственный университет,Морехед,KY,Орлы
gacollege,Грузинский колледж и Государственный университет,Миллиджвиль,GA,Бобкоты
arkansaspb,Арканзасский университет в Пайн-Блафф,Сосновой блеф,ОАР,Золотые львы
bridgwtrst,Государственный колледж &lt; &lt; Бриджвотер &gt; &gt;,Бриджвотер,МЭТ,Медведи
middlbryvt,Колледж Миддлбери,Миддлбери,VT,Пантеры
sfcc,Муниципальный колледж Южной Флориды,Парк Эйвон,ФЛ,Пантеры
nicholls,Никольский государственный университет,Тибодо,Лос-Анджелес,Полковники
vanguardca,Университет вангарда Южной Калифорнии,Коста-Меса,КА,Львы
delaware,Университет Делавэра,Ньюарк,DE,Синие курицы
wvwesleyan,Колледж Западной Вирджинии Уэслиан,Бакхэннон,WV,Бобкоты
emporiast,Университет штата Эмпория,Эмпория,KS,Шершень
stfrncisil,Университет Сент-Фрэнсиса,Джулиет,Ил,Боевые святые
ptparkpa,Университет Пойнт-Парка,Питтсбург,ПА,Пионеры
lockhaven,Университет Лок Хейвена Пенсильвании,Замок Хэйвен,ПА,Лысые орехи
riponwi,Рипонский колледж,Рипон,ЖИ,Красные ястребы
grandview,Колледж Гранд-Вью,Де Мойнс,IA,Викинги
widenerpa,Вайднерский университет,Честер,ПА,Пионеры
charlotte,"Университет Северной Каролины, Шарлотта",Шарлотта,НС,49 ч. 00 м.
albanyst,Олбанский государственный университет,Олбани,GA,Золотые Рамы
mtennst,Средний университет штата Теннесси,Мурфрисборо,TN,&lt; &lt; Голубые рейдеры &gt; &gt;
belmont,Белмонтский университет,Нэшвилл,TN,Бруины
denver,Денверский университет,Денвер,CO,Пионеры
howrdpayne,Университет Говарда Пейна,Brownwood,TX,Желтые пекарни
springhill,Колледж Спринг Хилл,Мобильный,AL,Барсуки
memphis,Мемфисский университет,Мемфис,TN,Тигры
arkmont,Университет Арканзаса-Монтичелло,Монтичелло,ОАР,Болл Уитвилз
lincolnmo,Линкольнский университет Миссури,Город Джефферсон,МО,&lt; &lt; Синие тигры &gt; &gt;
savstate,Саваннаский государственный университет,Саванна,GA,Тигры
nwokstate,Северо-западный Оклахомский государственный университет,Альва,Хорошо.,Рейнджеры
coppinst,Копинский государственный колледж,Балтимор,MD,Орлы
hiramoh,Колледж &lt; &lt; Хирам &gt; &gt;,Хирам,Ооо.,Терьеры
winstsalst,Уинстон-Салемский государственный университет,Уинстон-Салем,НС,Рамс
sfloridacc,Южная Флорида,Парк Эйвон,ФЛ,
txsouth,Университет Южного Техаса,Хьюстон,TX,Тигры
sulrossst,Сул Россский государственный университет,Альпийский,TX,Лобос
chicago,Чикагский университет,Чикаго,Ил,Маруны
inbethel,Вефильский колледж,Мишавака,ВНУТРЕННИЕ,Экспериментальные проекты
mtunionoh,Колледж Маунт Юнион,Альянс,Ооо.,Рейдеры
brandeisma,Университет Брандейса,Вальтам,МЭТ,Судьи
emoryhenry,Колледж Эмори и Генри,Эмори,VA,Осы
nebellevue,Университет Бельвью,Бельвью,Нет,Бруины
boisest,Государственный университет &lt; &lt; Бойз &gt; &gt;,Бойз,Идентификационный номер,Бронкос
trinityct,Тринити-колледж,Хартфорд,КТ,Бантамы
guilfordnc,Гилфордский колледж,Гринсборо,НС,Квакеры
baruchcuny,"Колледж Баруха, Университет города Нью-Йорка",Нью-Йорк,Нью-Йорк,Медвежие
princeton,Принстонский университет,Принстон,NJ,Тигры
clrmuddscr,Клэрмонтский колледж МакКенна,Клэрмонт,КА,Олени
washcollmd,Вашингтонский колледж,Честертаун,MD,Шормены
wlibertyst,Государственный колледж &lt; &lt; Западная свобода &gt; &gt;,&lt; &lt; Западная свобода &gt; &gt;,WV,Подземные охотники
georgemas,Университет Джорджа Мейсона,Фэрфакс,VA,Патриоты
toledo,Университет Толедо,Толедо,Ооо.,Ракеты
bloomsburg,Блумсбургский университет Пенсильвании,Блумсбург,ПА,Хаски
wpaterson,Университет Уильяма Патерсона,Уэйн,NJ,Пионеры
millersvil,"Университет Миллерсвиля, Пенсильвания",Миллерсвилль,ПА,Мародеры
narizona,Северный университет Аризоны,Флагстаф,AZ,Ломбардировщики
etxbaptist,Баптистский университет Восточного Техаса,Маршалл,TX,Тигры
washjeffpa,Колледж Вашингтона и Джефферсона,Вашингтон,ПА,Президенты
brewparker,Колледж Брютон-Паркер,Гора Вернон,GA,Бароны
nycortland,Колледж Нью-Йоркского университета в Кортланде,Кортленд,Нью-Йорк,Красные драконы
scranton,Скрэнтонский университет,Скрэнтон,ПА,Королевские власти
washcolltn,Вашингтонский колледж (ТН),Джонсборо,TN,
stmarytx,Университет Св. Марии,Сан-Антонио,TX,Крысы
centreky,Центральный колледж,Дэнвилль,KY,Полковники
wichitast,Университет штата Вичита,Уичита,KS,Ужасы
ohio,Университет Огайо,Афины,Ооо.,Бобкоты
nmhighland,Нью-Мексикоский Хайлендский университет,Лас-Вегас,НМ,Ковбои
mscollege,Колледж Миссисипи,Клинтон,MS,Шоколадки
chicost,"Калифорнийский государственный университет, Чико",Чико,КА,Дикие кошки
valpo,Университет Вальпараисо,Вальпараисо,ВНУТРЕННИЕ,Крестоносцы
ucsd,"Калифорнийский университет, Сан-Диего",Ля Джолла,КА,Тритоны
ecentralok,Восточный центральный университет,Ада,Хорошо.,Тигры
ohvalley,Университет долины Огайо,Вена,WV,Борьба со шотландцами
stjohns,Университет Св. Иоанна,Чили,Нью-Йорк,Красный шторм
robertmor,Университет Роберта Морриса,Лунный поселок,ПА,Колониальные
manchester,Манчестерский колледж,Северный Манчестер,ВНУТРЕННИЕ,Спартанцы
mtvernnaz,Университет им. Маунт-Вернона Назарена,Гора Вернон,Ооо.,Кугары
wiwhitewtr,Висконсинский университет - белая вода,Белая вода,ЖИ,Вархауки
tntech,Технологический университет Теннесси,Кукевиль,TN,Золотые орехи
buffalost,Колледж Государственного университета в Буффало,Буффало,Нью-Йорк,Бенгалы
trinitytx,Университет Троицы,Сан-Антонио,TX,Тигры
olivetnaz,Университет Оливета Назарена,Бурбоннайс,Ил,Тигры
maine,Университет Мэна,Ороно,Я,Черные медведи
newesleyan,Небраска Уэслианский университет,Линкольн,Нет,Волки Прейри
sacheart,Университет Святого Сердца,Фэрфилд,КТ,Пионеры
sflorida,Университет Южной Флориды,Тампа,ФЛ,Буллс
lynchbrgva,Линчбургский колледж,Линчбург,VA,Шершень
umassdartm,Массачусетский университет Дартмут,Северный Дартмут,МЭТ,Корсэрс
tamukvill,Техасский университет АиМ-Кингсвиль,Кингсвилль,TX,Javelinas
crngmellon,Университет им. Карнеги Меллона,Питтсбург,ПА,Тартаны
dominican,Доминиканский колледж,Оранжбург,Нью-Йорк,Зарядные устройства
centralst,Центральный государственный университет,Уилберфорс,Ооо.,Мародеры
loyolachi,Чикагский университет Лойолы,Чикаго,Ил,Рамблеры
california,Калифорнийский университет,Беркли,КА,Золотые медведи
estroud,Ист-Страудсбургский университет Пенсильвании,Восточный Стродсбург,ПА,Воины
howard,Университет Говарда,Вашингтон,РС,Бизон
duke,Университет Дюка,Дурхем,НС,Голубые дьяволы
almami,Альма-колледж,Альма,МИ,Шотландцы
campbell,Кэмпбеллский университет,Бьюз Крик,НС,Верблюды
arkansasst,Арканзасский государственный университет,Джонсборо,ОАР,Индейцы
portlandst,Портлендский государственный университет,Портленд,ИЛИ,Викинги
hawaiipac,Тихоокеанский университет Хавайи,Гонолулу,Привет.,Морские воины
baldwalloh,Коллегия Болдуин-Уэллас,Берея,Ооо.,Желтые пекарни
lanecol,Колледж Лэйна,Джексон,TN,Драконы
linfieldor,Линфилдский колледж,МакМиннвилль,ИЛИ,Дикие кошки
nmstate,Нью-Мексикоский государственный университет,Лас-Крукс,НМ,Агги
longwoodva,Лонгвудский университет,Фермвилль,VA,Лансеры
stmartinwa,Колледж Святого Мартина,Лейси,WA,Святые
laverneca,Университет Ла Верне,Ла Верне,КА,Леопарды
pbsc,Государственный колледж Палм-Бич,Озеро &lt; &lt; Уорт &gt; &gt;,ФЛ,Пантеры
calipa,Калифорнийский университет Пенсильвании,Калифорния,ПА,Вулканцы
lewisil,Университет Льюиса,Ромеовиль,Ил,Флаеры
jamesmad,Университет Джеймса Мэдисона,Харрисонбург,VA,Дюки
swmost,Государственный университет Миссури,Спрингфилд,МО,Медведи
stedwardtx,Университет Св. Эдварда,Остин,TX,Подземные охотники
ric,Колледж Род-Айленда,Провидение,РИ,Анкормены
fairfield,Фейрфилдский университет,Фэрфилд,КТ,Олени
utpanam,Техасский и Панамериканский университет,Эдинбург,TX,Бронки
pittsburgh,Питтсбургский университет,Питтсбург,ПА,Пантеры
detroit,Университет Детройта Мерси,Детройт,МИ,Титаны
alabama,Университет Алабамы,Тускалуза,AL,Краймсонский призрак
stanselm,Сент-Ансельмский колледж,Манчестер,NH,Ястребы
wittnbrgoh,Виттенбергский университет,Спрингфилд,Ооо.,Тигры
arktech,Технологический университет Арканзаса,Расселвиль,ОАР,Чудесные мальчики
umbc,"Университет Мэриленда, округ Балтимор",Катонсвилль,MD,Ретриверы
kennesawst,Кеннесовский государственный университет,Кеннезау,GA,Совы
army,Военная академия Соединенных Штатов,Вест-Пойнт,Нью-Йорк,Черные рыцари
philsmith,Колледж им. Филандера Смита,Маленький камень,ОАР,Пантеры
niowa,Университет Северной Айовы,Кедарские водопады,IA,Пантеры
morrbrown,Колледж им. Морриса Брауна,Атланта,GA,Извержение
iowa,Университет Айовы,Айова,IA,Ястребы
wiscmilw,Университет Висконсин-Милуоки,Милуоки,ЖИ,Пантеры
flatlantic,Флоридский Атлантический университет,Бока Ратон,ФЛ,Совы
catawba,Колледж Катавба,Солсбери,НС,Индейцы
eillinois,Восточный Иллинойский университет,Чарльстон,Ил,Пантеры
econnst,Государственный университет Восточного Коннектикута,Виллимантика,КТ,Воины
arizona,Университет Аризоны,Тусон,AZ,Дикие кошки
rhodeisle,Университет Род-Айленда,Кингстон,РИ,Рамс
sindiana,Университет Южной Индииa,Эвансвилль,ВНУТРЕННИЕ,Кричащие орехи
bostonuniv,Бостонский университет,Бостон,МЭТ,Терьеры
austincol,Остинский колледж,Шерман,TX,Кангуру
quinnipiac,Университет Квиннипиака,Хамден,КТ,Бобкоты
tusculum,Тускулумский колледж,Гринвилль,TN,Пионеры
catholic,Католический университет Америки,Вашингтон,РС,Кардиналы
stlawrence,Университет Св. Лоренса,Кантон,Нью-Йорк,Святые
wheatonma,Колледж Уитона (Масс),Уитон,МЭТ,Лионы
kalamazoo,Колледж Каламазу,Каламазоо,МИ,Шершень
waynest,Университет штата Уэйн,Детройт,МИ,Воины
willamette,Университет Уилламета,Салем,ИЛИ,Медвежие
pfeiffer,Пфайферский университет,Мисенхаймер,НС,Соколы
vcu,Университет Содружества Вирджинии,Ричмонд,VA,Рамс
strose,Колледж Святой Розы,Олбани,Нью-Йорк,Золотые Рыцари
nyoneonta,Колледж Государственного университета в Одинонте,Одинонта,Нью-Йорк,Красные драконы
stmarysmn,"Университет Сент-Мэри, Миннесота",Винона,МН,Кардиналы
airforce,Академия военно-воздушных сил Соединенных Штатов,Колорадо Спрингс,CO,Соколы
vermont,Университет Вермонта,Южный Берлингтон,VT,Катагоны
maryland,Университет Мэриленда,Парк колледжа,MD,Террапины
nwestern,Северо-западный университет,Эванстон,Ил,Дикие кошки
iona,Колледж Иона,Новая Рошель,Нью-Йорк,Галстук
movalley,Колледж долины Миссури,Маршалл,МО,Викинги
wagner,Вагнерский колледж,Стейтен-Айленд,Нью-Йорк,Морские ястребы
liberty,Университет свободы,Линчбург,VA,Пламя
clemson,Университет Клемсона,Клемсон,ПК,Тигры
abilchrist,Абилинский христианский университет,Абилин,TX,Дикие кошки
charleston,Чарльстонский колледж,Чарльстон,ПК,Кугары
kenyonoh,Кеньонский колледж,Гамбиер,Ооо.,Лорды
setonhall,Университет Сетон Холл,Южный апельсин,NJ,Пираты
seattle,Университет Сиэтла,Сиэтл,WA,Красные ястребы
cmichigan,Центральный Мичиганский университет,Гора Плезант,МИ,Чиппева
albany,"Университет Олбани, Университет штата Нью-Йорк",Олбани,Нью-Йорк,Великие датчане
calpoly,"Калифорнийский государственный политехнический университет, Сан-Луис-Обиспо",Сан-Луис Обиспо,КА,Мустанги
columbia,Колумбийский университет,Нью-Йорк,Нью-Йорк,Львы
lasalle,Университет ЛаСалле,Филадельфия,ПА,Исследователи
shorterga,Более короткий колледж,Рим,GA,Ястребы
samford,Сэмфордский университет,Бирмингем,AL,Бульдоги
georgefox,Университет Джорджа Фокса,Ньюберг,ИЛИ,Бруины
clarion,Кларионский университет Пенсильвании,Кларион,ПА,Золотые орехи
eurekail,Колледж Эврика,Эврика,Ил,Красные дьяволы
stcloudst,Сент-Клаудский государственный университет,Сент-Облако,МН,Хаски
ncstate,Университет штата Северная Каролина,Роли,НС,Вольфпак
ohwesleyan,Университет Огайо Уэслиана,Делавэр,Ооо.,Бродячие епископы
semost,Юго-восточный государственный университет Миссури,Мыс Жирардо,МО,Красные ястребы
flagler,Флаглерский колледж,Сент-Августин,ФЛ,Святые
njcity,Университет Нью-Джерси,Город Джерси,NJ,Готические рыцари
stonybrook,Университет Стони Брук,Стони Брук,Нью-Йорк,Морские волки
nflorida,Университет Северной Флориды,Джексонвилль,ФЛ,Оспрей
eutah,Колледж Восточной Юты,Цена,UT,Золотые орехи
wcarolina,Университет Западной Каролины,Каллоухи,НС,Катагоны
amherstma,Амхерстский колледж,Амхерст,МЭТ,Лорд Джеффс
cflorida,Университет Центральной Флориды,Орландо,ФЛ,Золотые Рыцари
villanova,Университет Вильяновой,Вильянова,ПА,Дикие кошки
mastersca,Магистратский колледж,Санта Кларита,КА,Мустанги
wesleyanct,Уэслианский университет,Мидлтаун,КТ,Кардиналы
utah,Университет Юты,Солт-Лейк-Сити,UT,Utes
iupufw,Индианский университет-Пурдуский университет Форт-Уэйн,Форт Уэйн,ВНУТРЕННИЕ,Мастодоны
ccri,Общинный колледж Род-Айленда,Уорвик,РИ,Рыцари
washst,Университет штата Вашингтон,Пульман,WA,Кугары
sunybuff,Университет штата Нью-Йорк в Буффало,Буффало,Нью-Йорк,Буллс
rosehulman,Технологический институт Роуз-Хулман,&lt; &lt; Терра хаут &gt; &gt;,ВНУТРЕННИЕ,Инженеры
uncgreen,Университет Северной Каролины в Гринсборо,Гринсборо,НС,Спартанцы
missst,Государственный университет Миссисипи,Старквилль,MS,Бульдоги
genevapa,Женевский колледж,Бивер Фоллс,ПА,Золотые торнадо
etennst,Восточный Теннессиский государственный университет,Джонсон Сити,TN,Букканеры
glenvilst,Гленвильский государственный колледж,Гленвилль,WV,Пионеры
bluefield,Блюфилдский колледж,Блюфилд,VA,Рамс
stmichaels,Колледж Святого Михаила,Колчестер,VT,Пурпурные рыцари
ucirvine,"Калифорнийский университет, Ирвин",Ирвин,КА,Потрошители
bowdoinme,Колледж Боудуэна,Брансуик,Я,Полярные медведи
edinboro,Пенсильванский университет им. Эдинборо,Эдинборо,ПА,Борьба со шотландцами
wconnst,Университет штата Западный Коннектикут,Дэнбери,КТ,Колониальные
milligantn,Миллиганский колледж,Миллиганский колледж,TN,Буйволы
lafayette,Лафайеттский колледж,Истон,ПА,Леопарды
montreatnc,Колледж Монхея,Монгу,НС,Кавалеры
shipnsburg,Шиппенсбургский университет Пенсильвании,Шиппенсбург,ПА,Красные бойцы
sdcity,Городской колледж Сан-Диего,Сан-Диего,КА,Рыцари
missvalley,Государственный университет долины Миссисипи,Итта Бена,MS,Дельта Дьяволов
whitwrthwa,Колледж Уитворта,Спокан,WA,Пираты
alabamast,Университет штата Алабама,Монтгомери,AL,Шершень
plymouth,Плимутский государственный университет,Плимут,NH,Пантеры
norwichvt,Норвичский университет,Нортфилд,VT,Кадеты
millsapsms,Колледж Миллсапса,Джексон,MS,Меньшинства
colbyme,Колби Колледж,Уотервилль,Я,Мулы
sanjosest,Государственный университет Сан-Хосе,Сан-Хосе,КА,Спартанцы
gaswestern,Юго-западный государственный университет Грузии,Америкус,GA,Ураганы
alabamaam,Алабамский университет АиМ,Обычный,AL,Бульдоги
uscaiken,Университет Южной Каролины Айкен,Айкен,ПК,Пейцеры
franklinin,Колледж Франклина,Франклин,ВНУТРЕННИЕ,Гризли
carthagewi,Карфагенный колледж,Кеноша,ЖИ,Редмены
norfolkst,Норфолкский государственный университет,Норфолк,VA,Спартанцы
highpoint,Университет высокого уровня,Высокий пункт,НС,Пантеры
lemoynowen,Колледж ЛеМойн-Овен,Мемфис,TN,Волшебники
lutheria,Лютер Колледж,Декора,IA,Норвежский
adelphi,Адельфийский университет,Садовой город,Нью-Йорк,Пантеры
tuftsma,Университет Тафтса,Медфорд,МЭТ,Jumbos
carkansas,Центральный университет Арканзаса,Конвей,ОАР,Медведи
smaine,Университет Южного Мэна,Горхам,Я,Хаски
auburn,Университет Оберна,Оберн,AL,Тигры
millikin,Университет Милликина,Декатура,Ил,Большой синий
vandy,Университет Вандербильта,Нэшвилл,TN,Коммодоры
knoxil,Колледж Нокса (и Ломбардский колледж),Гейлсбург,Ил,Огонь в прериях
kentst,Кентский государственный университет,Кент,Ооо.,Золотые флэшки
albertsnid,Альбертсонский колледж Айдахо,Колдвелл,Идентификационный номер,Койоты
northwood,Университет Нортвуда,Мидленд,МИ,Лесоводы
occidental,Колледж им.,Лос-Анджелес,КА,Тигры
grossmont,Колледж Гросмонта,Эль-Каджон,КА,
lincolnmem,Мемориальный университет Линкольна,Харрогат,TN,Железнодорожный транспорт
swoklahoma,Университет штата Юго-Западная Оклахома,Уэзерфорд,Хорошо.,Бульдоги
stjosephs,Университет Святого Иосифа,Филадельфия,ПА,Ястребы
wlmjewell,Колледж Уильяма Джеуэлла,Свобода,МО,Кардиналы
wistvnspt,Висконсинско-Стивенсский университет,Стивенс Пойнт,ЖИ,Указатели
prairview,Прерийский университет A&M,Вид прерии,TX,Пантеры
ramaponj,Колледж Рамапо в Нью-Джерси,Махва,NJ,Дорожные бегуны
alverniapa,Алвернийский колледж,Чтение,ПА,Крестоносцы
messiah,Мессианский колледж,Грэнтэм,ПА,Соколы
arkansas,Университет Арканзаса,Фейетвилль,ОАР,Бритва
willmary,Колледж Уильяма и Мэри,Вильямсбург,VA,Площадь
kansas,Канзасский университет,Лоуренс,KS,Джейхокс
depaul,Университет ДеПола,Чикаго,Ил,Синие демоны
tulane,Университет Тулейна,Новый Орлеан,Лос-Анджелес,Зеленая волна
tamucomm,Техасский университет A&M - торговля,Торговля,TX,Львы
hawaii,Университет Хавайи в Маноа,Гонолулу,Привет.,Радуги
gannon,Университет Гэннона,Эри,ПА,Золотые Рыцари
