franchid,franchname,active,naassoc
PRO,Провиденс-Грейс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
COL,Колорадо Рокиз,Да,
WIL,Уилмингтон-Квикстепс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
SLR,Сент-Луисские красные чулки,Н/Д,
BRG,Бруклин Гладиаторы,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
PNA,Филадельфия Атлетикс,Н/Д,АХТ
NAT,Вашингтон Нэшнлз,Н/Д,
KCU,Канзас-Сити Ковбои,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
NYI,Нью-Йорк Джайантс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
SLI,Сент-Луис Террерз,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
SYS,Сиракьюс Старз,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
SEA,"""Сиэтл Маринерс""",Да,
KEK,Форт-Вэйн Кекионгас,Н/Д,
TRT,Трои,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
CLV,Кливленд Спайдеры,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
PHK,Филадельфийские ключи,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
MLU,Милвоки Брюэрс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
ALT,Альтона-Маунтин-Сити,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
PHI,Филадельфия Филлис,Да,
MIL,Милвоки Брюэрс,Да,
CEN,Филадельфийские столетники,Н/Д,
BLC,Балтиморские канарейки,Н/Д,
IBL,Индианаполис Блюз,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
STL,Сент-Луис Кардиналс,Да,
NNA,Нью-Йорк Муталы,Н/Д,Нью-Йоркский университет
TEX,Техас Рейнджеры,Да,
NEW,Ньюарк-Пеппер,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
CBL,Кливленд Блюз,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
RIC,Ричмондские Виргинанцы,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
WBL,Вашингтонские синие ноги,Н/Д,
BFL,Баффало Бильс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
HAR,Гартафорд Дарк Блюз,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",НА
TBD,Тампа-Бэй Рэйс,Да,
BUF,Баффало Бильс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
WES,Кеоук-Уэстернс,Н/Д,
CNR,"""Синциннати Редс""","Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
CHH,Чикаго Вэлы,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
ARI,Аризона Даймондбэкс,Да,
OLY,Олимпийские игры в Вашингтона,Н/Д,
SNA,Сент-Луис Браун Стокингс,Н/Д,"SBS — это акроним, который может иметь несколько значений в зависимости от контекста:

1. SBS может означать ""South Korean Broadcasting System"" (Южнокорейская вещательная система) и быть ссылкой на национальную телевизионную сеть Южной Кореи.

2. SBS также может относиться к ""System Build Server"" (сервер сборки системы), что относится к технологиям или системам, связанным с сборкой программного обеспечения или аппаратных средств.

3. В некоторых странах, таких как Австралия, SBS означает ""Special Broadcasting Service"" (Специальная вещательная служба) и относится к национальной общественной вещательной организации.

Контекст или дополнительная информация помогли бы определить точное значение аббревиатуры SBS в данном случае."
ROC,Рочестер Бронкос,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
TLM,Толедо Маумее,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
LGR,Луизвилл Грейс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
PBB,Питтсбургские бургои,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
CFC,Кливленд Форест Сити,Н/Д,
CLE,Кливленд Индианз,Да,
OAK,Окленд Атлетикс,Да,
CHW,"Чикаго ""Белые Соксы""",Да,
NHV,Новый-Хейвен Эलम Сити,Н/Д,
KCP,Канзас-Сити Пэкерс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
PHQ,Филадельфия Атлетикс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
