yearid,teamid,lgid,playerid,g_all,g_batting,g_defense,g_p,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr
1964,WS2,AL,bridgma01,17,,17,17,17,0,0,0,0,0,0,0,0,0,,
1890,NY1,NL,rusieam01,73,,73,73,67,0,0,0,0,0,5,0,9,14,,
1955,PHI,NL,coleda01,7,,7,7,7,0,0,0,0,0,0,0,0,0,,
1929,CHN,NL,grimmch01,120,,120,120,0,0,120,0,0,0,0,0,0,0,,
2006,HOU,NL,backebr01,9,8.0,9,8,8,0,0,0,0,0,0,0,0,0,0.0,0.0
1948,BRO,NL,lunddo01,27,,27,27,0,0,0,0,0,0,17,0,8,25,,
1988,CIN,NL,milneed01,23,10.0,23,15,0,0,0,0,0,0,2,11,2,15,0.0,8.0
1978,PHI,NL,dineeke01,5,1.0,5,1,0,0,0,0,0,0,1,0,0,1,0.0,4.0
1884,IN2,AA,sneedjo01,27,,27,27,0,0,0,0,0,0,0,21,6,27,,
1959,ML1,NL,schoere01,5,,5,5,0,0,0,4,0,0,0,0,0,0,,
1920,DET,AL,halesa01,76,,76,76,0,0,0,1,16,0,0,4,0,4,,
1911,PHA,AL,danfoda01,14,,14,14,14,0,0,0,0,0,0,0,0,0,,
1946,WS1,AL,newsobo01,24,,24,24,24,0,0,0,0,0,0,0,0,0,,
1959,ML1,NL,buhlbo01,31,,31,31,31,0,0,0,0,0,0,0,0,0,,
1941,SLN,NL,moorete01,122,,122,122,0,0,0,0,0,0,0,121,1,121,,
1980,TOR,AL,garvije01,61,0.0,0,61,61,0,0,0,0,0,0,0,0,0,0.0,0.0
1943,DET,AL,yorkru01,155,,155,155,0,0,155,0,0,0,0,0,0,0,,
1998,ANA,AL,anderga01,156,151.0,156,155,0,0,0,0,0,0,39,0,122,155,0.0,3.0
1998,ANA,AL,baughju01,63,54.0,63,62,0,0,0,59,0,3,0,0,0,0,0.0,0.0
1998,ANA,AL,bolicfr01,21,11.0,21,8,0,0,1,0,7,0,0,0,1,1,5.0,6.0
1998,ANA,AL,cadargr01,39,0.0,4,39,39,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ANA,AL,delucri01,61,0.0,4,61,61,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ANA,AL,dicksja01,27,2.0,2,27,27,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ANA,AL,disarga01,157,155.0,157,157,0,0,0,0,0,157,0,0,0,0,0.0,0.0
1998,ANA,AL,edmonji01,154,150.0,154,153,0,0,0,0,0,0,0,153,0,153,0.0,1.0
1998,ANA,AL,erstada01,133,129.0,133,129,0,0,72,0,0,0,70,3,0,72,2.0,4.0
1998,ANA,AL,fettemi01,12,0.0,0,12,12,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ANA,AL,fieldce01,103,103.0,103,72,0,0,72,0,0,0,0,0,0,0,31.0,0.0
1998,ANA,AL,finlech01,34,2.0,2,34,34,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ANA,AL,garcica01,19,10.0,19,16,0,0,0,11,0,5,0,0,0,0,0.0,2.0
1998,ANA,AL,glaustr01,48,45.0,48,48,0,0,0,0,48,0,0,0,0,0,0.0,0.0
1998,ANA,AL,greento02,29,15.0,29,15,0,0,3,0,0,0,12,0,0,12,2.0,13.0
1998,ANA,AL,harripe01,49,0.0,3,49,49,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ANA,AL,hasegsh01,61,0.0,4,61,61,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ANA,AL,hillke01,19,1.0,1,19,19,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ANA,AL,hollida01,101,98.0,101,98,0,0,7,0,91,0,0,0,0,0,1.0,2.0
1998,ANA,AL,holtzmi01,53,0.0,3,53,53,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ANA,AL,jamesmi01,11,0.0,0,11,11,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ANA,AL,jeffegr01,19,18.0,19,18,0,0,3,0,0,0,15,0,0,15,0.0,1.0
1998,ANA,AL,johnsma01,10,2.0,10,5,0,0,5,0,0,0,0,0,0,0,1.0,4.0
1998,ANA,AL,judenje01,8,0.0,0,8,8,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ANA,AL,kreutch01,3,3.0,3,3,0,3,0,0,0,0,0,0,0,0,0.0,0.0
1998,ANA,AL,martino01,79,50.0,79,63,0,0,0,54,5,2,5,0,0,5,0.0,4.0
1998,ANA,AL,mashoda01,43,24.0,43,35,0,0,0,0,0,0,1,7,28,35,0.0,2.0
1998,ANA,AL,mcdowja01,14,0.0,0,14,14,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ANA,AL,molinbe01,2,0.0,2,2,0,2,0,0,0,0,0,0,0,0,0.0,1.0
1998,ANA,AL,nevinph01,75,65.0,75,71,0,69,2,0,0,0,0,0,0,0,1.0,2.0
1998,ANA,AL,obriech01,5,4.0,5,5,0,5,0,0,0,0,0,0,0,0,0.0,0.0
1998,ANA,AL,olivaom01,40,1.0,4,37,37,0,0,0,0,0,0,0,0,0,0.0,1.0
1998,ANA,AL,palmeor01,75,34.0,75,54,0,0,0,0,0,0,46,6,4,54,0.0,21.0
1998,ANA,AL,percitr01,67,0.0,3,67,67,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ANA,AL,pritcch01,31,19.0,31,29,0,0,29,0,0,0,0,0,0,0,0.0,3.0
1998,ANA,AL,roberri02,5,0.0,0,5,5,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ANA,AL,salmoti01,136,130.0,136,19,0,0,0,0,0,0,0,0,19,19,111.0,6.0
1998,ANA,AL,shiplcr01,77,32.0,77,71,0,0,8,11,48,5,1,0,1,2,0.0,12.0
1998,ANA,AL,sparkst01,22,1.0,1,22,22,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ANA,AL,velarra01,51,50.0,51,51,0,0,0,51,0,0,0,0,0,0,0.0,1.0
1998,ANA,AL,walbema01,108,91.0,108,104,0,104,0,0,0,0,0,0,0,0,0.0,7.0
1998,ANA,AL,washbja01,15,1.0,1,15,15,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ANA,AL,watsoal01,28,0.0,0,28,28,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ANA,AL,willire02,29,7.0,29,24,0,0,0,0,0,0,19,5,2,24,0.0,4.0
1998,ANA,AL,wilsotr01,15,0.0,0,15,15,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ARI,NL,adamsjo02,5,5.0,5,5,5,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ARI,NL,anderbr02,35,30.0,33,32,32,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ARI,NL,bankswi01,33,0.0,31,33,33,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ARI,NL,batisto01,106,69.0,106,82,0,0,0,41,15,34,0,0,0,0,0.0,28.0
1998,ARI,NL,bellja01,155,150.0,155,153,0,0,0,15,0,138,0,0,0,0,0.0,4.0
1998,ARI,NL,benesan01,35,32.0,33,34,34,0,0,0,0,0,0,0,0,0,0.0,1.0
1998,ARI,NL,benitya01,91,50.0,91,62,0,0,0,0,0,0,49,0,13,62,2.0,35.0
1998,ARI,NL,blairwi01,23,23.0,23,23,23,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ARI,NL,bredebr01,98,47.0,98,66,0,0,12,0,0,0,26,0,39,58,1.0,41.0
1998,ARI,NL,browsc01,17,0.0,17,17,17,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ARI,NL,chouibo01,26,2.0,25,26,26,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ARI,NL,coreybr01,3,0.0,3,3,3,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ARI,NL,daalom01,33,23.0,33,33,33,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ARI,NL,delluda01,124,103.0,124,117,0,0,0,0,0,0,95,19,15,117,0.0,15.0
1998,ARI,NL,diazed03,3,2.0,3,3,0,0,0,3,0,0,0,0,0,0,0.0,1.0
1998,ARI,NL,embreal01,35,0.0,35,35,35,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ARI,NL,fabrejo01,50,41.0,50,41,0,41,0,0,0,0,0,0,0,0,0.0,9.0
1998,ARI,NL,fordbe01,8,0.0,8,8,8,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ARI,NL,foxan01,139,122.0,139,128,0,0,12,60,26,0,10,8,33,48,0.0,15.0
1998,ARI,NL,friasha01,15,3.0,15,7,0,0,0,3,2,2,0,0,0,0,0.0,8.0
1998,ARI,NL,garcika01,113,84.0,113,103,0,0,0,0,0,0,0,8,100,103,0.0,14.0
1998,ARI,NL,gilkebe01,29,26.0,29,27,0,0,0,0,0,0,27,0,0,27,0.0,2.0
1998,ARI,NL,jonesch05,20,5.0,20,8,0,0,0,0,0,0,1,0,7,8,0.0,13.0
1998,ARI,NL,klassda01,29,28.0,29,29,0,0,0,29,0,0,0,0,0,0,0.0,1.0
1998,ARI,NL,leetr01,146,145.0,146,146,0,0,146,0,0,0,0,0,0,0,0.0,0.0
1998,ARI,NL,manueba01,13,0.0,13,13,13,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ARI,NL,meulehe01,7,4.0,7,4,0,0,0,0,0,0,0,0,4,4,0.0,3.0
1998,ARI,NL,michach01,5,0.0,5,5,5,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,ARI,NL,milleda02,57,43.0,57,48,0,46,1,0,0,0,0,0,2,2,0.0,10.0
1963,BAL,AL,adairje01,109,,109,109,0,0,0,103,0,0,0,0,0,0,,
1963,BAL,AL,aparilu01,146,,146,146,0,0,0,0,0,145,0,0,0,0,,
1963,BAL,AL,barbest01,39,,39,39,39,0,0,0,0,0,0,0,0,0,,
1963,BAL,AL,bowensa01,15,,15,15,0,0,0,0,0,0,0,0,13,13,,
1963,BAL,AL,brandja01,142,,142,142,0,0,0,0,1,0,30,92,39,134,,
1963,BAL,AL,browndi01,59,,59,59,0,58,0,0,0,0,0,0,0,0,,
1963,BAL,AL,brunege01,16,,16,16,16,0,0,0,0,0,0,0,0,0,,
1963,BAL,AL,bunkewa01,1,,1,1,1,0,0,0,0,0,0,0,0,0,,
1963,BAL,AL,burnspe01,6,,6,6,6,0,0,0,0,0,0,0,0,0,,
1963,BAL,AL,delocik01,7,,7,7,7,0,0,0,0,0,0,0,0,0,,
1963,BAL,AL,estrach01,8,,8,8,8,0,0,0,0,0,0,0,0,0,,
1963,BAL,AL,gainejo01,66,,66,66,0,0,0,0,0,0,34,4,2,39,,
1963,BAL,AL,gentiji01,145,,145,145,0,0,143,0,0,0,0,0,0,0,,
1963,BAL,AL,halldi01,48,,48,48,47,0,0,0,0,0,0,0,0,0,,
1963,BAL,AL,johnsbo02,82,,82,82,0,0,8,50,5,7,0,0,0,0,,
1963,BAL,AL,landrho01,2,,2,2,0,1,0,0,0,0,0,0,0,0,,
1963,BAL,AL,lauch01,29,,29,29,0,8,0,0,0,0,0,0,0,0,,
1963,BAL,AL,mccormi03,25,,25,25,25,0,0,0,0,0,0,0,0,0,,
1963,BAL,AL,mcnalda01,29,,29,29,29,0,0,0,0,0,0,0,0,0,,
1963,BAL,AL,millejo03,3,,3,3,3,0,0,0,0,0,0,0,0,0,,
1963,BAL,AL,millest01,71,,71,71,71,0,0,0,0,0,0,0,0,0,,
1963,BAL,AL,narumbu01,7,,7,7,7,0,0,0,0,0,0,0,0,0,,
1963,BAL,AL,orsinjo01,116,,116,116,0,109,3,0,0,0,0,0,0,0,,
1963,BAL,AL,pappami01,36,,36,36,34,0,0,0,0,0,0,0,0,0,,
1963,BAL,AL,powelbo01,140,,140,140,0,0,23,0,0,0,121,0,1,121,,
1963,BAL,AL,roberro01,35,,35,35,35,0,0,0,0,0,0,0,0,0,,
1963,BAL,AL,robinbr01,161,,161,161,0,0,0,0,160,1,0,0,0,0,,
1963,BAL,AL,saverbo01,115,,115,115,0,0,0,19,0,13,1,58,0,59,,
1963,BAL,AL,smithal04,120,,120,120,0,0,0,0,0,0,7,0,92,97,,
1963,BAL,AL,snyderu01,148,,148,148,0,0,0,0,0,0,32,74,57,130,,
1963,BAL,AL,starrhe01,18,,18,18,18,0,0,0,0,0,0,0,0,0,,
1963,BAL,AL,stockwe01,47,,47,47,47,0,0,0,0,0,0,0,0,0,,
1963,BAL,AL,stonede01,17,,17,17,17,0,0,0,0,0,0,0,0,0,,
1963,BAL,AL,valenfr01,26,,26,26,0,0,0,0,0,0,1,0,10,10,,
1963,BOS,AL,bressed01,140,,140,140,0,0,0,0,0,137,0,0,0,0,,
1963,BOS,AL,clintlo01,148,,148,148,0,0,0,0,0,0,0,0,146,146,,
1963,BOS,AL,conlege01,9,,9,9,9,0,0,0,0,0,0,0,0,0,,
1963,BOS,AL,delocik01,6,,6,6,6,0,0,0,0,0,0,0,0,0,,
1963,BOS,AL,earlear01,53,,53,53,53,0,0,0,0,0,0,0,0,0,,
1963,BOS,AL,fornimi01,9,,9,9,9,0,0,0,0,0,0,0,0,0,,
1935,DET,AL,fischca01,3,,3,3,3,0,0,0,0,0,0,0,0,0,,
1982,OAK,AL,burroje01,113,69.0,113,32,0,0,0,0,0,0,15,0,18,32,44.0,39.0
1920,BRO,NL,wardch01,19,,19,19,0,0,0,0,0,19,0,0,0,0,,
1957,PIT,NL,longda02,7,,7,7,0,0,7,0,0,0,0,0,0,0,,
1954,PHI,NL,palysst01,2,,2,2,0,0,0,0,0,0,0,0,1,1,,
1925,PHI,NL,metzle01,11,,11,11,0,0,0,2,0,9,0,0,0,0,,
1977,SDN,NL,freisda01,33,23.0,33,33,33,0,0,0,0,0,0,0,0,0,0.0,0.0
1940,SLN,NL,crespcr01,3,,3,3,0,0,0,0,2,1,0,0,0,0,,
1969,WS2,AL,kreutfr01,4,,4,4,4,0,0,0,0,0,0,0,0,0,,
1999,BAL,AL,bonesri01,31,0.0,2,30,30,0,0,0,0,0,0,0,0,0,0.0,0.0
1990,KCA,AL,gubicma01,16,0.0,0,16,16,0,0,0,0,0,0,0,0,0,0.0,0.0
1928,DET,AL,neunjo01,36,,36,36,0,0,25,0,0,0,0,0,0,0,,
1995,KCA,AL,appieke01,31,0.0,0,31,31,0,0,0,0,0,0,0,0,0,0.0,0.0
1955,CHA,AL,stephve01,22,,22,22,0,0,0,0,18,0,0,0,0,0,,
2005,CHA,AL,lopezpe01,2,2.0,2,2,0,0,0,1,0,1,0,0,0,0,0.0,0.0
1900,PIT,NL,hustibe01,2,,2,2,2,0,0,0,0,0,0,0,0,0,,
1914,PHA,AL,planked01,34,,34,34,34,0,0,0,0,0,0,0,0,0,,
1940,PHI,NL,hoersle01,6,,6,6,6,0,0,0,0,0,0,0,0,0,,
2001,CHA,AL,rowanaa01,63,34.0,63,61,0,0,0,0,0,0,34,32,11,61,0.0,4.0
1963,SLN,NL,bucheje01,3,,3,3,0,0,0,0,0,1,0,0,0,0,,
1967,PHI,NL,olivege01,85,,85,85,0,79,2,0,0,0,0,0,0,0,,
1940,BOS,AL,terryya01,4,,4,4,4,0,0,0,0,0,0,0,0,0,,
1980,CIN,NL,berenbr01,6,6.0,6,6,6,0,0,0,0,0,0,0,0,0,0.0,0.0
1965,CIN,NL,jamesch01,26,,26,26,0,0,0,0,0,0,3,0,4,7,,
2004,CLE,AL,younger02,3,1.0,3,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0
2010,SDN,NL,hairsje02,119,105.0,119,114,0,0,0,47,3,62,4,0,8,12,0.0,7.0
1901,BRO,NL,mcguide01,85,,85,85,0,81,3,0,0,0,0,0,0,0,,
1905,PIT,NL,kinseed01,3,,3,3,3,0,0,0,0,0,0,0,0,0,,
1992,CHN,NL,dascedo01,139,81.0,139,122,0,0,0,0,0,0,25,80,28,122,0.0,26.0
1890,CHN,NL,hutched01,4,,4,4,0,0,0,4,0,0,0,0,0,0,,
2006,TOR,AL,accarje01,27,0.0,0,27,27,0,0,0,0,0,0,0,0,0,0.0,0.0
2002,KCA,AL,perrych01,5,3.0,5,5,0,0,5,0,0,0,0,0,0,0,0.0,0.0
1964,CHA,AL,mossido01,34,,34,34,34,0,0,0,0,0,0,0,0,0,,
1970,MIN,AL,woodsdi01,21,,21,21,21,0,0,0,0,0,0,0,0,0,,
1953,CIN,NL,foileha01,5,,5,5,0,3,0,0,0,0,0,0,0,0,,
1973,KCA,AL,dalcabr01,1,,1,1,32,0,0,0,0,0,0,0,0,0,,
1934,DET,AL,foxpe01,128,,128,128,0,0,0,0,0,0,0,11,110,121,,
1928,CHN,NL,gonzami01,49,,49,49,0,45,0,0,0,0,0,0,0,0,,
1948,BSN,NL,elliobo01,151,,151,151,0,0,0,0,150,0,0,0,0,0,,
1915,CIN,NL,clarkto01,96,,96,96,0,72,0,0,0,0,0,0,0,0,,
1992,OAK,AL,nelsoge01,29,0.0,2,28,28,0,0,0,0,0,0,0,0,0,0.0,0.0
1991,SDN,NL,abnersh01,53,27.0,53,39,0,0,0,0,0,0,0,36,3,39,0.0,13.0
1954,PHA,AL,dixonso01,38,,38,38,38,0,0,0,0,0,0,0,0,0,,
1987,CHA,AL,jamesbo01,43,0.0,1,43,43,0,0,0,0,0,0,0,0,0,0.0,0.0
1882,LS2,AA,smithpo01,3,,3,3,0,0,0,0,0,3,0,0,0,0,,
1889,KC2,AA,hamilbi01,137,,137,137,0,0,0,0,0,0,7,0,130,137,,
1918,BRO,NL,wardch01,2,,2,2,0,0,0,0,2,0,0,0,0,0,,
1950,BSN,NL,lindewa01,3,,3,3,0,3,0,0,0,0,0,0,0,0,,
1995,SFN,NL,claytro01,138,133.0,138,136,0,0,0,0,0,136,0,0,0,0,0.0,3.0
1896,BLN,NL,corbejo01,9,,9,9,8,0,0,0,1,0,0,0,0,0,,
1996,CHA,AL,guilloz01,150,129.0,150,147,0,0,0,0,0,146,2,0,0,2,0.0,9.0
1998,MON,NL,perezca01,23,22.0,22,23,23,0,0,0,0,0,0,0,0,0,0.0,0.0
1967,CAL,AL,newmafr01,3,,3,3,3,0,0,0,0,0,0,0,0,0,,
1922,BSN,NL,lansige01,15,,15,15,15,0,0,0,0,0,0,0,0,0,,
1980,OAK,AL,grosswa01,113,96.0,113,105,0,0,10,0,99,0,0,0,0,0,0.0,16.0
1974,LAN,NL,dejesiv01,3,0.0,3,2,0,0,0,0,0,2,0,0,0,0,0.0,1.0
1956,CHN,NL,miksied01,114,,114,114,0,0,0,19,48,2,6,25,2,33,,
1889,NY1,NL,ewingbu01,99,,99,99,3,97,0,0,0,0,1,0,0,1,,
1993,CHA,AL,bellge02,102,102.0,102,0,0,0,0,0,0,0,0,0,0,0,102.0,0.0
1914,BRO,NL,hummejo01,73,,73,73,0,0,36,1,0,1,5,4,11,19,,
1945,BOS,AL,terryya01,12,,12,12,12,0,0,0,0,0,0,0,0,0,,
1904,BSN,NL,barclge01,24,,24,24,0,0,0,0,0,0,6,1,17,24,,
1894,PHI,NL,fannija01,6,,6,6,6,0,0,0,0,0,0,0,0,0,,
1927,BOS,AL,tarbear01,33,,33,33,0,0,0,0,0,0,10,3,14,27,,
1982,SEA,AL,bosleth01,22,8.0,22,19,0,0,0,0,0,0,15,3,2,19,0.0,3.0
2010,TOR,AL,evelada01,9,9.0,1,9,9,0,0,0,0,0,0,0,0,0,0.0,0.0
2003,LAN,NL,myersro01,4,0.0,4,4,4,0,0,0,0,0,0,0,0,0,0.0,0.0
1916,BOS,AL,mchalma01,2,,2,2,2,0,0,0,0,0,0,0,0,0,,
1991,CHN,NL,berryda01,62,37.0,62,48,0,48,0,0,0,0,0,0,0,0,0.0,17.0
1952,PHA,AL,robersh01,43,,43,43,0,0,0,8,2,0,0,0,7,7,,
1998,BAL,AL,benitar01,71,0.0,6,71,71,0,0,0,0,0,0,0,0,0,0.0,0.0
1998,CIN,NL,krivdri01,16,1.0,15,16,16,0,0,0,0,0,0,0,0,0,0.0,0.0
1994,ATL,NL,glavito02,26,25.0,26,25,25,0,0,0,0,0,0,0,0,0,0.0,1.0
1979,CLE,AL,veryzto01,149,146.0,149,148,0,0,0,0,0,148,0,0,0,0,0.0,0.0
1970,CLE,AL,ellswdi01,29,,29,29,29,0,0,0,0,0,0,0,0,0,,
1998,TEX,AL,tatisfe01,95,93.0,95,94,0,0,0,0,94,0,0,0,0,0,0.0,0.0
1991,BAL,AL,ballaje01,26,0.0,0,26,26,0,0,0,0,0,0,0,0,0,0.0,0.0
1975,PIT,NL,ziskri01,147,138.0,147,140,0,0,0,0,0,0,140,0,0,140,0.0,7.0
1986,NYA,AL,berrada01,42,35.0,42,35,0,0,0,0,18,19,0,0,0,0,4.0,3.0
1908,CLE,AL,stovage01,138,,138,138,0,0,132,0,0,1,0,5,0,5,,
1986,SLN,NL,forscbo01,34,33.0,34,33,33,0,0,0,0,0,0,0,0,0,0.0,0.0
2006,SDN,NL,roberda07,129,121.0,129,127,0,0,0,0,0,0,116,13,0,127,0.0,6.0
1985,PHI,NL,russejo02,81,60.0,81,66,0,0,18,0,0,0,49,0,0,49,0.0,18.0
1956,SLN,NL,darkal01,100,,100,100,0,0,0,0,0,99,0,0,0,0,,
1981,CAL,AL,dacqujo01,6,0.0,0,6,6,0,0,0,0,0,0,0,0,0,0.0,0.0
1886,SL5,NL,baueral01,4,,4,4,4,0,0,0,0,0,0,0,0,0,,
1956,CHN,NL,kingji01,118,,118,118,0,0,0,0,0,0,69,0,14,82,,
1998,KCA,AL,rapppa01,32,1.0,1,32,32,0,0,0,0,0,0,0,0,0,0.0,0.0
2004,MIL,NL,davisdo02,34,33.0,33,34,34,0,0,0,0,0,0,0,0,0,0.0,0.0
1956,PIT,NL,littldi01,6,,6,6,6,0,0,0,0,0,0,0,0,0,,
1978,CIN,NL,lummi01,86,33.0,86,50,0,0,7,0,0,0,10,26,9,43,0.0,42.0
2012,WAS,NL,burnese01,70,0.0,65,70,70,0,0,0,0,0,0,0,0,0,0.0,0.0
2000,CHA,AL,gintema01,7,0.0,0,7,7,0,0,0,0,0,0,0,0,0,0.0,0.0
1957,SLN,NL,merrill02,44,,44,44,44,0,0,0,0,0,0,0,0,0,,
1985,SLN,NL,howear01,4,0.0,4,2,0,0,1,0,1,0,0,0,0,0,0.0,3.0
1889,SL4,AA,mccarto01,140,,140,140,1,0,0,2,0,0,1,3,137,140,,
1926,SLA,AL,gerbewa01,131,,131,131,0,0,0,0,0,129,0,0,0,0,,
1966,WS2,AL,cheneto01,3,,3,3,3,0,0,0,0,0,0,0,0,0,,
2006,PIT,NL,caseyse01,59,55.0,59,55,0,0,55,0,0,0,0,0,0,0,0.0,4.0
1959,CIN,NL,ackerto01,37,,37,37,37,0,0,0,0,0,0,0,0,0,,
1950,CLE,AL,gromest01,31,,31,31,31,0,0,0,0,0,0,0,0,0,,
1976,CHN,NL,zahnge01,3,2.0,3,3,3,0,0,0,0,0,0,0,0,0,0.0,0.0
