mountain,country,province
Касбек,Р,Северная Оссетия
&lt; &lt; Роке де лос Мучачос &gt; &gt;,E,Канарские острова
Пико Руиво,Р,Мадейра
Мт Бона,США,Аляска
Монте Синто,F,Корс
Pico de Agulhas Negras,КР,Рио-де-Жанейро
Царатанана,РМ,Анциранана
Пик Гвадалупе,США,Техас
Манаслу,NEP,Непал
Citlaltepetl (Pico de Orizaba),МЕКС,Веракрус
Саджама,БОЛ,Боливия
Вильгельм,ПНГ,Папуа-Новая Гвинея
Джабель Любнан,RL,Ливан
Молдовеану,RO,Брашов
Халекала,США,Гавайи
Piton de la Fournaise,ВРЕМЯ,Воссоединение
Бьелуха,KAZ,Шиггиз Казакстан
Мт Рейнье,США,Вашингтон
Канчендзонга,NEP,Непал
Pico de Alamanzor,E,Кастиль и Леон
Гунунг Агунг,РИ,Индонезия
Мт Вашингтон,США,Нью-Гэмпшир
Гальдхеппиг,Н,Оппленд
Citlaltepetl (Pico de Orizaba),МЕКС,Пуэбла
Фудзисан,J,Яманаши
Пуи-де-Коме,F,Овернь
Шникоппе,PL,Уолбржицкий
Hotaka-Dake,J,Гифу
Фельдберг,D,Баден Вуртемберг
Lhotsse,ТДж,Тибет
Зугспитц,D,Байерн
Mt Fairweather,США,Аляска
Tarrekaise,И,Норрботтен
Рувензори,ЕАС,Уганда
Пико,Р,Азоры
Мт Колумбия,КН,Британская Колумбия
Изтациуатль,МЕКС,Пуэбла
Халтиатунтури,SF,Лаппия
Мт Логан,КН,Территория Юкон
Шоколадный костюм,A,Штирия
Мерапи,РИ,Индонезия
Г-н Косцийко,AUS,Новый Южный Уэльс
Жостедальсбре,Н,Согн-о-о-фьордане
Gasherbrum II,ПК,Пакистан
Тор де Серредо,E,Астурия
Улуру,AUS,Северная территория
Сулитжелма,Н,Нордленд
Джебель Аурес,МЭТ,Марокко
Фудзисан,J,Шизуока
Дерьмо_Sogn_Gion,CH,ГР
Бен Невис,ГБ,Нагорья
Монте Роза,I,Валье dAosta
Мауна Луа,США,Гавайи
Олимпос,CY,Кипр
Граница,США,Калифорния
Г-н Богонг,AUS,Виктория
Мауна Кеа,США,Гавайи
Пико Рокарре,ПЭ,Наличными
Суфриер,WV,Сент-Винсент и Гренадины
Маттерхорн,CH,VS
Монблан,I,Валье dAosta
Пели,МАРТ,Мартиника
Mt Hood,США,Орегон
Мт Ваддингтон,КН,Британская Колумбия
Широкий пик,ТДж,Синьцзян Уйгур
Охос-дель-Саладо,RCH,Чили
Oraefajokull,ИУ,Италия
Гилуве,ПНГ,Папуа-Новая Гвинея
Арарат,ТR,Агри
Широкий пик,ПК,Пакистан
Пик Коммунизма,TAD,Бадахшони Куни
Мт Сент-Элиас,США,Аляска
Бабушка Сассо,I,Абруццо
Диаблотины морна,WD,Доминика
Попоманасей,SLB,Соломоновы Острова
Бьелуха,Р,Репозиция Альтая
Пик Победа,KGZ,Кыргызстан
Чимборасо,ЕС,Эквадор
Гросслокнер,A,Каринтия
Ла Суфриер,ГРАД,Гваделупа
Харни Пик,США,Южная Дакота
Пайки,США,Колорадо
Герлаховский Стит,SK,Словакия
Пиз Бернина,I,Ломбардия
Mt Blackburn,США,Аляска
Фако,КАМ,Судоэст
Пико Туркино,C,Сантьяго-де-Куба
Зугспитц,A,Тирол
Гран-Парадисо,I,Валье dAosta
Панчак Джая,РИ,Индонезия
Leuser,РИ,Индонезия
Андрингитра,РМ,Фианарантсоа
Попокатепетл,МЕКС,Пуэбла
