island,country,province
Хонсю,J,Ивировать
Авст-Вагои,Н,Нордленд
Ислай,ГБ,Стратклид
Куба,C,Ла-Хабана
Маллорка,E,Балеарские острова
Маленький Кайман,Кейм,Каймановы острова
Великобритании,ГБ,Стаффордшир
Сан Мигель,Р,Азоры
Питкэрн,ОМТС,Острова Питкэрн
Шьермониког,Нл,Фризленд
Мадагаскар,РМ,Фианарантсоа
Вити Леву,ФСО,Фиджи
Бугенвиль,ПНГ,Папуа-Новая Гвинея
Ниуэ,НЬЮ,Ниуэ
Рум,ГБ,Нагорья
Великобритании,ГБ,Корнуолл
Гернси,ГБГ,Гернси
Амеланд,Нл,Фризленд
Великобритании,ГБ,Большой Манчестер
Остров Кангару,AUS,Южная Австралия
Шикоку,J,Кагава
Миндоро,РП,Филиппины
Хонсю,J,Ниигата
Самар,РП,Филиппины
Великобритании,ГБ,Дамфри и Галлоуэй
Менорка,E,Балеарские острова
Шетландский материк,ГБ,Шетланд
Хонсю,J,Шиман
Гозо,М,Мальта
Сокотра,ДА,Йемен
Южный Рональдси,ГБ,Оркни
Анжуан,COM,Коморские Острова
Доминика,WD,Доминика
Чиос,ГР,Верион &lt; &lt; Айяон &gt; &gt;
Великобритании,ГБ,Херефорд и Ворстер
Организация &lt; &lt; Новая Каледония &gt; &gt;,НКА,Новая Каледония
Хонсю,J,Мияги
Индонезия,АГ,Антигуа и Барбуда
Сантьяго,CV,Кабо-Верде
Борнео,ТЗА,Саба
Антигуа,АГ,Антигуа и Барбуда
Манитулен,КН,Онтарио
Аландская,SF,Аландская
