name,area,depth,altitude,type,river,longitude,latitude
Цинхайское озеро,4583.0,,3195.0,соль,,100.2,36.9
Озеро Виннипег,24420.0,18.0,218.0,,Нельсон Ривер,-97.97,52.77
&lt; &lt; Нам Ко &gt; &gt;,1855.0,125.0,4718.0,соль,,90.55,30.7
Бодензе,538.5,254.0,395.0,,Рейн,9.4,47.6
Озеро Киога,1720.0,5.7,914.0,,Виктория Нил,33.0,1.5
озеро Никарагуа,8157.0,45.0,31.0,,Рио Сан-Хуан,-85.35,11.6
Ozero Tschany,2500.0,106.0,10.0,,,77.5,54.9
Арресо,40.2,5.6,,,,12.1,56.0
Lago de Sobradinho,4214.0,,,искусственные,Рио Сан-Франциско,-40.7,-9.46
Озеро Босумтви,49.0,81.0,107.0,последствия,,-1.4,6.5
Озеро Иразу,1.0,,3200.0,кислота,,-83.9,10.0
Озеро Ньос,,208.0,,Кальдера,,10.3,6.44
Лоп Нор,5000.0,0.0,780.0,соль,,90.6,40.2
Лох-Ломонд,71.0,190.0,7.9,,,-4.59,56.08
Озеро Берли Гриффин,6.64,,556.0,искусственные,Река Муррумбиджи,149.1,-35.3
Лаго-ди-Бракьяно,57.0,160.0,164.0,Кальдера,,12.2,42.1
Нойсидлерсе,320.0,1.8,115.5,,,16.7,47.8
Озеро Эри,25745.0,64.0,174.0,,Река Ниагара,-81.27,42.16
Озеро Вольта,8502.0,130.0,,искусственные,Вольта,0.5,6.3
Озеро Чилва,687.0,2.0,474.0,соль,,35.7,-15.3
Озеро Охрид,367.0,289.0,695.0,,Черный кусок,20.7,41.0
Мертвое море,41650.0,378.0,-422.0,соль,,35.5,31.3
Озеро Преспа,273.0,54.0,849.0,,,21.0,40.9
Крейтерское озеро Ликанкабур,0.005,,5600.0,кратер,,-67.9,-22.8
Озеро Пауэлл,645.0,171.0,1127.0,искусственные,Колорадо,-111.5,36.9
Франклин Д. Рузвельтское озеро,337.0,,,искусственные,Река Колумбия,-119.0,47.95
Аммерзе,46.6,81.1,533.0,,Аммер,11.6,48.0
Озеро Онтарио,18960.0,244.0,75.0,,Река Святого Лоуренса,-77.96,43.695
Лаго-ди-Больсена,114.0,151.0,335.0,Кальдера,,11.9,42.6
Озеро Айр,9500.0,4.0,-17.0,соль,,137.3,-28.6
Иссык-Куль,6236.0,668.0,1609.0,соль,,77.2,42.4
Озеро Маникуаган,1942.0,,350.0,последствия,,-68.7,51.4
Туннели,48.3,217.0,558.0,,Aare,7.716,46.69
Каспийское море,386400.0,995.0,-28.0,соль,,51.0,41.0
Озеро Танганджика,32893.0,1470.0,782.0,,Лукуга,30.0,-6.0
Чадское озеро,23000.0,7.0,250.0,соль,,14.0,13.2
Балатон,594.0,12.5,104.0,,,17.6,46.8
Ozero Taimir,4560.0,26.0,5.0,,,101.6,74.5
Озеро Кебан,675.0,,,,Евфрат,38.75,38.8
Озеро Тахо,497.0,501.0,1900.0,,Река Грузовик,-120.0,39.0
Ozero Aral,17160.0,35.0,31.0,соль,,59.62,44.81
Озеро Нгами,770.0,2.0,,соль,,23.0,-20.5
Жуй Бахир,800.0,7.5,520.0,соль,,36.85,4.7
Озеро Аббе,320.0,37.0,243.0,соль,,41.8,11.2
Озеро Тоба,1103.0,505.0,905.0,Кальдера,Асахан,98.8,2.6
Ozero Pskovskoje,3555.0,14.6,30.0,,Нарва,27.49,58.68
Лахер Маар,3.3,53.0,275.0,Кальдера,,7.3,50.4
Ozero Baykal,31492.0,1637.0,455.0,,Ангара,108.0,53.0
Озеро Тана,3000.0,14.0,1830.0,,Синий Нил,37.3,12.0
Лох-Несс,56.0,226.0,16.0,,,-4.44,57.31
Озеро Май Ндомбе,8200.0,10.0,300.0,,Фими,18.3,-2.05
Какашки,1340.0,4.0,3686.0,соль,,-67.1,-18.55
озеро Сакакавеа,1578.0,55.0,,искусственные,Миссури,-101.42,47.48
Лаго-ди-Комо,146.0,425.0,197.0,,Adda,9.3,46.0
Ozero Ladoga,18400.0,225.0,4.0,,Ньюа,31.53,60.82
Озеро Мид,640.0,180.0,372.0,искусственные,Колорадо,-114.75,36.05
Великолепное медвежье озеро,31792.0,446.0,156.0,,,-120.6,65.9
