country,independence,dependent,government
BS,1973-07-10,,Содружество
ВАГ,1965-02-18,,Республика в условиях многопартийного демократического правления
SLB,1978-07-07,,парламентская демократия
МВт,1964-07-06,,Многосторонняя демократия
КР,1822-09-07,,Федеративная республика
Р,1140-01-01,,Республика
СМАРТ,,F,Зарубежная коллективность Франции
BZ,1981-09-21,,парламентская демократия
ДОМ,1844-02-27,,Республика
NEP,1768-01-01,,по состоянию на 12 мая 1991 года
I,1861-03-17,,Республика
XMAS,,AUS,территории Австралии
ВАФА,,F,Зарубежная территория Франции
С.А.,1932-09-23,,монархия
COM,1975-07-06,,независимая республика
НИК,1821-09-15,,Республика
РВА,1962-07-01,,Республика
SVAX,,Н,"Норвегией, управляемой министерством промышленности"
G,1960-08-17,,Республика
V,1929-02-11,,монархическое крепостное состояние
ЛС,1966-10-04,,изменение конституционной монархии
HR,1991-06-25,,парламентская демократия
PY,1811-05-14,,Республика
RL,1943-11-22,,Республика
РОУ,1650-01-01,,монархия
СУА,1821-09-15,,Республика
WD,1978-11-03,,парламентская демократия
РБ,1966-09-30,,парламентская республика
ЗАХОД,,,
ГНБ,1974-09-10,,Республика
AXA,,ГБ,Британские заморские территории
Кл,1948-02-04,,Республика
КБК,1960-08-15,,Республика
ГР,1829-01-01,,парламентская республика
LAO,1949-07-19,,Коммунистическое государство
ХОНКС,,ТДж,и специальной административной области в Китае
ZW,1980-04-18,,парламентская демократия
ВРЕМЯ,,F,Министерство иностранных дел Франции
РШМ,0301-01-01,,Республика
Бен,1960-08-01,,Республика под многопартийным демократическим правлением отказалась от марксизма Ленинизма в декабре 1989 года
Новой Зеландии,1907-09-26,,парламентская демократия
ГРОКС,,ДК,части датской территории
B,1830-10-04,,конституционная монархия
SGP,1965-08-09,,Республика в рамках Содружества
PL,1918-11-11,,демократическое государство
BF,1960-08-05,,Парламентский
ФЛ,1719-01-23,,Наследственная конституционная монархия
Кейм,,ГБ,Британские заморские территории
РИ,1945-08-17,,Республика
РТ,1960-04-27,,Республика в процессе перехода к многопартийному демократическому правлению
