yearid,lgid,teamid,franchid,divid,rank,g,ghome,w,l,divwin,wcwin,lgwin,wswin,r,ab,h,2b,3b,hr,bb,so,sb,cs,hbp,sf,ra,er,era,cg,sho,sv,ipouts,ha,hra,bba,soa,e,dp,fp,name,park,attendance,bpf,ppf,teamidbr,teamidlahman45,teamidretro
1976,NL,SLN,STL,E,5,162,81.0,72,90,Н,,Н,Н,629,5516,1432,243,57,63,512,860,123,55.0,,,671,581,3,35,15,26,4359,1416,91,581,731,174,163.0,0,Кардиналы Сент-Луиса,Автобусный стадион II,1207079.0,101,101,STL,SLN,SLN
1969,AL,CLE,CLE,E,6,161,81.0,62,99,Н,,Н,Н,573,5365,1272,173,24,119,535,906,85,37.0,,,717,629,3,35,7,22,4311,1330,134,681,1000,142,153.0,0,Индейцы Кливленда,Стадион Кливленда,619970.0,103,103,CLE,CLE,CLE
2001,NL,MON,WSN,E,5,162,81.0,68,94,Н,Н,Н,Н,670,5379,1361,320,28,131,478,1071,101,51.0,60.0,45.0,812,745,4,5,11,28,4294,1509,190,525,1103,108,139.0,0,Монреальские выставки,Олимпийская система,642745.0,101,102,MON,MON,MON
1923,AL,PHA,OAK,,6,153,75.0,69,83,,,Н,Н,661,5196,1407,229,64,53,445,517,72,62.0,,,761,618,4,65,7,12,4092,1465,68,550,400,225,127.0,0,Филадельфия Атлетика,Парк Шиве,534122.0,101,103,PHA,PHA,PHA
1919,AL,SLA,BAL,,5,140,70.0,67,72,,,Н,Н,533,4672,1234,187,73,31,391,443,74,,,,567,437,3,78,14,4,3768,1255,35,421,415,214,98.0,0,Сент-Луис Браунс,Парк IV для спортсменов,349350.0,102,103,SLB,SLA,SLA
2003,NL,FLO,FLA,E,2,162,81.0,91,71,Н,Y,Y,Y,751,5490,1459,292,44,157,515,978,150,74.0,57.0,41.0,692,648,4,7,11,36,4336,1415,128,530,1132,78,162.0,0,Флорида Марлинс,Стадион Pro Player,1303215.0,98,98,FLA,FLO,FLO
1978,AL,BAL,BAL,E,4,161,81.0,90,71,Н,,Н,Н,659,5422,1397,248,19,154,552,864,75,61.0,,,633,565,3,65,16,33,4287,1340,107,509,754,110,166.0,0,Балтимор Ориолс,Памятный стадион,1051724.0,94,93,BAL,BAL,BAL
2006,NL,MIL,MIL,C,4,162,81.0,75,87,Н,Н,Н,Н,730,5433,1400,301,20,180,502,1233,71,37.0,82.0,53.0,833,763,4,7,8,43,4277,1454,177,514,1145,117,126.0,0,Милуоки Брюэрс,Миллер Парк,2335643.0,101,101,MIL,ML4,MIL
1971,NL,ATL,ATL,W,3,162,82.0,82,80,Н,,Н,Н,643,5575,1434,192,30,153,434,747,57,46.0,,,699,614,3,40,11,31,4422,1529,152,485,823,146,180.0,0,Атланты Храбрые храбрые,Стадион округа Атланта-Фултон,1006320.0,106,107,ATL,ATL,ATL
2000,AL,CLE,CLE,C,2,162,81.0,90,72,Н,Н,Н,Н,950,5683,1639,310,30,221,685,1057,113,34.0,51.0,52.0,816,775,4,6,5,34,4326,1511,173,666,1213,72,149.0,0,Индейцы Кливленда,Джейкобс Филд,3456278.0,101,100,CLE,CLE,CLE
1976,AL,BAL,BAL,E,2,162,81.0,88,74,Н,,Н,Н,619,5457,1326,213,28,119,519,883,150,61.0,,,598,542,3,59,16,23,4404,1396,80,489,678,118,157.0,0,Балтимор Ориолс,Памятный стадион,1058609.0,94,93,BAL,BAL,BAL
1922,NL,CHN,CHC,,5,156,76.0,80,74,,,Н,Н,771,5335,1564,248,71,42,525,447,97,108.0,,,808,674,4,74,8,12,4191,1579,77,475,402,202,154.0,0,Чикаго Кабс,Филд Уригли,542283.0,102,102,CHC,CHN,CHN
