yearid,teamid,lgid,playerid,g_all,g_batting,g_defense,g_p,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr
1994,COL,NL,owensja02,6,4.0,6,6,0,6,0,0,0,0,0,0,0,0,0.0,0.0
1911,BRO,NL,burchal01,54,,54,54,0,0,0,3,0,0,0,41,3,43,,
1993,CHN,NL,yeldier01,69,25.0,69,40,0,0,0,32,7,1,0,1,0,1,0.0,23.0
1970,HOU,NL,edwarjo01,140,,140,140,0,139,0,0,0,0,0,0,0,0,,
1915,NY1,NL,perripo01,35,,35,35,35,0,0,0,0,0,0,0,0,0,,
1982,PIT,NL,bellira01,9,0.0,9,4,0,0,0,0,0,4,0,0,0,0,0.0,1.0
1992,NYA,AL,jamesdi01,67,34.0,67,46,0,0,0,0,0,0,8,12,27,46,2.0,20.0
1939,BRO,NL,almadme01,39,,39,39,0,0,0,0,0,0,0,32,0,32,,
1972,MIN,AL,adamsmi02,3,,3,3,0,0,0,0,0,0,1,0,0,1,,
2005,ARI,NL,claytro01,143,131.0,143,141,0,0,0,0,0,141,0,0,0,0,0.0,3.0
1951,BOS,AL,hisneha01,1,,1,1,1,0,0,0,0,0,0,0,0,0,,
1985,MIN,AL,laudnti01,72,53.0,72,69,0,68,1,0,0,0,0,0,0,0,0.0,6.0
1962,SLN,NL,burdabo01,7,,7,7,0,0,0,0,0,0,1,0,5,6,,
1926,BOS,AL,mccanem01,6,,6,6,0,0,0,0,1,1,0,0,0,0,,
1982,BOS,AL,riceji01,145,145.0,145,145,0,0,0,0,0,0,145,0,0,145,0.0,0.0
1955,KC1,AL,schypje01,22,,22,22,0,0,0,2,0,21,0,0,0,0,,
1982,CLE,AL,milbola01,82,73.0,82,80,0,0,0,64,9,22,0,0,0,0,1.0,5.0
1978,NYN,NL,grievto01,54,21.0,54,28,0,0,2,0,0,0,2,0,24,26,0.0,27.0
1974,BAL,AL,baylodo01,137,127.0,137,133,0,0,8,0,0,0,114,1,26,129,0.0,7.0
1973,TEX,AL,waitsri01,0,,0,0,1,0,0,0,0,0,0,0,0,0,,
1981,CAL,AL,beniqju01,58,48.0,58,55,0,0,0,0,0,0,15,36,7,55,1.0,4.0
1994,CHA,AL,francju01,112,112.0,112,14,0,0,14,0,0,0,0,0,0,0,99.0,0.0
1884,SL4,AA,oneilti01,78,,78,78,17,0,1,0,0,0,59,5,0,64,,
1945,NY1,NL,gardeda01,121,,121,121,0,0,15,0,0,0,85,0,9,94,,
1895,NY1,NL,tiernmi01,120,,120,120,0,0,0,0,0,0,0,0,119,119,,
2012,CIN,NL,ludwiry01,125,109.0,125,108,0,0,0,0,0,0,108,0,0,108,2.0,15.0
1961,SLN,NL,mcdanli01,55,,55,55,55,0,0,0,0,0,0,0,0,0,,
1918,BOS,AL,truesfr01,15,,15,15,0,0,0,10,0,0,0,0,0,0,,
1933,SLN,NL,medwijo01,148,,148,148,0,0,0,0,0,0,147,0,0,147,,
1944,WS1,AL,wynnea01,43,,43,43,33,0,0,0,0,0,0,0,0,0,,
1991,SDN,NL,whitsed01,13,12.0,13,13,13,0,0,0,0,0,0,0,0,0,0.0,0.0
1922,CHN,NL,alexape01,33,,33,33,33,0,0,0,0,0,0,0,0,0,,
1915,BRO,NL,ruckena01,19,,19,19,19,0,0,0,0,0,0,0,0,0,,
1972,CLE,AL,fossera01,134,,134,134,0,124,3,0,0,0,0,0,0,0,,
1929,SLN,NL,hallabi01,20,,20,20,20,0,0,0,0,0,0,0,0,0,,
1984,SEA,AL,mooremi01,34,0.0,2,34,34,0,0,0,0,0,0,0,0,0,0.0,0.0
1884,WSU,UA,carroch01,4,,4,4,0,0,0,0,0,0,4,0,0,4,,
1902,PHA,AL,dugglbi01,2,,2,2,2,0,0,0,0,0,0,0,0,0,,
1965,LAN,NL,olivena01,8,,8,8,0,0,0,2,0,0,0,0,0,0,,
1919,NY1,NL,kauffbe01,135,,135,135,0,0,0,0,0,0,0,134,0,134,,
1989,SFN,NL,bedrost01,40,0.0,40,40,40,0,0,0,0,0,0,0,0,0,0.0,0.0
1939,PIT,NL,klingbo01,37,,37,37,37,0,0,0,0,0,0,0,0,0,,
1924,BOS,AL,clarkda04,104,,104,104,0,0,0,0,94,0,0,0,0,0,,
1971,OAK,AL,seguidi01,26,,26,26,26,0,0,0,0,0,0,0,0,0,,
1977,NYN,NL,baldwri01,40,0.0,40,40,40,0,0,0,0,0,0,0,0,0,0.0,0.0
1946,PHI,NL,johnssi01,1,,1,1,1,0,0,0,0,0,0,0,0,0,,
1977,TEX,AL,alomasa01,69,19.0,69,30,0,0,3,18,1,6,4,0,1,5,0.0,2.0
1886,PH4,AA,bierblo01,137,,137,137,2,4,0,133,0,2,0,0,0,0,,
1982,MON,NL,reardje01,75,0.0,75,75,75,0,0,0,0,0,0,0,0,0,0.0,0.0
2000,SLN,NL,ankieri01,35,28.0,33,31,31,0,0,0,0,0,0,0,0,0,0.0,3.0
2003,MON,NL,cabreor01,162,160.0,162,162,0,0,0,0,0,162,0,0,0,0,0.0,0.0
